,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.286,0.083,0.139,0.423,0.004,0.003,530.0,699.0,1.0
Ds[0],32.932,0.072,32.797,33.072,0.003,0.002,567.0,766.0,1.0
RV[0],2.645,1.242,1.025,5.019,0.052,0.037,584.0,658.0,1.01
"eps[0, 0]",-0.016,0.122,-0.234,0.22,0.003,0.004,1281.0,780.0,1.0
"eps[1, 0]",0.075,0.221,-0.353,0.483,0.006,0.007,1355.0,875.0,1.0
"eps[2, 0]",0.148,0.171,-0.158,0.474,0.005,0.004,1182.0,798.0,1.0
"eps[3, 0]",-0.068,0.209,-0.461,0.334,0.006,0.006,1314.0,875.0,1.0
"eps[4, 0]",0.278,0.21,-0.161,0.616,0.007,0.005,995.0,794.0,1.0
"eps[5, 0]",-0.043,0.563,-1.026,1.039,0.018,0.017,1001.0,817.0,1.0
"eps[6, 0]",0.459,0.398,-0.204,1.254,0.011,0.008,1325.0,801.0,1.0
"eps[7, 0]",0.012,0.144,-0.244,0.309,0.004,0.005,1573.0,814.0,1.0
"eps[8, 0]",0.024,0.19,-0.356,0.368,0.005,0.006,1567.0,840.0,1.01
"eps[9, 0]",0.021,0.049,-0.063,0.111,0.002,0.001,906.0,779.0,1.0
"eps[10, 0]",-0.066,0.063,-0.185,0.052,0.002,0.001,1232.0,834.0,1.0
"eps[11, 0]",-0.092,0.043,-0.172,-0.01,0.001,0.001,942.0,752.0,1.0
"eps[12, 0]",0.058,0.037,-0.005,0.131,0.001,0.001,705.0,591.0,1.01
"eps[13, 0]",-0.135,0.043,-0.218,-0.06,0.001,0.001,912.0,495.0,1.0
"eps[14, 0]",-0.049,0.101,-0.23,0.139,0.003,0.003,1046.0,763.0,1.0
"eps[15, 0]",-0.031,0.101,-0.205,0.165,0.003,0.004,1235.0,636.0,1.01
"eps[16, 0]",-0.03,0.08,-0.18,0.115,0.002,0.002,1999.0,817.0,1.0
"eps[17, 0]",-0.042,0.072,-0.176,0.092,0.002,0.002,1466.0,651.0,1.01
"eps[18, 0]",-0.05,0.039,-0.122,0.021,0.001,0.001,734.0,906.0,1.0
"eps[19, 0]",-0.04,0.035,-0.108,0.024,0.001,0.001,776.0,814.0,1.0
"eps[20, 0]",0.062,0.026,0.016,0.109,0.001,0.001,671.0,640.0,1.01
"eps[21, 0]",-0.028,0.026,-0.077,0.023,0.001,0.001,621.0,656.0,1.0
"eps[22, 0]",0.055,0.034,-0.01,0.118,0.001,0.001,662.0,790.0,1.0
"eps[23, 0]",-0.159,0.142,-0.422,0.093,0.005,0.004,944.0,515.0,1.0
"eps[24, 0]",0.235,0.122,0.023,0.478,0.003,0.003,1282.0,703.0,1.01
"eps[25, 0]",-0.095,0.106,-0.289,0.098,0.003,0.002,1286.0,759.0,1.0
"eps[26, 0]",-0.049,0.103,-0.25,0.126,0.003,0.003,1158.0,870.0,1.0
"eps[27, 0]",-0.133,0.045,-0.215,-0.05,0.001,0.001,970.0,908.0,1.0
"eps[28, 0]",-0.193,0.026,-0.24,-0.142,0.001,0.001,698.0,952.0,1.0
"eps[29, 0]",0.1,0.025,0.056,0.15,0.001,0.001,632.0,815.0,1.01
"eps[30, 0]",0.056,0.025,0.004,0.099,0.001,0.001,465.0,586.0,1.01
"eps[31, 0]",0.155,0.036,0.087,0.221,0.002,0.001,570.0,536.0,1.0
"eps[32, 0]",0.55,0.198,0.159,0.914,0.006,0.004,1068.0,618.0,1.0
"eps[33, 0]",0.101,0.078,-0.028,0.263,0.002,0.002,1145.0,793.0,1.01
"eps[34, 0]",0.112,0.064,0.001,0.233,0.002,0.002,924.0,837.0,1.0
"eps[35, 0]",0.065,0.054,-0.044,0.159,0.002,0.001,933.0,809.0,1.0
"eps[36, 0]",-0.087,0.037,-0.151,-0.01,0.001,0.001,783.0,838.0,1.0
"eps[37, 0]",-0.225,0.026,-0.269,-0.175,0.001,0.001,764.0,663.0,1.01
"eps[38, 0]",0.032,0.031,-0.026,0.091,0.001,0.001,729.0,779.0,1.01
"eps[39, 0]",-0.077,0.033,-0.134,-0.011,0.001,0.001,714.0,782.0,1.0
"eps[40, 0]",0.072,0.038,0.0,0.142,0.001,0.001,750.0,696.0,1.0
"eps[41, 0]",-0.72,0.231,-1.146,-0.297,0.006,0.005,1339.0,887.0,1.0
"eps[42, 0]",0.265,0.066,0.151,0.4,0.002,0.001,1052.0,900.0,1.0
"eps[43, 0]",0.174,0.057,0.072,0.286,0.002,0.001,1210.0,818.0,1.0
"eps[44, 0]",0.162,0.062,0.043,0.277,0.002,0.002,630.0,766.0,1.0
"eps[45, 0]",0.17,0.048,0.077,0.257,0.002,0.001,942.0,751.0,1.01
"eps[46, 0]",-0.33,0.047,-0.42,-0.245,0.002,0.001,821.0,739.0,1.0
"eps[47, 0]",0.005,0.025,-0.04,0.051,0.001,0.001,514.0,746.0,1.01
"eps[48, 0]",-0.052,0.03,-0.11,0.002,0.001,0.001,716.0,832.0,1.01
"eps[49, 0]",0.006,0.04,-0.063,0.088,0.001,0.001,726.0,642.0,1.0
"eps[50, 0]",0.51,0.418,-0.244,1.306,0.013,0.011,1004.0,837.0,1.01
"eps[51, 0]",-0.019,0.151,-0.327,0.239,0.004,0.004,1156.0,793.0,1.01
"eps[52, 0]",-0.372,0.105,-0.563,-0.156,0.004,0.003,848.0,912.0,1.0
"eps[53, 0]",-0.168,0.076,-0.309,-0.025,0.002,0.001,1463.0,820.0,1.0
"eps_tform[0, 0]",-0.115,0.886,-1.701,1.598,0.025,0.031,1281.0,780.0,1.0
"eps_tform[0, 1]",0.274,0.827,-1.322,1.799,0.023,0.025,1354.0,788.0,1.0
"eps_tform[0, 2]",0.856,0.766,-0.528,2.281,0.023,0.017,1118.0,750.0,1.0
"eps_tform[0, 3]",-0.368,0.713,-1.774,0.902,0.02,0.021,1314.0,788.0,1.0
"eps_tform[0, 4]",0.846,0.695,-0.511,2.024,0.023,0.018,960.0,684.0,1.01
"eps_tform[0, 5]",-0.004,0.837,-1.672,1.516,0.024,0.024,1163.0,809.0,1.0
"eps_tform[0, 6]",1.102,0.873,-0.513,2.759,0.024,0.019,1342.0,807.0,1.0
"eps_tform[0, 7]",-0.225,0.89,-1.882,1.49,0.021,0.029,1758.0,814.0,1.0
"eps_tform[0, 8]",-0.063,0.91,-1.869,1.616,0.021,0.028,1836.0,762.0,1.0
"eps_tform[0, 9]",0.228,0.599,-0.835,1.378,0.019,0.017,983.0,524.0,1.0
"eps_tform[0, 10]",-0.773,0.691,-2.104,0.488,0.02,0.015,1241.0,774.0,1.0
"eps_tform[0, 11]",-1.621,0.731,-2.954,-0.267,0.023,0.016,997.0,689.0,1.0
"eps_tform[0, 12]",1.498,0.751,0.212,3.019,0.026,0.02,842.0,690.0,1.01
"eps_tform[0, 13]",-1.329,0.613,-2.366,-0.073,0.022,0.017,792.0,626.0,1.01
"eps_tform[0, 14]",-0.5,0.804,-1.884,1.146,0.024,0.023,1084.0,748.0,1.0
"eps_tform[0, 15]",0.112,0.91,-1.615,1.773,0.027,0.032,1161.0,646.0,1.0
"eps_tform[0, 16]",-0.358,0.966,-2.089,1.405,0.022,0.027,2029.0,765.0,1.0
"eps_tform[0, 17]",-0.506,0.862,-2.25,1.028,0.022,0.027,1605.0,658.0,1.0
"eps_tform[0, 18]",-1.06,0.573,-2.115,0.028,0.019,0.014,873.0,728.0,1.0
"eps_tform[0, 19]",-0.215,0.422,-1.007,0.551,0.015,0.012,812.0,713.0,1.0
"eps_tform[0, 20]",0.743,0.416,0.067,1.623,0.019,0.014,500.0,540.0,1.01
"eps_tform[0, 21]",-1.302,0.43,-2.135,-0.496,0.015,0.011,837.0,692.0,1.01
"eps_tform[0, 22]",0.063,0.449,-0.721,0.957,0.018,0.013,628.0,618.0,1.0
"eps_tform[0, 23]",-1.332,0.855,-2.986,0.234,0.025,0.02,1202.0,723.0,1.01
"eps_tform[0, 24]",1.26,0.882,-0.484,2.886,0.024,0.021,1326.0,731.0,1.0
"eps_tform[0, 25]",-0.67,0.699,-2.041,0.488,0.019,0.015,1345.0,913.0,1.01
"eps_tform[0, 26]",-0.551,0.785,-1.992,0.995,0.023,0.021,1226.0,830.0,1.0
"eps_tform[0, 27]",-0.566,0.488,-1.444,0.306,0.017,0.012,825.0,768.0,1.0
"eps_tform[0, 28]",-0.749,0.401,-1.467,0.008,0.017,0.013,527.0,533.0,1.0
"eps_tform[0, 29]",0.777,0.485,-0.219,1.622,0.019,0.013,666.0,734.0,1.01
"eps_tform[0, 30]",0.866,0.544,-0.174,1.863,0.018,0.013,910.0,845.0,1.0
"eps_tform[0, 31]",0.109,0.484,-0.785,1.035,0.018,0.016,705.0,530.0,1.01
"eps_tform[0, 32]",1.367,0.855,-0.149,2.955,0.02,0.016,1709.0,735.0,1.0
"eps_tform[0, 33]",-0.043,0.424,-0.807,0.716,0.017,0.016,620.0,570.0,1.0
"eps_tform[0, 34]",-0.025,0.517,-1.078,0.851,0.017,0.016,915.0,492.0,1.0
"eps_tform[0, 35]",0.66,0.735,-0.708,1.971,0.021,0.017,1219.0,845.0,1.0
"eps_tform[0, 36]",-0.039,0.5,-0.942,0.927,0.017,0.013,843.0,882.0,1.0
"eps_tform[0, 37]",-0.776,0.402,-1.572,-0.055,0.014,0.01,819.0,817.0,1.0
"eps_tform[0, 38]",1.16,0.491,0.239,2.095,0.016,0.011,991.0,786.0,1.0
"eps_tform[0, 39]",-0.828,0.572,-1.912,0.163,0.018,0.014,1060.0,818.0,1.0
"eps_tform[0, 40]",-0.109,0.497,-1.061,0.822,0.015,0.015,1128.0,716.0,1.01
"eps_tform[0, 41]",-0.742,0.835,-2.269,0.767,0.02,0.017,1712.0,899.0,1.0
"eps_tform[0, 42]",0.681,0.468,-0.191,1.547,0.016,0.012,857.0,599.0,1.0
"eps_tform[0, 43]",1.162,0.469,0.299,2.014,0.016,0.011,880.0,655.0,1.0
"eps_tform[0, 44]",1.024,0.581,-0.183,2.004,0.021,0.015,791.0,740.0,1.0
"eps_tform[0, 45]",1.503,0.693,0.208,2.84,0.023,0.017,945.0,806.0,1.0
"eps_tform[0, 46]",0.43,0.51,-0.568,1.347,0.017,0.013,934.0,803.0,1.0
"eps_tform[0, 47]",0.226,0.58,-0.822,1.323,0.032,0.022,344.0,697.0,1.01
"eps_tform[0, 48]",0.704,0.619,-0.522,1.806,0.019,0.016,1114.0,710.0,1.0
"eps_tform[0, 49]",0.755,0.747,-0.622,2.157,0.02,0.017,1422.0,846.0,1.01
"eps_tform[0, 50]",0.288,0.942,-1.555,2.042,0.024,0.027,1559.0,844.0,1.0
"eps_tform[0, 51]",-0.295,0.701,-1.611,1.026,0.018,0.02,1486.0,767.0,1.01
"eps_tform[0, 52]",-1.989,0.811,-3.622,-0.56,0.022,0.017,1421.0,675.0,1.0
"eps_tform[0, 53]",-0.164,0.978,-1.986,1.588,0.019,0.031,2588.0,1026.0,1.0
theta[0],-1.319,0.165,-1.628,-1.012,0.005,0.004,963.0,754.0,1.01
tmax[0],-0.761,0.177,-1.076,-0.445,0.006,0.004,950.0,521.0,1.0
peak_MJD[0],54731.518,0.179,54731.201,54731.838,0.006,0.004,950.0,521.0,1.0
mu[0],32.928,0.121,32.718,33.162,0.004,0.003,800.0,836.0,1.0
delM[0],0.004,0.099,-0.168,0.203,0.003,0.002,946.0,954.0,1.0
