,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.058,0.041,0.0,0.133,0.003,0.003,233.0,96.0,1.02
Ds[0],35.804,0.038,35.736,35.873,0.002,0.002,323.0,530.0,1.02
RV[0],3.735,1.36,1.53,5.95,0.045,0.033,895.0,540.0,1.0
"eps[0, 0]",-0.063,0.05,-0.155,0.034,0.002,0.002,593.0,591.0,1.0
"eps[1, 0]",-0.223,0.115,-0.428,0.009,0.005,0.003,635.0,837.0,1.0
"eps[2, 0]",-0.031,0.114,-0.274,0.157,0.005,0.003,549.0,790.0,1.01
"eps[3, 0]",-0.026,0.102,-0.21,0.176,0.004,0.003,530.0,789.0,1.01
"eps[4, 0]",0.129,0.11,-0.077,0.331,0.005,0.003,502.0,750.0,1.01
"eps[5, 0]",-0.396,0.556,-1.551,0.539,0.023,0.018,610.0,514.0,1.01
"eps[6, 0]",0.677,0.347,0.05,1.354,0.012,0.01,851.0,346.0,1.0
"eps[7, 0]",0.099,0.138,-0.127,0.406,0.004,0.003,923.0,840.0,1.0
"eps[8, 0]",0.054,0.198,-0.299,0.438,0.007,0.006,899.0,650.0,1.01
"eps[9, 0]",-0.032,0.027,-0.086,0.014,0.002,0.001,228.0,95.0,1.01
"eps[10, 0]",0.06,0.036,-0.003,0.127,0.002,0.002,275.0,564.0,1.01
"eps[11, 0]",-0.085,0.026,-0.133,-0.035,0.001,0.001,408.0,632.0,1.0
"eps[12, 0]",-0.049,0.027,-0.092,0.005,0.002,0.001,309.0,571.0,1.01
"eps[13, 0]",-0.062,0.023,-0.102,-0.02,0.001,0.001,377.0,572.0,1.0
"eps[14, 0]",0.068,0.098,-0.095,0.266,0.005,0.005,467.0,105.0,1.01
"eps[15, 0]",0.168,0.055,0.071,0.274,0.002,0.002,573.0,787.0,1.0
"eps[16, 0]",-0.088,0.041,-0.161,-0.012,0.002,0.001,462.0,455.0,1.01
"eps[17, 0]",0.026,0.048,-0.061,0.114,0.002,0.002,469.0,712.0,1.01
"eps[18, 0]",-0.012,0.034,-0.077,0.05,0.002,0.001,308.0,391.0,1.02
"eps[19, 0]",0.113,0.032,0.053,0.172,0.002,0.001,413.0,649.0,1.01
"eps[20, 0]",-0.043,0.027,-0.094,0.004,0.001,0.001,415.0,632.0,1.01
"eps[21, 0]",0.071,0.025,0.021,0.114,0.001,0.001,376.0,720.0,1.0
"eps[22, 0]",0.013,0.026,-0.033,0.065,0.001,0.001,587.0,726.0,1.01
"eps[23, 0]",0.151,0.118,-0.068,0.364,0.005,0.003,601.0,745.0,1.01
"eps[24, 0]",0.363,0.073,0.225,0.489,0.003,0.002,838.0,848.0,1.0
"eps[25, 0]",-0.036,0.078,-0.174,0.111,0.002,0.002,1100.0,807.0,1.0
"eps[26, 0]",0.131,0.108,-0.089,0.306,0.005,0.003,558.0,460.0,1.01
"eps[27, 0]",0.042,0.037,-0.022,0.115,0.002,0.001,397.0,715.0,1.02
"eps[28, 0]",0.123,0.05,0.023,0.21,0.002,0.002,429.0,562.0,1.01
"eps[29, 0]",-0.118,0.028,-0.175,-0.07,0.001,0.001,575.0,819.0,1.01
"eps[30, 0]",0.067,0.026,0.022,0.118,0.001,0.001,567.0,575.0,1.0
"eps[31, 0]",-0.164,0.037,-0.233,-0.097,0.002,0.001,409.0,514.0,1.01
"eps[32, 0]",0.027,0.171,-0.294,0.328,0.006,0.005,749.0,752.0,1.01
"eps[33, 0]",-0.28,0.087,-0.432,-0.104,0.003,0.002,680.0,765.0,1.0
"eps[34, 0]",-0.081,0.107,-0.284,0.112,0.004,0.003,791.0,735.0,1.0
"eps[35, 0]",0.018,0.068,-0.127,0.135,0.002,0.002,1229.0,767.0,1.0
"eps[36, 0]",0.141,0.038,0.064,0.208,0.002,0.001,376.0,600.0,1.01
"eps[37, 0]",-0.008,0.051,-0.109,0.084,0.002,0.002,491.0,467.0,1.02
"eps[38, 0]",0.079,0.037,0.016,0.149,0.002,0.002,299.0,418.0,1.01
"eps[39, 0]",-0.013,0.04,-0.082,0.072,0.002,0.001,499.0,613.0,1.01
"eps[40, 0]",0.055,0.037,-0.006,0.135,0.002,0.002,298.0,104.0,1.0
"eps[41, 0]",0.212,0.232,-0.213,0.661,0.007,0.006,1008.0,727.0,1.0
"eps[42, 0]",0.282,0.087,0.136,0.464,0.003,0.002,750.0,734.0,1.0
"eps[43, 0]",-0.092,0.095,-0.247,0.098,0.004,0.003,490.0,110.0,1.0
"eps[44, 0]",0.006,0.098,-0.203,0.161,0.003,0.003,849.0,635.0,1.0
"eps[45, 0]",-0.092,0.06,-0.21,0.02,0.002,0.001,1140.0,629.0,1.01
"eps[46, 0]",0.089,0.098,-0.095,0.274,0.003,0.002,794.0,919.0,1.0
"eps[47, 0]",0.023,0.036,-0.044,0.091,0.001,0.001,1220.0,832.0,1.0
"eps[48, 0]",-0.053,0.046,-0.134,0.037,0.002,0.001,636.0,752.0,1.0
"eps[49, 0]",0.034,0.051,-0.059,0.125,0.002,0.001,990.0,916.0,1.0
"eps[50, 0]",0.286,0.512,-0.66,1.206,0.017,0.013,918.0,865.0,1.0
"eps[51, 0]",0.867,0.268,0.34,1.343,0.01,0.007,772.0,751.0,1.0
"eps[52, 0]",-0.097,0.151,-0.379,0.184,0.006,0.005,615.0,602.0,1.0
"eps[53, 0]",0.005,0.086,-0.159,0.154,0.003,0.003,731.0,647.0,1.0
"eps_tform[0, 0]",-0.457,0.365,-1.129,0.244,0.015,0.012,593.0,591.0,1.0
"eps_tform[0, 1]",-0.88,0.433,-1.611,0.025,0.017,0.012,626.0,806.0,1.0
