,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.058,0.048,0.0,0.158,0.006,0.005,108.0,24.0,1.04
Ds[0],37.045,0.047,36.966,37.135,0.003,0.002,221.0,632.0,1.01
RV[0],3.758,1.395,1.439,5.96,0.055,0.041,721.0,649.0,1.01
"eps[0, 0]",-0.023,0.102,-0.209,0.168,0.005,0.004,428.0,740.0,1.01
"eps[1, 0]",-0.163,0.174,-0.487,0.175,0.007,0.005,600.0,650.0,1.01
"eps[2, 0]",-0.017,0.163,-0.353,0.26,0.005,0.005,964.0,845.0,1.04
"eps[3, 0]",0.256,0.191,-0.059,0.664,0.011,0.008,302.0,621.0,1.01
"eps[4, 0]",0.246,0.237,-0.17,0.685,0.015,0.014,231.0,342.0,1.02
"eps[5, 0]",-0.009,0.491,-0.866,0.915,0.031,0.022,273.0,569.0,1.02
"eps[6, 0]",0.048,0.459,-0.755,0.882,0.042,0.03,120.0,77.0,1.04
"eps[7, 0]",0.028,0.157,-0.265,0.316,0.005,0.005,825.0,844.0,1.01
"eps[8, 0]",0.055,0.196,-0.333,0.384,0.009,0.007,454.0,723.0,1.01
"eps[9, 0]",0.017,0.032,-0.044,0.071,0.001,0.001,484.0,405.0,1.01
"eps[10, 0]",0.036,0.041,-0.042,0.105,0.004,0.003,145.0,69.0,1.03
"eps[11, 0]",0.012,0.041,-0.07,0.081,0.002,0.002,348.0,535.0,1.03
"eps[12, 0]",-0.039,0.042,-0.105,0.048,0.002,0.002,356.0,611.0,1.01
"eps[13, 0]",0.11,0.043,0.043,0.205,0.002,0.002,649.0,553.0,1.03
"eps[14, 0]",0.096,0.093,-0.068,0.266,0.004,0.003,543.0,595.0,1.0
"eps[15, 0]",0.107,0.103,-0.057,0.338,0.01,0.01,144.0,28.0,1.03
"eps[16, 0]",-0.008,0.08,-0.162,0.132,0.002,0.003,1788.0,826.0,1.03
"eps[17, 0]",-0.005,0.086,-0.155,0.167,0.002,0.003,1377.0,672.0,1.01
"eps[18, 0]",-0.037,0.051,-0.13,0.051,0.004,0.002,228.0,456.0,1.03
"eps[19, 0]",0.056,0.042,-0.021,0.133,0.002,0.001,574.0,793.0,1.02
"eps[20, 0]",-0.063,0.041,-0.139,0.016,0.001,0.001,760.0,611.0,1.03
"eps[21, 0]",-0.047,0.047,-0.133,0.044,0.002,0.001,617.0,575.0,1.01
"eps[22, 0]",0.061,0.065,-0.046,0.174,0.005,0.004,210.0,262.0,1.03
"eps[23, 0]",-0.03,0.136,-0.256,0.227,0.009,0.006,257.0,207.0,1.02
"eps[24, 0]",0.09,0.127,-0.154,0.336,0.004,0.003,1162.0,753.0,1.02
"eps[25, 0]",-0.043,0.158,-0.342,0.246,0.008,0.006,409.0,572.0,1.01
"eps[26, 0]",0.066,0.142,-0.198,0.313,0.004,0.004,1251.0,519.0,1.01
"eps[27, 0]",-0.085,0.096,-0.272,0.086,0.005,0.004,381.0,621.0,1.01
"eps[28, 0]",-0.187,0.122,-0.399,0.058,0.004,0.003,1047.0,809.0,1.01
"eps[29, 0]",-0.091,0.077,-0.229,0.052,0.003,0.002,757.0,755.0,1.01
"eps[30, 0]",0.005,0.066,-0.11,0.134,0.004,0.003,319.0,652.0,1.02
"eps[31, 0]",0.129,0.115,-0.089,0.318,0.004,0.004,1019.0,656.0,1.01
"eps[32, 0]",0.092,0.213,-0.321,0.444,0.013,0.009,287.0,692.0,1.01
"eps[33, 0]",0.082,0.346,-0.545,0.703,0.01,0.013,1406.0,722.0,1.02
"eps[34, 0]",0.157,0.185,-0.207,0.49,0.006,0.005,956.0,775.0,1.0
"eps[35, 0]",0.029,0.092,-0.152,0.192,0.003,0.003,781.0,791.0,1.0
"eps[36, 0]",-0.017,0.077,-0.154,0.136,0.002,0.003,1239.0,725.0,1.0
"eps[37, 0]",-0.275,0.226,-0.724,0.137,0.008,0.006,799.0,873.0,1.01
"eps[38, 0]",-0.103,0.069,-0.224,0.027,0.003,0.002,776.0,693.0,1.01
"eps[39, 0]",-0.191,0.111,-0.395,0.011,0.003,0.002,1021.0,735.0,1.01
"eps[40, 0]",-0.038,0.09,-0.218,0.118,0.003,0.002,1170.0,881.0,1.01
"eps[41, 0]",0.236,0.346,-0.405,0.871,0.011,0.01,1055.0,808.0,1.04
"eps[42, 0]",-0.078,0.194,-0.446,0.257,0.009,0.006,592.0,749.0,1.02
"eps[43, 0]",-0.072,0.137,-0.324,0.202,0.004,0.004,1203.0,814.0,1.01
"eps[44, 0]",-0.11,0.121,-0.336,0.106,0.006,0.004,490.0,783.0,1.01
"eps[45, 0]",-0.02,0.081,-0.17,0.144,0.002,0.002,1591.0,879.0,1.03
"eps[46, 0]",-0.011,0.284,-0.49,0.56,0.011,0.01,620.0,758.0,1.01
"eps[47, 0]",-0.055,0.049,-0.147,0.033,0.001,0.001,1347.0,880.0,1.01
