,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.063,0.042,0.001,0.139,0.002,0.002,301.0,313.0,1.01
Ds[0],35.701,0.038,35.63,35.77,0.002,0.002,277.0,403.0,1.01
RV[0],3.937,1.318,1.739,5.996,0.039,0.028,1145.0,654.0,1.01
"eps[0, 0]",-0.095,0.041,-0.177,-0.022,0.002,0.001,487.0,591.0,1.0
"eps[1, 0]",-0.26,0.06,-0.353,-0.13,0.003,0.002,446.0,458.0,1.0
"eps[2, 0]",0.234,0.091,0.07,0.399,0.005,0.003,417.0,319.0,1.01
"eps[3, 0]",-0.257,0.046,-0.343,-0.166,0.003,0.002,367.0,391.0,1.01
"eps[4, 0]",0.049,0.076,-0.083,0.211,0.004,0.003,299.0,493.0,1.02
"eps[5, 0]",0.108,0.363,-0.653,0.735,0.024,0.017,225.0,445.0,1.02
"eps[6, 0]",0.009,0.149,-0.246,0.29,0.009,0.007,267.0,560.0,1.01
"eps[7, 0]",0.028,0.086,-0.129,0.198,0.005,0.004,289.0,381.0,1.02
"eps[8, 0]",0.024,0.109,-0.174,0.231,0.006,0.005,293.0,532.0,1.01
"eps[9, 0]",-0.019,0.026,-0.067,0.03,0.001,0.001,319.0,335.0,1.01
"eps[10, 0]",-0.048,0.04,-0.12,0.027,0.003,0.002,264.0,261.0,1.0
"eps[11, 0]",0.021,0.028,-0.027,0.075,0.001,0.001,434.0,587.0,1.0
"eps[12, 0]",0.01,0.032,-0.046,0.071,0.002,0.001,258.0,265.0,1.01
"eps[13, 0]",0.013,0.025,-0.032,0.059,0.001,0.001,369.0,509.0,1.01
"eps[14, 0]",0.109,0.097,-0.069,0.301,0.005,0.003,400.0,564.0,1.01
"eps[15, 0]",-0.07,0.054,-0.172,0.03,0.003,0.002,406.0,675.0,1.0
"eps[16, 0]",-0.05,0.04,-0.115,0.034,0.002,0.001,411.0,560.0,1.0
