,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.034,0.025,0.001,0.079,0.001,0.001,487.0,468.0,1.01
Ds[0],35.965,0.031,35.902,36.017,0.002,0.001,304.0,379.0,1.0
RV[0],3.643,1.396,1.419,6.0,0.042,0.029,1081.0,653.0,1.0
"eps[0, 0]",0.072,0.05,-0.022,0.166,0.002,0.002,446.0,529.0,1.01
"eps[1, 0]",-0.088,0.068,-0.225,0.034,0.003,0.002,560.0,638.0,1.0
"eps[2, 0]",0.219,0.091,0.039,0.388,0.004,0.003,459.0,605.0,1.01
"eps[3, 0]",-0.262,0.061,-0.376,-0.144,0.003,0.002,446.0,634.0,1.01
"eps[4, 0]",0.166,0.089,0.007,0.336,0.004,0.003,411.0,531.0,1.01
"eps[5, 0]",-0.214,0.346,-0.835,0.412,0.018,0.013,375.0,533.0,1.01
"eps[6, 0]",0.299,0.195,-0.047,0.669,0.01,0.007,404.0,684.0,1.01
"eps[7, 0]",0.055,0.111,-0.14,0.27,0.005,0.003,597.0,795.0,1.01
"eps[8, 0]",0.251,0.133,-0.001,0.49,0.006,0.004,578.0,728.0,1.01
"eps[9, 0]",0.047,0.023,0.002,0.088,0.001,0.001,397.0,595.0,1.02
"eps[10, 0]",-0.009,0.032,-0.066,0.05,0.002,0.001,331.0,476.0,1.01
"eps[11, 0]",0.052,0.028,-0.0,0.103,0.001,0.001,383.0,447.0,1.01
"eps[12, 0]",-0.021,0.028,-0.07,0.035,0.002,0.001,319.0,512.0,1.01
"eps[13, 0]",0.053,0.025,0.008,0.098,0.001,0.001,473.0,629.0,1.0
"eps[14, 0]",0.031,0.095,-0.124,0.215,0.004,0.003,662.0,589.0,1.0
"eps[15, 0]",0.09,0.061,-0.016,0.208,0.003,0.002,486.0,696.0,1.0
"eps[16, 0]",0.071,0.052,-0.02,0.173,0.003,0.002,439.0,533.0,1.0
"eps[17, 0]",-0.012,0.068,-0.141,0.115,0.003,0.002,729.0,757.0,1.02
"eps[18, 0]",-0.116,0.031,-0.177,-0.063,0.002,0.001,310.0,460.0,1.03
"eps[19, 0]",-0.04,0.027,-0.09,0.01,0.001,0.001,497.0,649.0,1.01
"eps[20, 0]",0.005,0.03,-0.052,0.065,0.001,0.001,446.0,693.0,1.02
"eps[21, 0]",-0.071,0.025,-0.116,-0.025,0.001,0.001,404.0,609.0,1.01
"eps[22, 0]",0.035,0.03,-0.021,0.087,0.001,0.001,509.0,589.0,1.01
"eps[23, 0]",0.147,0.128,-0.072,0.396,0.006,0.004,541.0,685.0,1.0
"eps[24, 0]",0.248,0.078,0.118,0.414,0.003,0.002,607.0,514.0,1.01
"eps[25, 0]",-0.061,0.079,-0.197,0.1,0.003,0.002,703.0,747.0,1.0
"eps[26, 0]",-0.001,0.115,-0.208,0.218,0.004,0.003,866.0,850.0,1.0
"eps[27, 0]",-0.204,0.044,-0.289,-0.126,0.003,0.002,275.0,467.0,1.03
"eps[28, 0]",-0.141,0.036,-0.205,-0.071,0.002,0.001,535.0,706.0,1.01
"eps[29, 0]",-0.059,0.036,-0.128,0.005,0.002,0.001,552.0,645.0,1.01
"eps[30, 0]",0.027,0.03,-0.027,0.082,0.001,0.001,510.0,546.0,1.0
"eps[31, 0]",0.21,0.039,0.142,0.287,0.002,0.001,475.0,550.0,1.0
"eps[32, 0]",-0.015,0.192,-0.346,0.376,0.008,0.005,617.0,696.0,1.0
"eps[33, 0]",0.417,0.113,0.188,0.614,0.004,0.003,653.0,631.0,1.0
"eps[34, 0]",0.266,0.161,-0.032,0.567,0.005,0.004,992.0,444.0,1.0
"eps[35, 0]",0.035,0.07,-0.101,0.169,0.002,0.002,1177.0,780.0,1.0
"eps[36, 0]",-0.053,0.038,-0.127,0.015,0.002,0.001,439.0,753.0,1.01
"eps[37, 0]",-0.13,0.064,-0.236,-0.005,0.002,0.002,724.0,663.0,1.01
"eps[38, 0]",-0.192,0.039,-0.265,-0.121,0.002,0.001,594.0,732.0,1.01
"eps[39, 0]",-0.086,0.043,-0.168,-0.007,0.002,0.001,524.0,751.0,1.01
"eps[40, 0]",-0.139,0.037,-0.202,-0.066,0.002,0.001,537.0,691.0,1.01
"eps[41, 0]",0.336,0.249,-0.135,0.795,0.01,0.007,707.0,496.0,1.0
"eps[42, 0]",-0.068,0.106,-0.254,0.129,0.004,0.003,686.0,415.0,1.01
"eps[43, 0]",-0.07,0.105,-0.271,0.127,0.003,0.003,1541.0,834.0,1.01
"eps[44, 0]",-0.235,0.082,-0.393,-0.088,0.002,0.002,1155.0,723.0,1.0
"eps[45, 0]",0.015,0.07,-0.109,0.148,0.002,0.002,1352.0,665.0,1.0
"eps[46, 0]",0.335,0.219,-0.077,0.741,0.006,0.005,1349.0,844.0,1.0
"eps[47, 0]",-0.078,0.041,-0.149,0.002,0.001,0.001,1405.0,604.0,1.0
"eps[48, 0]",0.042,0.077,-0.093,0.187,0.002,0.002,1249.0,655.0,1.01
"eps[49, 0]",0.008,0.077,-0.123,0.164,0.003,0.002,919.0,710.0,1.0
"eps[50, 0]",-0.337,0.565,-1.431,0.638,0.019,0.015,919.0,721.0,1.0
"eps[51, 0]",-0.378,0.285,-0.919,0.134,0.009,0.007,1031.0,663.0,1.01
"eps[52, 0]",-0.171,0.142,-0.43,0.087,0.005,0.004,886.0,662.0,1.0
"eps[53, 0]",-0.13,0.086,-0.314,0.006,0.003,0.002,743.0,764.0,1.01
"eps_tform[0, 0]",0.526,0.363,-0.156,1.205,0.017,0.013,446.0,529.0,1.01
"eps_tform[0, 1]",-0.289,0.271,-0.79,0.235,0.012,0.008,540.0,572.0,1.0
"eps_tform[0, 2]",0.83,0.372,0.098,1.526,0.017,0.012,457.0,622.0,1.01
"eps_tform[0, 3]",-0.938,0.145,-1.211,-0.672,0.007,0.005,383.0,707.0,1.01
"eps_tform[0, 4]",0.434,0.242,-0.02,0.864,0.012,0.009,393.0,596.0,1.02
"eps_tform[0, 5]",-0.275,0.524,-1.226,0.651,0.027,0.019,377.0,499.0,1.01
"eps_tform[0, 6]",0.624,0.345,0.022,1.287,0.017,0.012,430.0,697.0,1.01
"eps_tform[0, 7]",0.251,0.677,-0.95,1.58,0.027,0.019,626.0,822.0,1.01
"eps_tform[0, 8]",1.065,0.586,-0.053,2.165,0.022,0.017,704.0,814.0,1.01
"eps_tform[0, 9]",0.51,0.297,-0.064,1.056,0.015,0.01,419.0,580.0,1.01
"eps_tform[0, 10]",-0.109,0.337,-0.702,0.52,0.019,0.013,325.0,571.0,1.01
"eps_tform[0, 11]",0.941,0.442,0.097,1.789,0.023,0.016,378.0,500.0,1.01
"eps_tform[0, 12]",-0.699,0.453,-1.552,0.12,0.026,0.019,296.0,533.0,1.02
