,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.299,0.089,0.13,0.466,0.004,0.003,429.0,591.0,1.01
Ds[0],36.714,0.067,36.59,36.843,0.003,0.002,419.0,608.0,1.01
RV[0],4.577,1.106,2.641,6.0,0.041,0.029,769.0,621.0,1.01
"eps[0, 0]",0.084,0.111,-0.117,0.293,0.003,0.003,1015.0,690.0,1.0
"eps[1, 0]",0.044,0.217,-0.341,0.49,0.007,0.006,986.0,755.0,1.0
"eps[2, 0]",0.172,0.171,-0.141,0.497,0.006,0.004,925.0,726.0,1.0
"eps[3, 0]",0.797,0.209,0.424,1.207,0.007,0.005,960.0,881.0,1.0
"eps[4, 0]",0.959,0.216,0.574,1.378,0.007,0.005,850.0,618.0,1.0
"eps[5, 0]",0.2,0.51,-0.807,1.081,0.018,0.015,789.0,727.0,1.0
"eps[6, 0]",-0.086,0.416,-0.957,0.626,0.012,0.013,1152.0,746.0,1.01
"eps[7, 0]",0.091,0.151,-0.175,0.364,0.004,0.004,1173.0,862.0,1.0
"eps[8, 0]",-0.019,0.197,-0.38,0.365,0.005,0.007,1715.0,649.0,1.0
"eps[9, 0]",-0.017,0.034,-0.08,0.045,0.001,0.001,556.0,654.0,1.0
"eps[10, 0]",0.045,0.049,-0.051,0.132,0.002,0.002,488.0,661.0,1.0
"eps[11, 0]",-0.022,0.035,-0.095,0.037,0.001,0.001,691.0,761.0,1.0
"eps[12, 0]",-0.028,0.036,-0.096,0.04,0.002,0.001,494.0,620.0,1.0
"eps[13, 0]",-0.064,0.035,-0.133,-0.002,0.001,0.001,907.0,802.0,1.0
"eps[14, 0]",-0.185,0.086,-0.338,-0.022,0.003,0.002,863.0,715.0,1.0
"eps[15, 0]",-0.044,0.068,-0.159,0.094,0.003,0.002,677.0,814.0,1.0
"eps[16, 0]",-0.028,0.056,-0.132,0.075,0.002,0.002,578.0,526.0,1.01
"eps[17, 0]",-0.07,0.067,-0.203,0.054,0.002,0.002,1008.0,919.0,1.0
"eps[18, 0]",-0.056,0.041,-0.127,0.025,0.002,0.001,591.0,634.0,1.01
"eps[19, 0]",0.0,0.04,-0.072,0.076,0.001,0.001,711.0,723.0,1.0
"eps[20, 0]",-0.051,0.034,-0.116,0.01,0.001,0.001,896.0,752.0,1.0
"eps[21, 0]",0.022,0.036,-0.041,0.095,0.001,0.001,788.0,569.0,1.0
"eps[22, 0]",0.041,0.04,-0.033,0.116,0.001,0.001,955.0,786.0,1.0
"eps[23, 0]",0.078,0.11,-0.149,0.27,0.004,0.003,736.0,816.0,1.0
"eps[24, 0]",0.062,0.088,-0.09,0.242,0.003,0.002,843.0,807.0,1.0
"eps[25, 0]",0.168,0.139,-0.084,0.438,0.004,0.003,1320.0,801.0,1.01
"eps[26, 0]",-0.003,0.133,-0.236,0.259,0.003,0.004,1788.0,864.0,1.0
"eps[27, 0]",0.246,0.063,0.137,0.373,0.003,0.002,538.0,679.0,1.01
"eps[28, 0]",0.176,0.047,0.092,0.263,0.002,0.001,746.0,731.0,1.01
"eps[29, 0]",0.067,0.054,-0.022,0.174,0.002,0.001,666.0,711.0,1.01
"eps[30, 0]",-0.014,0.046,-0.093,0.079,0.002,0.001,653.0,726.0,1.0
"eps[31, 0]",-0.192,0.047,-0.271,-0.096,0.001,0.001,1060.0,843.0,1.0
"eps[32, 0]",-0.017,0.173,-0.337,0.288,0.006,0.005,908.0,787.0,1.0
"eps[33, 0]",-0.687,0.1,-0.872,-0.513,0.003,0.002,830.0,709.0,1.01
"eps[34, 0]",-0.244,0.169,-0.596,0.038,0.005,0.004,1143.0,725.0,1.0
"eps[35, 0]",-0.001,0.084,-0.152,0.168,0.002,0.003,1470.0,757.0,1.0
"eps[36, 0]",0.113,0.044,0.033,0.196,0.002,0.001,711.0,839.0,1.01
"eps[37, 0]",0.247,0.092,0.08,0.427,0.003,0.002,789.0,770.0,1.01
"eps[38, 0]",0.221,0.048,0.12,0.3,0.002,0.001,844.0,687.0,1.0
"eps[39, 0]",0.313,0.075,0.174,0.458,0.003,0.002,637.0,655.0,1.01
"eps[40, 0]",0.162,0.047,0.078,0.251,0.002,0.001,805.0,816.0,1.0
"eps[41, 0]",0.145,0.221,-0.268,0.558,0.007,0.006,1067.0,882.0,1.0
"eps[42, 0]",0.07,0.112,-0.144,0.262,0.003,0.003,1143.0,944.0,1.01
