,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.031,0.024,0.0,0.072,0.003,0.002,116.0,180.0,1.05
Ds[0],33.903,0.027,33.849,33.95,0.002,0.001,265.0,389.0,1.04
RV[0],3.725,1.366,1.591,5.993,0.074,0.066,518.0,534.0,1.01
"eps[0, 0]",-0.07,0.028,-0.121,-0.02,0.002,0.002,214.0,377.0,1.03
"eps[1, 0]",-0.21,0.044,-0.286,-0.132,0.004,0.003,155.0,502.0,1.04
"eps[2, 0]",0.119,0.028,0.064,0.169,0.002,0.001,272.0,507.0,1.03
"eps[3, 0]",-0.157,0.042,-0.219,-0.064,0.008,0.005,41.0,24.0,1.09
"eps[4, 0]",-0.023,0.035,-0.086,0.037,0.005,0.003,55.0,625.0,1.06
"eps[5, 0]",0.602,0.325,0.073,1.197,0.04,0.036,70.0,87.0,1.06
"eps[6, 0]",-0.582,0.059,-0.685,-0.461,0.002,0.002,669.0,806.0,1.01
"eps[7, 0]",-0.104,0.043,-0.188,-0.027,0.002,0.002,329.0,485.0,1.02
"eps[8, 0]",-0.092,0.052,-0.194,0.003,0.002,0.001,659.0,589.0,1.02
"eps[9, 0]",-0.088,0.021,-0.126,-0.048,0.002,0.001,125.0,122.0,1.04
"eps[10, 0]",-0.017,0.034,-0.081,0.048,0.004,0.003,77.0,259.0,1.05
"eps[11, 0]",-0.076,0.022,-0.119,-0.035,0.001,0.001,307.0,523.0,1.02
"eps[12, 0]",-0.053,0.021,-0.088,-0.01,0.002,0.002,99.0,131.0,1.05
"eps[13, 0]",-0.034,0.018,-0.066,-0.002,0.001,0.001,198.0,409.0,1.03
"eps[14, 0]",0.243,0.086,0.095,0.407,0.005,0.004,359.0,636.0,1.02
"eps[15, 0]",-0.148,0.03,-0.204,-0.091,0.001,0.001,397.0,560.0,1.01
"eps[16, 0]",0.024,0.024,-0.019,0.072,0.002,0.001,234.0,361.0,1.09
"eps[17, 0]",-0.193,0.031,-0.25,-0.13,0.002,0.001,410.0,524.0,1.05
"eps[18, 0]",-0.029,0.025,-0.078,0.018,0.001,0.001,381.0,391.0,1.07
