,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.334,0.078,0.192,0.479,0.004,0.003,455.0,536.0,1.0
Ds[0],34.745,0.053,34.657,34.851,0.002,0.002,495.0,632.0,1.01
RV[0],4.707,0.97,2.89,5.995,0.032,0.022,1037.0,593.0,1.0
"eps[0, 0]",-0.123,0.058,-0.237,-0.015,0.002,0.002,644.0,731.0,1.0
"eps[1, 0]",-0.215,0.125,-0.423,0.049,0.004,0.003,840.0,704.0,1.0
"eps[2, 0]",0.118,0.1,-0.068,0.298,0.004,0.003,757.0,740.0,1.0
"eps[3, 0]",-0.146,0.089,-0.301,0.04,0.004,0.003,554.0,565.0,1.0
"eps[4, 0]",0.011,0.08,-0.129,0.173,0.003,0.002,824.0,819.0,1.0
"eps[5, 0]",0.991,0.536,0.006,1.985,0.019,0.013,827.0,848.0,1.01
"eps[6, 0]",-0.581,0.212,-0.951,-0.153,0.008,0.006,755.0,651.0,1.0
"eps[7, 0]",-0.323,0.144,-0.609,-0.066,0.004,0.004,1076.0,734.0,1.0
"eps[8, 0]",-0.115,0.167,-0.419,0.19,0.005,0.004,1330.0,839.0,1.01
"eps[9, 0]",-0.097,0.033,-0.162,-0.039,0.001,0.001,499.0,599.0,1.0
"eps[10, 0]",-0.007,0.051,-0.112,0.088,0.002,0.002,474.0,617.0,1.0
"eps[11, 0]",-0.031,0.03,-0.082,0.026,0.001,0.001,538.0,633.0,1.01
"eps[12, 0]",-0.05,0.031,-0.108,0.008,0.001,0.001,417.0,620.0,1.01
"eps[13, 0]",0.041,0.024,-0.004,0.085,0.001,0.001,604.0,682.0,1.01
"eps[14, 0]",0.135,0.089,-0.042,0.293,0.003,0.002,790.0,877.0,1.01
"eps[15, 0]",-0.087,0.045,-0.17,-0.01,0.002,0.002,442.0,739.0,1.02
"eps[16, 0]",0.011,0.039,-0.064,0.082,0.002,0.001,456.0,745.0,1.01
"eps[17, 0]",-0.161,0.042,-0.239,-0.08,0.002,0.001,488.0,773.0,1.01
"eps[18, 0]",-0.06,0.046,-0.142,0.03,0.002,0.001,523.0,636.0,1.0
"eps[19, 0]",0.122,0.05,0.023,0.211,0.002,0.001,618.0,752.0,1.0
"eps[20, 0]",0.053,0.034,-0.01,0.117,0.001,0.001,741.0,877.0,1.0
"eps[21, 0]",0.086,0.03,0.03,0.139,0.001,0.001,789.0,730.0,1.0
"eps[22, 0]",-0.017,0.03,-0.07,0.04,0.001,0.001,881.0,828.0,1.0
"eps[23, 0]",-0.514,0.098,-0.711,-0.349,0.003,0.002,781.0,888.0,1.0
"eps[24, 0]",0.344,0.058,0.243,0.454,0.002,0.002,547.0,648.0,1.0
"eps[25, 0]",0.593,0.094,0.409,0.762,0.003,0.002,1166.0,817.0,1.0
"eps[26, 0]",-0.127,0.067,-0.253,-0.006,0.003,0.002,658.0,710.0,1.0
"eps[27, 0]",0.037,0.055,-0.077,0.132,0.002,0.002,523.0,739.0,1.0
"eps[28, 0]",0.169,0.062,0.053,0.284,0.003,0.002,550.0,703.0,1.01
"eps[29, 0]",0.073,0.031,0.015,0.131,0.001,0.001,588.0,613.0,1.0
"eps[30, 0]",0.05,0.023,0.008,0.092,0.001,0.001,497.0,767.0,1.01
"eps[31, 0]",-0.027,0.052,-0.113,0.077,0.003,0.002,411.0,569.0,1.01
"eps[32, 0]",0.695,0.146,0.417,0.975,0.005,0.004,796.0,806.0,1.0
"eps[33, 0]",-0.579,0.042,-0.66,-0.502,0.002,0.001,711.0,779.0,1.0
"eps[34, 0]",0.085,0.081,-0.071,0.227,0.004,0.003,513.0,631.0,1.01
"eps[35, 0]",-0.214,0.042,-0.282,-0.13,0.002,0.001,633.0,803.0,1.01
"eps[36, 0]",-0.038,0.045,-0.126,0.046,0.002,0.001,774.0,679.0,1.0
"eps[37, 0]",0.287,0.107,0.117,0.506,0.004,0.003,759.0,805.0,1.0
"eps[38, 0]",0.188,0.045,0.107,0.277,0.002,0.001,512.0,583.0,1.0
"eps[39, 0]",0.285,0.064,0.165,0.405,0.003,0.002,497.0,552.0,1.01
"eps[40, 0]",0.168,0.044,0.086,0.249,0.002,0.001,500.0,497.0,1.0
"eps[41, 0]",0.25,0.148,-0.008,0.544,0.005,0.004,886.0,867.0,1.0
