,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.914,0.1,1.716,2.094,0.005,0.004,346.0,508.0,1.01
Ds[0],34.893,0.072,34.76,35.025,0.004,0.003,402.0,532.0,1.01
RV[0],2.578,0.197,2.214,2.949,0.01,0.007,412.0,393.0,1.0
"eps[0, 0]",0.048,0.111,-0.161,0.249,0.004,0.003,1000.0,837.0,1.0
"eps[1, 0]",0.112,0.167,-0.207,0.411,0.005,0.004,1311.0,780.0,1.0
"eps[2, 0]",-0.127,0.129,-0.335,0.149,0.004,0.003,1080.0,891.0,1.0
"eps[3, 0]",0.036,0.122,-0.168,0.282,0.004,0.004,1006.0,886.0,1.0
"eps[4, 0]",-0.109,0.118,-0.337,0.102,0.003,0.003,1298.0,862.0,1.0
"eps[5, 0]",0.139,0.523,-0.844,1.091,0.017,0.014,948.0,883.0,1.01
"eps[6, 0]",-0.035,0.227,-0.441,0.403,0.008,0.006,741.0,650.0,1.01
"eps[7, 0]",-0.15,0.109,-0.355,0.06,0.004,0.003,613.0,819.0,1.01
"eps[8, 0]",-0.085,0.141,-0.348,0.169,0.005,0.004,937.0,754.0,1.01
"eps[9, 0]",0.077,0.057,-0.023,0.19,0.002,0.002,865.0,633.0,1.0
"eps[10, 0]",0.131,0.073,0.005,0.274,0.003,0.002,836.0,802.0,1.0
"eps[11, 0]",-0.005,0.038,-0.083,0.061,0.001,0.001,1073.0,775.0,1.0
"eps[12, 0]",0.045,0.043,-0.034,0.129,0.002,0.001,643.0,542.0,1.0
"eps[13, 0]",-0.002,0.035,-0.064,0.066,0.001,0.001,1044.0,901.0,1.01
"eps[14, 0]",0.064,0.118,-0.178,0.268,0.003,0.003,1383.0,779.0,1.01
"eps[15, 0]",0.001,0.069,-0.12,0.137,0.002,0.002,845.0,765.0,1.0
"eps[16, 0]",-0.05,0.055,-0.142,0.063,0.002,0.002,507.0,757.0,1.0
"eps[17, 0]",0.08,0.061,-0.029,0.205,0.003,0.002,577.0,714.0,1.01
"eps[18, 0]",-0.088,0.06,-0.194,0.026,0.002,0.001,1020.0,845.0,1.0
"eps[19, 0]",0.013,0.079,-0.126,0.173,0.002,0.002,1236.0,913.0,1.0
"eps[20, 0]",0.033,0.053,-0.065,0.127,0.001,0.001,1276.0,936.0,1.01
"eps[21, 0]",-0.007,0.049,-0.106,0.079,0.002,0.001,679.0,818.0,1.0
"eps[22, 0]",0.046,0.052,-0.049,0.148,0.002,0.001,915.0,759.0,1.0
"eps[23, 0]",0.032,0.148,-0.244,0.309,0.004,0.004,1620.0,771.0,1.01
"eps[24, 0]",0.077,0.091,-0.088,0.253,0.003,0.002,1119.0,946.0,1.0
"eps[25, 0]",-0.357,0.078,-0.495,-0.204,0.003,0.002,618.0,584.0,1.0
"eps[26, 0]",0.012,0.122,-0.233,0.232,0.003,0.004,1423.0,739.0,1.01
"eps[27, 0]",-0.22,0.083,-0.371,-0.058,0.003,0.002,1036.0,891.0,1.0
"eps[28, 0]",-0.022,0.107,-0.208,0.183,0.003,0.003,1623.0,831.0,1.0
"eps[29, 0]",-0.036,0.063,-0.145,0.092,0.002,0.002,1650.0,876.0,1.0
"eps[30, 0]",0.027,0.052,-0.073,0.119,0.002,0.001,1160.0,540.0,1.0
"eps[31, 0]",0.168,0.077,0.037,0.317,0.002,0.002,958.0,834.0,1.0
"eps[32, 0]",-0.028,0.23,-0.472,0.408,0.005,0.007,1945.0,831.0,1.01
"eps[33, 0]",0.305,0.292,-0.308,0.791,0.007,0.007,1616.0,751.0,1.0
"eps[34, 0]",0.197,0.18,-0.16,0.514,0.004,0.004,1743.0,798.0,1.01
"eps[35, 0]",0.047,0.087,-0.109,0.218,0.002,0.003,1759.0,687.0,1.0
"eps[36, 0]",-0.041,0.079,-0.185,0.113,0.002,0.002,1989.0,674.0,1.0
"eps[37, 0]",-0.236,0.219,-0.631,0.166,0.006,0.005,1539.0,777.0,1.0
"eps[38, 0]",-0.088,0.068,-0.211,0.047,0.002,0.001,1551.0,884.0,1.0
"eps[39, 0]",-0.192,0.114,-0.393,0.021,0.003,0.002,1329.0,859.0,1.0
"eps[40, 0]",-0.118,0.093,-0.305,0.048,0.002,0.002,1747.0,960.0,1.0
