,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.292,0.056,0.182,0.391,0.003,0.002,384.0,534.0,1.0
Ds[0],35.228,0.043,35.144,35.304,0.002,0.002,326.0,459.0,1.0
RV[0],4.585,0.993,2.855,5.998,0.042,0.03,589.0,457.0,1.0
"eps[0, 0]",0.046,0.073,-0.098,0.162,0.007,0.005,154.0,357.0,1.04
"eps[1, 0]",-0.029,0.066,-0.163,0.076,0.005,0.004,188.0,454.0,1.02
"eps[2, 0]",0.268,0.06,0.159,0.379,0.005,0.003,187.0,493.0,1.02
"eps[3, 0]",-0.105,0.057,-0.221,-0.013,0.005,0.003,181.0,337.0,1.02
"eps[4, 0]",-0.047,0.059,-0.163,0.051,0.005,0.004,150.0,325.0,1.02
"eps[5, 0]",-1.089,0.316,-1.689,-0.517,0.017,0.012,369.0,601.0,1.01
"eps[6, 0]",0.475,0.126,0.256,0.731,0.005,0.003,650.0,709.0,1.0
"eps[7, 0]",0.093,0.08,-0.056,0.246,0.006,0.005,168.0,174.0,1.02
"eps[8, 0]",0.332,0.086,0.177,0.493,0.003,0.002,715.0,734.0,1.0
"eps[9, 0]",-0.049,0.031,-0.107,0.008,0.002,0.001,397.0,600.0,1.01
"eps[10, 0]",-0.062,0.042,-0.136,0.02,0.002,0.002,307.0,660.0,1.01
"eps[11, 0]",0.08,0.026,0.031,0.128,0.001,0.001,495.0,647.0,1.0
"eps[12, 0]",-0.038,0.03,-0.089,0.021,0.002,0.001,301.0,685.0,1.01
"eps[13, 0]",-0.02,0.021,-0.061,0.017,0.001,0.001,353.0,575.0,1.01
"eps[14, 0]",-0.298,0.081,-0.446,-0.139,0.003,0.002,636.0,452.0,1.01
"eps[15, 0]",0.057,0.052,-0.034,0.161,0.003,0.002,288.0,497.0,1.02
"eps[16, 0]",-0.121,0.037,-0.195,-0.056,0.002,0.001,391.0,369.0,1.0
"eps[17, 0]",0.067,0.043,-0.013,0.147,0.002,0.001,445.0,861.0,1.0
"eps[18, 0]",-0.114,0.037,-0.186,-0.049,0.002,0.002,262.0,522.0,1.01
"eps[19, 0]",-0.001,0.033,-0.064,0.059,0.001,0.001,618.0,658.0,1.0
"eps[20, 0]",-0.045,0.028,-0.098,0.007,0.001,0.001,567.0,819.0,1.0
"eps[21, 0]",-0.006,0.024,-0.054,0.038,0.001,0.001,414.0,482.0,1.0
"eps[22, 0]",-0.036,0.024,-0.077,0.011,0.001,0.001,520.0,681.0,1.0
"eps[23, 0]",0.189,0.089,0.036,0.37,0.003,0.002,990.0,805.0,1.0
"eps[24, 0]",-0.15,0.05,-0.238,-0.058,0.002,0.002,466.0,872.0,1.0
"eps[25, 0]",-0.019,0.054,-0.125,0.081,0.004,0.003,227.0,503.0,1.02
"eps[26, 0]",0.082,0.05,-0.017,0.174,0.003,0.002,385.0,706.0,1.0
"eps[27, 0]",-0.013,0.047,-0.1,0.074,0.003,0.002,262.0,588.0,1.01
"eps[28, 0]",-0.017,0.049,-0.111,0.07,0.003,0.002,287.0,503.0,1.01
"eps[29, 0]",0.033,0.03,-0.024,0.089,0.001,0.001,480.0,772.0,1.0
"eps[30, 0]",-0.023,0.023,-0.064,0.023,0.001,0.001,499.0,780.0,1.0
"eps[31, 0]",-0.04,0.034,-0.102,0.025,0.002,0.002,246.0,425.0,1.01
"eps[32, 0]",0.047,0.144,-0.236,0.306,0.005,0.004,804.0,806.0,1.0
"eps[33, 0]",-0.145,0.061,-0.255,-0.035,0.002,0.002,659.0,620.0,1.0
"eps[34, 0]",-0.013,0.07,-0.163,0.11,0.004,0.003,285.0,601.0,1.01
"eps[35, 0]",-0.002,0.047,-0.094,0.076,0.002,0.002,482.0,701.0,1.0
"eps[36, 0]",0.023,0.038,-0.046,0.1,0.002,0.001,550.0,662.0,1.0
"eps[37, 0]",-0.059,0.051,-0.155,0.035,0.002,0.001,700.0,748.0,1.01
"eps[38, 0]",0.088,0.033,0.022,0.147,0.002,0.001,358.0,593.0,1.01
"eps[39, 0]",-0.035,0.039,-0.105,0.039,0.002,0.002,264.0,495.0,1.01
"eps[40, 0]",-0.068,0.03,-0.121,-0.009,0.002,0.001,292.0,504.0,1.01
"eps[41, 0]",-1.178,0.209,-1.512,-0.756,0.008,0.005,767.0,744.0,1.0
"eps[42, 0]",0.469,0.114,0.249,0.654,0.004,0.003,779.0,765.0,1.0
"eps[43, 0]",-0.271,0.06,-0.379,-0.154,0.002,0.002,646.0,861.0,1.0
"eps[44, 0]",-0.011,0.064,-0.123,0.116,0.003,0.002,542.0,691.0,1.01
"eps[45, 0]",-0.015,0.05,-0.113,0.071,0.001,0.001,1134.0,737.0,1.0
"eps[46, 0]",0.087,0.082,-0.058,0.253,0.003,0.002,875.0,929.0,1.0
"eps[47, 0]",0.032,0.032,-0.027,0.093,0.001,0.001,929.0,804.0,1.0
"eps[48, 0]",0.188,0.038,0.122,0.262,0.001,0.001,651.0,875.0,1.0
"eps[49, 0]",0.146,0.045,0.074,0.241,0.002,0.002,436.0,651.0,1.0
"eps[50, 0]",2.045,0.403,1.279,2.757,0.013,0.009,930.0,753.0,1.0
"eps[51, 0]",-0.924,0.22,-1.337,-0.51,0.009,0.006,617.0,508.0,1.0
"eps[52, 0]",0.035,0.109,-0.164,0.227,0.003,0.003,1275.0,938.0,1.0
"eps[53, 0]",-0.133,0.069,-0.261,-0.0,0.002,0.002,1012.0,697.0,1.0
"eps_tform[0, 0]",0.337,0.532,-0.714,1.176,0.048,0.034,154.0,357.0,1.04
"eps_tform[0, 1]",-0.082,0.286,-0.666,0.373,0.023,0.017,179.0,472.0,1.03
"eps_tform[0, 2]",1.197,0.252,0.731,1.674,0.019,0.013,196.0,442.0,1.02
"eps_tform[0, 3]",-0.385,0.095,-0.57,-0.204,0.005,0.003,448.0,469.0,1.01
