,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.371,0.101,0.2,0.56,0.006,0.004,288.0,415.0,1.01
Ds[0],33.505,0.075,33.369,33.65,0.004,0.003,317.0,542.0,1.0
RV[0],3.112,1.222,1.035,5.304,0.069,0.049,317.0,603.0,1.01
"eps[0, 0]",-0.413,0.046,-0.502,-0.335,0.003,0.002,170.0,209.0,1.01
"eps[1, 0]",-0.452,0.08,-0.626,-0.326,0.005,0.003,305.0,575.0,1.0
"eps[2, 0]",-0.156,0.036,-0.22,-0.084,0.003,0.002,183.0,115.0,1.01
"eps[3, 0]",-0.407,0.077,-0.551,-0.27,0.004,0.003,318.0,556.0,1.0
"eps[4, 0]",-0.394,0.035,-0.459,-0.329,0.003,0.002,174.0,231.0,1.01
"eps[5, 0]",-0.085,0.344,-0.7,0.567,0.014,0.01,639.0,789.0,1.01
"eps[6, 0]",-0.357,0.106,-0.544,-0.152,0.006,0.004,313.0,500.0,1.0
"eps[7, 0]",-0.191,0.045,-0.277,-0.115,0.002,0.002,385.0,678.0,1.01
"eps[8, 0]",-0.267,0.056,-0.362,-0.152,0.003,0.002,403.0,459.0,1.0
"eps[9, 0]",-0.067,0.042,-0.139,0.011,0.003,0.002,242.0,403.0,1.02
"eps[10, 0]",-0.063,0.055,-0.157,0.042,0.003,0.002,295.0,473.0,1.0
"eps[11, 0]",-0.011,0.028,-0.061,0.04,0.002,0.001,282.0,484.0,1.01
"eps[12, 0]",-0.04,0.03,-0.097,0.013,0.002,0.001,226.0,312.0,1.01
"eps[13, 0]",0.023,0.024,-0.02,0.066,0.002,0.001,224.0,308.0,1.02
"eps[14, 0]",-0.002,0.108,-0.211,0.198,0.004,0.003,722.0,622.0,1.0
"eps[15, 0]",-0.006,0.041,-0.083,0.066,0.002,0.002,298.0,309.0,1.0
"eps[16, 0]",0.069,0.034,0.006,0.132,0.003,0.002,178.0,275.0,1.01
"eps[17, 0]",0.019,0.049,-0.08,0.104,0.003,0.002,239.0,429.0,1.01
"eps[18, 0]",0.096,0.044,0.011,0.175,0.003,0.002,251.0,506.0,1.02
"eps[19, 0]",0.184,0.052,0.089,0.287,0.002,0.001,645.0,682.0,1.0
"eps[20, 0]",0.037,0.031,-0.019,0.096,0.002,0.001,421.0,541.0,1.01
"eps[21, 0]",0.056,0.026,0.011,0.104,0.001,0.001,318.0,589.0,1.0
"eps[22, 0]",-0.158,0.028,-0.216,-0.109,0.002,0.001,208.0,224.0,1.02
"eps[23, 0]",-0.341,0.124,-0.57,-0.118,0.005,0.003,711.0,632.0,1.01
"eps[24, 0]",-0.122,0.053,-0.218,-0.022,0.003,0.003,239.0,349.0,1.02
"eps[25, 0]",0.235,0.045,0.143,0.312,0.003,0.002,249.0,212.0,1.0
"eps[26, 0]",0.015,0.056,-0.087,0.117,0.003,0.002,314.0,388.0,1.01
"eps[27, 0]",0.151,0.052,0.057,0.249,0.003,0.002,288.0,495.0,1.02
"eps[28, 0]",0.312,0.052,0.224,0.418,0.003,0.002,429.0,689.0,1.0
"eps[29, 0]",0.105,0.03,0.052,0.16,0.002,0.001,331.0,524.0,1.01
"eps[30, 0]",0.049,0.024,0.007,0.094,0.001,0.001,260.0,447.0,1.01
"eps[31, 0]",-0.192,0.043,-0.282,-0.12,0.003,0.002,238.0,369.0,1.01
