,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.063,0.04,0.001,0.126,0.002,0.002,299.0,161.0,1.01
Ds[0],35.293,0.036,35.223,35.36,0.003,0.002,193.0,356.0,1.03
RV[0],3.695,1.355,1.517,5.999,0.049,0.035,767.0,584.0,1.01
"eps[0, 0]",-0.146,0.041,-0.222,-0.069,0.002,0.002,346.0,451.0,1.01
"eps[1, 0]",-0.169,0.042,-0.254,-0.093,0.002,0.001,579.0,768.0,1.0
"eps[2, 0]",-0.036,0.049,-0.12,0.068,0.002,0.002,555.0,569.0,1.01
"eps[3, 0]",-0.196,0.034,-0.259,-0.13,0.002,0.001,508.0,616.0,1.0
"eps[4, 0]",-0.15,0.054,-0.247,-0.044,0.002,0.002,496.0,545.0,1.0
"eps[5, 0]",0.084,0.454,-0.736,0.924,0.022,0.016,416.0,656.0,1.0
"eps[6, 0]",-0.375,0.187,-0.688,-0.014,0.009,0.006,431.0,586.0,1.01
"eps[7, 0]",-0.024,0.104,-0.237,0.148,0.005,0.003,536.0,554.0,1.0
"eps[8, 0]",0.021,0.144,-0.231,0.307,0.005,0.004,744.0,767.0,1.0
"eps[9, 0]",0.043,0.027,-0.009,0.088,0.002,0.001,283.0,352.0,1.0
"eps[10, 0]",0.069,0.037,-0.008,0.134,0.002,0.001,336.0,461.0,1.0
"eps[11, 0]",0.012,0.025,-0.035,0.058,0.001,0.001,312.0,494.0,1.01
"eps[12, 0]",0.037,0.028,-0.013,0.091,0.002,0.001,304.0,426.0,1.0
"eps[13, 0]",-0.016,0.022,-0.057,0.026,0.001,0.001,288.0,459.0,1.01
"eps[14, 0]",0.02,0.101,-0.159,0.209,0.005,0.003,451.0,562.0,1.0
"eps[15, 0]",0.031,0.054,-0.073,0.127,0.003,0.002,304.0,449.0,1.02
"eps[16, 0]",-0.026,0.035,-0.097,0.034,0.002,0.002,279.0,315.0,1.01
"eps[17, 0]",0.132,0.044,0.056,0.22,0.002,0.002,366.0,619.0,1.02
"eps[18, 0]",-0.117,0.032,-0.174,-0.055,0.002,0.001,299.0,388.0,1.01
"eps[19, 0]",-0.03,0.041,-0.099,0.053,0.002,0.001,576.0,667.0,1.0
"eps[20, 0]",0.023,0.033,-0.032,0.09,0.002,0.001,450.0,568.0,1.01
"eps[21, 0]",-0.011,0.027,-0.062,0.04,0.001,0.001,390.0,335.0,1.01
"eps[22, 0]",-0.064,0.027,-0.123,-0.017,0.001,0.001,345.0,499.0,1.0
