,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.083,0.047,0.0,0.163,0.004,0.003,163.0,384.0,1.04
Ds[0],34.746,0.036,34.68,34.818,0.003,0.002,223.0,132.0,1.02
RV[0],3.575,1.369,1.13,5.701,0.085,0.06,244.0,303.0,1.03
"eps[0, 0]",-0.19,0.04,-0.272,-0.121,0.003,0.002,178.0,342.0,1.03
"eps[1, 0]",-0.391,0.061,-0.493,-0.266,0.003,0.002,396.0,527.0,1.01
"eps[2, 0]",-0.032,0.055,-0.127,0.076,0.003,0.002,388.0,504.0,1.01
"eps[3, 0]",-0.275,0.044,-0.359,-0.201,0.003,0.002,235.0,477.0,1.01
"eps[4, 0]",-0.203,0.048,-0.296,-0.116,0.003,0.002,223.0,305.0,1.01
"eps[5, 0]",-0.145,0.533,-1.192,0.797,0.043,0.031,152.0,312.0,1.01
"eps[6, 0]",-0.025,0.189,-0.39,0.298,0.014,0.01,186.0,555.0,1.0
"eps[7, 0]",-0.022,0.085,-0.162,0.168,0.005,0.003,332.0,372.0,1.01
"eps[8, 0]",0.274,0.122,0.032,0.493,0.006,0.005,361.0,632.0,1.01
"eps[9, 0]",0.13,0.03,0.074,0.185,0.003,0.002,115.0,223.0,1.07
"eps[10, 0]",0.112,0.049,0.018,0.198,0.003,0.002,195.0,313.0,1.02
"eps[11, 0]",0.065,0.029,0.015,0.125,0.002,0.002,159.0,285.0,1.03
"eps[12, 0]",0.065,0.03,0.01,0.121,0.003,0.002,132.0,326.0,1.04
"eps[13, 0]",0.096,0.023,0.054,0.139,0.002,0.001,168.0,251.0,1.02
"eps[14, 0]",0.12,0.105,-0.072,0.309,0.005,0.004,399.0,695.0,1.01
"eps[15, 0]",-0.015,0.05,-0.111,0.074,0.003,0.002,268.0,295.0,1.02
"eps[16, 0]",-0.033,0.037,-0.103,0.034,0.002,0.001,456.0,602.0,1.01
"eps[17, 0]",-0.057,0.047,-0.145,0.027,0.003,0.002,279.0,333.0,1.01
"eps[18, 0]",-0.073,0.036,-0.142,-0.009,0.004,0.003,76.0,191.0,1.07
"eps[19, 0]",-0.09,0.037,-0.159,-0.024,0.002,0.002,268.0,511.0,1.02
"eps[20, 0]",0.089,0.031,0.037,0.156,0.002,0.002,200.0,464.0,1.03
"eps[21, 0]",-0.136,0.023,-0.18,-0.092,0.002,0.001,132.0,204.0,1.04
"eps[22, 0]",-0.041,0.025,-0.092,0.004,0.002,0.001,195.0,244.0,1.01
"eps[23, 0]",-0.125,0.141,-0.408,0.111,0.009,0.006,264.0,358.0,1.01
"eps[24, 0]",0.057,0.049,-0.035,0.15,0.002,0.002,419.0,463.0,1.01
"eps[25, 0]",-0.091,0.039,-0.167,-0.023,0.002,0.002,260.0,351.0,1.01
"eps[26, 0]",0.164,0.038,0.082,0.228,0.002,0.001,414.0,559.0,1.01
"eps[27, 0]",-0.129,0.047,-0.215,-0.038,0.004,0.003,113.0,264.0,1.04
"eps[28, 0]",-0.042,0.044,-0.124,0.036,0.004,0.003,147.0,570.0,1.03
"eps[29, 0]",0.013,0.031,-0.051,0.067,0.002,0.001,246.0,335.0,1.02
"eps[30, 0]",0.004,0.023,-0.035,0.049,0.004,0.003,38.0,182.0,1.09
"eps[31, 0]",0.055,0.033,-0.005,0.115,0.002,0.002,227.0,467.0,1.02
"eps[32, 0]",-0.103,0.238,-0.53,0.365,0.015,0.01,260.0,324.0,1.01
"eps[33, 0]",0.019,0.09,-0.156,0.184,0.006,0.004,237.0,353.0,1.01
"eps[34, 0]",0.026,0.081,-0.119,0.179,0.005,0.003,295.0,484.0,1.01
"eps[35, 0]",-0.028,0.054,-0.125,0.073,0.003,0.002,249.0,509.0,1.03
"eps[36, 0]",-0.155,0.058,-0.26,-0.038,0.003,0.002,465.0,537.0,1.01
"eps[37, 0]",-0.54,0.13,-0.779,-0.285,0.007,0.005,381.0,573.0,1.01
"eps[38, 0]",-0.078,0.052,-0.175,0.018,0.002,0.001,606.0,517.0,1.01
"eps[39, 0]",-0.416,0.065,-0.533,-0.297,0.004,0.003,273.0,323.0,1.01
"eps[40, 0]",-0.108,0.054,-0.204,0.001,0.002,0.002,550.0,401.0,1.01
"eps[41, 0]",0.304,0.363,-0.386,0.97,0.017,0.012,448.0,364.0,1.0
"eps[42, 0]",0.058,0.167,-0.273,0.363,0.007,0.006,560.0,436.0,1.0
"eps[43, 0]",-0.197,0.107,-0.404,-0.008,0.004,0.003,680.0,660.0,1.0
"eps[44, 0]",-0.237,0.095,-0.431,-0.078,0.003,0.002,797.0,703.0,1.0
"eps[45, 0]",0.003,0.073,-0.126,0.137,0.003,0.002,706.0,530.0,1.0
"eps[46, 0]",-0.016,0.262,-0.47,0.511,0.012,0.01,450.0,353.0,1.01
"eps[47, 0]",-0.015,0.043,-0.093,0.06,0.002,0.001,616.0,760.0,1.0
"eps[48, 0]",-0.045,0.088,-0.215,0.1,0.004,0.003,691.0,504.0,1.0
"eps[49, 0]",-0.197,0.093,-0.359,-0.021,0.004,0.003,453.0,506.0,1.01
"eps[50, 0]",-1.147,0.668,-2.359,0.119,0.036,0.025,349.0,575.0,1.01
"eps[51, 0]",-0.291,0.311,-0.884,0.284,0.014,0.01,514.0,530.0,1.01
"eps[52, 0]",-0.36,0.137,-0.605,-0.109,0.006,0.005,462.0,643.0,1.0
"eps[53, 0]",-0.128,0.088,-0.293,0.021,0.003,0.002,756.0,803.0,1.01
"eps_tform[0, 0]",-1.382,0.292,-1.976,-0.882,0.022,0.016,178.0,342.0,1.03
"eps_tform[0, 1]",-1.59,0.236,-1.986,-1.112,0.012,0.009,357.0,531.0,1.01
"eps_tform[0, 2]",-0.397,0.208,-0.789,-0.001,0.011,0.008,363.0,637.0,1.01
"eps_tform[0, 3]",-0.237,0.112,-0.431,-0.021,0.007,0.005,233.0,221.0,1.01
"eps_tform[0, 4]",-0.505,0.154,-0.789,-0.201,0.012,0.009,158.0,295.0,1.01
"eps_tform[0, 5]",-0.245,0.805,-1.854,1.147,0.066,0.047,150.0,272.0,1.0
"eps_tform[0, 6]",-0.145,0.288,-0.666,0.383,0.019,0.013,244.0,508.0,1.01
"eps_tform[0, 7]",0.13,0.495,-0.748,1.184,0.024,0.019,432.0,390.0,1.01
"eps_tform[0, 8]",1.501,0.532,0.435,2.465,0.025,0.018,472.0,690.0,1.01
"eps_tform[0, 9]",1.397,0.371,0.722,2.072,0.034,0.024,120.0,321.0,1.06
"eps_tform[0, 10]",1.12,0.516,0.237,2.151,0.034,0.024,220.0,338.0,1.02
"eps_tform[0, 11]",0.575,0.412,-0.148,1.391,0.033,0.023,157.0,283.0,1.03
"eps_tform[0, 12]",0.299,0.424,-0.537,1.077,0.037,0.03,142.0,169.0,1.04
"eps_tform[0, 13]",0.707,0.288,0.155,1.272,0.021,0.015,204.0,276.0,1.01
"eps_tform[0, 14]",0.538,0.831,-1.037,2.02,0.042,0.029,408.0,715.0,1.01
"eps_tform[0, 15]",-0.665,0.397,-1.414,0.014,0.027,0.019,236.0,283.0,1.01
"eps_tform[0, 16]",-0.358,0.436,-1.181,0.456,0.023,0.016,379.0,498.0,1.01
"eps_tform[0, 17]",-0.726,0.566,-1.797,0.363,0.034,0.024,277.0,356.0,1.01
"eps_tform[0, 18]",-0.281,0.427,-1.094,0.526,0.051,0.037,69.0,290.0,1.07
"eps_tform[0, 19]",-0.952,0.36,-1.622,-0.307,0.024,0.017,222.0,378.0,1.0
"eps_tform[0, 20]",1.098,0.449,0.276,1.938,0.043,0.03,121.0,282.0,1.05
"eps_tform[0, 21]",-1.584,0.397,-2.289,-0.841,0.034,0.024,136.0,304.0,1.03
"eps_tform[0, 22]",-0.673,0.327,-1.275,-0.055,0.027,0.019,154.0,239.0,1.02
"eps_tform[0, 23]",-0.055,0.91,-1.686,1.642,0.048,0.034,356.0,496.0,1.01
"eps_tform[0, 24]",-0.044,0.24,-0.485,0.408,0.015,0.01,271.0,381.0,1.01
"eps_tform[0, 25]",0.334,0.277,-0.195,0.802,0.02,0.015,193.0,262.0,1.01
"eps_tform[0, 26]",1.205,0.305,0.662,1.792,0.02,0.014,234.0,364.0,1.01
"eps_tform[0, 27]",0.344,0.37,-0.413,0.961,0.034,0.024,121.0,265.0,1.04
"eps_tform[0, 28]",-0.634,0.408,-1.33,0.167,0.04,0.028,107.0,370.0,1.04
"eps_tform[0, 29]",1.46,0.315,0.898,2.071,0.022,0.016,200.0,334.0,1.02
"eps_tform[0, 30]",0.1,0.363,-0.565,0.766,0.052,0.037,51.0,314.0,1.07
"eps_tform[0, 31]",-0.141,0.359,-0.764,0.564,0.025,0.017,214.0,364.0,1.02
"eps_tform[0, 32]",-0.303,1.036,-2.163,1.779,0.051,0.036,413.0,358.0,1.01
"eps_tform[0, 33]",-0.428,0.287,-0.902,0.175,0.019,0.013,235.0,389.0,1.0
"eps_tform[0, 34]",-1.152,0.432,-1.992,-0.438,0.02,0.014,473.0,667.0,1.01
"eps_tform[0, 35]",-0.992,0.598,-2.193,0.048,0.028,0.02,452.0,582.0,1.02
"eps_tform[0, 36]",-1.4,0.844,-3.093,0.084,0.036,0.025,572.0,630.0,1.0
"eps_tform[0, 37]",-1.296,0.605,-2.471,-0.194,0.027,0.02,494.0,583.0,1.0
"eps_tform[0, 38]",0.506,0.843,-0.971,2.109,0.035,0.025,573.0,653.0,1.0
"eps_tform[0, 39]",-1.63,0.662,-2.842,-0.397,0.024,0.017,719.0,542.0,1.01
"eps_tform[0, 40]",0.047,0.744,-1.278,1.531,0.025,0.025,836.0,553.0,1.01
"eps_tform[0, 41]",0.366,0.961,-1.277,2.319,0.039,0.034,617.0,447.0,1.01
"eps_tform[0, 42]",1.304,0.89,-0.5,2.8,0.032,0.023,758.0,712.0,1.0
"eps_tform[0, 43]",-0.097,0.999,-1.765,1.994,0.035,0.033,823.0,622.0,1.0
"eps_tform[0, 44]",-0.123,0.983,-1.876,1.627,0.033,0.029,879.0,915.0,1.0
"eps_tform[0, 45]",0.275,1.033,-1.715,2.168,0.037,0.035,801.0,708.0,1.0
"eps_tform[0, 46]",0.07,1.007,-2.129,1.703,0.032,0.046,1016.0,418.0,1.0
"eps_tform[0, 47]",-0.083,0.992,-1.94,1.672,0.035,0.031,798.0,793.0,1.0
"eps_tform[0, 48]",0.413,1.018,-1.582,2.209,0.036,0.038,835.0,563.0,1.01
"eps_tform[0, 49]",0.103,0.971,-1.768,1.857,0.031,0.031,946.0,723.0,1.0
"eps_tform[0, 50]",-0.184,1.014,-2.03,1.559,0.046,0.033,480.0,384.0,1.01
"eps_tform[0, 51]",-0.316,0.966,-2.127,1.398,0.04,0.033,574.0,511.0,1.02
"eps_tform[0, 52]",0.009,0.998,-1.874,1.821,0.031,0.031,1010.0,692.0,1.0
"eps_tform[0, 53]",-0.003,0.994,-1.824,1.855,0.036,0.041,759.0,441.0,1.0
theta[0],-0.11,0.22,-0.571,0.267,0.014,0.01,252.0,376.0,1.0
tmax[0],0.46,0.1,0.278,0.643,0.004,0.003,550.0,530.0,1.01
peak_MJD[0],54943.969,0.102,54943.783,54944.155,0.004,0.003,550.0,530.0,1.01
mu[0],34.743,0.108,34.537,34.944,0.004,0.003,697.0,823.0,1.0
delM[0],0.003,0.099,-0.18,0.181,0.003,0.002,967.0,918.0,1.0
