,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.183,0.101,0.007,0.358,0.006,0.004,285.0,371.0,1.01
Ds[0],34.246,0.092,34.067,34.393,0.005,0.004,352.0,330.0,1.02
RV[0],3.342,1.424,1.029,5.649,0.059,0.043,632.0,670.0,1.0
"eps[0, 0]",0.036,0.074,-0.096,0.18,0.004,0.003,342.0,435.0,1.0
"eps[1, 0]",-0.045,0.064,-0.168,0.072,0.003,0.002,446.0,612.0,1.0
"eps[2, 0]",0.151,0.065,0.023,0.258,0.003,0.002,418.0,597.0,1.0
"eps[3, 0]",-0.04,0.071,-0.184,0.091,0.004,0.003,377.0,423.0,1.0
"eps[4, 0]",0.058,0.068,-0.072,0.185,0.004,0.002,375.0,648.0,1.01
"eps[5, 0]",0.246,0.628,-0.995,1.44,0.02,0.019,952.0,799.0,1.0
"eps[6, 0]",-0.08,0.47,-0.96,0.813,0.013,0.017,1252.0,682.0,1.01
"eps[7, 0]",-0.053,0.167,-0.364,0.245,0.004,0.006,1779.0,538.0,1.0
"eps[8, 0]",-0.008,0.201,-0.405,0.351,0.007,0.006,778.0,640.0,1.0
"eps[9, 0]",0.142,0.053,0.045,0.235,0.003,0.002,353.0,558.0,1.0
"eps[10, 0]",0.097,0.067,-0.026,0.222,0.004,0.003,312.0,260.0,1.01
"eps[11, 0]",0.038,0.036,-0.032,0.098,0.002,0.001,432.0,614.0,1.0
"eps[12, 0]",0.009,0.038,-0.07,0.072,0.002,0.001,398.0,386.0,1.02
"eps[13, 0]",0.016,0.038,-0.043,0.102,0.002,0.001,416.0,373.0,1.01
"eps[14, 0]",0.03,0.131,-0.209,0.283,0.004,0.004,1304.0,767.0,1.0
"eps[15, 0]",0.024,0.11,-0.177,0.236,0.003,0.004,1671.0,602.0,1.0
"eps[16, 0]",0.008,0.087,-0.153,0.173,0.002,0.003,1537.0,782.0,1.0
"eps[17, 0]",0.032,0.084,-0.133,0.175,0.003,0.003,1094.0,672.0,1.0
"eps[18, 0]",-0.069,0.055,-0.17,0.033,0.002,0.002,497.0,527.0,1.0
"eps[19, 0]",0.087,0.078,-0.052,0.23,0.003,0.002,888.0,893.0,1.0
"eps[20, 0]",-0.123,0.056,-0.224,-0.009,0.002,0.001,847.0,660.0,1.0
"eps[21, 0]",-0.021,0.045,-0.103,0.068,0.002,0.001,825.0,635.0,1.0
"eps[22, 0]",-0.09,0.06,-0.209,0.014,0.002,0.002,708.0,595.0,1.01
