,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.084,0.097,1.963,2.322,0.044,0.033,6.0,11.0,1.78
Ds[0],27.338,0.067,27.239,27.448,0.03,0.022,6.0,12.0,1.98
RV[0],1.818,0.237,1.455,2.194,0.112,0.085,5.0,12.0,2.2
"eps[0, 0]",0.085,0.111,-0.044,0.348,0.05,0.038,5.0,11.0,2.19
"eps[1, 0]",0.084,0.502,-0.403,1.041,0.247,0.188,5.0,11.0,2.87
"eps[2, 0]",0.115,0.254,-0.269,0.411,0.124,0.095,5.0,20.0,2.13
"eps[3, 0]",0.034,0.276,-0.25,0.514,0.136,0.104,5.0,22.0,2.61
"eps[4, 0]",0.399,0.404,-0.133,0.879,0.198,0.151,5.0,12.0,2.28
"eps[5, 0]",-0.404,0.196,-0.709,-0.044,0.091,0.069,5.0,12.0,2.27
"eps[6, 0]",-0.585,0.7,-1.629,0.224,0.327,0.248,5.0,14.0,2.28
"eps[7, 0]",0.119,0.136,-0.044,0.303,0.065,0.05,5.0,12.0,2.22
"eps[8, 0]",0.012,0.074,-0.101,0.13,0.032,0.024,6.0,30.0,1.89
"eps[9, 0]",0.142,0.136,-0.049,0.429,0.065,0.049,5.0,12.0,2.29
"eps[10, 0]",-0.056,0.074,-0.14,0.079,0.035,0.027,6.0,12.0,1.72
"eps[11, 0]",0.001,0.057,-0.074,0.111,0.027,0.021,5.0,11.0,2.37
"eps[12, 0]",0.066,0.048,-0.018,0.155,0.021,0.016,6.0,11.0,1.95
"eps[13, 0]",0.259,0.172,0.021,0.448,0.084,0.064,5.0,20.0,2.22
"eps[14, 0]",-0.023,0.141,-0.196,0.154,0.069,0.053,5.0,11.0,2.29
"eps[15, 0]",0.21,0.183,0.009,0.495,0.084,0.063,5.0,30.0,2.06
"eps[16, 0]",-0.014,0.059,-0.1,0.082,0.028,0.021,5.0,13.0,2.14
"eps[17, 0]",0.069,0.117,-0.163,0.229,0.055,0.041,5.0,11.0,2.15
"eps[18, 0]",0.106,0.211,-0.077,0.505,0.103,0.079,6.0,33.0,2.31
"eps[19, 0]",-0.336,0.212,-0.569,-0.028,0.104,0.079,5.0,12.0,2.22
"eps[20, 0]",-0.049,0.075,-0.152,0.07,0.036,0.028,5.0,11.0,2.24
"eps[21, 0]",0.039,0.077,-0.038,0.217,0.035,0.027,6.0,11.0,1.94
"eps[22, 0]",0.193,0.157,-0.022,0.43,0.076,0.058,5.0,12.0,2.11
"eps[23, 0]",-0.002,0.151,-0.179,0.238,0.074,0.056,5.0,12.0,2.58
"eps[24, 0]",0.566,0.599,-0.089,1.271,0.294,0.224,5.0,16.0,2.28
"eps[25, 0]",0.055,0.126,-0.104,0.293,0.061,0.046,5.0,12.0,2.71
"eps[26, 0]",0.06,0.101,-0.175,0.192,0.046,0.035,6.0,11.0,2.0
"eps[27, 0]",0.252,0.213,-0.122,0.439,0.104,0.079,6.0,12.0,1.8
"eps[28, 0]",-0.685,0.579,-1.299,0.026,0.286,0.218,5.0,11.0,2.27
"eps[29, 0]",-0.161,0.026,-0.203,-0.096,0.01,0.008,8.0,12.0,1.47
"eps[30, 0]",0.183,0.155,-0.043,0.478,0.075,0.057,5.0,11.0,3.07
"eps[31, 0]",0.508,0.491,-0.088,1.059,0.242,0.185,5.0,19.0,2.15
"eps[32, 0]",-0.184,0.155,-0.381,0.056,0.075,0.058,5.0,11.0,2.29
"eps[33, 0]",-0.182,0.277,-0.625,0.226,0.127,0.096,5.0,11.0,2.38
"eps[34, 0]",0.082,0.187,-0.221,0.305,0.091,0.07,5.0,21.0,2.37
"eps[35, 0]",0.005,0.055,-0.109,0.058,0.023,0.017,7.0,11.0,1.67
"eps[36, 0]",0.127,0.113,-0.029,0.281,0.054,0.041,5.0,25.0,2.15
"eps[37, 0]",-0.708,0.445,-1.186,-0.198,0.22,0.168,5.0,44.0,2.16
"eps[38, 0]",-0.316,0.237,-0.586,-0.05,0.117,0.089,6.0,27.0,2.0
"eps[39, 0]",-0.15,0.175,-0.336,0.18,0.085,0.065,5.0,11.0,2.29
"eps[40, 0]",-0.054,0.119,-0.167,0.212,0.056,0.043,6.0,11.0,1.78
"eps[41, 0]",-0.149,0.369,-0.582,0.313,0.182,0.139,5.0,11.0,2.26
"eps[42, 0]",-0.239,0.244,-0.621,0.09,0.112,0.085,5.0,14.0,2.17
"eps[43, 0]",-0.077,0.111,-0.221,0.113,0.053,0.04,5.0,13.0,2.22
"eps[44, 0]",-0.09,0.203,-0.285,0.293,0.099,0.075,5.0,24.0,2.1
"eps[45, 0]",-0.217,0.19,-0.465,0.011,0.092,0.07,5.0,12.0,2.26
"eps[46, 0]",-0.253,0.425,-0.744,0.457,0.209,0.159,5.0,11.0,2.76
"eps[47, 0]",-0.181,0.162,-0.367,0.03,0.08,0.061,5.0,12.0,2.33
"eps[48, 0]",-0.196,0.153,-0.387,0.074,0.074,0.056,5.0,11.0,2.23
"eps[49, 0]",0.489,0.474,-0.177,1.028,0.233,0.178,5.0,13.0,2.32
"eps[50, 0]",-0.914,0.482,-1.435,-0.346,0.238,0.182,5.0,27.0,2.08
"eps[51, 0]",0.288,0.468,-0.5,0.929,0.217,0.164,5.0,13.0,2.05
"eps[52, 0]",-0.717,0.479,-1.34,-0.18,0.233,0.178,5.0,17.0,2.15
"eps[53, 0]",-0.152,0.135,-0.347,0.048,0.064,0.048,5.0,14.0,2.13
"eps_tform[0, 0]",0.62,0.808,-0.323,2.528,0.367,0.277,5.0,11.0,2.19
"eps_tform[0, 1]",0.368,1.94,-1.482,4.129,0.954,0.729,5.0,11.0,2.88
"eps_tform[0, 2]",0.544,0.702,-0.425,1.412,0.336,0.256,6.0,26.0,1.83
"eps_tform[0, 3]",-0.082,0.259,-0.521,0.482,0.103,0.077,7.0,11.0,1.59
"eps_tform[0, 4]",1.298,1.222,-0.322,2.791,0.596,0.455,5.0,44.0,2.12
"eps_tform[0, 5]",-0.598,0.436,-1.208,-0.031,0.211,0.161,5.0,13.0,2.08
"eps_tform[0, 6]",-1.426,1.641,-3.842,0.507,0.769,0.583,5.0,12.0,2.27
"eps_tform[0, 7]",0.685,0.931,-0.452,1.996,0.446,0.34,5.0,24.0,2.14
"eps_tform[0, 8]",-0.13,0.275,-0.656,0.141,0.111,0.082,7.0,43.0,1.6
"eps_tform[0, 9]",1.657,1.898,-1.19,5.226,0.908,0.69,5.0,12.0,2.29
"eps_tform[0, 10]",-0.786,0.934,-2.412,0.438,0.455,0.347,5.0,12.0,3.01
"eps_tform[0, 11]",-0.744,0.428,-1.684,0.07,0.153,0.113,8.0,12.0,1.44
"eps_tform[0, 12]",1.075,1.213,-0.659,3.296,0.544,0.41,6.0,12.0,1.9
"eps_tform[0, 13]",4.573,3.039,0.297,7.806,1.493,1.14,5.0,12.0,2.32
"eps_tform[0, 14]",-1.257,1.713,-3.252,0.626,0.843,0.644,5.0,16.0,2.02
"eps_tform[0, 15]",1.198,1.55,-0.393,3.662,0.695,0.523,5.0,17.0,2.3
"eps_tform[0, 16]",-0.705,0.95,-2.027,0.592,0.452,0.344,5.0,12.0,2.29
"eps_tform[0, 17]",0.393,1.25,-1.934,2.077,0.584,0.443,5.0,11.0,2.24
"eps_tform[0, 18]",0.942,2.568,-1.431,5.864,1.251,0.954,5.0,23.0,2.5
"eps_tform[0, 19]",-1.965,1.054,-3.046,-0.242,0.517,0.395,5.0,11.0,2.3
"eps_tform[0, 20]",-1.428,0.908,-2.647,-0.092,0.433,0.329,5.0,11.0,2.33
"eps_tform[0, 21]",3.199,2.107,-0.011,6.787,1.01,0.768,5.0,11.0,2.55
"eps_tform[0, 22]",2.374,2.08,-0.628,5.169,1.013,0.773,5.0,12.0,2.26
"eps_tform[0, 23]",-2.615,2.64,-5.515,0.57,1.301,0.994,5.0,12.0,2.31
"eps_tform[0, 24]",3.283,3.652,-0.495,7.775,1.784,1.361,5.0,13.0,2.26
"eps_tform[0, 25]",1.226,1.102,-0.111,3.236,0.536,0.408,5.0,12.0,2.99
"eps_tform[0, 26]",-1.043,0.885,-2.046,0.344,0.425,0.323,5.0,17.0,2.24
"eps_tform[0, 27]",4.888,3.624,-0.43,8.778,1.782,1.362,5.0,11.0,2.32
"eps_tform[0, 28]",-3.782,2.947,-6.869,0.45,1.451,1.109,5.0,12.0,2.31
"eps_tform[0, 29]",-2.57,1.172,-3.899,-0.654,0.566,0.431,5.0,12.0,2.18
"eps_tform[0, 30]",3.025,3.636,-0.126,9.673,1.788,1.366,5.0,11.0,3.07
"eps_tform[0, 31]",1.176,2.71,-3.603,4.185,1.32,1.007,5.0,11.0,2.61
"eps_tform[0, 32]",-3.18,3.149,-6.732,0.063,1.551,1.186,5.0,17.0,2.25
"eps_tform[0, 33]",-1.516,1.395,-3.425,0.039,0.672,0.511,5.0,38.0,2.11
"eps_tform[0, 34]",0.539,0.668,-0.595,1.229,0.319,0.243,6.0,11.0,1.87
"eps_tform[0, 35]",0.705,0.268,0.27,1.345,0.052,0.038,22.0,332.0,1.42
"eps_tform[0, 36]",1.37,1.548,-0.245,3.493,0.741,0.564,5.0,17.0,2.25
