,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.61,0.21,1.238,1.852,0.097,0.074,6.0,12.0,1.89
Ds[0],27.702,0.27,27.437,28.19,0.129,0.099,6.0,17.0,1.75
RV[0],1.457,0.269,1.001,1.755,0.124,0.094,6.0,29.0,1.71
"eps[0, 0]",0.287,0.141,0.026,0.443,0.068,0.051,5.0,19.0,2.05
"eps[1, 0]",-0.092,0.399,-0.446,0.645,0.196,0.149,5.0,11.0,2.06
"eps[2, 0]",0.254,0.253,-0.226,0.465,0.124,0.095,6.0,14.0,1.97
"eps[3, 0]",-0.377,0.314,-0.655,0.2,0.154,0.117,5.0,15.0,2.37
"eps[4, 0]",0.63,0.31,0.035,0.921,0.15,0.114,7.0,31.0,1.65
"eps[5, 0]",-0.54,0.171,-0.754,-0.214,0.08,0.061,6.0,25.0,1.96
"eps[6, 0]",-0.486,0.521,-1.258,0.225,0.225,0.168,6.0,14.0,1.94
"eps[7, 0]",0.346,0.171,0.022,0.524,0.082,0.063,6.0,12.0,1.79
"eps[8, 0]",0.054,0.05,-0.028,0.139,0.017,0.013,8.0,32.0,1.44
"eps[9, 0]",0.302,0.035,0.232,0.358,0.011,0.008,10.0,47.0,1.32
"eps[10, 0]",0.01,0.049,-0.084,0.08,0.022,0.017,5.0,13.0,2.15
"eps[11, 0]",-0.025,0.086,-0.111,0.135,0.042,0.032,5.0,12.0,2.35
"eps[12, 0]",-0.159,0.027,-0.203,-0.111,0.011,0.008,7.0,18.0,1.64
"eps[13, 0]",0.356,0.058,0.28,0.478,0.026,0.02,6.0,13.0,1.68
"eps[14, 0]",-0.125,0.095,-0.231,0.083,0.045,0.034,6.0,11.0,1.99
"eps[15, 0]",0.378,0.114,0.189,0.56,0.046,0.035,6.0,12.0,1.89
"eps[16, 0]",0.144,0.024,0.103,0.194,0.007,0.005,10.0,40.0,1.31
"eps[17, 0]",0.187,0.264,-0.303,0.423,0.128,0.097,6.0,28.0,1.78
"eps[18, 0]",0.301,0.127,0.175,0.543,0.062,0.047,6.0,36.0,1.91
"eps[19, 0]",-0.388,0.087,-0.488,-0.229,0.042,0.032,6.0,27.0,2.01
"eps[20, 0]",-0.08,0.103,-0.179,0.105,0.05,0.038,5.0,34.0,2.06
"eps[21, 0]",-0.175,0.156,-0.299,0.114,0.077,0.058,5.0,16.0,2.07
"eps[22, 0]",0.254,0.05,0.16,0.347,0.02,0.015,6.0,12.0,1.68
"eps[23, 0]",-0.062,0.183,-0.218,0.29,0.09,0.069,5.0,14.0,2.15
"eps[24, 0]",1.033,0.542,0.058,1.493,0.265,0.202,5.0,11.0,2.1
"eps[25, 0]",0.279,0.108,0.177,0.488,0.053,0.04,6.0,17.0,1.83
"eps[26, 0]",0.145,0.27,-0.343,0.389,0.131,0.1,6.0,16.0,1.8
"eps[27, 0]",0.575,0.081,0.404,0.678,0.037,0.028,5.0,12.0,2.04
