,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.216,0.062,0.11,0.341,0.003,0.002,582.0,583.0,1.0
Ds[0],35.58,0.061,35.467,35.69,0.003,0.002,467.0,607.0,1.01
RV[0],2.371,1.045,1.027,4.48,0.05,0.037,466.0,630.0,1.0
delM[0],0.003,0.096,-0.181,0.187,0.003,0.002,815.0,972.0,1.0
"eps[0, 0]",0.279,0.048,0.187,0.367,0.003,0.002,288.0,325.0,1.01
"eps[1, 0]",-0.081,0.067,-0.203,0.048,0.003,0.002,507.0,578.0,1.0
"eps[2, 0]",0.412,0.053,0.313,0.506,0.003,0.002,303.0,444.0,1.01
"eps[3, 0]",0.019,0.049,-0.075,0.109,0.002,0.001,453.0,564.0,1.01
"eps[4, 0]",0.376,0.058,0.266,0.48,0.003,0.002,396.0,427.0,1.01
"eps[5, 0]",0.742,0.417,-0.014,1.513,0.015,0.015,723.0,848.0,1.0
"eps[6, 0]",-0.146,0.414,-0.953,0.614,0.012,0.014,1276.0,590.0,1.0
"eps[7, 0]",0.04,0.139,-0.223,0.299,0.003,0.005,1802.0,769.0,1.0
"eps[8, 0]",-0.1,0.192,-0.437,0.267,0.005,0.006,1386.0,899.0,1.0
"eps[9, 0]",0.043,0.035,-0.019,0.11,0.002,0.001,384.0,439.0,1.0
"eps[10, 0]",0.097,0.023,0.055,0.14,0.001,0.001,385.0,644.0,1.0
"eps[11, 0]",-0.034,0.02,-0.073,0.003,0.001,0.0,461.0,703.0,1.0
"eps[12, 0]",-0.023,0.026,-0.068,0.028,0.001,0.001,386.0,640.0,1.0
"eps[13, 0]",-0.02,0.026,-0.068,0.028,0.001,0.001,458.0,732.0,1.0
"eps[14, 0]",0.218,0.108,0.019,0.41,0.004,0.003,947.0,761.0,1.0
"eps[15, 0]",0.036,0.074,-0.103,0.176,0.002,0.002,1145.0,818.0,1.01
"eps[16, 0]",0.051,0.068,-0.086,0.167,0.002,0.002,1220.0,694.0,1.0
"eps[17, 0]",0.024,0.068,-0.104,0.138,0.002,0.003,1074.0,810.0,1.0
"eps[18, 0]",0.039,0.033,-0.021,0.101,0.002,0.001,412.0,387.0,1.0
"eps[19, 0]",0.096,0.026,0.049,0.145,0.001,0.001,422.0,644.0,1.0
"eps[20, 0]",-0.098,0.022,-0.139,-0.06,0.001,0.001,524.0,718.0,1.0
"eps[21, 0]",-0.011,0.028,-0.064,0.042,0.002,0.001,288.0,692.0,1.01
"eps[22, 0]",-0.006,0.027,-0.059,0.043,0.001,0.001,378.0,608.0,1.01
"eps[23, 0]",-0.119,0.135,-0.38,0.118,0.004,0.004,949.0,793.0,1.0
"eps[24, 0]",-0.028,0.075,-0.172,0.101,0.003,0.002,614.0,530.0,1.0
"eps[25, 0]",-0.097,0.068,-0.225,0.029,0.002,0.002,940.0,739.0,1.0
"eps[26, 0]",-0.06,0.069,-0.191,0.062,0.003,0.002,732.0,758.0,1.0
"eps[27, 0]",-0.052,0.044,-0.132,0.033,0.002,0.001,428.0,667.0,1.0
"eps[28, 0]",0.321,0.036,0.25,0.384,0.002,0.001,478.0,734.0,1.0
"eps[29, 0]",-0.214,0.026,-0.263,-0.164,0.001,0.001,473.0,552.0,1.01
"eps[30, 0]",0.023,0.026,-0.026,0.068,0.001,0.001,389.0,807.0,1.0
"eps[31, 0]",-0.202,0.038,-0.268,-0.129,0.002,0.001,436.0,630.0,1.0
"eps[32, 0]",0.049,0.201,-0.308,0.442,0.007,0.005,752.0,876.0,1.0
"eps[33, 0]",-0.149,0.091,-0.323,0.019,0.004,0.003,542.0,659.0,1.0
"eps[34, 0]",-0.133,0.089,-0.3,0.031,0.004,0.002,532.0,741.0,1.01
"eps[35, 0]",-0.004,0.054,-0.106,0.09,0.002,0.001,724.0,878.0,1.0
"eps[36, 0]",0.127,0.032,0.067,0.183,0.002,0.001,429.0,479.0,1.0
"eps[37, 0]",-0.148,0.065,-0.259,-0.014,0.003,0.002,448.0,639.0,1.01
"eps[38, 0]",0.037,0.026,-0.007,0.088,0.001,0.001,462.0,623.0,1.01
"eps[39, 0]",-0.023,0.051,-0.117,0.074,0.003,0.002,353.0,488.0,1.01
"eps[40, 0]",0.064,0.035,0.002,0.133,0.002,0.001,389.0,572.0,1.01
"eps[41, 0]",0.662,0.244,0.222,1.112,0.007,0.009,1128.0,779.0,1.02
"eps[42, 0]",-0.177,0.146,-0.448,0.075,0.004,0.005,1715.0,758.0,1.01
"eps[43, 0]",-0.025,0.108,-0.239,0.164,0.003,0.004,1085.0,697.0,1.0
"eps[44, 0]",-0.002,0.078,-0.155,0.134,0.002,0.002,1524.0,661.0,1.0
"eps[45, 0]",0.041,0.043,-0.048,0.116,0.002,0.001,832.0,778.0,1.0
"eps[46, 0]",-0.272,0.08,-0.423,-0.129,0.003,0.002,726.0,764.0,1.0
"eps[47, 0]",-0.013,0.026,-0.06,0.034,0.001,0.001,833.0,634.0,1.0
"eps[48, 0]",-0.169,0.04,-0.249,-0.1,0.002,0.001,540.0,697.0,1.01
"eps[49, 0]",0.047,0.039,-0.026,0.124,0.002,0.001,659.0,863.0,1.0
"eps[50, 0]",-0.539,0.488,-1.485,0.299,0.014,0.016,1218.0,825.0,1.0
"eps[51, 0]",0.732,0.294,0.206,1.292,0.008,0.011,1278.0,645.0,1.01
"eps[52, 0]",0.165,0.125,-0.088,0.377,0.003,0.005,1634.0,700.0,1.02
"eps[53, 0]",0.2,0.08,0.053,0.347,0.002,0.002,1393.0,688.0,1.01
"eps_tform[0, 0]",1.829,0.313,1.227,2.412,0.019,0.014,288.0,325.0,1.01
"eps_tform[0, 1]",0.079,0.211,-0.305,0.482,0.009,0.005,528.0,676.0,1.01
"eps_tform[0, 2]",1.538,0.177,1.152,1.853,0.011,0.01,297.0,141.0,1.01
"eps_tform[0, 3]",-0.082,0.137,-0.324,0.169,0.007,0.004,377.0,635.0,1.01
"eps_tform[0, 4]",0.522,0.185,0.178,0.857,0.007,0.006,691.0,823.0,1.0
"eps_tform[0, 5]",0.992,0.659,-0.249,2.166,0.024,0.024,720.0,775.0,1.0
"eps_tform[0, 6]",-0.028,0.889,-1.788,1.606,0.026,0.03,1208.0,578.0,1.0
"eps_tform[0, 7]",-0.125,0.891,-1.74,1.619,0.021,0.032,1780.0,768.0,1.0
"eps_tform[0, 8]",-0.313,0.843,-1.799,1.299,0.022,0.026,1440.0,672.0,1.0
"eps_tform[0, 9]",0.405,0.559,-0.606,1.515,0.028,0.016,388.0,540.0,1.0
"eps_tform[0, 10]",0.501,0.239,0.092,0.985,0.01,0.006,538.0,631.0,1.0
"eps_tform[0, 11]",-0.269,0.376,-0.906,0.477,0.018,0.009,460.0,721.0,1.0
"eps_tform[0, 12]",-0.834,0.537,-1.887,0.076,0.027,0.012,410.0,714.0,1.01
"eps_tform[0, 13]",-0.052,0.433,-0.959,0.674,0.02,0.011,477.0,658.0,1.0
"eps_tform[0, 14]",1.748,0.783,0.328,3.255,0.022,0.025,1259.0,730.0,1.0
"eps_tform[0, 15]",0.82,0.755,-0.558,2.229,0.022,0.027,1200.0,677.0,1.01
"eps_tform[0, 16]",0.473,0.835,-1.173,1.956,0.024,0.023,1173.0,641.0,1.0
"eps_tform[0, 17]",0.314,0.813,-1.204,1.766,0.023,0.031,1307.0,781.0,1.0
"eps_tform[0, 18]",-0.105,0.505,-1.034,0.87,0.025,0.016,410.0,530.0,1.0
"eps_tform[0, 19]",0.02,0.317,-0.573,0.641,0.017,0.011,357.0,483.0,1.01
"eps_tform[0, 20]",-0.666,0.362,-1.358,-0.019,0.017,0.011,465.0,590.0,1.0
"eps_tform[0, 21]",0.142,0.437,-0.649,0.964,0.021,0.011,427.0,792.0,1.0
"eps_tform[0, 22]",0.36,0.388,-0.426,1.063,0.02,0.012,390.0,575.0,1.01
"eps_tform[0, 23]",-0.242,0.769,-1.732,1.101,0.024,0.023,1054.0,750.0,1.0
"eps_tform[0, 24]",-0.423,0.473,-1.29,0.431,0.018,0.011,659.0,692.0,1.0
"eps_tform[0, 25]",-0.862,0.495,-1.72,0.1,0.016,0.012,980.0,821.0,1.0
"eps_tform[0, 26]",-0.599,0.479,-1.437,0.336,0.016,0.012,854.0,760.0,1.0
"eps_tform[0, 27]",-1.842,0.474,-2.745,-0.969,0.021,0.014,517.0,596.0,1.0
"eps_tform[0, 28]",2.285,0.371,1.644,3.025,0.018,0.012,441.0,620.0,1.01
"eps_tform[0, 29]",-1.995,0.311,-2.548,-1.397,0.011,0.009,829.0,814.0,1.0
"eps_tform[0, 30]",0.874,0.344,0.171,1.472,0.013,0.009,673.0,806.0,1.0
"eps_tform[0, 31]",-1.354,0.398,-2.048,-0.57,0.015,0.011,740.0,724.0,1.0
"eps_tform[0, 32]",0.131,0.793,-1.278,1.627,0.025,0.024,1001.0,774.0,1.01
"eps_tform[0, 33]",0.814,0.275,0.282,1.288,0.009,0.008,986.0,930.0,1.0
"eps_tform[0, 34]",-0.63,0.449,-1.456,0.227,0.013,0.012,1195.0,810.0,1.01
"eps_tform[0, 35]",0.404,0.652,-0.848,1.576,0.018,0.02,1312.0,868.0,1.0
"eps_tform[0, 36]",0.324,0.445,-0.558,1.128,0.019,0.012,569.0,789.0,1.0
"eps_tform[0, 37]",-0.829,0.402,-1.578,-0.078,0.015,0.011,778.0,780.0,1.0
"eps_tform[0, 38]",-1.025,0.489,-2.077,-0.228,0.019,0.015,687.0,636.0,1.0
"eps_tform[0, 39]",0.579,0.453,-0.197,1.49,0.019,0.012,594.0,677.0,1.0
"eps_tform[0, 40]",1.358,0.38,0.602,2.029,0.013,0.011,898.0,708.0,1.0
"eps_tform[0, 41]",0.783,0.88,-1.074,2.317,0.02,0.032,1837.0,792.0,1.01
"eps_tform[0, 42]",0.003,1.014,-1.729,1.997,0.02,0.042,2735.0,689.0,1.02
"eps_tform[0, 43]",-0.085,0.988,-1.949,1.749,0.025,0.039,1560.0,495.0,1.01
"eps_tform[0, 44]",-0.531,1.001,-2.292,1.322,0.024,0.029,1796.0,711.0,1.01
"eps_tform[0, 45]",0.939,0.681,-0.358,2.227,0.022,0.02,1004.0,814.0,1.0
"eps_tform[0, 46]",-0.034,0.53,-0.98,0.97,0.018,0.016,915.0,872.0,1.01
"eps_tform[0, 47]",0.08,0.726,-1.301,1.395,0.022,0.018,1087.0,814.0,1.0
"eps_tform[0, 48]",-0.812,0.602,-1.935,0.333,0.022,0.017,778.0,703.0,1.0
"eps_tform[0, 49]",2.124,0.674,0.897,3.385,0.021,0.019,1074.0,883.0,1.0
"eps_tform[0, 50]",-0.435,0.985,-2.18,1.563,0.021,0.038,2102.0,742.0,1.0
"eps_tform[0, 51]",0.056,1.029,-1.845,1.918,0.024,0.041,1821.0,546.0,1.01
"eps_tform[0, 52]",0.011,0.985,-1.776,1.886,0.022,0.044,1913.0,700.0,1.01
"eps_tform[0, 53]",0.009,0.961,-1.768,1.684,0.022,0.03,1831.0,785.0,1.01
mu[0],35.577,0.113,35.363,35.775,0.004,0.002,705.0,915.0,1.01
peak_MJD[0],53263.963,0.093,53263.817,53264.202,0.007,0.008,317.0,123.0,1.01
theta[0],1.155,0.161,0.851,1.455,0.008,0.005,426.0,553.0,1.0
tmax[0],-0.911,0.09,-1.054,-0.68,0.007,0.008,317.0,123.0,1.01
