,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.046,0.031,0.0,0.103,0.002,0.001,260.0,327.0,1.03
Ds[0],34.121,0.036,34.059,34.193,0.004,0.001,85.0,404.0,1.04
RV[0],3.71,1.407,1.392,5.959,0.048,0.033,830.0,623.0,1.01
delM[0],0.001,0.101,-0.177,0.195,0.003,0.002,1185.0,977.0,1.0
"eps[0, 0]",0.079,0.037,0.01,0.144,0.003,0.002,221.0,195.0,1.02
"eps[1, 0]",0.559,0.075,0.416,0.692,0.004,0.002,307.0,523.0,1.01
"eps[2, 0]",-0.058,0.049,-0.148,0.037,0.003,0.002,219.0,279.0,1.01
"eps[3, 0]",0.229,0.041,0.156,0.305,0.002,0.001,364.0,657.0,1.0
"eps[4, 0]",-0.124,0.034,-0.189,-0.061,0.003,0.001,185.0,242.0,1.01
"eps[5, 0]",-0.185,0.34,-0.879,0.421,0.016,0.01,455.0,402.0,1.0
"eps[6, 0]",-0.255,0.095,-0.438,-0.09,0.005,0.003,400.0,468.0,1.0
"eps[7, 0]",-0.142,0.054,-0.252,-0.047,0.003,0.001,424.0,661.0,1.01
"eps[8, 0]",-0.088,0.173,-0.428,0.223,0.006,0.005,756.0,743.0,1.01
"eps[9, 0]",-0.028,0.024,-0.078,0.011,0.002,0.001,241.0,316.0,1.01
"eps[10, 0]",0.04,0.024,-0.004,0.084,0.001,0.001,295.0,386.0,1.01
"eps[11, 0]",0.019,0.019,-0.012,0.056,0.001,0.001,241.0,425.0,1.01
"eps[12, 0]",-0.011,0.019,-0.047,0.025,0.001,0.001,196.0,271.0,1.01
"eps[13, 0]",-0.058,0.02,-0.092,-0.018,0.002,0.001,137.0,384.0,1.03
"eps[14, 0]",-0.013,0.12,-0.241,0.209,0.007,0.004,330.0,597.0,1.01
"eps[15, 0]",-0.065,0.037,-0.134,0.001,0.003,0.001,173.0,606.0,1.02
"eps[16, 0]",-0.041,0.028,-0.096,0.01,0.003,0.001,99.0,414.0,1.04
"eps[17, 0]",0.044,0.041,-0.03,0.128,0.002,0.001,328.0,656.0,1.02
"eps[18, 0]",-0.07,0.031,-0.127,-0.012,0.002,0.001,211.0,378.0,1.02
"eps[19, 0]",0.113,0.023,0.07,0.158,0.001,0.001,553.0,666.0,1.0
"eps[20, 0]",-0.06,0.018,-0.097,-0.03,0.001,0.001,418.0,409.0,1.01
"eps[21, 0]",0.007,0.016,-0.023,0.038,0.001,0.001,377.0,479.0,1.01
"eps[22, 0]",-0.041,0.018,-0.072,-0.006,0.001,0.001,292.0,540.0,1.01
"eps[23, 0]",0.194,0.178,-0.128,0.529,0.01,0.005,302.0,591.0,1.0
"eps[24, 0]",-0.146,0.05,-0.246,-0.058,0.003,0.001,246.0,590.0,1.02
"eps[25, 0]",-0.083,0.031,-0.14,-0.027,0.002,0.001,414.0,777.0,1.01
"eps[26, 0]",0.092,0.062,-0.019,0.205,0.003,0.002,503.0,525.0,1.01
"eps[27, 0]",-0.075,0.053,-0.179,0.023,0.004,0.002,194.0,529.0,1.02
"eps[28, 0]",0.084,0.033,0.028,0.15,0.001,0.001,599.0,538.0,1.0
"eps[29, 0]",0.02,0.027,-0.027,0.071,0.001,0.001,408.0,704.0,1.01
"eps[30, 0]",0.059,0.022,0.019,0.101,0.001,0.001,246.0,472.0,1.01
"eps[31, 0]",-0.032,0.034,-0.098,0.027,0.002,0.001,210.0,469.0,1.02
"eps[32, 0]",-0.568,0.294,-1.045,0.071,0.016,0.009,334.0,570.0,1.01
"eps[33, 0]",0.078,0.074,-0.063,0.215,0.005,0.002,195.0,445.0,1.01
"eps[34, 0]",-0.053,0.072,-0.186,0.085,0.005,0.002,207.0,483.0,1.02
"eps[35, 0]",0.105,0.053,0.014,0.211,0.003,0.001,444.0,789.0,1.01
"eps[36, 0]",-0.042,0.027,-0.092,0.004,0.002,0.001,279.0,308.0,1.01
"eps[37, 0]",0.262,0.064,0.142,0.376,0.004,0.002,211.0,481.0,1.02
"eps[38, 0]",0.032,0.023,-0.009,0.079,0.001,0.001,274.0,370.0,1.01
"eps[39, 0]",0.112,0.043,0.03,0.19,0.003,0.001,200.0,453.0,1.02
"eps[40, 0]",0.017,0.025,-0.026,0.068,0.001,0.001,337.0,535.0,1.01
"eps[41, 0]",0.745,0.296,0.186,1.247,0.015,0.011,406.0,596.0,1.01
"eps[42, 0]",-0.06,0.059,-0.165,0.053,0.002,0.002,664.0,839.0,1.0
"eps[43, 0]",0.213,0.061,0.098,0.327,0.003,0.002,389.0,500.0,1.0
"eps[44, 0]",0.025,0.055,-0.079,0.128,0.002,0.002,641.0,824.0,1.0
"eps[45, 0]",0.062,0.031,0.003,0.119,0.002,0.001,380.0,621.0,1.01
"eps[46, 0]",0.2,0.067,0.078,0.331,0.003,0.002,498.0,582.0,1.0
"eps[47, 0]",0.002,0.021,-0.036,0.043,0.001,0.001,401.0,668.0,1.01
"eps[48, 0]",0.094,0.032,0.033,0.147,0.002,0.001,435.0,596.0,1.01
"eps[49, 0]",-0.049,0.023,-0.089,-0.005,0.001,0.001,271.0,500.0,1.01
"eps[50, 0]",-0.184,0.534,-1.151,0.828,0.028,0.017,356.0,535.0,1.01
"eps[51, 0]",0.305,0.203,-0.083,0.691,0.01,0.006,435.0,570.0,1.01
"eps[52, 0]",0.189,0.09,0.032,0.371,0.003,0.002,701.0,642.0,1.01
"eps[53, 0]",0.084,0.06,-0.025,0.189,0.003,0.002,416.0,634.0,1.01
"eps_tform[0, 0]",0.519,0.24,0.066,0.948,0.017,0.013,221.0,195.0,1.02
"eps_tform[0, 1]",1.765,0.243,1.323,2.227,0.014,0.007,283.0,547.0,1.01
"eps_tform[0, 2]",0.542,0.176,0.208,0.856,0.013,0.01,199.0,161.0,1.01
"eps_tform[0, 3]",-0.238,0.07,-0.358,-0.095,0.004,0.002,327.0,445.0,1.02
"eps_tform[0, 4]",-0.503,0.068,-0.621,-0.365,0.004,0.002,303.0,625.0,1.02
"eps_tform[0, 5]",0.047,0.529,-0.974,1.051,0.025,0.014,477.0,572.0,1.0
"eps_tform[0, 6]",-0.569,0.135,-0.813,-0.315,0.006,0.004,496.0,734.0,1.01
"eps_tform[0, 7]",-0.957,0.333,-1.631,-0.392,0.016,0.008,430.0,744.0,1.01
"eps_tform[0, 8]",-0.487,0.75,-1.809,0.989,0.026,0.022,857.0,763.0,1.02
"eps_tform[0, 9]",-0.658,0.379,-1.401,-0.016,0.025,0.017,243.0,245.0,1.01
"eps_tform[0, 10]",0.168,0.23,-0.234,0.618,0.012,0.006,348.0,590.0,1.0
"eps_tform[0, 11]",0.442,0.308,-0.083,1.079,0.022,0.012,203.0,298.0,1.02
"eps_tform[0, 12]",-0.37,0.274,-0.873,0.129,0.017,0.008,251.0,526.0,1.01
"eps_tform[0, 13]",-1.354,0.327,-1.983,-0.78,0.032,0.011,98.0,373.0,1.04
"eps_tform[0, 14]",0.36,0.908,-1.33,2.011,0.049,0.03,339.0,523.0,1.01
"eps_tform[0, 15]",-0.543,0.351,-1.179,0.108,0.032,0.011,119.0,486.0,1.03
"eps_tform[0, 16]",-0.292,0.335,-0.919,0.353,0.036,0.011,89.0,354.0,1.04
"eps_tform[0, 17]",0.87,0.496,-0.012,1.86,0.025,0.016,385.0,530.0,1.02
"eps_tform[0, 18]",-0.743,0.5,-1.683,0.181,0.039,0.017,162.0,344.0,1.02
"eps_tform[0, 19]",0.565,0.224,0.139,0.991,0.009,0.006,673.0,763.0,1.0
"eps_tform[0, 20]",-0.856,0.311,-1.463,-0.305,0.017,0.011,326.0,431.0,1.01
"eps_tform[0, 21]",-0.558,0.334,-1.183,0.069,0.018,0.01,353.0,405.0,1.01
"eps_tform[0, 22]",0.003,0.25,-0.46,0.478,0.017,0.01,210.0,365.0,1.01
"eps_tform[0, 23]",0.984,0.938,-0.727,2.833,0.047,0.03,405.0,449.0,1.01
