,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.452,0.075,0.314,0.591,0.004,0.002,440.0,537.0,1.01
Ds[0],35.467,0.062,35.353,35.585,0.003,0.002,462.0,602.0,1.01
RV[0],2.119,0.495,1.271,3.109,0.022,0.017,476.0,534.0,1.01
delM[0],0.001,0.095,-0.177,0.175,0.003,0.002,956.0,989.0,1.0
"eps[0, 0]",0.484,0.077,0.345,0.639,0.003,0.002,855.0,746.0,1.01
"eps[1, 0]",0.014,0.138,-0.227,0.299,0.004,0.004,1098.0,789.0,1.0
"eps[2, 0]",0.47,0.131,0.205,0.708,0.004,0.004,1208.0,699.0,1.0
"eps[3, 0]",-0.076,0.096,-0.254,0.094,0.003,0.003,1065.0,781.0,1.0
"eps[4, 0]",0.227,0.098,0.054,0.412,0.003,0.003,1130.0,799.0,1.0
"eps[5, 0]",0.09,0.533,-0.894,1.122,0.015,0.017,1336.0,759.0,1.0
"eps[6, 0]",0.203,0.408,-0.583,0.958,0.01,0.012,1626.0,805.0,1.0
"eps[7, 0]",0.063,0.135,-0.197,0.3,0.004,0.004,1220.0,813.0,1.0
"eps[8, 0]",0.176,0.198,-0.198,0.538,0.005,0.006,1303.0,813.0,1.0
"eps[9, 0]",-0.002,0.037,-0.07,0.066,0.001,0.001,810.0,381.0,1.01
"eps[10, 0]",0.011,0.029,-0.041,0.066,0.001,0.001,794.0,791.0,1.0
"eps[11, 0]",0.05,0.028,-0.001,0.104,0.001,0.001,792.0,680.0,1.0
"eps[12, 0]",0.074,0.03,0.014,0.126,0.001,0.001,556.0,719.0,1.0
"eps[13, 0]",-0.041,0.027,-0.09,0.01,0.001,0.001,745.0,795.0,1.0
"eps[14, 0]",-0.153,0.113,-0.36,0.05,0.003,0.003,1056.0,688.0,1.0
"eps[15, 0]",-0.172,0.073,-0.301,-0.03,0.002,0.002,945.0,836.0,1.0
"eps[16, 0]",-0.0,0.07,-0.133,0.125,0.002,0.002,1166.0,542.0,1.0
"eps[17, 0]",-0.044,0.07,-0.173,0.083,0.002,0.002,1170.0,857.0,1.01
"eps[18, 0]",0.067,0.04,-0.006,0.142,0.001,0.001,822.0,681.0,1.01
"eps[19, 0]",0.111,0.038,0.038,0.182,0.001,0.001,794.0,884.0,1.0
"eps[20, 0]",-0.146,0.029,-0.197,-0.091,0.001,0.001,762.0,737.0,1.0
"eps[21, 0]",-0.073,0.031,-0.129,-0.016,0.001,0.001,656.0,693.0,1.0
"eps[22, 0]",-0.202,0.028,-0.258,-0.152,0.001,0.001,735.0,940.0,1.0
"eps[23, 0]",0.03,0.134,-0.198,0.31,0.005,0.004,823.0,811.0,1.01
"eps[24, 0]",-0.375,0.065,-0.502,-0.257,0.002,0.002,709.0,808.0,1.0
"eps[25, 0]",-0.347,0.064,-0.466,-0.233,0.003,0.002,640.0,764.0,1.0
"eps[26, 0]",-0.064,0.062,-0.165,0.068,0.003,0.002,586.0,664.0,1.0
"eps[27, 0]",-0.099,0.049,-0.18,-0.003,0.002,0.001,822.0,716.0,1.0
"eps[28, 0]",0.429,0.052,0.325,0.52,0.002,0.001,924.0,858.0,1.0
"eps[29, 0]",-0.104,0.029,-0.153,-0.045,0.001,0.001,889.0,835.0,1.0
"eps[30, 0]",0.077,0.031,0.022,0.138,0.001,0.001,703.0,752.0,1.0
"eps[31, 0]",-0.095,0.039,-0.177,-0.026,0.001,0.001,769.0,847.0,1.0
"eps[32, 0]",-0.025,0.218,-0.436,0.353,0.007,0.006,1068.0,843.0,1.0
"eps[33, 0]",-0.049,0.075,-0.188,0.083,0.003,0.002,761.0,845.0,1.0
"eps[34, 0]",0.023,0.084,-0.13,0.188,0.003,0.002,756.0,779.0,1.0
"eps[35, 0]",0.057,0.057,-0.05,0.163,0.003,0.002,486.0,554.0,1.01
"eps[36, 0]",0.061,0.037,-0.004,0.131,0.001,0.001,869.0,541.0,1.0
"eps[37, 0]",-0.217,0.075,-0.358,-0.08,0.003,0.002,840.0,861.0,1.0
