,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.116,0.052,0.015,0.206,0.002,0.001,499.0,511.0,1.01
Ds[0],35.866,0.043,35.786,35.948,0.002,0.001,553.0,585.0,1.0
RV[0],3.855,1.352,1.616,6.0,0.044,0.031,1003.0,535.0,1.01
delM[0],0.002,0.094,-0.162,0.19,0.003,0.002,1076.0,990.0,1.0
"eps[0, 0]",-0.087,0.062,-0.212,0.016,0.003,0.002,349.0,564.0,1.02
"eps[1, 0]",-0.265,0.098,-0.457,-0.092,0.004,0.003,664.0,697.0,1.01
"eps[2, 0]",0.167,0.096,-0.003,0.348,0.004,0.002,662.0,881.0,1.0
"eps[3, 0]",-0.194,0.078,-0.334,-0.054,0.003,0.002,755.0,822.0,1.01
"eps[4, 0]",-0.063,0.081,-0.211,0.094,0.003,0.002,840.0,854.0,1.0
"eps[5, 0]",-0.076,0.493,-0.978,0.849,0.019,0.014,681.0,745.0,1.0
"eps[6, 0]",-0.204,0.293,-0.744,0.37,0.011,0.008,668.0,570.0,1.0
"eps[7, 0]",-0.132,0.128,-0.359,0.118,0.004,0.004,1091.0,720.0,1.0
"eps[8, 0]",-0.087,0.196,-0.461,0.285,0.005,0.006,1360.0,953.0,1.0
"eps[9, 0]",-0.075,0.031,-0.133,-0.02,0.001,0.001,465.0,571.0,1.0
"eps[10, 0]",-0.064,0.031,-0.123,-0.009,0.001,0.001,651.0,569.0,1.0
"eps[11, 0]",-0.004,0.03,-0.058,0.049,0.001,0.001,660.0,692.0,1.01
"eps[12, 0]",-0.063,0.025,-0.111,-0.019,0.001,0.001,644.0,658.0,1.0
"eps[13, 0]",-0.026,0.031,-0.08,0.035,0.001,0.001,550.0,609.0,1.0
"eps[14, 0]",-0.062,0.099,-0.232,0.139,0.004,0.003,695.0,646.0,1.0
"eps[15, 0]",-0.142,0.063,-0.249,-0.018,0.002,0.002,796.0,778.0,1.01
"eps[16, 0]",0.02,0.044,-0.076,0.097,0.002,0.001,629.0,747.0,1.01
"eps[17, 0]",-0.065,0.053,-0.164,0.031,0.002,0.001,1010.0,938.0,1.0
"eps[18, 0]",-0.059,0.034,-0.118,0.003,0.001,0.001,570.0,529.0,1.0
"eps[19, 0]",-0.073,0.029,-0.128,-0.021,0.001,0.001,624.0,754.0,1.0
"eps[20, 0]",0.127,0.03,0.074,0.184,0.001,0.001,558.0,506.0,1.0
"eps[21, 0]",0.046,0.025,-0.006,0.09,0.001,0.001,706.0,767.0,1.0
"eps[22, 0]",0.205,0.03,0.141,0.254,0.001,0.001,659.0,701.0,1.01
"eps[23, 0]",-0.101,0.117,-0.316,0.118,0.004,0.003,982.0,776.0,1.01
"eps[24, 0]",0.11,0.08,-0.027,0.274,0.003,0.002,712.0,736.0,1.01
"eps[25, 0]",0.205,0.097,0.024,0.377,0.003,0.003,1174.0,965.0,1.0
"eps[26, 0]",-0.043,0.107,-0.249,0.139,0.003,0.003,1341.0,951.0,1.0
"eps[27, 0]",-0.046,0.052,-0.151,0.041,0.002,0.002,556.0,747.0,1.01
"eps[28, 0]",0.155,0.052,0.046,0.243,0.002,0.001,1080.0,945.0,1.0
"eps[29, 0]",-0.055,0.042,-0.128,0.024,0.001,0.001,882.0,791.0,1.0
"eps[30, 0]",0.1,0.033,0.036,0.159,0.001,0.001,966.0,927.0,1.01
"eps[31, 0]",-0.003,0.048,-0.092,0.085,0.002,0.001,666.0,756.0,1.01
"eps[32, 0]",0.064,0.189,-0.255,0.431,0.005,0.005,1285.0,946.0,1.0
"eps[33, 0]",-0.082,0.102,-0.265,0.111,0.004,0.003,650.0,672.0,1.0
"eps[34, 0]",0.117,0.137,-0.139,0.36,0.004,0.004,1329.0,677.0,1.01
"eps[35, 0]",-0.021,0.07,-0.153,0.105,0.002,0.002,1391.0,832.0,1.01
"eps[36, 0]",0.005,0.048,-0.089,0.094,0.001,0.001,1063.0,834.0,1.0
