,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.797,0.081,0.635,0.94,0.005,0.003,270.0,403.0,1.01
Ds[0],33.69,0.06,33.572,33.798,0.003,0.002,297.0,480.0,1.01
RV[0],3.419,0.604,2.316,4.534,0.036,0.024,286.0,444.0,1.01
delM[0],-0.006,0.1,-0.186,0.182,0.003,0.002,866.0,845.0,1.01
"eps[0, 0]",0.016,0.055,-0.092,0.112,0.002,0.002,665.0,600.0,1.01
"eps[1, 0]",-0.057,0.108,-0.256,0.146,0.005,0.003,429.0,586.0,1.0
"eps[2, 0]",0.139,0.059,0.024,0.247,0.002,0.002,583.0,729.0,1.0
"eps[3, 0]",-0.114,0.064,-0.233,0.004,0.003,0.002,492.0,566.0,1.0
"eps[4, 0]",-0.008,0.041,-0.086,0.066,0.002,0.001,576.0,819.0,1.0
"eps[5, 0]",-0.102,0.4,-0.905,0.573,0.013,0.012,896.0,630.0,1.01
"eps[6, 0]",0.145,0.123,-0.09,0.385,0.005,0.004,625.0,575.0,1.0
"eps[7, 0]",0.064,0.062,-0.055,0.178,0.003,0.002,484.0,532.0,1.01
"eps[8, 0]",0.095,0.086,-0.053,0.269,0.004,0.002,531.0,599.0,1.0
"eps[9, 0]",0.035,0.041,-0.041,0.113,0.002,0.001,623.0,697.0,1.0
"eps[10, 0]",0.093,0.036,0.026,0.161,0.002,0.001,569.0,793.0,1.0
"eps[11, 0]",0.031,0.024,-0.014,0.072,0.001,0.001,638.0,760.0,1.01
"eps[12, 0]",0.028,0.033,-0.038,0.084,0.002,0.001,340.0,555.0,1.01
"eps[13, 0]",-0.022,0.024,-0.072,0.019,0.001,0.001,531.0,651.0,1.01
"eps[14, 0]",-0.042,0.13,-0.276,0.199,0.005,0.004,761.0,611.0,1.01
"eps[15, 0]",-0.098,0.053,-0.203,-0.001,0.002,0.001,519.0,690.0,1.0
"eps[16, 0]",0.079,0.044,-0.001,0.167,0.002,0.001,324.0,683.0,1.01
"eps[17, 0]",0.087,0.052,-0.018,0.183,0.003,0.002,329.0,563.0,1.01
"eps[18, 0]",-0.076,0.04,-0.148,0.002,0.002,0.001,601.0,508.0,1.01
"eps[19, 0]",0.113,0.042,0.039,0.19,0.001,0.001,1081.0,729.0,1.0
"eps[20, 0]",-0.093,0.029,-0.145,-0.038,0.001,0.001,718.0,852.0,1.0
"eps[21, 0]",-0.022,0.03,-0.078,0.036,0.001,0.001,458.0,658.0,1.0
"eps[22, 0]",-0.118,0.026,-0.168,-0.073,0.001,0.001,634.0,852.0,1.01
"eps[23, 0]",0.057,0.174,-0.225,0.426,0.006,0.004,854.0,845.0,1.0
"eps[24, 0]",-0.14,0.066,-0.254,-0.014,0.003,0.002,518.0,798.0,1.01
"eps[25, 0]",-0.065,0.063,-0.185,0.05,0.003,0.002,346.0,650.0,1.0
"eps[26, 0]",0.111,0.057,0.009,0.219,0.003,0.002,358.0,520.0,1.01
"eps[27, 0]",0.047,0.059,-0.069,0.15,0.003,0.002,531.0,755.0,1.01
"eps[28, 0]",0.219,0.055,0.119,0.321,0.002,0.002,900.0,737.0,1.0
"eps[29, 0]",-0.03,0.031,-0.089,0.028,0.001,0.001,624.0,620.0,1.0
"eps[30, 0]",-0.003,0.032,-0.061,0.061,0.002,0.001,372.0,659.0,1.01
"eps[31, 0]",-0.076,0.044,-0.154,0.011,0.002,0.001,445.0,750.0,1.0
"eps[32, 0]",-0.059,0.273,-0.608,0.401,0.011,0.006,711.0,911.0,1.0
"eps[33, 0]",-0.074,0.084,-0.242,0.073,0.003,0.002,619.0,688.0,1.0
"eps[34, 0]",0.012,0.079,-0.135,0.158,0.004,0.002,499.0,758.0,1.0
"eps[35, 0]",-0.008,0.061,-0.118,0.109,0.003,0.002,581.0,875.0,1.01
"eps[36, 0]",0.054,0.049,-0.04,0.141,0.002,0.002,1038.0,700.0,1.0
"eps[37, 0]",0.143,0.099,-0.048,0.316,0.004,0.002,550.0,883.0,1.0
"eps[38, 0]",-0.01,0.036,-0.082,0.057,0.001,0.001,586.0,865.0,1.0
"eps[39, 0]",-0.164,0.071,-0.286,-0.028,0.003,0.002,554.0,916.0,1.0
"eps[40, 0]",-0.114,0.041,-0.186,-0.034,0.002,0.001,514.0,723.0,1.0
"eps[41, 0]",-0.305,0.326,-0.921,0.253,0.01,0.008,1058.0,826.0,1.01
"eps[42, 0]",0.132,0.133,-0.113,0.396,0.003,0.004,1541.0,797.0,1.0
"eps[43, 0]",-0.26,0.104,-0.43,-0.045,0.003,0.003,1454.0,806.0,1.0
"eps[44, 0]",-0.052,0.082,-0.192,0.107,0.003,0.003,1053.0,672.0,1.0
"eps[45, 0]",0.041,0.063,-0.089,0.147,0.002,0.002,1499.0,674.0,1.01
"eps[46, 0]",0.351,0.288,-0.159,0.933,0.008,0.009,1373.0,781.0,1.0
"eps[47, 0]",0.039,0.032,-0.021,0.098,0.001,0.001,1194.0,703.0,1.0
"eps[48, 0]",0.13,0.08,-0.014,0.286,0.002,0.002,1312.0,829.0,1.0
"eps[49, 0]",-0.062,0.08,-0.217,0.078,0.002,0.003,1358.0,748.0,1.0
"eps[50, 0]",1.03,0.648,-0.121,2.354,0.017,0.02,1411.0,738.0,1.01
"eps[51, 0]",-0.53,0.318,-1.111,0.044,0.008,0.011,1529.0,869.0,1.0
"eps[52, 0]",0.179,0.122,-0.051,0.405,0.004,0.003,1223.0,884.0,1.0
"eps[53, 0]",-0.056,0.081,-0.212,0.083,0.002,0.002,1481.0,721.0,1.0
"eps_tform[0, 0]",0.106,0.362,-0.604,0.733,0.014,0.012,665.0,600.0,1.01
"eps_tform[0, 1]",-0.151,0.346,-0.818,0.482,0.017,0.012,422.0,534.0,1.01
"eps_tform[0, 2]",0.55,0.198,0.202,0.918,0.008,0.005,572.0,830.0,1.0
"eps_tform[0, 3]",-0.339,0.159,-0.621,-0.032,0.007,0.005,475.0,604.0,1.01
"eps_tform[0, 4]",-0.259,0.089,-0.427,-0.094,0.004,0.002,604.0,773.0,1.0
"eps_tform[0, 5]",-0.171,0.62,-1.308,1.005,0.02,0.018,915.0,584.0,1.01
"eps_tform[0, 6]",0.339,0.156,0.054,0.649,0.007,0.005,463.0,619.0,1.0
"eps_tform[0, 7]",0.394,0.362,-0.263,1.097,0.017,0.01,454.0,493.0,1.01
"eps_tform[0, 8]",0.337,0.298,-0.21,0.888,0.013,0.006,503.0,855.0,1.0
"eps_tform[0, 9]",0.645,0.657,-0.71,1.757,0.026,0.022,611.0,626.0,1.0
"eps_tform[0, 10]",0.923,0.332,0.262,1.493,0.014,0.008,548.0,789.0,1.0
"eps_tform[0, 11]",0.787,0.429,-0.021,1.565,0.019,0.011,506.0,713.0,1.01
"eps_tform[0, 12]",-0.244,0.617,-1.353,0.933,0.033,0.019,343.0,488.0,1.01
"eps_tform[0, 13]",-0.533,0.401,-1.317,0.171,0.018,0.012,493.0,647.0,1.01
"eps_tform[0, 14]",-0.249,0.978,-2.057,1.504,0.034,0.027,841.0,673.0,1.01
"eps_tform[0, 15]",-1.04,0.457,-1.906,-0.221,0.02,0.013,502.0,678.0,1.01
"eps_tform[0, 16]",1.119,0.539,0.075,2.113,0.03,0.015,318.0,608.0,1.01
"eps_tform[0, 17]",1.041,0.531,-0.057,1.961,0.027,0.016,379.0,735.0,1.01
"eps_tform[0, 18]",-1.156,0.592,-2.204,0.087,0.025,0.018,581.0,548.0,1.01
"eps_tform[0, 19]",0.481,0.362,-0.177,1.181,0.013,0.012,828.0,654.0,1.0
"eps_tform[0, 20]",-1.014,0.409,-1.875,-0.325,0.015,0.011,700.0,846.0,1.0
"eps_tform[0, 21]",-0.52,0.455,-1.46,0.302,0.019,0.013,577.0,533.0,1.0
"eps_tform[0, 22]",-0.443,0.329,-1.084,0.152,0.014,0.009,583.0,809.0,1.01
"eps_tform[0, 23]",0.531,0.94,-1.028,2.411,0.028,0.023,1105.0,828.0,1.0
"eps_tform[0, 24]",-0.44,0.292,-1.012,0.099,0.014,0.008,438.0,635.0,1.01
"eps_tform[0, 25]",-0.36,0.393,-1.009,0.482,0.018,0.01,468.0,714.0,1.01
"eps_tform[0, 26]",0.793,0.268,0.32,1.326,0.009,0.006,850.0,870.0,1.0
"eps_tform[0, 27]",0.495,0.577,-0.608,1.56,0.023,0.016,640.0,714.0,1.0
"eps_tform[0, 28]",1.342,0.414,0.592,2.088,0.016,0.011,687.0,789.0,1.0
"eps_tform[0, 29]",-0.613,0.347,-1.273,0.012,0.013,0.008,766.0,812.0,1.01
"eps_tform[0, 30]",0.476,0.355,-0.211,1.109,0.015,0.009,535.0,695.0,1.0
"eps_tform[0, 31]",-0.137,0.352,-0.825,0.485,0.013,0.01,741.0,663.0,1.0
"eps_tform[0, 32]",0.591,0.891,-1.044,2.24,0.023,0.024,1445.0,860.0,1.0
"eps_tform[0, 33]",-0.059,0.246,-0.519,0.384,0.009,0.007,744.0,689.0,1.01
"eps_tform[0, 34]",-0.189,0.358,-0.869,0.473,0.012,0.008,957.0,961.0,1.0
"eps_tform[0, 35]",-0.47,0.587,-1.702,0.551,0.017,0.015,1132.0,694.0,1.0
"eps_tform[0, 36]",0.177,0.69,-1.103,1.514,0.019,0.024,1318.0,805.0,1.0
"eps_tform[0, 37]",0.846,0.515,-0.116,1.807,0.02,0.013,630.0,803.0,1.0
"eps_tform[0, 38]",-0.635,0.606,-1.778,0.467,0.023,0.016,676.0,870.0,1.01
"eps_tform[0, 39]",-1.472,0.658,-2.602,-0.208,0.021,0.018,992.0,865.0,1.0
"eps_tform[0, 40]",0.398,0.418,-0.424,1.137,0.013,0.011,1093.0,811.0,1.0
"eps_tform[0, 41]",0.002,0.993,-1.839,1.834,0.022,0.031,2007.0,840.0,1.0
"eps_tform[0, 42]",0.702,0.785,-0.831,2.106,0.02,0.024,1644.0,716.0,1.0
"eps_tform[0, 43]",-0.16,0.974,-1.952,1.568,0.018,0.031,2921.0,833.0,1.01
"eps_tform[0, 44]",0.074,0.955,-1.811,1.724,0.021,0.031,2146.0,644.0,1.0
"eps_tform[0, 45]",0.101,0.974,-1.792,1.809,0.024,0.038,1687.0,575.0,1.0
"eps_tform[0, 46]",0.849,0.994,-0.996,2.808,0.025,0.034,1606.0,687.0,1.0
"eps_tform[0, 47]",0.194,0.926,-1.535,1.835,0.021,0.038,1865.0,565.0,1.01
"eps_tform[0, 48]",0.215,0.967,-1.817,1.815,0.019,0.031,2531.0,764.0,1.01
"eps_tform[0, 49]",-0.109,0.904,-1.748,1.601,0.021,0.027,1848.0,798.0,1.0
"eps_tform[0, 50]",0.008,0.984,-1.702,1.808,0.02,0.031,2394.0,783.0,1.0
"eps_tform[0, 51]",-0.131,1.025,-1.919,1.975,0.024,0.038,1844.0,661.0,1.0
"eps_tform[0, 52]",0.02,1.024,-1.896,1.942,0.019,0.036,3000.0,737.0,1.0
"eps_tform[0, 53]",-0.009,0.955,-1.717,1.727,0.019,0.035,2535.0,666.0,1.0
mu[0],33.695,0.115,33.499,33.923,0.005,0.003,634.0,833.0,1.01
peak_MJD[0],53697.772,0.126,53697.527,53698.0,0.005,0.004,681.0,589.0,1.0
theta[0],0.4,0.242,-0.055,0.862,0.012,0.007,395.0,543.0,1.0
tmax[0],-0.529,0.124,-0.77,-0.304,0.005,0.004,681.0,589.0,1.0
