,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.124,0.055,0.024,0.222,0.003,0.002,268.0,518.0,1.02
Ds[0],34.606,0.045,34.526,34.692,0.003,0.001,263.0,482.0,1.03
RV[0],4.286,1.19,2.123,5.999,0.041,0.034,930.0,574.0,1.02
delM[0],0.002,0.093,-0.154,0.187,0.003,0.002,950.0,992.0,1.0
"eps[0, 0]",-0.163,0.058,-0.261,-0.05,0.002,0.002,656.0,744.0,1.01
"eps[1, 0]",-0.022,0.17,-0.368,0.268,0.007,0.005,647.0,666.0,1.0
"eps[2, 0]",-0.031,0.135,-0.245,0.281,0.005,0.004,637.0,584.0,1.01
"eps[3, 0]",0.172,0.091,-0.006,0.325,0.003,0.003,796.0,706.0,1.0
"eps[4, 0]",-0.109,0.081,-0.259,0.04,0.003,0.003,699.0,632.0,1.0
"eps[5, 0]",-0.828,0.314,-1.384,-0.245,0.015,0.009,473.0,595.0,1.0
"eps[6, 0]",0.529,0.131,0.275,0.758,0.006,0.004,471.0,676.0,1.01
"eps[7, 0]",0.233,0.053,0.123,0.325,0.002,0.002,498.0,642.0,1.01
"eps[8, 0]",0.124,0.086,-0.043,0.281,0.004,0.002,507.0,627.0,1.01
"eps[9, 0]",-0.07,0.029,-0.122,-0.013,0.001,0.001,384.0,534.0,1.01
"eps[10, 0]",-0.053,0.029,-0.108,-0.001,0.001,0.001,523.0,618.0,1.01
"eps[11, 0]",-0.036,0.024,-0.078,0.011,0.001,0.001,617.0,773.0,1.0
"eps[12, 0]",-0.073,0.022,-0.11,-0.029,0.001,0.001,441.0,635.0,1.01
"eps[13, 0]",-0.083,0.023,-0.125,-0.038,0.001,0.001,417.0,628.0,1.01
"eps[14, 0]",-0.24,0.171,-0.52,0.088,0.009,0.005,387.0,678.0,1.01
"eps[15, 0]",-0.059,0.067,-0.179,0.055,0.004,0.002,353.0,636.0,1.01
"eps[16, 0]",-0.067,0.039,-0.136,0.011,0.002,0.001,363.0,537.0,1.02
"eps[17, 0]",-0.044,0.044,-0.117,0.045,0.002,0.001,418.0,782.0,1.02
"eps[18, 0]",-0.172,0.029,-0.223,-0.117,0.002,0.001,362.0,511.0,1.01
