,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.257,0.111,0.063,0.456,0.005,0.004,456.0,667.0,1.01
Ds[0],36.342,0.099,36.14,36.515,0.005,0.003,463.0,532.0,1.01
RV[0],3.795,1.31,1.704,5.994,0.044,0.029,885.0,654.0,1.01
delM[0],0.002,0.098,-0.173,0.188,0.003,0.002,867.0,891.0,1.0
"eps[0, 0]",0.022,0.129,-0.205,0.275,0.004,0.004,1115.0,766.0,1.01
"eps[1, 0]",-0.024,0.276,-0.518,0.498,0.008,0.008,1274.0,933.0,1.0
"eps[2, 0]",0.339,0.218,-0.053,0.76,0.007,0.007,980.0,770.0,1.0
"eps[3, 0]",0.136,0.238,-0.278,0.61,0.007,0.007,1030.0,775.0,1.0
"eps[4, 0]",0.206,0.233,-0.226,0.637,0.007,0.007,990.0,724.0,1.0
"eps[5, 0]",0.474,0.6,-0.616,1.588,0.015,0.016,1648.0,877.0,1.0
"eps[6, 0]",-0.255,0.471,-1.139,0.579,0.011,0.014,1794.0,894.0,1.0
"eps[7, 0]",0.0,0.15,-0.278,0.295,0.004,0.005,1542.0,799.0,1.0
"eps[8, 0]",-0.091,0.21,-0.471,0.306,0.005,0.007,2034.0,646.0,1.0
"eps[9, 0]",0.109,0.046,0.027,0.197,0.002,0.001,681.0,686.0,1.0
"eps[10, 0]",0.134,0.047,0.048,0.222,0.002,0.001,840.0,634.0,1.0
"eps[11, 0]",-0.035,0.041,-0.103,0.046,0.002,0.001,714.0,656.0,1.0
"eps[12, 0]",0.018,0.04,-0.06,0.086,0.001,0.001,1096.0,822.0,1.0
"eps[13, 0]",-0.0,0.049,-0.085,0.096,0.002,0.001,667.0,734.0,1.0
"eps[14, 0]",-0.007,0.119,-0.226,0.219,0.003,0.003,1551.0,906.0,1.0
"eps[15, 0]",0.005,0.094,-0.16,0.186,0.003,0.003,1370.0,792.0,1.0
"eps[16, 0]",-0.005,0.081,-0.163,0.144,0.002,0.003,2020.0,648.0,1.01
"eps[17, 0]",0.0,0.08,-0.176,0.133,0.002,0.002,1745.0,864.0,1.0
"eps[18, 0]",0.042,0.045,-0.043,0.122,0.002,0.002,710.0,548.0,1.0
