,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.116,0.062,0.001,0.223,0.002,0.002,594.0,504.0,1.0
Ds[0],34.713,0.064,34.596,34.829,0.003,0.002,638.0,799.0,1.0
RV[0],4.227,1.291,1.85,5.999,0.039,0.033,1097.0,696.0,1.0
delM[0],-0.002,0.095,-0.164,0.188,0.003,0.002,963.0,949.0,1.0
"eps[0, 0]",-0.085,0.129,-0.312,0.163,0.004,0.004,1005.0,834.0,1.01
"eps[1, 0]",0.203,0.287,-0.311,0.711,0.009,0.009,1060.0,705.0,1.0
"eps[2, 0]",-0.178,0.207,-0.584,0.206,0.005,0.007,1511.0,686.0,1.0
"eps[3, 0]",0.192,0.25,-0.26,0.658,0.007,0.009,1279.0,882.0,1.01
"eps[4, 0]",-0.097,0.262,-0.61,0.355,0.007,0.008,1583.0,775.0,1.01
"eps[5, 0]",0.281,0.593,-0.81,1.437,0.016,0.018,1316.0,679.0,1.0
"eps[6, 0]",0.266,0.455,-0.553,1.145,0.012,0.015,1408.0,668.0,1.0
"eps[7, 0]",0.099,0.143,-0.144,0.384,0.004,0.005,1506.0,738.0,1.0
"eps[8, 0]",-0.049,0.213,-0.471,0.346,0.005,0.006,1595.0,738.0,1.01
"eps[9, 0]",-0.035,0.035,-0.103,0.024,0.001,0.001,812.0,749.0,1.0
"eps[10, 0]",-0.016,0.056,-0.122,0.087,0.002,0.001,1043.0,746.0,1.0
"eps[11, 0]",-0.033,0.038,-0.108,0.034,0.001,0.001,989.0,636.0,1.01
"eps[12, 0]",-0.023,0.039,-0.097,0.05,0.001,0.001,974.0,694.0,1.0
"eps[13, 0]",0.015,0.05,-0.075,0.113,0.001,0.001,1134.0,794.0,1.0
"eps[14, 0]",0.066,0.116,-0.151,0.268,0.003,0.004,1528.0,829.0,1.0
"eps[15, 0]",-0.018,0.093,-0.199,0.146,0.002,0.003,1763.0,889.0,1.0
"eps[16, 0]",-0.126,0.067,-0.254,-0.012,0.002,0.002,1427.0,709.0,1.0
"eps[17, 0]",0.026,0.066,-0.117,0.134,0.002,0.002,1346.0,681.0,1.01
"eps[18, 0]",-0.067,0.046,-0.154,0.014,0.002,0.001,542.0,684.0,1.0
"eps[19, 0]",0.036,0.05,-0.065,0.124,0.002,0.001,1028.0,1032.0,1.0
"eps[20, 0]",-0.034,0.036,-0.095,0.034,0.001,0.001,1138.0,913.0,1.0
"eps[21, 0]",0.016,0.031,-0.042,0.072,0.001,0.001,954.0,817.0,1.0
"eps[22, 0]",0.075,0.036,0.007,0.141,0.001,0.001,729.0,872.0,1.0
"eps[23, 0]",-0.1,0.159,-0.372,0.208,0.004,0.005,1572.0,807.0,1.01
"eps[24, 0]",0.108,0.135,-0.145,0.351,0.003,0.004,1951.0,782.0,1.0
"eps[25, 0]",-0.173,0.145,-0.443,0.096,0.006,0.004,548.0,595.0,1.0
"eps[26, 0]",0.055,0.117,-0.146,0.281,0.003,0.003,1197.0,960.0,1.0
"eps[27, 0]",-0.114,0.056,-0.227,-0.018,0.002,0.002,741.0,721.0,1.01
"eps[28, 0]",0.249,0.075,0.112,0.394,0.003,0.002,713.0,881.0,1.0
"eps[29, 0]",-0.101,0.031,-0.162,-0.046,0.001,0.001,815.0,689.0,1.0
"eps[30, 0]",0.097,0.063,-0.013,0.225,0.002,0.002,1325.0,762.0,1.0
