,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.348,0.058,0.246,0.462,0.003,0.002,466.0,652.0,1.0
Ds[0],34.699,0.046,34.614,34.786,0.002,0.002,401.0,499.0,1.0
RV[0],2.001,0.507,1.141,2.924,0.023,0.023,484.0,595.0,1.0
delM[0],-0.004,0.097,-0.198,0.166,0.003,0.002,988.0,994.0,1.0
"eps[0, 0]",-0.066,0.048,-0.153,0.027,0.002,0.002,719.0,676.0,1.01
"eps[1, 0]",0.11,0.09,-0.06,0.273,0.004,0.003,398.0,530.0,1.01
"eps[2, 0]",-0.16,0.06,-0.271,-0.039,0.003,0.002,544.0,625.0,1.01
"eps[3, 0]",0.05,0.06,-0.064,0.163,0.003,0.002,449.0,651.0,1.01
"eps[4, 0]",-0.2,0.044,-0.276,-0.115,0.002,0.001,591.0,742.0,1.01
"eps[5, 0]",-0.264,0.406,-1.116,0.432,0.015,0.012,758.0,605.0,1.0
"eps[6, 0]",0.151,0.162,-0.145,0.46,0.006,0.004,653.0,791.0,1.01
"eps[7, 0]",-0.087,0.063,-0.208,0.024,0.003,0.002,629.0,761.0,1.01
"eps[8, 0]",-0.042,0.09,-0.208,0.119,0.004,0.002,614.0,794.0,1.0
"eps[9, 0]",0.077,0.038,0.006,0.143,0.002,0.001,600.0,706.0,1.01
"eps[10, 0]",0.132,0.033,0.075,0.194,0.001,0.001,597.0,698.0,1.0
"eps[11, 0]",0.018,0.024,-0.028,0.062,0.001,0.001,781.0,804.0,1.0
"eps[12, 0]",0.077,0.029,0.024,0.136,0.001,0.001,519.0,646.0,1.01
"eps[13, 0]",-0.008,0.025,-0.056,0.037,0.001,0.001,567.0,676.0,1.01
"eps[14, 0]",-0.095,0.097,-0.274,0.091,0.003,0.003,883.0,606.0,1.01
"eps[15, 0]",0.011,0.051,-0.081,0.108,0.002,0.002,602.0,548.0,1.01
"eps[16, 0]",0.021,0.034,-0.041,0.083,0.002,0.001,477.0,668.0,1.0
"eps[17, 0]",-0.021,0.042,-0.099,0.053,0.002,0.001,487.0,599.0,1.0
"eps[18, 0]",0.017,0.035,-0.048,0.08,0.001,0.001,548.0,512.0,1.0
"eps[19, 0]",0.118,0.027,0.065,0.168,0.001,0.001,923.0,767.0,1.0
"eps[20, 0]",-0.019,0.023,-0.065,0.023,0.001,0.001,719.0,868.0,1.0
"eps[21, 0]",-0.03,0.027,-0.081,0.02,0.001,0.001,621.0,587.0,1.0
"eps[22, 0]",-0.104,0.023,-0.147,-0.063,0.001,0.001,609.0,745.0,1.0
"eps[23, 0]",-0.156,0.11,-0.355,0.049,0.003,0.003,1056.0,914.0,1.0
"eps[24, 0]",-0.118,0.059,-0.225,-0.01,0.003,0.001,536.0,748.0,1.01
"eps[25, 0]",-0.176,0.05,-0.262,-0.082,0.002,0.001,652.0,805.0,1.0
"eps[26, 0]",0.078,0.045,-0.012,0.154,0.002,0.001,533.0,636.0,1.0
"eps[27, 0]",-0.128,0.049,-0.218,-0.037,0.002,0.001,431.0,577.0,1.01
"eps[28, 0]",0.155,0.042,0.075,0.224,0.001,0.001,826.0,718.0,1.0
"eps[29, 0]",-0.04,0.028,-0.089,0.018,0.001,0.001,653.0,638.0,1.0
"eps[30, 0]",0.035,0.029,-0.025,0.084,0.001,0.001,539.0,579.0,1.01
"eps[31, 0]",-0.073,0.043,-0.152,0.009,0.002,0.001,458.0,580.0,1.01
"eps[32, 0]",0.297,0.204,-0.102,0.66,0.007,0.006,893.0,684.0,1.01
"eps[33, 0]",-0.297,0.079,-0.456,-0.148,0.003,0.002,666.0,622.0,1.0
"eps[34, 0]",0.067,0.082,-0.075,0.236,0.004,0.002,507.0,696.0,1.01
"eps[35, 0]",0.098,0.052,-0.008,0.191,0.002,0.001,591.0,602.0,1.0
"eps[36, 0]",-0.133,0.033,-0.196,-0.072,0.001,0.001,586.0,434.0,1.01
"eps[37, 0]",0.115,0.069,-0.015,0.236,0.003,0.002,414.0,628.0,1.01
"eps[38, 0]",-0.078,0.029,-0.133,-0.029,0.001,0.001,503.0,659.0,1.01
"eps[39, 0]",-0.03,0.056,-0.138,0.077,0.003,0.002,445.0,581.0,1.01
"eps[40, 0]",-0.138,0.033,-0.199,-0.077,0.001,0.001,526.0,466.0,1.01
"eps[41, 0]",-0.86,0.237,-1.289,-0.39,0.008,0.008,903.0,580.0,1.01
"eps[42, 0]",0.244,0.091,0.074,0.406,0.003,0.003,1226.0,838.0,1.0
"eps[43, 0]",-0.103,0.07,-0.234,0.025,0.003,0.002,549.0,539.0,1.0
"eps[44, 0]",-0.001,0.056,-0.111,0.098,0.002,0.001,675.0,674.0,1.01
"eps[45, 0]",0.054,0.048,-0.03,0.151,0.001,0.001,1536.0,983.0,1.0
"eps[46, 0]",-0.108,0.085,-0.261,0.051,0.003,0.003,802.0,758.0,1.01
"eps[47, 0]",-0.023,0.028,-0.076,0.029,0.001,0.001,1342.0,675.0,1.0
"eps[48, 0]",-0.092,0.042,-0.173,-0.017,0.002,0.001,628.0,605.0,1.0
"eps[49, 0]",-0.106,0.039,-0.177,-0.032,0.001,0.001,852.0,762.0,1.01
"eps[50, 0]",0.983,0.391,0.197,1.628,0.01,0.01,1388.0,835.0,1.0
"eps[51, 0]",-0.64,0.187,-0.969,-0.272,0.007,0.005,643.0,582.0,1.01
"eps[52, 0]",-0.213,0.104,-0.399,-0.016,0.004,0.003,804.0,910.0,1.0
"eps[53, 0]",-0.186,0.061,-0.302,-0.079,0.002,0.001,912.0,973.0,1.0
"eps_tform[0, 0]",-0.434,0.316,-1.006,0.175,0.012,0.011,719.0,676.0,1.01
"eps_tform[0, 1]",0.253,0.283,-0.224,0.835,0.014,0.009,410.0,573.0,1.01
"eps_tform[0, 2]",-0.513,0.199,-0.875,-0.129,0.008,0.005,696.0,735.0,1.0
"eps_tform[0, 3]",0.053,0.153,-0.216,0.362,0.006,0.004,680.0,813.0,1.0
"eps_tform[0, 4]",-0.459,0.104,-0.645,-0.252,0.004,0.003,667.0,708.0,1.0
"eps_tform[0, 5]",-0.322,0.636,-1.551,0.838,0.023,0.019,743.0,619.0,1.0
"eps_tform[0, 6]",0.213,0.219,-0.164,0.645,0.009,0.005,575.0,850.0,1.01
