,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.032,0.027,0.0,0.084,0.001,0.001,819.0,452.0,1.0
Ds[0],36.803,0.053,36.711,36.916,0.002,0.002,524.0,405.0,1.0
RV[0],3.79,1.392,1.498,5.983,0.036,0.032,1417.0,672.0,1.01
delM[0],0.003,0.096,-0.174,0.182,0.003,0.002,999.0,899.0,1.0
"eps[0, 0]",-0.122,0.126,-0.346,0.117,0.004,0.003,902.0,805.0,1.0
"eps[1, 0]",0.055,0.274,-0.447,0.576,0.01,0.01,777.0,326.0,1.0
"eps[2, 0]",0.049,0.206,-0.311,0.486,0.007,0.006,962.0,877.0,1.0
"eps[3, 0]",-0.14,0.233,-0.544,0.337,0.008,0.007,939.0,506.0,1.0
"eps[4, 0]",-0.058,0.243,-0.491,0.384,0.008,0.007,868.0,812.0,1.0
"eps[5, 0]",-0.585,0.553,-1.614,0.393,0.017,0.015,1022.0,862.0,1.01
"eps[6, 0]",-0.327,0.46,-1.184,0.53,0.014,0.013,1113.0,872.0,1.0
"eps[7, 0]",-0.004,0.148,-0.272,0.291,0.004,0.005,1286.0,870.0,1.01
"eps[8, 0]",0.004,0.21,-0.375,0.388,0.006,0.007,1123.0,786.0,1.0
"eps[9, 0]",0.017,0.03,-0.035,0.075,0.001,0.001,715.0,781.0,1.01
"eps[10, 0]",0.008,0.048,-0.079,0.098,0.002,0.001,804.0,619.0,1.0
"eps[11, 0]",-0.011,0.034,-0.072,0.052,0.001,0.001,792.0,751.0,1.0
"eps[12, 0]",0.05,0.038,-0.023,0.118,0.001,0.001,795.0,650.0,1.0
"eps[13, 0]",0.009,0.045,-0.067,0.099,0.002,0.001,836.0,807.0,1.0
"eps[14, 0]",-0.0,0.119,-0.201,0.251,0.004,0.005,896.0,449.0,1.0
"eps[15, 0]",0.084,0.09,-0.063,0.275,0.003,0.003,1108.0,612.0,1.0
"eps[16, 0]",0.002,0.081,-0.15,0.151,0.003,0.002,958.0,740.0,1.0
"eps[17, 0]",0.032,0.08,-0.12,0.183,0.002,0.003,1097.0,609.0,1.01
"eps[18, 0]",-0.066,0.038,-0.135,0.01,0.001,0.001,687.0,807.0,1.0
"eps[19, 0]",0.1,0.039,0.026,0.174,0.001,0.001,976.0,759.0,1.01
"eps[20, 0]",-0.051,0.04,-0.118,0.033,0.001,0.001,744.0,707.0,1.0
"eps[21, 0]",0.133,0.04,0.061,0.213,0.001,0.001,811.0,601.0,1.01
"eps[22, 0]",-0.084,0.058,-0.193,0.031,0.002,0.002,680.0,691.0,1.0
"eps[23, 0]",0.131,0.123,-0.084,0.367,0.004,0.004,1123.0,834.0,1.0
"eps[24, 0]",0.098,0.103,-0.094,0.29,0.003,0.003,891.0,737.0,1.0
"eps[25, 0]",0.078,0.139,-0.17,0.352,0.004,0.005,1234.0,780.0,1.0
"eps[26, 0]",0.051,0.139,-0.202,0.3,0.005,0.006,821.0,363.0,1.01
"eps[27, 0]",-0.043,0.059,-0.141,0.076,0.002,0.001,613.0,719.0,1.0
"eps[28, 0]",0.046,0.047,-0.038,0.135,0.002,0.001,777.0,815.0,1.0
"eps[29, 0]",0.02,0.041,-0.06,0.094,0.001,0.001,1034.0,866.0,1.0
"eps[30, 0]",0.007,0.043,-0.076,0.084,0.002,0.001,739.0,711.0,1.0
"eps[31, 0]",0.046,0.071,-0.093,0.168,0.003,0.002,731.0,779.0,1.0
"eps[32, 0]",-0.064,0.22,-0.452,0.357,0.007,0.006,941.0,458.0,1.01
"eps[33, 0]",-0.102,0.264,-0.571,0.406,0.009,0.008,943.0,751.0,1.0
"eps[34, 0]",-0.006,0.158,-0.327,0.259,0.004,0.005,1391.0,787.0,1.0
"eps[35, 0]",0.003,0.091,-0.165,0.175,0.003,0.004,1150.0,628.0,1.0
"eps[36, 0]",-0.017,0.032,-0.083,0.039,0.001,0.001,738.0,732.0,1.0
"eps[37, 0]",-0.113,0.08,-0.266,0.027,0.003,0.002,664.0,551.0,1.0
"eps[38, 0]",-0.028,0.041,-0.112,0.045,0.001,0.001,834.0,736.0,1.0
"eps[39, 0]",-0.044,0.058,-0.153,0.066,0.002,0.002,861.0,832.0,1.0
