,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.348,0.079,0.215,0.516,0.004,0.003,389.0,342.0,1.01
Ds[0],36.902,0.068,36.771,37.028,0.003,0.002,412.0,438.0,1.01
RV[0],4.761,0.928,3.131,5.996,0.038,0.045,710.0,531.0,1.0
delM[0],-0.002,0.09,-0.164,0.187,0.003,0.002,1011.0,884.0,1.0
"eps[0, 0]",0.23,0.083,0.086,0.391,0.003,0.002,967.0,882.0,1.0
"eps[1, 0]",-0.123,0.162,-0.397,0.209,0.005,0.004,1170.0,900.0,1.0
"eps[2, 0]",0.295,0.167,-0.019,0.607,0.005,0.004,1095.0,878.0,1.0
"eps[3, 0]",0.097,0.175,-0.228,0.422,0.006,0.005,871.0,833.0,1.01
"eps[4, 0]",0.287,0.199,-0.078,0.66,0.006,0.006,1165.0,683.0,1.01
"eps[5, 0]",-0.223,0.502,-1.11,0.745,0.015,0.014,1158.0,789.0,1.0
"eps[6, 0]",0.025,0.432,-0.837,0.779,0.012,0.013,1258.0,948.0,1.0
"eps[7, 0]",0.034,0.148,-0.221,0.335,0.004,0.005,1514.0,850.0,1.0
"eps[8, 0]",0.101,0.209,-0.285,0.501,0.005,0.007,1582.0,710.0,1.0
"eps[9, 0]",-0.043,0.036,-0.108,0.021,0.001,0.001,737.0,715.0,1.0
"eps[10, 0]",-0.017,0.033,-0.076,0.05,0.001,0.001,859.0,726.0,1.01
"eps[11, 0]",-0.03,0.035,-0.096,0.034,0.001,0.001,910.0,850.0,1.0
"eps[12, 0]",0.005,0.036,-0.061,0.073,0.001,0.001,1187.0,843.0,1.0
"eps[13, 0]",-0.111,0.043,-0.194,-0.035,0.001,0.001,972.0,693.0,1.0
"eps[14, 0]",0.036,0.099,-0.157,0.214,0.003,0.003,1182.0,756.0,1.0
"eps[15, 0]",-0.062,0.078,-0.207,0.076,0.002,0.002,1065.0,645.0,1.01
"eps[16, 0]",-0.057,0.073,-0.187,0.081,0.002,0.002,1024.0,824.0,1.0
"eps[17, 0]",0.041,0.071,-0.088,0.176,0.002,0.002,1139.0,939.0,1.0
"eps[18, 0]",-0.025,0.047,-0.111,0.061,0.002,0.001,774.0,822.0,1.0
"eps[19, 0]",0.024,0.043,-0.062,0.099,0.001,0.001,860.0,654.0,1.0
"eps[20, 0]",-0.109,0.044,-0.178,-0.018,0.001,0.001,1046.0,781.0,1.0
"eps[21, 0]",-0.022,0.041,-0.096,0.054,0.001,0.001,1426.0,992.0,1.0
"eps[22, 0]",-0.079,0.056,-0.176,0.031,0.002,0.002,1137.0,715.0,1.0
"eps[23, 0]",-0.113,0.129,-0.344,0.136,0.004,0.003,1212.0,771.0,1.0
"eps[24, 0]",-0.22,0.123,-0.442,-0.009,0.004,0.004,886.0,737.0,1.0
"eps[25, 0]",-0.026,0.127,-0.245,0.229,0.004,0.004,1233.0,772.0,1.0
"eps[26, 0]",-0.057,0.137,-0.311,0.186,0.004,0.004,1285.0,669.0,1.0
"eps[27, 0]",0.141,0.06,0.027,0.25,0.002,0.002,977.0,771.0,1.0
"eps[28, 0]",0.048,0.062,-0.058,0.167,0.002,0.001,1060.0,775.0,1.0
"eps[29, 0]",0.127,0.052,0.04,0.235,0.002,0.001,1189.0,808.0,1.0
"eps[30, 0]",-0.028,0.043,-0.112,0.046,0.001,0.001,1088.0,811.0,1.0
"eps[31, 0]",-0.079,0.06,-0.193,0.04,0.002,0.002,1032.0,827.0,1.0
"eps[32, 0]",-0.197,0.215,-0.611,0.186,0.006,0.006,1352.0,781.0,1.01
"eps[33, 0]",-0.237,0.178,-0.58,0.079,0.005,0.005,1250.0,664.0,1.0
"eps[34, 0]",-0.104,0.174,-0.403,0.239,0.004,0.006,2088.0,893.0,1.0
"eps[35, 0]",0.047,0.089,-0.133,0.204,0.002,0.003,1480.0,609.0,1.0
"eps[36, 0]",0.026,0.062,-0.089,0.137,0.002,0.002,1424.0,719.0,1.01
"eps[37, 0]",0.016,0.122,-0.216,0.242,0.004,0.003,1156.0,862.0,1.0
"eps[38, 0]",0.118,0.051,0.025,0.217,0.001,0.002,1351.0,655.0,1.0
"eps[39, 0]",0.298,0.076,0.145,0.435,0.002,0.002,1058.0,840.0,1.0
"eps[40, 0]",0.061,0.06,-0.066,0.164,0.002,0.002,1128.0,966.0,1.0
"eps[41, 0]",0.439,0.24,-0.004,0.901,0.007,0.007,1328.0,939.0,1.0
"eps[42, 0]",-0.131,0.163,-0.431,0.166,0.005,0.005,1238.0,810.0,1.0
"eps[43, 0]",0.086,0.125,-0.129,0.331,0.003,0.004,1451.0,792.0,1.0
"eps[44, 0]",0.104,0.084,-0.046,0.263,0.002,0.002,1391.0,880.0,1.0
"eps[45, 0]",0.021,0.07,-0.104,0.155,0.002,0.002,1935.0,584.0,1.01
"eps[46, 0]",-0.399,0.226,-0.786,0.034,0.006,0.006,1676.0,752.0,1.01
"eps[47, 0]",0.048,0.034,-0.01,0.115,0.001,0.001,1350.0,853.0,1.0
"eps[48, 0]",0.022,0.078,-0.114,0.17,0.002,0.002,1375.0,954.0,1.0
"eps[49, 0]",0.102,0.076,-0.03,0.248,0.002,0.002,1368.0,826.0,1.0
"eps[50, 0]",0.267,0.505,-0.613,1.235,0.014,0.016,1372.0,839.0,1.0
"eps[51, 0]",-0.326,0.299,-0.9,0.239,0.008,0.01,1385.0,656.0,1.01
"eps[52, 0]",0.174,0.141,-0.076,0.443,0.004,0.004,1147.0,701.0,1.0
"eps[53, 0]",0.127,0.091,-0.056,0.283,0.002,0.003,1577.0,844.0,1.0
"eps_tform[0, 0]",1.508,0.544,0.562,2.57,0.018,0.012,967.0,882.0,1.0
"eps_tform[0, 1]",-0.104,0.497,-1.068,0.81,0.015,0.013,1099.0,786.0,1.01
"eps_tform[0, 2]",0.967,0.712,-0.241,2.386,0.021,0.017,1144.0,966.0,1.0
"eps_tform[0, 3]",0.355,0.56,-0.796,1.33,0.017,0.016,1125.0,892.0,1.0
"eps_tform[0, 4]",0.347,0.657,-0.906,1.545,0.018,0.021,1258.0,875.0,1.01
"eps_tform[0, 5]",-0.605,0.777,-2.052,0.786,0.023,0.022,1144.0,799.0,1.0
"eps_tform[0, 6]",-0.067,0.917,-1.763,1.695,0.025,0.026,1318.0,952.0,1.0
"eps_tform[0, 7]",-0.005,0.93,-1.812,1.703,0.023,0.034,1730.0,880.0,1.0
"eps_tform[0, 8]",0.169,0.921,-1.649,1.817,0.023,0.029,1560.0,753.0,1.01
"eps_tform[0, 9]",-0.753,0.553,-1.681,0.347,0.02,0.017,735.0,624.0,1.0
"eps_tform[0, 10]",-0.28,0.313,-0.825,0.337,0.01,0.008,922.0,947.0,1.01
"eps_tform[0, 11]",-0.081,0.608,-1.253,1.037,0.019,0.017,1002.0,910.0,1.0
"eps_tform[0, 12]",0.502,0.73,-0.806,1.905,0.02,0.023,1343.0,877.0,1.0
"eps_tform[0, 13]",-1.669,0.633,-2.813,-0.474,0.02,0.016,953.0,652.0,1.0
"eps_tform[0, 14]",0.639,0.709,-0.79,1.886,0.02,0.023,1206.0,642.0,1.0
"eps_tform[0, 15]",-0.168,0.796,-1.686,1.229,0.024,0.023,1103.0,813.0,1.01
"eps_tform[0, 16]",-0.372,0.887,-2.005,1.287,0.027,0.022,1104.0,803.0,1.0
"eps_tform[0, 17]",0.818,0.852,-0.731,2.501,0.025,0.025,1179.0,838.0,1.0
"eps_tform[0, 18]",-0.655,0.732,-1.896,0.802,0.027,0.02,740.0,757.0,1.01
"eps_tform[0, 19]",0.276,0.451,-0.524,1.105,0.016,0.012,809.0,758.0,1.0
"eps_tform[0, 20]",-1.321,0.685,-2.768,-0.209,0.022,0.018,1005.0,917.0,1.0
"eps_tform[0, 21]",-0.608,0.696,-1.902,0.695,0.017,0.022,1662.0,897.0,1.0
"eps_tform[0, 22]",-0.087,0.665,-1.431,1.031,0.02,0.019,1154.0,672.0,1.0
"eps_tform[0, 23]",-0.864,0.816,-2.33,0.604,0.024,0.024,1182.0,777.0,1.0
"eps_tform[0, 24]",-1.492,0.837,-3.06,0.077,0.024,0.026,1206.0,755.0,1.0
"eps_tform[0, 25]",0.012,0.867,-1.744,1.509,0.022,0.024,1557.0,829.0,1.0
"eps_tform[0, 26]",-0.581,0.98,-2.362,1.212,0.022,0.027,1923.0,810.0,1.0
"eps_tform[0, 27]",0.722,0.734,-0.558,2.221,0.023,0.022,1046.0,782.0,1.01
"eps_tform[0, 28]",0.632,0.534,-0.323,1.666,0.019,0.013,769.0,602.0,1.0
