,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.839,0.089,0.688,1.009,0.005,0.002,369.0,556.0,1.01
Ds[0],35.539,0.073,35.411,35.677,0.004,0.002,373.0,611.0,1.02
RV[0],2.77,0.484,1.979,3.69,0.025,0.015,367.0,655.0,1.02
delM[0],-0.002,0.099,-0.177,0.184,0.003,0.002,1031.0,989.0,1.0
"eps[0, 0]",0.078,0.119,-0.129,0.313,0.004,0.003,970.0,784.0,1.0
"eps[1, 0]",0.285,0.263,-0.198,0.765,0.009,0.007,801.0,933.0,1.0
"eps[2, 0]",0.031,0.2,-0.366,0.392,0.007,0.006,924.0,802.0,1.0
"eps[3, 0]",0.339,0.195,-0.063,0.681,0.006,0.005,1057.0,851.0,1.0
"eps[4, 0]",0.162,0.196,-0.175,0.539,0.007,0.006,735.0,835.0,1.01
"eps[5, 0]",-0.293,0.538,-1.236,0.784,0.018,0.015,887.0,780.0,1.0
"eps[6, 0]",-0.159,0.35,-0.834,0.473,0.012,0.009,873.0,673.0,1.0
"eps[7, 0]",-0.022,0.14,-0.285,0.237,0.004,0.004,1235.0,617.0,1.01
"eps[8, 0]",0.098,0.211,-0.306,0.48,0.007,0.006,909.0,793.0,1.01
"eps[9, 0]",0.09,0.049,-0.0,0.176,0.002,0.002,664.0,755.0,1.01
"eps[10, 0]",0.143,0.05,0.046,0.236,0.002,0.001,742.0,915.0,1.0
"eps[11, 0]",0.065,0.031,0.011,0.129,0.001,0.001,799.0,774.0,1.0
"eps[12, 0]",0.046,0.036,-0.02,0.114,0.002,0.001,574.0,574.0,1.0
"eps[13, 0]",0.044,0.031,-0.013,0.101,0.001,0.001,517.0,607.0,1.0
"eps[14, 0]",-0.095,0.106,-0.295,0.107,0.004,0.003,620.0,559.0,1.0
"eps[15, 0]",0.057,0.065,-0.064,0.179,0.003,0.002,540.0,656.0,1.01
"eps[16, 0]",-0.01,0.053,-0.105,0.089,0.002,0.001,459.0,591.0,1.0
"eps[17, 0]",-0.003,0.064,-0.122,0.118,0.002,0.002,691.0,714.0,1.0
"eps[18, 0]",0.017,0.046,-0.077,0.094,0.002,0.001,878.0,782.0,1.0
"eps[19, 0]",0.168,0.058,0.065,0.273,0.002,0.002,1010.0,828.0,1.0
"eps[20, 0]",-0.063,0.038,-0.128,0.009,0.001,0.001,1034.0,679.0,1.01
"eps[21, 0]",-0.041,0.041,-0.12,0.034,0.002,0.001,531.0,603.0,1.01
"eps[22, 0]",-0.129,0.038,-0.203,-0.061,0.001,0.001,916.0,840.0,1.0
"eps[23, 0]",0.091,0.138,-0.179,0.346,0.005,0.005,807.0,850.0,1.0
"eps[24, 0]",-0.15,0.076,-0.294,-0.014,0.003,0.002,658.0,791.0,1.0
"eps[25, 0]",0.015,0.075,-0.121,0.149,0.004,0.002,459.0,702.0,1.01
"eps[26, 0]",0.034,0.08,-0.12,0.173,0.003,0.002,604.0,782.0,1.0
"eps[27, 0]",-0.018,0.063,-0.134,0.103,0.002,0.002,676.0,791.0,1.0
"eps[28, 0]",0.231,0.06,0.116,0.334,0.002,0.002,738.0,892.0,1.0
"eps[29, 0]",-0.118,0.036,-0.182,-0.047,0.001,0.001,663.0,790.0,1.0
"eps[30, 0]",-0.041,0.035,-0.102,0.033,0.002,0.001,505.0,683.0,1.01
"eps[31, 0]",-0.126,0.052,-0.221,-0.032,0.002,0.002,535.0,668.0,1.0
"eps[32, 0]",-0.183,0.203,-0.602,0.163,0.006,0.005,1028.0,824.0,1.0
"eps[33, 0]",-0.115,0.128,-0.345,0.129,0.005,0.003,615.0,729.0,1.0
"eps[34, 0]",-0.105,0.148,-0.37,0.181,0.004,0.005,1236.0,899.0,1.0
"eps[35, 0]",-0.026,0.081,-0.168,0.133,0.002,0.003,1165.0,844.0,1.0
"eps[36, 0]",0.026,0.059,-0.08,0.134,0.002,0.001,1022.0,877.0,1.0
"eps[37, 0]",0.034,0.111,-0.182,0.23,0.004,0.003,754.0,776.0,1.0
"eps[38, 0]",-0.05,0.046,-0.131,0.034,0.002,0.001,735.0,759.0,1.0
"eps[39, 0]",-0.111,0.077,-0.247,0.032,0.003,0.002,507.0,639.0,1.0
"eps[40, 0]",-0.201,0.054,-0.298,-0.099,0.002,0.001,580.0,708.0,1.0
"eps[41, 0]",-0.495,0.29,-1.016,0.043,0.011,0.007,644.0,855.0,1.0
"eps[42, 0]",-0.087,0.123,-0.319,0.131,0.005,0.003,741.0,821.0,1.01
"eps[43, 0]",-0.2,0.122,-0.435,0.017,0.004,0.003,834.0,785.0,1.0
"eps[44, 0]",-0.078,0.089,-0.247,0.076,0.003,0.002,895.0,898.0,1.0
"eps[45, 0]",0.015,0.064,-0.106,0.142,0.002,0.002,1226.0,682.0,1.0
"eps[46, 0]",-0.365,0.156,-0.65,-0.08,0.005,0.006,1125.0,738.0,1.0
"eps[47, 0]",-0.037,0.035,-0.098,0.032,0.001,0.001,1003.0,746.0,1.0
"eps[48, 0]",-0.02,0.057,-0.12,0.098,0.002,0.001,687.0,930.0,1.01
"eps[49, 0]",0.017,0.052,-0.08,0.119,0.002,0.001,888.0,873.0,1.01
"eps[50, 0]",1.321,0.531,0.241,2.239,0.017,0.015,985.0,591.0,1.0
"eps[51, 0]",-0.601,0.233,-1.009,-0.16,0.01,0.006,515.0,864.0,1.01
"eps[52, 0]",0.076,0.138,-0.187,0.33,0.004,0.005,1271.0,784.0,1.0
"eps[53, 0]",-0.056,0.089,-0.23,0.1,0.003,0.003,1070.0,880.0,1.01
"eps_tform[0, 0]",0.513,0.783,-0.846,2.053,0.025,0.02,970.0,784.0,1.0
"eps_tform[0, 1]",0.944,0.762,-0.425,2.395,0.026,0.019,852.0,878.0,1.0
"eps_tform[0, 2]",0.527,0.779,-0.984,1.906,0.024,0.019,1044.0,864.0,1.0
"eps_tform[0, 3]",0.738,0.653,-0.447,1.95,0.021,0.018,965.0,780.0,1.0
"eps_tform[0, 4]",0.246,0.7,-1.174,1.478,0.025,0.024,792.0,759.0,1.01
"eps_tform[0, 5]",-0.517,0.813,-1.874,1.151,0.026,0.023,983.0,728.0,1.0
"eps_tform[0, 6]",-0.438,0.676,-1.625,0.886,0.021,0.018,1012.0,680.0,1.0
"eps_tform[0, 7]",-0.296,0.877,-2.022,1.241,0.025,0.027,1222.0,617.0,1.01
"eps_tform[0, 8]",0.145,0.905,-1.62,1.709,0.027,0.026,1108.0,882.0,1.0
"eps_tform[0, 9]",1.185,0.745,-0.119,2.608,0.029,0.024,654.0,764.0,1.0
"eps_tform[0, 10]",1.219,0.483,0.24,2.044,0.018,0.012,695.0,856.0,1.0
"eps_tform[0, 11]",1.107,0.57,0.027,2.157,0.023,0.016,611.0,530.0,1.0
"eps_tform[0, 12]",0.078,0.686,-1.139,1.377,0.027,0.017,660.0,776.0,1.0
"eps_tform[0, 13]",0.535,0.502,-0.366,1.474,0.022,0.013,506.0,741.0,1.0
"eps_tform[0, 14]",-0.746,0.807,-2.232,0.833,0.032,0.024,644.0,522.0,1.0
"eps_tform[0, 15]",0.535,0.615,-0.577,1.681,0.026,0.019,547.0,663.0,1.01
"eps_tform[0, 16]",0.196,0.638,-0.967,1.466,0.029,0.017,476.0,754.0,1.01
"eps_tform[0, 17]",-0.02,0.729,-1.371,1.256,0.025,0.017,877.0,847.0,1.0
"eps_tform[0, 18]",-0.043,0.734,-1.436,1.271,0.024,0.022,897.0,784.0,1.0
"eps_tform[0, 19]",1.254,0.561,0.142,2.238,0.021,0.015,716.0,764.0,1.01
"eps_tform[0, 20]",-0.512,0.552,-1.548,0.491,0.019,0.015,863.0,724.0,1.0
"eps_tform[0, 21]",-0.846,0.593,-2.058,0.195,0.024,0.015,603.0,821.0,1.0
"eps_tform[0, 22]",-0.522,0.494,-1.514,0.348,0.018,0.017,738.0,558.0,1.01
"eps_tform[0, 23]",-0.002,0.766,-1.278,1.692,0.026,0.026,892.0,673.0,1.0
"eps_tform[0, 24]",-0.708,0.487,-1.677,0.095,0.019,0.014,638.0,742.0,1.0
"eps_tform[0, 25]",0.659,0.489,-0.199,1.589,0.022,0.013,480.0,702.0,1.01
"eps_tform[0, 26]",0.119,0.52,-0.843,1.122,0.018,0.013,841.0,871.0,1.0
"eps_tform[0, 27]",-0.14,0.603,-1.176,1.026,0.021,0.017,868.0,818.0,1.0
"eps_tform[0, 28]",1.125,0.581,0.004,2.157,0.024,0.015,572.0,761.0,1.01
"eps_tform[0, 29]",-1.28,0.475,-2.188,-0.464,0.015,0.012,1002.0,664.0,1.0
"eps_tform[0, 30]",-0.252,0.466,-1.028,0.679,0.017,0.013,779.0,820.0,1.0
"eps_tform[0, 31]",-0.096,0.497,-1.06,0.79,0.02,0.016,615.0,643.0,1.0
"eps_tform[0, 32]",0.112,0.817,-1.449,1.491,0.025,0.022,1024.0,796.0,1.01
"eps_tform[0, 33]",-0.392,0.404,-1.075,0.436,0.017,0.013,576.0,664.0,1.0
"eps_tform[0, 34]",-0.615,0.839,-2.165,0.99,0.02,0.028,1708.0,808.0,1.01
"eps_tform[0, 35]",-0.125,0.927,-2.003,1.54,0.025,0.029,1380.0,892.0,1.0
"eps_tform[0, 36]",-0.006,0.823,-1.468,1.591,0.025,0.022,1089.0,711.0,1.0
"eps_tform[0, 37]",0.632,0.621,-0.561,1.709,0.022,0.018,803.0,692.0,1.0
"eps_tform[0, 38]",-0.33,0.73,-1.756,0.934,0.022,0.022,1097.0,668.0,1.0
"eps_tform[0, 39]",-0.216,0.55,-1.215,0.779,0.018,0.014,893.0,833.0,1.0
"eps_tform[0, 40]",-1.285,0.637,-2.473,-0.17,0.023,0.016,731.0,754.0,1.0
"eps_tform[0, 41]",-0.895,0.872,-2.401,0.794,0.024,0.023,1277.0,991.0,1.0
"eps_tform[0, 42]",-0.562,0.588,-1.658,0.485,0.023,0.015,631.0,636.0,1.01
"eps_tform[0, 43]",0.091,0.974,-1.898,1.79,0.025,0.032,1478.0,686.0,1.01
"eps_tform[0, 44]",0.087,0.97,-1.929,1.706,0.023,0.031,1801.0,763.0,1.0
"eps_tform[0, 45]",-0.003,0.955,-1.693,1.939,0.024,0.034,1594.0,808.0,1.0
"eps_tform[0, 46]",-0.645,0.681,-1.919,0.65,0.023,0.019,860.0,749.0,1.0
"eps_tform[0, 47]",-0.299,0.906,-2.007,1.311,0.025,0.025,1288.0,712.0,1.0
"eps_tform[0, 48]",0.241,0.723,-1.088,1.646,0.022,0.02,1039.0,909.0,1.0
"eps_tform[0, 49]",0.062,0.808,-1.437,1.587,0.025,0.021,1050.0,815.0,1.01
"eps_tform[0, 50]",0.478,0.979,-1.409,2.216,0.024,0.029,1704.0,825.0,1.0
"eps_tform[0, 51]",-0.366,0.665,-1.569,0.857,0.027,0.019,603.0,687.0,1.01
"eps_tform[0, 52]",-0.021,1.037,-2.113,1.781,0.025,0.048,1703.0,590.0,1.0
"eps_tform[0, 53]",0.001,0.948,-1.722,1.811,0.022,0.029,1829.0,729.0,1.01
mu[0],35.541,0.122,35.301,35.757,0.005,0.003,634.0,950.0,1.0
peak_MJD[0],54064.408,0.332,54063.813,54065.016,0.014,0.008,548.0,589.0,1.01
theta[0],0.517,0.251,0.057,0.983,0.011,0.007,490.0,564.0,1.0
tmax[0],-0.238,0.322,-0.815,0.35,0.014,0.008,548.0,589.0,1.01
