,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.732,0.084,0.588,0.893,0.004,0.002,425.0,523.0,1.0
Ds[0],35.418,0.061,35.301,35.526,0.003,0.002,457.0,617.0,1.01
RV[0],4.426,0.824,3.14,5.986,0.039,0.02,424.0,501.0,1.01
delM[0],0.0,0.098,-0.201,0.17,0.003,0.002,1018.0,913.0,1.0
"eps[0, 0]",-0.143,0.108,-0.345,0.052,0.004,0.003,930.0,812.0,1.0
"eps[1, 0]",-0.029,0.259,-0.487,0.458,0.008,0.007,964.0,923.0,1.0
"eps[2, 0]",0.125,0.186,-0.253,0.437,0.006,0.005,860.0,833.0,1.0
"eps[3, 0]",0.006,0.184,-0.333,0.352,0.005,0.005,1186.0,792.0,1.0
"eps[4, 0]",0.069,0.187,-0.275,0.399,0.006,0.005,1063.0,911.0,1.0
"eps[5, 0]",0.357,0.428,-0.369,1.191,0.015,0.011,785.0,777.0,1.0
"eps[6, 0]",0.131,0.204,-0.24,0.499,0.008,0.005,638.0,800.0,1.0
"eps[7, 0]",0.114,0.105,-0.081,0.295,0.004,0.003,741.0,640.0,1.0
"eps[8, 0]",0.197,0.198,-0.159,0.586,0.006,0.006,994.0,812.0,1.0
"eps[9, 0]",0.087,0.047,-0.002,0.175,0.002,0.001,570.0,669.0,1.0
"eps[10, 0]",0.089,0.049,0.01,0.19,0.002,0.001,499.0,701.0,1.0
"eps[11, 0]",0.019,0.033,-0.049,0.075,0.001,0.001,683.0,637.0,1.01
"eps[12, 0]",0.086,0.037,0.022,0.158,0.002,0.001,428.0,618.0,1.01
"eps[13, 0]",0.012,0.031,-0.046,0.067,0.001,0.001,577.0,676.0,1.0
"eps[14, 0]",0.037,0.111,-0.161,0.245,0.004,0.003,696.0,579.0,1.0
"eps[15, 0]",0.01,0.061,-0.106,0.116,0.003,0.002,564.0,613.0,1.01
"eps[16, 0]",-0.075,0.05,-0.172,0.017,0.002,0.001,630.0,737.0,1.0
"eps[17, 0]",-0.047,0.058,-0.152,0.063,0.003,0.001,519.0,664.0,1.01
"eps[18, 0]",0.084,0.041,0.007,0.162,0.002,0.001,501.0,656.0,1.0
"eps[19, 0]",0.223,0.041,0.152,0.302,0.001,0.001,974.0,916.0,1.0
"eps[20, 0]",-0.074,0.029,-0.127,-0.019,0.001,0.001,786.0,714.0,1.0
"eps[21, 0]",-0.003,0.033,-0.06,0.059,0.001,0.001,588.0,765.0,1.0
"eps[22, 0]",-0.146,0.033,-0.204,-0.081,0.001,0.001,730.0,796.0,1.0
"eps[23, 0]",-0.056,0.144,-0.321,0.207,0.005,0.004,984.0,745.0,1.01
"eps[24, 0]",-0.047,0.09,-0.219,0.107,0.003,0.002,856.0,758.0,1.0
"eps[25, 0]",-0.111,0.088,-0.277,0.045,0.004,0.002,451.0,685.0,1.01
"eps[26, 0]",-0.068,0.106,-0.268,0.125,0.003,0.003,1167.0,736.0,1.0
"eps[27, 0]",-0.082,0.068,-0.207,0.043,0.003,0.002,468.0,805.0,1.0
"eps[28, 0]",0.138,0.067,0.007,0.264,0.002,0.002,1037.0,900.0,1.0
"eps[29, 0]",-0.001,0.043,-0.084,0.076,0.001,0.001,857.0,753.0,1.01
"eps[30, 0]",-0.04,0.035,-0.102,0.028,0.001,0.001,612.0,931.0,1.0
"eps[31, 0]",-0.039,0.058,-0.15,0.062,0.003,0.002,508.0,781.0,1.0
"eps[32, 0]",0.278,0.252,-0.209,0.724,0.008,0.007,1046.0,774.0,1.01
"eps[33, 0]",-0.069,0.268,-0.574,0.431,0.008,0.009,1230.0,750.0,1.0
"eps[34, 0]",-0.101,0.168,-0.428,0.193,0.004,0.005,1550.0,796.0,1.0
"eps[35, 0]",-0.061,0.087,-0.219,0.099,0.002,0.003,1668.0,899.0,1.01
"eps[36, 0]",-0.102,0.053,-0.201,-0.006,0.002,0.001,818.0,807.0,1.0
"eps[37, 0]",0.094,0.116,-0.135,0.302,0.005,0.003,580.0,798.0,1.0
"eps[38, 0]",-0.099,0.048,-0.19,-0.009,0.002,0.001,819.0,664.0,1.0
"eps[39, 0]",-0.004,0.078,-0.155,0.137,0.004,0.002,463.0,585.0,1.0
"eps[40, 0]",-0.005,0.057,-0.114,0.103,0.002,0.001,597.0,605.0,1.0
"eps[41, 0]",-0.423,0.341,-1.031,0.233,0.011,0.01,901.0,884.0,1.0
"eps[42, 0]",0.129,0.165,-0.183,0.428,0.004,0.005,1774.0,786.0,1.0
"eps[43, 0]",-0.13,0.129,-0.352,0.14,0.004,0.005,1130.0,616.0,1.02
"eps[44, 0]",-0.022,0.092,-0.197,0.143,0.003,0.002,789.0,759.0,1.0
"eps[45, 0]",0.037,0.059,-0.062,0.163,0.002,0.002,1441.0,705.0,1.01
"eps[46, 0]",0.121,0.134,-0.12,0.393,0.004,0.004,919.0,705.0,1.0
"eps[47, 0]",-0.047,0.033,-0.109,0.021,0.001,0.001,1185.0,776.0,1.0
"eps[48, 0]",-0.073,0.063,-0.195,0.046,0.002,0.002,937.0,929.0,1.0
"eps[49, 0]",-0.183,0.06,-0.296,-0.074,0.002,0.002,782.0,901.0,1.0
"eps[50, 0]",0.55,0.563,-0.515,1.549,0.016,0.016,1189.0,833.0,1.0
"eps[51, 0]",-0.571,0.35,-1.181,0.139,0.01,0.013,1144.0,701.0,1.01
"eps[52, 0]",-0.184,0.135,-0.427,0.067,0.005,0.004,703.0,690.0,1.0
"eps[53, 0]",-0.1,0.09,-0.278,0.054,0.003,0.003,1234.0,781.0,1.0
"eps_tform[0, 0]",-0.938,0.711,-2.268,0.339,0.023,0.019,930.0,812.0,1.0
"eps_tform[0, 1]",-0.253,0.749,-1.58,1.186,0.023,0.019,1034.0,909.0,1.0
"eps_tform[0, 2]",0.689,0.648,-0.568,1.859,0.02,0.017,1049.0,892.0,1.0
"eps_tform[0, 3]",0.336,0.594,-0.689,1.442,0.017,0.018,1209.0,816.0,1.0
"eps_tform[0, 4]",-0.107,0.694,-1.455,1.119,0.02,0.024,1183.0,788.0,1.01
"eps_tform[0, 5]",0.382,0.687,-0.69,1.867,0.023,0.019,891.0,796.0,1.0
"eps_tform[0, 6]",0.584,0.336,-0.064,1.157,0.014,0.009,612.0,729.0,1.0
"eps_tform[0, 7]",0.646,0.649,-0.589,1.794,0.024,0.017,719.0,653.0,1.01
"eps_tform[0, 8]",0.929,0.844,-0.577,2.508,0.026,0.025,1027.0,849.0,1.01
"eps_tform[0, 9]",1.328,0.738,-0.165,2.585,0.031,0.021,565.0,734.0,1.0
"eps_tform[0, 10]",0.872,0.454,0.125,1.801,0.021,0.012,458.0,636.0,1.0
"eps_tform[0, 11]",0.279,0.589,-0.91,1.345,0.025,0.016,577.0,580.0,1.01
"eps_tform[0, 12]",0.887,0.662,-0.289,2.213,0.028,0.019,546.0,630.0,1.0
"eps_tform[0, 13]",0.301,0.483,-0.577,1.206,0.02,0.015,569.0,622.0,1.0
"eps_tform[0, 14]",0.048,0.851,-1.661,1.564,0.032,0.024,708.0,558.0,1.0
"eps_tform[0, 15]",0.17,0.559,-0.778,1.283,0.023,0.014,593.0,714.0,1.01
"eps_tform[0, 16]",-0.858,0.624,-2.064,0.239,0.025,0.016,616.0,776.0,1.01
"eps_tform[0, 17]",-0.487,0.627,-1.687,0.654,0.025,0.016,632.0,796.0,1.01
"eps_tform[0, 18]",1.245,0.636,0.122,2.414,0.03,0.018,457.0,706.0,1.0
"eps_tform[0, 19]",1.852,0.428,1.055,2.628,0.017,0.013,666.0,671.0,1.01
"eps_tform[0, 20]",-0.394,0.505,-1.309,0.561,0.018,0.014,778.0,791.0,1.0
"eps_tform[0, 21]",-0.076,0.516,-1.092,0.825,0.021,0.013,614.0,695.0,1.0
"eps_tform[0, 22]",0.052,0.428,-0.708,0.901,0.016,0.012,743.0,708.0,1.01
"eps_tform[0, 23]",0.093,0.846,-1.296,1.914,0.024,0.027,1281.0,863.0,1.01
"eps_tform[0, 24]",0.184,0.52,-0.669,1.215,0.017,0.014,918.0,845.0,1.0
"eps_tform[0, 25]",0.098,0.557,-0.895,1.151,0.025,0.012,490.0,811.0,1.01
