,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.726,0.124,0.503,0.958,0.005,0.004,711.0,617.0,1.01
Ds[0],37.554,0.108,37.345,37.748,0.004,0.004,752.0,681.0,1.0
RV[0],4.641,0.907,3.095,5.981,0.032,0.026,780.0,623.0,1.0
delM[0],-0.003,0.092,-0.168,0.169,0.003,0.002,819.0,987.0,1.0
"eps[0, 0]",0.097,0.121,-0.129,0.313,0.003,0.004,1847.0,779.0,1.02
"eps[1, 0]",0.076,0.248,-0.355,0.565,0.006,0.008,1948.0,857.0,1.01
"eps[2, 0]",0.079,0.211,-0.354,0.418,0.005,0.007,1674.0,556.0,1.0
"eps[3, 0]",0.178,0.217,-0.223,0.557,0.006,0.007,1546.0,773.0,1.0
"eps[4, 0]",0.15,0.261,-0.309,0.647,0.007,0.011,1637.0,555.0,1.0
"eps[5, 0]",-0.073,0.545,-1.168,0.907,0.014,0.018,1509.0,734.0,1.01
"eps[6, 0]",-0.114,0.477,-0.994,0.756,0.012,0.015,1576.0,851.0,1.01
"eps[7, 0]",-0.016,0.153,-0.297,0.274,0.003,0.005,1964.0,694.0,1.0
"eps[8, 0]",0.014,0.217,-0.402,0.409,0.005,0.007,1788.0,979.0,1.01
"eps[9, 0]",0.101,0.045,0.017,0.18,0.001,0.002,1103.0,745.0,1.0
"eps[10, 0]",-0.033,0.04,-0.112,0.038,0.001,0.001,1055.0,568.0,1.0
"eps[11, 0]",-0.001,0.033,-0.065,0.059,0.001,0.001,1024.0,852.0,1.0
"eps[12, 0]",0.032,0.044,-0.053,0.111,0.001,0.001,1771.0,763.0,1.0
"eps[13, 0]",-0.005,0.048,-0.101,0.078,0.001,0.001,1319.0,742.0,1.01
"eps[14, 0]",0.011,0.09,-0.157,0.174,0.003,0.002,1068.0,894.0,1.01
"eps[15, 0]",-0.009,0.095,-0.184,0.167,0.002,0.003,1792.0,732.0,1.0
"eps[16, 0]",-0.023,0.085,-0.184,0.141,0.002,0.004,1929.0,714.0,1.01
"eps[17, 0]",-0.016,0.081,-0.164,0.135,0.002,0.003,2336.0,733.0,1.01
"eps[18, 0]",-0.021,0.043,-0.099,0.059,0.001,0.001,1284.0,927.0,1.0
"eps[19, 0]",-0.037,0.04,-0.109,0.042,0.001,0.001,1496.0,842.0,1.0
"eps[20, 0]",0.004,0.038,-0.065,0.077,0.001,0.001,1405.0,874.0,1.0
"eps[21, 0]",0.037,0.045,-0.047,0.121,0.001,0.001,1438.0,760.0,1.0
"eps[22, 0]",-0.009,0.065,-0.138,0.1,0.002,0.002,1169.0,880.0,1.0
"eps[23, 0]",0.025,0.106,-0.184,0.208,0.003,0.003,1302.0,919.0,1.0
"eps[24, 0]",-0.036,0.132,-0.273,0.207,0.004,0.004,1116.0,776.0,1.01
"eps[25, 0]",-0.009,0.14,-0.268,0.251,0.004,0.006,1404.0,692.0,1.0
"eps[26, 0]",0.066,0.145,-0.208,0.323,0.004,0.004,1551.0,706.0,1.01
"eps[27, 0]",-0.037,0.069,-0.159,0.094,0.002,0.002,1151.0,870.0,1.0
"eps[28, 0]",-0.239,0.055,-0.347,-0.141,0.002,0.001,1187.0,917.0,1.0
"eps[29, 0]",-0.06,0.044,-0.141,0.023,0.001,0.001,1094.0,1008.0,1.0
"eps[30, 0]",0.029,0.05,-0.058,0.125,0.001,0.002,1693.0,831.0,1.0
"eps[31, 0]",0.109,0.08,-0.052,0.248,0.002,0.003,1459.0,762.0,1.01
"eps[32, 0]",-0.12,0.197,-0.488,0.22,0.006,0.007,1265.0,767.0,1.0
