,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.389,0.1,0.2,0.565,0.004,0.003,727.0,618.0,1.01
Ds[0],37.534,0.092,37.373,37.719,0.003,0.003,774.0,678.0,1.0
RV[0],3.825,1.241,1.842,5.994,0.045,0.03,725.0,541.0,1.01
delM[0],-0.001,0.096,-0.172,0.18,0.003,0.002,975.0,954.0,1.0
"eps[0, 0]",0.162,0.123,-0.058,0.397,0.004,0.004,1197.0,816.0,1.01
"eps[1, 0]",0.035,0.272,-0.496,0.508,0.008,0.008,1240.0,757.0,1.0
"eps[2, 0]",0.192,0.218,-0.188,0.619,0.006,0.007,1320.0,715.0,1.0
"eps[3, 0]",0.209,0.235,-0.214,0.658,0.007,0.007,1246.0,571.0,1.0
"eps[4, 0]",0.201,0.256,-0.299,0.639,0.007,0.008,1313.0,797.0,1.0
"eps[5, 0]",0.079,0.555,-0.942,1.154,0.016,0.017,1191.0,790.0,1.0
"eps[6, 0]",-0.145,0.468,-1.005,0.74,0.012,0.014,1624.0,968.0,1.0
"eps[7, 0]",0.088,0.155,-0.22,0.363,0.004,0.006,1829.0,603.0,1.01
"eps[8, 0]",-0.024,0.222,-0.424,0.427,0.006,0.007,1403.0,755.0,1.01
"eps[9, 0]",0.066,0.041,-0.022,0.136,0.001,0.001,906.0,808.0,1.0
"eps[10, 0]",-0.08,0.036,-0.146,-0.009,0.001,0.001,770.0,864.0,1.0
"eps[11, 0]",-0.07,0.031,-0.127,-0.011,0.001,0.001,1013.0,807.0,1.0
"eps[12, 0]",-0.037,0.04,-0.104,0.043,0.001,0.001,1211.0,694.0,1.0
"eps[13, 0]",-0.0,0.05,-0.096,0.091,0.001,0.002,1247.0,666.0,1.0
"eps[14, 0]",0.137,0.087,-0.023,0.305,0.003,0.003,1155.0,888.0,1.0
"eps[15, 0]",0.035,0.088,-0.119,0.201,0.003,0.002,929.0,852.0,1.0
"eps[16, 0]",-0.014,0.075,-0.15,0.127,0.002,0.002,1134.0,899.0,1.0
"eps[17, 0]",-0.006,0.081,-0.149,0.148,0.002,0.003,1623.0,811.0,1.0
"eps[18, 0]",0.117,0.052,0.027,0.215,0.002,0.001,948.0,784.0,1.0
"eps[19, 0]",0.098,0.05,-0.0,0.183,0.001,0.001,1425.0,949.0,1.0
"eps[20, 0]",-0.072,0.044,-0.153,0.012,0.001,0.001,1114.0,742.0,1.0
"eps[21, 0]",0.091,0.049,0.007,0.187,0.002,0.002,958.0,732.0,1.0
"eps[22, 0]",0.023,0.064,-0.1,0.145,0.002,0.002,1310.0,657.0,1.0
"eps[23, 0]",0.062,0.121,-0.173,0.287,0.003,0.003,1477.0,797.0,1.0
"eps[24, 0]",0.075,0.13,-0.157,0.322,0.004,0.003,1266.0,873.0,1.0
"eps[25, 0]",0.033,0.134,-0.228,0.274,0.004,0.005,1211.0,646.0,1.0
"eps[26, 0]",0.14,0.143,-0.11,0.396,0.003,0.004,1724.0,768.0,1.0
"eps[27, 0]",0.047,0.064,-0.081,0.153,0.002,0.002,1044.0,825.0,1.0
"eps[28, 0]",-0.057,0.059,-0.162,0.059,0.002,0.002,1042.0,679.0,1.0
"eps[29, 0]",-0.138,0.05,-0.234,-0.052,0.001,0.001,1355.0,903.0,1.0
"eps[30, 0]",-0.005,0.052,-0.1,0.09,0.001,0.002,1206.0,848.0,1.0
"eps[31, 0]",-0.078,0.078,-0.239,0.061,0.002,0.003,1060.0,799.0,1.0
"eps[32, 0]",0.07,0.21,-0.301,0.457,0.006,0.005,1294.0,991.0,1.0
"eps[33, 0]",-0.328,0.232,-0.728,0.101,0.007,0.007,1201.0,806.0,1.01
"eps[34, 0]",-0.03,0.185,-0.332,0.353,0.005,0.006,1218.0,739.0,1.0
"eps[35, 0]",0.008,0.092,-0.15,0.184,0.002,0.003,1771.0,811.0,1.01
"eps[36, 0]",0.108,0.063,-0.016,0.217,0.002,0.002,1455.0,790.0,1.0
"eps[37, 0]",-0.287,0.123,-0.523,-0.065,0.004,0.003,932.0,808.0,1.0
"eps[38, 0]",-0.008,0.052,-0.111,0.087,0.001,0.001,1378.0,918.0,1.01
"eps[39, 0]",-0.123,0.086,-0.278,0.034,0.003,0.003,999.0,713.0,1.0
"eps[40, 0]",0.006,0.072,-0.128,0.131,0.002,0.002,1186.0,809.0,1.01
"eps[41, 0]",0.3,0.307,-0.311,0.85,0.008,0.01,1454.0,777.0,1.0
"eps[42, 0]",-0.108,0.165,-0.412,0.198,0.004,0.005,1627.0,801.0,1.01
"eps[43, 0]",0.031,0.131,-0.231,0.262,0.003,0.004,1520.0,830.0,1.0
"eps[44, 0]",0.059,0.092,-0.111,0.224,0.003,0.003,1370.0,713.0,1.01
"eps[45, 0]",-0.097,0.07,-0.232,0.034,0.002,0.002,984.0,726.0,1.0
"eps[46, 0]",-0.009,0.322,-0.6,0.602,0.008,0.01,1577.0,811.0,1.01
"eps[47, 0]",-0.045,0.039,-0.116,0.027,0.001,0.001,1247.0,684.0,1.0
"eps[48, 0]",-0.121,0.096,-0.319,0.047,0.003,0.003,1374.0,773.0,1.0
"eps[49, 0]",0.036,0.096,-0.136,0.22,0.003,0.003,923.0,696.0,1.0
"eps[50, 0]",-0.754,0.62,-1.979,0.389,0.015,0.02,1751.0,652.0,1.01
"eps[51, 0]",0.689,0.354,0.053,1.361,0.009,0.01,1629.0,797.0,1.0
"eps[52, 0]",0.033,0.158,-0.291,0.307,0.005,0.005,1082.0,679.0,1.0
"eps[53, 0]",0.197,0.105,-0.001,0.381,0.003,0.003,1562.0,828.0,1.01
"eps_tform[0, 0]",1.064,0.81,-0.383,2.603,0.023,0.025,1197.0,816.0,1.01
"eps_tform[0, 1]",0.291,0.795,-1.26,1.61,0.023,0.022,1206.0,899.0,1.0
"eps_tform[0, 2]",0.8,0.911,-0.95,2.391,0.025,0.029,1384.0,684.0,1.0
"eps_tform[0, 3]",0.591,0.771,-0.806,2.067,0.02,0.023,1498.0,745.0,1.0
"eps_tform[0, 4]",0.135,0.877,-1.532,1.766,0.023,0.028,1517.0,810.0,1.0
"eps_tform[0, 5]",-0.085,0.867,-1.653,1.532,0.025,0.027,1212.0,690.0,1.0
"eps_tform[0, 6]",-0.295,0.987,-2.2,1.489,0.024,0.029,1636.0,984.0,1.0
"eps_tform[0, 7]",0.364,0.965,-1.511,2.088,0.023,0.038,1753.0,580.0,1.01
"eps_tform[0, 8]",-0.24,0.949,-2.126,1.412,0.024,0.029,1515.0,739.0,1.0
"eps_tform[0, 9]",0.864,0.639,-0.481,1.977,0.021,0.021,946.0,719.0,1.0
"eps_tform[0, 10]",-0.986,0.341,-1.599,-0.386,0.011,0.01,1009.0,742.0,1.0
"eps_tform[0, 11]",-1.757,0.597,-2.923,-0.673,0.019,0.017,1006.0,752.0,1.0
"eps_tform[0, 12]",-0.198,0.828,-1.762,1.418,0.024,0.033,1228.0,724.0,1.0
"eps_tform[0, 13]",0.487,0.776,-0.846,2.078,0.022,0.025,1200.0,735.0,1.0
"eps_tform[0, 14]",1.164,0.621,-0.095,2.301,0.019,0.019,1082.0,774.0,1.0
