,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.391,0.045,0.302,0.47,0.002,0.001,403.0,511.0,1.01
Ds[0],31.505,0.037,31.438,31.575,0.002,0.001,370.0,620.0,1.01
RV[0],5.091,0.679,3.888,6.0,0.025,0.019,596.0,423.0,1.01
delM[0],0.004,0.099,-0.174,0.192,0.003,0.002,1044.0,948.0,1.0
"eps[0, 0]",1.365,0.042,1.284,1.438,0.002,0.001,680.0,765.0,1.0
"eps[1, 0]",0.989,0.118,0.788,1.228,0.004,0.003,1079.0,898.0,1.01
"eps[2, 0]",1.426,0.065,1.319,1.553,0.002,0.002,879.0,681.0,1.0
"eps[3, 0]",0.94,0.046,0.849,1.02,0.001,0.001,955.0,739.0,1.0
"eps[4, 0]",1.512,0.051,1.417,1.605,0.002,0.001,756.0,777.0,1.0
"eps[5, 0]",1.112,0.33,0.52,1.742,0.013,0.01,621.0,598.0,1.0
"eps[6, 0]",1.677,0.084,1.525,1.844,0.004,0.002,558.0,766.0,1.0
"eps[7, 0]",1.623,0.052,1.522,1.717,0.002,0.001,640.0,716.0,1.01
"eps[8, 0]",0.777,0.056,0.672,0.875,0.002,0.002,517.0,785.0,1.0
"eps[9, 0]",0.05,0.024,0.009,0.098,0.001,0.001,504.0,703.0,1.0
"eps[10, 0]",0.038,0.027,-0.013,0.087,0.001,0.001,777.0,910.0,1.0
"eps[11, 0]",0.111,0.021,0.069,0.149,0.001,0.001,554.0,546.0,1.0
"eps[12, 0]",0.18,0.02,0.142,0.216,0.001,0.001,632.0,612.0,1.0
"eps[13, 0]",-0.162,0.02,-0.196,-0.124,0.001,0.001,588.0,536.0,1.0
"eps[14, 0]",-0.129,0.118,-0.325,0.101,0.004,0.003,748.0,767.0,1.0
"eps[15, 0]",-0.342,0.032,-0.4,-0.284,0.001,0.001,487.0,712.0,1.0
"eps[16, 0]",-0.209,0.029,-0.262,-0.156,0.001,0.001,412.0,678.0,1.01
"eps[17, 0]",-0.057,0.035,-0.121,0.012,0.002,0.001,466.0,591.0,1.01
"eps[18, 0]",-0.26,0.027,-0.316,-0.215,0.001,0.001,556.0,670.0,1.0
"eps[19, 0]",-0.129,0.024,-0.176,-0.087,0.001,0.001,704.0,827.0,1.0
