,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.687,0.111,0.464,0.875,0.004,0.003,666.0,601.0,1.0
Ds[0],34.745,0.1,34.559,34.929,0.004,0.003,819.0,620.0,1.0
RV[0],5.492,0.442,4.651,6.0,0.011,0.017,1400.0,653.0,1.01
delM[0],0.0,0.092,-0.181,0.161,0.003,0.002,1036.0,927.0,1.0
"eps[0, 0]",-0.144,0.137,-0.404,0.104,0.004,0.005,1516.0,692.0,1.0
"eps[1, 0]",0.01,0.31,-0.594,0.583,0.007,0.009,2024.0,850.0,1.01
"eps[2, 0]",-0.32,0.225,-0.77,0.092,0.006,0.007,1510.0,719.0,1.0
"eps[3, 0]",-0.173,0.273,-0.717,0.316,0.007,0.008,1488.0,856.0,1.0
"eps[4, 0]",-0.313,0.252,-0.757,0.187,0.007,0.007,1178.0,741.0,1.0
"eps[5, 0]",0.414,0.681,-0.829,1.709,0.014,0.021,2284.0,800.0,1.0
"eps[6, 0]",0.095,0.492,-0.755,1.013,0.011,0.016,2135.0,752.0,1.01
"eps[7, 0]",-0.055,0.153,-0.323,0.26,0.003,0.006,2492.0,795.0,1.0
"eps[8, 0]",-0.131,0.22,-0.531,0.276,0.006,0.008,1573.0,583.0,1.01
"eps[9, 0]",-0.043,0.063,-0.163,0.072,0.001,0.002,1892.0,679.0,1.01
"eps[10, 0]",-0.101,0.094,-0.285,0.067,0.002,0.004,1664.0,627.0,1.0
"eps[11, 0]",0.045,0.054,-0.057,0.141,0.002,0.002,1228.0,672.0,1.0
"eps[12, 0]",-0.001,0.045,-0.083,0.083,0.001,0.001,1403.0,821.0,1.01
"eps[13, 0]",-0.03,0.055,-0.139,0.066,0.002,0.002,1073.0,703.0,1.0
"eps[14, 0]",0.182,0.117,-0.05,0.394,0.003,0.004,1183.0,623.0,1.0
"eps[15, 0]",0.042,0.102,-0.168,0.226,0.003,0.004,1424.0,638.0,1.0
"eps[16, 0]",-0.077,0.082,-0.232,0.072,0.002,0.003,2179.0,604.0,1.01
"eps[17, 0]",0.046,0.083,-0.1,0.206,0.002,0.003,1933.0,701.0,1.0
"eps[18, 0]",-0.133,0.063,-0.249,-0.018,0.002,0.002,1381.0,727.0,1.01
"eps[19, 0]",0.07,0.123,-0.157,0.292,0.003,0.004,1290.0,814.0,1.0
"eps[20, 0]",0.052,0.06,-0.069,0.153,0.002,0.002,1150.0,741.0,1.01
"eps[21, 0]",0.104,0.062,-0.002,0.228,0.002,0.002,1492.0,936.0,1.01
"eps[22, 0]",0.079,0.088,-0.085,0.259,0.002,0.003,1392.0,816.0,1.0
"eps[23, 0]",-0.25,0.173,-0.583,0.072,0.004,0.006,1789.0,762.0,1.0
"eps[24, 0]",0.033,0.144,-0.241,0.314,0.003,0.005,2112.0,795.0,1.01
"eps[25, 0]",-0.193,0.149,-0.456,0.103,0.004,0.005,1298.0,831.0,1.0
"eps[26, 0]",-0.135,0.133,-0.382,0.108,0.003,0.004,1672.0,727.0,1.0
"eps[27, 0]",-0.249,0.068,-0.367,-0.121,0.002,0.002,1213.0,850.0,1.0
