,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.817,0.085,0.651,0.968,0.006,0.002,259.0,627.0,1.03
Ds[0],36.029,0.071,35.897,36.161,0.004,0.002,410.0,631.0,1.02
RV[0],2.25,0.368,1.599,2.994,0.026,0.011,247.0,588.0,1.03
delM[0],-0.003,0.094,-0.173,0.177,0.003,0.002,1010.0,952.0,1.0
"eps[0, 0]",0.244,0.118,0.014,0.453,0.003,0.003,1192.0,831.0,1.01
"eps[1, 0]",-0.026,0.235,-0.465,0.398,0.007,0.006,1043.0,636.0,1.0
"eps[2, 0]",0.348,0.199,0.002,0.754,0.006,0.006,1088.0,720.0,1.0
"eps[3, 0]",-0.242,0.18,-0.608,0.068,0.006,0.005,942.0,884.0,1.0
"eps[4, 0]",0.08,0.201,-0.312,0.454,0.007,0.006,800.0,684.0,1.0
"eps[5, 0]",-0.102,0.501,-0.993,0.926,0.014,0.014,1217.0,803.0,1.0
"eps[6, 0]",-0.259,0.343,-0.871,0.387,0.009,0.01,1556.0,808.0,1.0
"eps[7, 0]",0.021,0.143,-0.259,0.275,0.004,0.005,1675.0,729.0,1.0
"eps[8, 0]",0.067,0.212,-0.341,0.455,0.005,0.007,1620.0,844.0,1.0
"eps[9, 0]",-0.075,0.04,-0.148,0.0,0.001,0.001,813.0,772.0,1.0
"eps[10, 0]",-0.051,0.038,-0.124,0.018,0.001,0.001,897.0,847.0,1.0
"eps[11, 0]",0.065,0.033,0.002,0.125,0.001,0.001,1098.0,790.0,1.0
"eps[12, 0]",0.01,0.034,-0.047,0.081,0.001,0.001,534.0,718.0,1.01
"eps[13, 0]",-0.014,0.032,-0.073,0.046,0.001,0.001,870.0,591.0,1.01
"eps[14, 0]",-0.024,0.102,-0.22,0.158,0.003,0.003,921.0,754.0,1.0
"eps[15, 0]",-0.196,0.066,-0.321,-0.078,0.003,0.002,633.0,675.0,1.01
"eps[16, 0]",-0.008,0.057,-0.114,0.101,0.002,0.001,802.0,759.0,1.01
"eps[17, 0]",-0.023,0.065,-0.15,0.088,0.003,0.002,623.0,736.0,1.01
"eps[18, 0]",0.152,0.043,0.068,0.23,0.001,0.001,907.0,692.0,1.0
"eps[19, 0]",0.174,0.05,0.087,0.273,0.001,0.001,1108.0,721.0,1.01
"eps[20, 0]",-0.222,0.04,-0.294,-0.145,0.001,0.001,760.0,803.0,1.0
"eps[21, 0]",-0.156,0.042,-0.235,-0.078,0.002,0.001,752.0,829.0,1.01
"eps[22, 0]",-0.256,0.04,-0.329,-0.178,0.001,0.001,894.0,668.0,1.0
"eps[23, 0]",-0.238,0.144,-0.473,0.055,0.004,0.004,1139.0,947.0,1.0
