,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.464,0.065,0.346,0.582,0.003,0.002,511.0,621.0,1.01
Ds[0],33.638,0.055,33.536,33.74,0.002,0.002,498.0,509.0,1.01
RV[0],4.302,0.961,2.772,5.992,0.031,0.024,923.0,620.0,1.01
delM[0],0.004,0.097,-0.163,0.198,0.003,0.002,1002.0,954.0,1.0
"eps[0, 0]",0.489,0.113,0.276,0.694,0.003,0.003,1065.0,950.0,1.0
"eps[1, 0]",0.152,0.277,-0.328,0.662,0.009,0.007,969.0,730.0,1.0
"eps[2, 0]",0.366,0.174,0.048,0.692,0.006,0.005,880.0,784.0,1.01
"eps[3, 0]",0.654,0.175,0.337,0.968,0.005,0.005,1489.0,820.0,1.0
"eps[4, 0]",0.356,0.202,-0.039,0.71,0.008,0.006,713.0,806.0,1.0
"eps[5, 0]",2.696,0.507,1.813,3.701,0.015,0.014,1125.0,803.0,1.0
"eps[6, 0]",-0.141,0.374,-0.773,0.612,0.012,0.009,926.0,845.0,1.01
"eps[7, 0]",0.216,0.136,-0.024,0.476,0.004,0.004,950.0,774.0,1.0
"eps[8, 0]",0.351,0.197,-0.005,0.71,0.006,0.006,1150.0,781.0,1.0
"eps[9, 0]",0.051,0.032,-0.01,0.106,0.001,0.001,635.0,704.0,1.0
"eps[10, 0]",0.095,0.039,0.02,0.163,0.001,0.001,715.0,776.0,1.0
"eps[11, 0]",0.159,0.026,0.111,0.211,0.001,0.001,951.0,778.0,1.0
"eps[12, 0]",0.216,0.028,0.159,0.265,0.001,0.001,740.0,673.0,1.0
"eps[13, 0]",-0.09,0.024,-0.134,-0.043,0.001,0.001,687.0,822.0,1.01
"eps[14, 0]",0.158,0.104,-0.037,0.349,0.003,0.003,1048.0,943.0,1.0
"eps[15, 0]",-0.489,0.062,-0.595,-0.36,0.002,0.001,726.0,926.0,1.0
"eps[16, 0]",-0.37,0.047,-0.453,-0.282,0.002,0.001,829.0,873.0,1.0
"eps[17, 0]",-0.183,0.047,-0.279,-0.103,0.002,0.001,666.0,744.0,1.01
"eps[18, 0]",-0.32,0.032,-0.377,-0.258,0.001,0.001,650.0,742.0,1.0
"eps[19, 0]",-0.28,0.031,-0.338,-0.223,0.001,0.001,830.0,857.0,1.0
"eps[20, 0]",-0.204,0.024,-0.248,-0.16,0.001,0.001,760.0,795.0,1.0
"eps[21, 0]",-0.335,0.027,-0.383,-0.286,0.001,0.001,835.0,836.0,1.01
"eps[22, 0]",-0.452,0.024,-0.502,-0.411,0.001,0.001,772.0,618.0,1.0
"eps[23, 0]",-1.246,0.107,-1.448,-1.045,0.003,0.003,1059.0,777.0,1.0
"eps[24, 0]",-0.008,0.056,-0.113,0.097,0.002,0.002,661.0,666.0,1.01
"eps[25, 0]",-0.685,0.049,-0.786,-0.601,0.002,0.001,579.0,549.0,1.01
"eps[26, 0]",0.079,0.056,-0.024,0.182,0.002,0.002,530.0,528.0,1.01
"eps[27, 0]",-0.141,0.041,-0.214,-0.063,0.002,0.001,720.0,765.0,1.01
"eps[28, 0]",0.307,0.042,0.227,0.385,0.001,0.001,1007.0,939.0,1.0
"eps[29, 0]",-0.174,0.026,-0.218,-0.122,0.001,0.001,691.0,779.0,1.0
"eps[30, 0]",0.024,0.026,-0.027,0.07,0.001,0.001,841.0,710.0,1.0
"eps[31, 0]",-0.094,0.034,-0.164,-0.033,0.001,0.001,813.0,816.0,1.0
