,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.144,0.095,0.013,0.336,0.039,0.019,8.0,35.0,1.49
Ds[0],33.059,0.061,32.947,33.173,0.016,0.004,16.0,67.0,1.18
RV[0],4.207,1.219,1.991,5.988,0.036,0.038,1193.0,661.0,1.0
delM[0],-0.0,0.094,-0.198,0.152,0.003,0.002,1026.0,959.0,1.0
"eps[0, 0]",-0.238,0.124,-0.45,-0.007,0.015,0.004,63.0,481.0,1.05
"eps[1, 0]",0.273,0.63,-0.984,1.082,0.285,0.15,7.0,31.0,1.53
"eps[2, 0]",0.058,0.296,-0.395,0.676,0.114,0.051,8.0,45.0,1.44
"eps[3, 0]",-0.144,0.266,-0.632,0.344,0.076,0.019,13.0,43.0,1.24
"eps[4, 0]",0.583,0.226,0.143,1.0,0.008,0.007,848.0,608.0,1.01
"eps[5, 0]",-1.32,1.721,-3.436,2.052,0.806,0.441,7.0,44.0,1.53
"eps[6, 0]",-0.074,0.53,-1.168,0.82,0.173,0.061,10.0,33.0,1.31
"eps[7, 0]",-0.157,0.138,-0.42,0.091,0.004,0.004,1416.0,917.0,1.0
"eps[8, 0]",0.322,0.342,-0.36,0.846,0.135,0.064,8.0,35.0,1.46
"eps[9, 0]",-0.098,0.07,-0.216,0.035,0.025,0.01,9.0,38.0,1.38
"eps[10, 0]",-0.09,0.083,-0.261,0.055,0.003,0.002,1063.0,710.0,1.0
"eps[11, 0]",-0.0,0.048,-0.094,0.087,0.007,0.002,49.0,768.0,1.06
"eps[12, 0]",-0.066,0.046,-0.144,0.02,0.013,0.005,13.0,47.0,1.24
"eps[13, 0]",-0.082,0.047,-0.161,0.017,0.002,0.001,617.0,657.0,1.02
"eps[14, 0]",-0.283,0.389,-0.703,0.472,0.185,0.103,7.0,33.0,1.53
"eps[15, 0]",0.029,0.129,-0.232,0.237,0.045,0.017,9.0,35.0,1.36
"eps[16, 0]",0.038,0.089,-0.118,0.215,0.021,0.006,18.0,74.0,1.15
"eps[17, 0]",0.002,0.086,-0.166,0.152,0.022,0.002,16.0,130.0,1.18
"eps[18, 0]",-0.246,0.037,-0.31,-0.174,0.011,0.004,13.0,31.0,1.23
"eps[19, 0]",-0.105,0.047,-0.185,-0.013,0.011,0.002,18.0,115.0,1.17
"eps[20, 0]",-0.143,0.023,-0.183,-0.096,0.003,0.001,56.0,803.0,1.06
"eps[21, 0]",-0.077,0.023,-0.122,-0.037,0.002,0.001,144.0,141.0,1.03
"eps[22, 0]",-0.172,0.028,-0.228,-0.12,0.008,0.002,13.0,66.0,1.22
"eps[23, 0]",0.351,0.74,-1.046,0.987,0.362,0.207,7.0,31.0,1.53
"eps[24, 0]",-0.202,0.146,-0.414,0.082,0.061,0.026,7.0,35.0,1.52
"eps[25, 0]",-0.05,0.072,-0.181,0.081,0.002,0.002,1088.0,876.0,1.01
"eps[26, 0]",0.123,0.085,-0.036,0.277,0.013,0.002,45.0,647.0,1.07
"eps[27, 0]",-0.219,0.051,-0.313,-0.122,0.014,0.007,15.0,38.0,1.2
