,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.021,0.017,0.0,0.055,0.001,0.001,931.0,748.0,1.01
Ds[0],36.495,0.034,36.434,36.562,0.002,0.001,448.0,422.0,1.01
RV[0],3.672,1.433,1.386,5.99,0.032,0.034,1840.0,634.0,1.01
delM[0],0.002,0.097,-0.19,0.18,0.003,0.002,874.0,896.0,1.0
"eps[0, 0]",-0.188,0.086,-0.341,-0.015,0.003,0.003,1207.0,782.0,1.01
"eps[1, 0]",-0.372,0.188,-0.692,0.004,0.006,0.005,904.0,536.0,1.0
"eps[2, 0]",0.161,0.17,-0.151,0.459,0.007,0.005,607.0,597.0,1.01
"eps[3, 0]",-0.378,0.172,-0.717,-0.069,0.007,0.005,647.0,749.0,1.0
"eps[4, 0]",0.069,0.185,-0.322,0.368,0.006,0.006,872.0,880.0,1.01
"eps[5, 0]",0.113,0.49,-0.784,1.072,0.014,0.014,1204.0,873.0,1.0
"eps[6, 0]",0.31,0.397,-0.43,1.055,0.01,0.012,1555.0,861.0,1.0
"eps[7, 0]",0.107,0.148,-0.155,0.398,0.005,0.006,1114.0,508.0,1.01
"eps[8, 0]",0.197,0.195,-0.192,0.548,0.004,0.006,2177.0,860.0,1.01
"eps[9, 0]",-0.044,0.021,-0.082,-0.005,0.001,0.0,596.0,709.0,1.0
"eps[10, 0]",-0.042,0.026,-0.097,0.001,0.001,0.001,489.0,753.0,1.01
"eps[11, 0]",-0.14,0.023,-0.183,-0.095,0.001,0.001,759.0,766.0,1.0
"eps[12, 0]",0.049,0.028,-0.008,0.098,0.001,0.001,591.0,823.0,1.01
"eps[13, 0]",-0.103,0.03,-0.157,-0.047,0.001,0.001,756.0,751.0,1.01
"eps[14, 0]",0.063,0.088,-0.11,0.215,0.003,0.002,944.0,713.0,1.0
"eps[15, 0]",0.203,0.066,0.094,0.341,0.002,0.002,912.0,677.0,1.0
"eps[16, 0]",0.11,0.056,-0.011,0.203,0.002,0.002,1169.0,981.0,1.0
"eps[17, 0]",-0.154,0.054,-0.264,-0.06,0.002,0.002,935.0,673.0,1.01
"eps[18, 0]",-0.002,0.029,-0.054,0.054,0.001,0.001,578.0,766.0,1.01
"eps[19, 0]",-0.008,0.04,-0.076,0.073,0.001,0.001,966.0,621.0,1.01
"eps[20, 0]",0.041,0.035,-0.025,0.102,0.001,0.001,887.0,528.0,1.0
"eps[21, 0]",0.092,0.038,0.026,0.17,0.001,0.001,990.0,759.0,1.0
"eps[22, 0]",0.009,0.043,-0.075,0.089,0.001,0.001,924.0,592.0,1.01
"eps[23, 0]",0.022,0.132,-0.243,0.26,0.004,0.004,914.0,713.0,1.0
"eps[24, 0]",0.347,0.09,0.173,0.508,0.003,0.003,880.0,773.0,1.0
"eps[25, 0]",0.101,0.117,-0.106,0.32,0.003,0.004,1190.0,788.0,1.0
"eps[26, 0]",0.152,0.059,0.048,0.269,0.002,0.002,965.0,615.0,1.0
"eps[27, 0]",-0.083,0.043,-0.173,-0.011,0.002,0.001,456.0,534.0,1.01
"eps[28, 0]",0.06,0.036,-0.007,0.126,0.001,0.001,911.0,777.0,1.0
"eps[29, 0]",0.039,0.036,-0.031,0.108,0.001,0.001,810.0,804.0,1.0
