,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.022,0.019,0.0,0.059,0.001,0.001,1490.0,672.0,1.0
Ds[0],36.048,0.044,35.968,36.127,0.002,0.001,543.0,619.0,1.01
RV[0],3.643,1.437,1.367,5.963,0.034,0.039,1731.0,604.0,1.02
delM[0],0.004,0.095,-0.17,0.17,0.003,0.002,891.0,995.0,1.0
"eps[0, 0]",-0.025,0.12,-0.233,0.209,0.004,0.004,1180.0,722.0,1.0
"eps[1, 0]",0.388,0.253,-0.055,0.853,0.008,0.008,1131.0,759.0,1.0
"eps[2, 0]",-0.262,0.192,-0.599,0.11,0.005,0.006,1243.0,733.0,1.0
"eps[3, 0]",0.108,0.208,-0.272,0.501,0.006,0.005,1145.0,937.0,1.0
"eps[4, 0]",0.099,0.206,-0.269,0.467,0.007,0.005,875.0,634.0,1.0
"eps[5, 0]",-0.69,0.505,-1.571,0.259,0.013,0.017,1586.0,826.0,1.01
"eps[6, 0]",-0.394,0.413,-1.263,0.298,0.01,0.013,1652.0,970.0,1.0
"eps[7, 0]",-0.001,0.141,-0.278,0.266,0.004,0.006,1447.0,604.0,1.0
"eps[8, 0]",0.196,0.201,-0.176,0.585,0.005,0.006,1499.0,865.0,1.0
"eps[9, 0]",0.008,0.033,-0.054,0.066,0.001,0.001,898.0,675.0,1.0
"eps[10, 0]",-0.029,0.057,-0.131,0.08,0.002,0.001,834.0,812.0,1.0
"eps[11, 0]",0.005,0.037,-0.069,0.072,0.001,0.001,1094.0,686.0,1.0
"eps[12, 0]",0.006,0.038,-0.061,0.077,0.001,0.001,1060.0,814.0,1.0
"eps[13, 0]",-0.09,0.042,-0.167,-0.007,0.001,0.001,902.0,669.0,1.0
"eps[14, 0]",0.037,0.107,-0.154,0.244,0.003,0.003,1187.0,733.0,1.01
"eps[15, 0]",0.137,0.079,-0.019,0.268,0.002,0.002,1284.0,821.0,1.01
"eps[16, 0]",0.025,0.069,-0.092,0.162,0.002,0.002,1787.0,875.0,1.0
"eps[17, 0]",0.047,0.074,-0.087,0.188,0.002,0.002,1509.0,679.0,1.0
"eps[18, 0]",-0.088,0.03,-0.149,-0.039,0.001,0.001,702.0,813.0,1.0
"eps[19, 0]",0.095,0.03,0.037,0.145,0.001,0.001,960.0,866.0,1.0
"eps[20, 0]",-0.045,0.03,-0.1,0.012,0.001,0.001,824.0,583.0,1.0
"eps[21, 0]",0.135,0.028,0.08,0.186,0.001,0.001,997.0,756.0,1.0
"eps[22, 0]",0.021,0.039,-0.052,0.09,0.002,0.001,651.0,848.0,1.0
"eps[23, 0]",0.099,0.113,-0.115,0.301,0.003,0.003,1089.0,751.0,1.0
"eps[24, 0]",0.164,0.078,0.019,0.308,0.003,0.002,877.0,745.0,1.0
"eps[25, 0]",0.357,0.064,0.236,0.466,0.002,0.002,1007.0,838.0,1.0
"eps[26, 0]",0.155,0.053,0.058,0.254,0.002,0.001,799.0,852.0,1.0
"eps[27, 0]",-0.187,0.056,-0.294,-0.089,0.002,0.002,535.0,766.0,1.01
"eps[28, 0]",-0.087,0.041,-0.158,-0.008,0.001,0.001,833.0,803.0,1.0
"eps[29, 0]",-0.004,0.034,-0.07,0.052,0.001,0.001,874.0,871.0,1.01
"eps[30, 0]",0.055,0.032,0.003,0.124,0.001,0.001,904.0,764.0,1.0
"eps[31, 0]",0.165,0.05,0.074,0.262,0.002,0.001,666.0,676.0,1.0
"eps[32, 0]",0.101,0.188,-0.274,0.429,0.005,0.005,1270.0,755.0,1.01
"eps[33, 0]",0.215,0.114,0.003,0.433,0.004,0.003,756.0,714.0,1.01
"eps[34, 0]",0.237,0.143,-0.009,0.511,0.004,0.004,1196.0,616.0,1.01
"eps[35, 0]",0.182,0.06,0.077,0.307,0.002,0.002,993.0,790.0,1.0
"eps[36, 0]",0.031,0.032,-0.027,0.089,0.001,0.001,704.0,815.0,1.01
"eps[37, 0]",-0.143,0.071,-0.288,-0.019,0.003,0.002,518.0,689.0,1.01
"eps[38, 0]",-0.072,0.036,-0.138,-0.005,0.001,0.001,702.0,868.0,1.01
"eps[39, 0]",-0.017,0.045,-0.101,0.066,0.002,0.001,600.0,647.0,1.01
"eps[40, 0]",-0.011,0.035,-0.073,0.058,0.001,0.001,764.0,650.0,1.0
"eps[41, 0]",-0.258,0.229,-0.682,0.167,0.006,0.006,1366.0,872.0,1.0
"eps[42, 0]",0.111,0.107,-0.089,0.302,0.003,0.003,1412.0,994.0,1.0
"eps[43, 0]",0.169,0.089,0.003,0.334,0.002,0.002,1584.0,902.0,1.01
"eps[44, 0]",-0.072,0.068,-0.193,0.057,0.002,0.002,1655.0,744.0,1.0
"eps[45, 0]",0.001,0.044,-0.083,0.077,0.001,0.001,1447.0,908.0,1.0
"eps[46, 0]",-0.429,0.078,-0.567,-0.274,0.003,0.002,828.0,654.0,1.0
"eps[47, 0]",-0.068,0.031,-0.125,-0.009,0.001,0.001,1184.0,778.0,1.0
"eps[48, 0]",-0.045,0.045,-0.137,0.031,0.001,0.001,947.0,834.0,1.0
"eps[49, 0]",-0.038,0.045,-0.126,0.049,0.001,0.001,1132.0,850.0,1.0
"eps[50, 0]",0.664,0.471,-0.192,1.55,0.014,0.013,1209.0,762.0,1.0
"eps[51, 0]",-0.209,0.175,-0.529,0.122,0.006,0.005,801.0,756.0,1.0
"eps[52, 0]",0.01,0.138,-0.224,0.295,0.004,0.005,1523.0,650.0,1.01
"eps[53, 0]",-0.094,0.08,-0.228,0.068,0.002,0.002,1971.0,791.0,1.0
