,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.171,0.054,0.078,0.277,0.002,0.002,550.0,615.0,1.01
Ds[0],35.652,0.048,35.557,35.738,0.002,0.001,501.0,663.0,1.01
RV[0],2.901,1.29,1.001,5.356,0.049,0.029,686.0,744.0,1.0
delM[0],-0.001,0.094,-0.175,0.164,0.003,0.002,1078.0,1039.0,1.0
"eps[0, 0]",0.153,0.105,-0.023,0.371,0.003,0.003,916.0,739.0,1.01
"eps[1, 0]",0.21,0.242,-0.208,0.67,0.007,0.007,1160.0,669.0,1.0
"eps[2, 0]",0.52,0.167,0.202,0.82,0.005,0.005,1062.0,836.0,1.0
"eps[3, 0]",0.609,0.179,0.286,0.962,0.006,0.005,883.0,731.0,1.0
"eps[4, 0]",0.691,0.17,0.398,1.027,0.006,0.005,813.0,781.0,1.0
"eps[5, 0]",0.081,0.507,-0.798,1.106,0.015,0.015,1186.0,767.0,1.0
"eps[6, 0]",-0.465,0.39,-1.244,0.232,0.012,0.01,1142.0,876.0,1.0
"eps[7, 0]",0.086,0.142,-0.184,0.36,0.004,0.005,1449.0,754.0,1.0
"eps[8, 0]",0.038,0.202,-0.363,0.419,0.005,0.006,1415.0,826.0,1.0
"eps[9, 0]",0.043,0.037,-0.028,0.11,0.001,0.001,644.0,519.0,1.0
"eps[10, 0]",0.013,0.04,-0.053,0.096,0.001,0.001,801.0,809.0,1.0
"eps[11, 0]",-0.046,0.025,-0.09,0.002,0.001,0.001,1053.0,821.0,1.0
"eps[12, 0]",-0.048,0.031,-0.103,0.007,0.001,0.001,883.0,863.0,1.0
"eps[13, 0]",-0.003,0.028,-0.056,0.05,0.001,0.001,749.0,916.0,1.0
"eps[14, 0]",-0.003,0.099,-0.182,0.177,0.003,0.002,1179.0,891.0,1.0
"eps[15, 0]",-0.008,0.067,-0.139,0.108,0.002,0.002,747.0,832.0,1.0
"eps[16, 0]",0.056,0.05,-0.04,0.147,0.002,0.001,858.0,830.0,1.0
"eps[17, 0]",-0.152,0.055,-0.251,-0.05,0.002,0.002,652.0,697.0,1.0
"eps[18, 0]",0.196,0.034,0.127,0.255,0.001,0.001,572.0,446.0,1.0
"eps[19, 0]",0.176,0.026,0.125,0.222,0.001,0.001,721.0,714.0,1.0
"eps[20, 0]",-0.054,0.023,-0.097,-0.01,0.001,0.001,741.0,806.0,1.0
"eps[21, 0]",0.065,0.027,0.014,0.112,0.001,0.001,814.0,842.0,1.0
"eps[22, 0]",0.047,0.028,-0.004,0.098,0.001,0.001,779.0,785.0,1.0
"eps[23, 0]",0.169,0.129,-0.07,0.415,0.003,0.004,1390.0,727.0,1.01
"eps[24, 0]",0.059,0.069,-0.054,0.195,0.002,0.002,954.0,696.0,1.0
"eps[25, 0]",0.209,0.064,0.097,0.333,0.002,0.002,928.0,520.0,1.01
"eps[26, 0]",0.212,0.072,0.084,0.355,0.002,0.002,959.0,758.0,1.01
"eps[27, 0]",0.079,0.049,-0.016,0.166,0.002,0.001,570.0,706.0,1.01
"eps[28, 0]",0.24,0.034,0.18,0.309,0.001,0.001,735.0,696.0,1.0
"eps[29, 0]",-0.105,0.026,-0.154,-0.055,0.001,0.001,666.0,884.0,1.0
"eps[30, 0]",-0.101,0.026,-0.146,-0.048,0.001,0.001,786.0,852.0,1.0
"eps[31, 0]",-0.054,0.043,-0.135,0.028,0.002,0.001,637.0,760.0,1.0
"eps[32, 0]",-0.046,0.239,-0.471,0.392,0.008,0.007,959.0,883.0,1.01
"eps[33, 0]",-0.047,0.111,-0.238,0.175,0.004,0.003,787.0,860.0,1.01
"eps[34, 0]",0.03,0.108,-0.154,0.246,0.004,0.004,859.0,535.0,1.0
"eps[35, 0]",0.198,0.063,0.079,0.314,0.002,0.002,905.0,743.0,1.0
"eps[36, 0]",-0.064,0.04,-0.138,0.012,0.002,0.001,619.0,639.0,1.0
"eps[37, 0]",0.139,0.066,0.014,0.255,0.003,0.002,603.0,537.0,1.0
"eps[38, 0]",-0.094,0.034,-0.158,-0.03,0.001,0.001,697.0,667.0,1.0
"eps[39, 0]",-0.091,0.052,-0.183,0.011,0.002,0.002,606.0,513.0,1.0
"eps[40, 0]",-0.023,0.044,-0.097,0.066,0.002,0.001,630.0,578.0,1.0
"eps[41, 0]",0.28,0.288,-0.273,0.765,0.011,0.009,715.0,753.0,1.0
"eps[42, 0]",-0.127,0.107,-0.303,0.102,0.004,0.004,982.0,746.0,1.0
"eps[43, 0]",0.319,0.095,0.136,0.487,0.004,0.002,698.0,734.0,1.0
"eps[44, 0]",0.06,0.075,-0.081,0.196,0.002,0.002,1054.0,923.0,1.0
"eps[45, 0]",-0.064,0.041,-0.137,0.011,0.001,0.001,1072.0,710.0,1.0
"eps[46, 0]",0.138,0.081,-0.015,0.293,0.003,0.002,773.0,814.0,1.0
"eps[47, 0]",-0.055,0.027,-0.103,-0.0,0.001,0.001,1444.0,928.0,1.01
"eps[48, 0]",-0.116,0.046,-0.209,-0.033,0.002,0.001,781.0,892.0,1.0
"eps[49, 0]",0.022,0.046,-0.071,0.1,0.001,0.001,1089.0,907.0,1.0
"eps[50, 0]",-0.121,0.346,-0.673,0.577,0.008,0.009,1911.0,960.0,1.0
"eps[51, 0]",0.299,0.161,0.014,0.62,0.005,0.004,899.0,839.0,1.0
"eps[52, 0]",0.218,0.123,-0.012,0.446,0.004,0.004,1242.0,708.0,1.01
"eps[53, 0]",0.081,0.067,-0.041,0.205,0.002,0.002,1300.0,790.0,1.0
"eps_tform[0, 0]",1.001,0.688,-0.149,2.433,0.023,0.021,916.0,739.0,1.01
"eps_tform[0, 1]",0.804,0.712,-0.473,2.145,0.021,0.02,1106.0,562.0,1.0
"eps_tform[0, 2]",2.642,0.662,1.311,3.76,0.021,0.019,981.0,608.0,1.0
"eps_tform[0, 3]",2.0,0.548,0.907,2.975,0.017,0.016,985.0,738.0,1.0
"eps_tform[0, 4]",0.816,0.599,-0.271,1.953,0.02,0.019,880.0,603.0,1.0
"eps_tform[0, 5]",-0.497,0.804,-2.028,0.962,0.023,0.024,1249.0,662.0,1.0
"eps_tform[0, 6]",-0.771,0.814,-2.204,0.875,0.024,0.022,1128.0,820.0,1.0
"eps_tform[0, 7]",0.026,0.887,-1.819,1.576,0.024,0.03,1422.0,718.0,1.0
"eps_tform[0, 8]",-0.286,0.896,-1.996,1.555,0.023,0.029,1515.0,790.0,1.0
"eps_tform[0, 9]",0.141,0.584,-1.027,1.175,0.023,0.02,643.0,614.0,1.01
"eps_tform[0, 10]",-0.191,0.386,-0.915,0.53,0.014,0.01,761.0,763.0,1.0
"eps_tform[0, 11]",-0.675,0.504,-1.658,0.192,0.017,0.015,864.0,801.0,1.0
"eps_tform[0, 12]",-0.809,0.636,-1.923,0.437,0.021,0.022,935.0,800.0,1.0
"eps_tform[0, 13]",0.434,0.475,-0.431,1.326,0.018,0.012,699.0,822.0,1.0
"eps_tform[0, 14]",0.264,0.754,-1.072,1.657,0.022,0.019,1196.0,915.0,1.0
"eps_tform[0, 15]",0.253,0.654,-0.954,1.514,0.023,0.018,786.0,746.0,1.0
"eps_tform[0, 16]",0.727,0.635,-0.492,1.874,0.02,0.016,1024.0,865.0,1.0
"eps_tform[0, 17]",-1.224,0.644,-2.324,0.086,0.021,0.019,910.0,694.0,1.0
"eps_tform[0, 18]",2.237,0.606,1.149,3.379,0.025,0.02,584.0,520.0,1.0
"eps_tform[0, 19]",2.082,0.319,1.509,2.722,0.011,0.009,887.0,843.0,1.0
"eps_tform[0, 20]",0.371,0.435,-0.386,1.249,0.016,0.014,707.0,655.0,1.0
"eps_tform[0, 21]",0.7,0.459,-0.176,1.555,0.017,0.011,730.0,736.0,1.0
"eps_tform[0, 22]",0.628,0.434,-0.225,1.384,0.016,0.013,717.0,769.0,1.0
