,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.649,0.088,0.486,0.808,0.004,0.003,428.0,668.0,1.0
Ds[0],35.331,0.074,35.197,35.47,0.003,0.003,471.0,468.0,1.0
RV[0],1.614,0.268,1.116,2.086,0.013,0.008,415.0,618.0,1.0
delM[0],-0.001,0.098,-0.183,0.183,0.003,0.002,1073.0,994.0,1.0
"eps[0, 0]",-0.185,0.109,-0.39,0.023,0.004,0.003,835.0,756.0,1.01
"eps[1, 0]",0.32,0.229,-0.147,0.713,0.008,0.007,770.0,441.0,1.0
"eps[2, 0]",-0.013,0.176,-0.309,0.332,0.007,0.006,691.0,554.0,1.0
"eps[3, 0]",0.216,0.162,-0.101,0.505,0.007,0.005,619.0,616.0,1.0
"eps[4, 0]",0.136,0.163,-0.185,0.422,0.006,0.005,727.0,668.0,1.0
"eps[5, 0]",0.111,0.574,-0.838,1.307,0.017,0.014,1188.0,853.0,1.0
"eps[6, 0]",0.238,0.412,-0.514,1.01,0.012,0.011,1102.0,826.0,1.0
"eps[7, 0]",-0.055,0.146,-0.329,0.204,0.004,0.005,1420.0,667.0,1.0
"eps[8, 0]",-0.001,0.219,-0.385,0.434,0.007,0.006,1067.0,766.0,1.0
"eps[9, 0]",0.082,0.044,0.007,0.167,0.002,0.001,770.0,540.0,1.01
"eps[10, 0]",-0.015,0.048,-0.096,0.078,0.002,0.001,857.0,897.0,1.0
"eps[11, 0]",-0.024,0.029,-0.075,0.036,0.001,0.001,620.0,631.0,1.0
"eps[12, 0]",0.004,0.038,-0.067,0.082,0.002,0.001,614.0,671.0,1.0
"eps[13, 0]",0.053,0.03,-0.007,0.105,0.001,0.001,765.0,835.0,1.0
"eps[14, 0]",0.047,0.109,-0.154,0.247,0.004,0.003,931.0,838.0,1.0
"eps[15, 0]",-0.002,0.072,-0.136,0.128,0.003,0.002,581.0,492.0,1.0
"eps[16, 0]",0.022,0.055,-0.077,0.13,0.002,0.002,583.0,668.0,1.0
"eps[17, 0]",-0.119,0.079,-0.288,0.012,0.002,0.002,1086.0,804.0,1.0
"eps[18, 0]",0.024,0.046,-0.073,0.101,0.002,0.002,704.0,452.0,1.0
"eps[19, 0]",0.132,0.043,0.056,0.214,0.001,0.001,1006.0,878.0,1.01
"eps[20, 0]",-0.039,0.031,-0.099,0.019,0.001,0.001,857.0,753.0,1.0
"eps[21, 0]",0.064,0.037,-0.003,0.136,0.001,0.001,593.0,791.0,1.01
"eps[22, 0]",0.027,0.038,-0.045,0.1,0.001,0.001,675.0,814.0,1.01
"eps[23, 0]",0.038,0.164,-0.286,0.344,0.005,0.005,1098.0,685.0,1.0
"eps[24, 0]",0.127,0.092,-0.055,0.291,0.003,0.002,783.0,699.0,1.0
"eps[25, 0]",-0.459,0.08,-0.617,-0.309,0.004,0.002,513.0,638.0,1.0
"eps[26, 0]",-0.023,0.136,-0.311,0.205,0.004,0.004,974.0,690.0,1.01
"eps[27, 0]",-0.193,0.062,-0.302,-0.073,0.003,0.002,544.0,605.0,1.0
"eps[28, 0]",-0.056,0.056,-0.162,0.046,0.002,0.001,1144.0,951.0,1.0
"eps[29, 0]",0.053,0.037,-0.023,0.117,0.001,0.001,717.0,655.0,1.01
"eps[30, 0]",0.01,0.038,-0.069,0.077,0.001,0.001,676.0,689.0,1.0
"eps[31, 0]",0.178,0.057,0.079,0.294,0.002,0.002,743.0,810.0,1.0
"eps[32, 0]",0.232,0.277,-0.254,0.796,0.008,0.008,1094.0,728.0,1.01
"eps[33, 0]",-0.026,0.119,-0.235,0.21,0.004,0.003,819.0,634.0,1.0
"eps[34, 0]",-0.303,0.134,-0.537,-0.051,0.004,0.004,961.0,603.0,1.0
"eps[35, 0]",-0.03,0.09,-0.193,0.135,0.003,0.003,1136.0,748.0,1.0
"eps[36, 0]",-0.126,0.065,-0.244,-0.0,0.002,0.002,1120.0,644.0,1.0
"eps[37, 0]",-0.169,0.121,-0.379,0.068,0.004,0.003,731.0,688.0,1.0
"eps[38, 0]",-0.036,0.051,-0.129,0.06,0.002,0.002,1076.0,778.0,1.01
"eps[39, 0]",-0.061,0.072,-0.2,0.065,0.003,0.002,615.0,773.0,1.0
"eps[40, 0]",0.147,0.05,0.06,0.242,0.002,0.001,882.0,914.0,1.0
"eps[41, 0]",0.107,0.265,-0.354,0.62,0.008,0.007,1247.0,811.0,1.0
"eps[42, 0]",0.336,0.107,0.145,0.532,0.004,0.003,881.0,912.0,1.0
"eps[43, 0]",-0.17,0.108,-0.363,0.043,0.003,0.003,1044.0,826.0,1.0
"eps[44, 0]",0.02,0.092,-0.147,0.189,0.003,0.003,1086.0,772.0,1.0
"eps[45, 0]",0.002,0.065,-0.117,0.125,0.002,0.002,1283.0,865.0,1.0
"eps[46, 0]",0.113,0.299,-0.473,0.663,0.008,0.009,1285.0,877.0,1.0
"eps[47, 0]",-0.055,0.035,-0.119,0.016,0.001,0.001,1394.0,659.0,1.0
"eps[48, 0]",0.011,0.095,-0.169,0.186,0.003,0.003,938.0,610.0,1.0
"eps[49, 0]",-0.141,0.092,-0.312,0.034,0.003,0.003,958.0,806.0,1.0
"eps[50, 0]",-0.701,0.614,-1.828,0.434,0.016,0.017,1409.0,806.0,1.0
"eps[51, 0]",0.163,0.334,-0.451,0.825,0.009,0.01,1519.0,746.0,1.0
"eps[52, 0]",-0.289,0.148,-0.554,-0.02,0.004,0.004,1346.0,972.0,1.0
