,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.592,0.114,0.402,0.758,0.051,0.002,6.0,191.0,1.72
Ds[0],32.982,0.061,32.881,33.096,0.022,0.002,8.0,102.0,1.47
RV[0],5.048,0.669,3.91,5.999,0.027,0.021,694.0,667.0,1.01
delM[0],0.001,0.096,-0.168,0.182,0.003,0.002,985.0,938.0,1.0
"eps[0, 0]",0.078,0.137,-0.166,0.316,0.053,0.003,7.0,294.0,1.55
"eps[1, 0]",0.195,0.212,-0.256,0.551,0.021,0.005,104.0,731.0,1.04
"eps[2, 0]",-0.11,0.126,-0.367,0.104,0.005,0.004,769.0,776.0,1.02
"eps[3, 0]",0.418,0.126,0.195,0.655,0.041,0.003,9.0,210.0,1.36
"eps[4, 0]",-0.118,0.107,-0.312,0.085,0.022,0.003,24.0,600.0,1.11
"eps[5, 0]",-0.117,1.013,-1.751,1.352,0.462,0.012,6.0,268.0,1.73
"eps[6, 0]",0.29,0.294,-0.157,0.725,0.135,0.004,6.0,370.0,1.73
"eps[7, 0]",0.116,0.048,0.034,0.208,0.002,0.001,461.0,890.0,1.02
"eps[8, 0]",0.066,0.069,-0.064,0.192,0.01,0.002,43.0,468.0,1.07
"eps[9, 0]",0.058,0.064,-0.041,0.16,0.029,0.001,6.0,280.0,1.72
"eps[10, 0]",0.081,0.07,-0.028,0.2,0.03,0.001,7.0,361.0,1.68
"eps[11, 0]",0.137,0.028,0.087,0.187,0.008,0.001,11.0,658.0,1.27
"eps[12, 0]",0.089,0.064,0.0,0.188,0.029,0.001,6.0,352.0,1.73
"eps[13, 0]",0.099,0.043,0.03,0.17,0.019,0.001,6.0,279.0,1.7
"eps[14, 0]",-0.056,0.15,-0.328,0.192,0.059,0.003,7.0,177.0,1.56
"eps[15, 0]",-0.098,0.056,-0.188,0.006,0.022,0.001,7.0,257.0,1.57
"eps[16, 0]",0.066,0.043,-0.019,0.135,0.015,0.001,8.0,88.0,1.45
"eps[17, 0]",0.026,0.036,-0.038,0.097,0.002,0.001,293.0,524.0,1.03
"eps[18, 0]",-0.023,0.063,-0.128,0.073,0.028,0.001,6.0,309.0,1.72
"eps[19, 0]",0.048,0.023,0.006,0.092,0.001,0.001,607.0,715.0,1.01
"eps[20, 0]",-0.07,0.022,-0.113,-0.029,0.006,0.001,14.0,520.0,1.23
"eps[21, 0]",-0.082,0.021,-0.121,-0.044,0.004,0.001,33.0,498.0,1.09
"eps[22, 0]",-0.183,0.02,-0.219,-0.147,0.004,0.001,21.0,406.0,1.14
"eps[23, 0]",0.024,0.508,-0.615,0.673,0.247,0.003,6.0,113.0,1.74
"eps[24, 0]",-0.298,0.2,-0.559,-0.048,0.097,0.002,6.0,346.0,1.74
