,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.403,0.072,0.266,0.536,0.003,0.003,572.0,524.0,1.01
Ds[0],34.746,0.053,34.659,34.861,0.002,0.002,613.0,668.0,1.01
RV[0],4.847,0.841,3.293,5.997,0.026,0.024,1012.0,755.0,1.0
delM[0],-0.001,0.094,-0.173,0.178,0.003,0.002,1022.0,907.0,1.0
"eps[0, 0]",0.075,0.102,-0.123,0.254,0.003,0.003,944.0,789.0,1.01
"eps[1, 0]",0.037,0.246,-0.455,0.477,0.008,0.007,1070.0,647.0,1.0
"eps[2, 0]",0.188,0.201,-0.172,0.592,0.007,0.007,916.0,692.0,1.0
"eps[3, 0]",0.002,0.183,-0.324,0.336,0.006,0.005,1075.0,883.0,1.0
"eps[4, 0]",-0.134,0.185,-0.498,0.189,0.007,0.006,802.0,592.0,1.0
"eps[5, 0]",0.042,0.423,-0.714,0.803,0.015,0.014,761.0,783.0,1.0
"eps[6, 0]",0.371,0.166,0.093,0.713,0.006,0.004,696.0,813.0,1.0
"eps[7, 0]",0.208,0.079,0.056,0.346,0.003,0.002,771.0,756.0,1.01
"eps[8, 0]",0.353,0.108,0.173,0.565,0.004,0.003,909.0,849.0,1.0
"eps[9, 0]",0.164,0.034,0.099,0.224,0.001,0.001,736.0,735.0,1.0
"eps[10, 0]",0.092,0.044,0.01,0.174,0.002,0.001,742.0,841.0,1.0
"eps[11, 0]",0.023,0.029,-0.034,0.072,0.001,0.001,997.0,738.0,1.0
"eps[12, 0]",0.189,0.033,0.129,0.246,0.001,0.001,872.0,813.0,1.01
"eps[13, 0]",-0.073,0.028,-0.13,-0.023,0.001,0.001,710.0,571.0,1.0
"eps[14, 0]",-0.1,0.106,-0.279,0.115,0.004,0.004,844.0,813.0,1.0
"eps[15, 0]",-0.063,0.053,-0.156,0.045,0.002,0.002,662.0,692.0,1.0
"eps[16, 0]",0.026,0.044,-0.05,0.111,0.002,0.001,673.0,766.0,1.01
"eps[17, 0]",0.043,0.047,-0.047,0.124,0.002,0.001,736.0,811.0,1.01
"eps[18, 0]",0.066,0.032,0.005,0.126,0.001,0.001,824.0,822.0,1.0
"eps[19, 0]",0.131,0.039,0.052,0.199,0.001,0.001,1310.0,691.0,1.0
"eps[20, 0]",-0.07,0.03,-0.125,-0.013,0.001,0.001,1108.0,815.0,1.0
"eps[21, 0]",0.059,0.024,0.017,0.107,0.001,0.001,1159.0,813.0,1.0
"eps[22, 0]",-0.263,0.025,-0.305,-0.209,0.001,0.001,800.0,638.0,1.0
"eps[23, 0]",-0.092,0.125,-0.301,0.158,0.004,0.003,1067.0,788.0,1.0
"eps[24, 0]",-0.405,0.067,-0.538,-0.287,0.003,0.002,634.0,633.0,1.0
"eps[25, 0]",-0.369,0.064,-0.491,-0.254,0.003,0.002,525.0,569.0,1.01
"eps[26, 0]",0.027,0.057,-0.084,0.124,0.002,0.002,707.0,665.0,1.0
"eps[27, 0]",-0.2,0.055,-0.298,-0.097,0.002,0.002,532.0,637.0,1.0
"eps[28, 0]",0.189,0.052,0.093,0.281,0.002,0.001,734.0,673.0,1.0
"eps[29, 0]",-0.16,0.027,-0.204,-0.104,0.001,0.001,731.0,728.0,1.0
"eps[30, 0]",-0.022,0.026,-0.072,0.024,0.001,0.001,912.0,852.0,1.0
"eps[31, 0]",-0.336,0.049,-0.429,-0.246,0.002,0.001,494.0,552.0,1.0
"eps[32, 0]",-0.118,0.23,-0.52,0.336,0.007,0.007,1102.0,696.0,1.01
"eps[33, 0]",-0.211,0.094,-0.392,-0.038,0.003,0.003,925.0,787.0,1.0
"eps[34, 0]",-0.48,0.093,-0.668,-0.315,0.004,0.003,601.0,727.0,1.0
"eps[35, 0]",-0.063,0.058,-0.159,0.053,0.002,0.001,873.0,807.0,1.01
"eps[36, 0]",-0.008,0.041,-0.079,0.07,0.001,0.001,1291.0,824.0,1.0
"eps[37, 0]",-0.074,0.099,-0.268,0.106,0.004,0.003,572.0,666.0,1.0
"eps[38, 0]",-0.005,0.036,-0.072,0.062,0.001,0.001,691.0,782.0,1.0
"eps[39, 0]",-0.049,0.067,-0.18,0.067,0.003,0.002,499.0,587.0,1.0
"eps[40, 0]",-0.158,0.042,-0.241,-0.087,0.002,0.001,519.0,663.0,1.01
"eps[41, 0]",-0.539,0.287,-1.051,0.004,0.01,0.008,779.0,734.0,1.0
"eps[42, 0]",0.024,0.142,-0.274,0.268,0.004,0.005,1595.0,805.0,1.0
"eps[43, 0]",-0.344,0.112,-0.535,-0.118,0.004,0.003,893.0,745.0,1.01
"eps[44, 0]",-0.057,0.086,-0.219,0.093,0.003,0.002,987.0,750.0,1.0
"eps[45, 0]",-0.065,0.038,-0.141,0.003,0.001,0.001,1245.0,954.0,1.0
"eps[46, 0]",-0.489,0.085,-0.633,-0.319,0.003,0.002,663.0,696.0,1.0
"eps[47, 0]",-0.027,0.025,-0.074,0.015,0.001,0.001,921.0,943.0,1.0
"eps[48, 0]",-0.025,0.042,-0.105,0.049,0.001,0.001,851.0,989.0,1.0
"eps[49, 0]",-0.18,0.033,-0.241,-0.117,0.001,0.001,810.0,842.0,1.01
"eps[50, 0]",0.585,0.398,-0.14,1.384,0.01,0.012,1515.0,634.0,1.0
"eps[51, 0]",-0.756,0.217,-1.128,-0.317,0.008,0.006,692.0,607.0,1.01
