,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.189,0.05,0.108,0.287,0.002,0.002,477.0,637.0,1.01
Ds[0],34.595,0.046,34.507,34.678,0.002,0.002,434.0,529.0,1.02
RV[0],1.619,0.622,1.002,2.722,0.029,0.036,529.0,542.0,1.01
delM[0],-0.002,0.097,-0.188,0.175,0.003,0.002,1002.0,930.0,1.0
"eps[0, 0]",0.163,0.079,0.037,0.322,0.007,0.003,162.0,317.0,1.03
"eps[1, 0]",0.567,0.118,0.344,0.784,0.007,0.004,267.0,253.0,1.02
"eps[2, 0]",0.013,0.087,-0.136,0.182,0.006,0.003,252.0,489.0,1.02
"eps[3, 0]",0.207,0.079,0.073,0.374,0.005,0.002,242.0,363.0,1.02
"eps[4, 0]",-0.186,0.07,-0.315,-0.063,0.005,0.002,237.0,666.0,1.02
"eps[5, 0]",0.074,0.895,-1.628,1.757,0.046,0.042,416.0,437.0,1.01
"eps[6, 0]",0.614,0.29,0.099,1.161,0.015,0.011,397.0,443.0,1.01
"eps[7, 0]",-0.248,0.123,-0.471,-0.021,0.003,0.004,1236.0,645.0,1.0
"eps[8, 0]",0.008,0.196,-0.364,0.35,0.006,0.006,1251.0,824.0,1.0
"eps[9, 0]",0.051,0.047,-0.044,0.129,0.002,0.001,555.0,665.0,1.0
"eps[10, 0]",0.172,0.038,0.101,0.242,0.002,0.001,611.0,628.0,1.0
"eps[11, 0]",-0.049,0.027,-0.099,0.001,0.001,0.001,373.0,579.0,1.01
"eps[12, 0]",0.066,0.028,0.015,0.122,0.001,0.001,533.0,536.0,1.0
"eps[13, 0]",-0.074,0.027,-0.126,-0.023,0.001,0.001,664.0,737.0,1.01
"eps[14, 0]",-0.078,0.122,-0.303,0.149,0.003,0.004,1437.0,901.0,1.0
"eps[15, 0]",0.089,0.057,-0.02,0.194,0.002,0.001,648.0,763.0,1.01
"eps[16, 0]",0.038,0.034,-0.034,0.095,0.001,0.001,559.0,679.0,1.01
"eps[17, 0]",0.016,0.041,-0.063,0.091,0.002,0.001,614.0,781.0,1.01
"eps[18, 0]",-0.038,0.045,-0.115,0.05,0.002,0.002,578.0,610.0,1.01
"eps[19, 0]",0.068,0.057,-0.039,0.173,0.002,0.002,1243.0,791.0,1.0
"eps[20, 0]",-0.018,0.034,-0.082,0.045,0.001,0.001,1093.0,742.0,1.0
"eps[21, 0]",-0.072,0.036,-0.135,-0.003,0.001,0.001,651.0,731.0,1.0
"eps[22, 0]",-0.113,0.034,-0.178,-0.054,0.001,0.001,999.0,769.0,1.0
"eps[23, 0]",0.108,0.16,-0.183,0.413,0.004,0.005,1714.0,1001.0,1.0
"eps[24, 0]",0.215,0.077,0.077,0.346,0.003,0.002,789.0,935.0,1.0
"eps[25, 0]",-0.14,0.053,-0.248,-0.049,0.003,0.001,375.0,465.0,1.0
"eps[26, 0]",0.12,0.05,0.035,0.223,0.002,0.001,676.0,841.0,1.01
"eps[27, 0]",-0.101,0.063,-0.227,0.007,0.003,0.002,486.0,635.0,1.0
"eps[28, 0]",0.131,0.097,-0.049,0.312,0.003,0.003,1297.0,748.0,1.01
"eps[29, 0]",-0.029,0.05,-0.123,0.066,0.002,0.001,765.0,760.0,1.0
"eps[30, 0]",0.069,0.049,-0.024,0.163,0.002,0.001,984.0,838.0,1.0
"eps[31, 0]",0.026,0.068,-0.087,0.162,0.003,0.002,755.0,837.0,1.0
"eps[32, 0]",-0.118,0.244,-0.562,0.313,0.007,0.007,1224.0,785.0,1.0
"eps[33, 0]",0.158,0.123,-0.081,0.382,0.004,0.004,919.0,907.0,1.0
"eps[34, 0]",0.286,0.095,0.111,0.453,0.004,0.002,458.0,690.0,1.01
"eps[35, 0]",0.236,0.072,0.102,0.364,0.002,0.002,1149.0,856.0,1.01
"eps[36, 0]",-0.038,0.069,-0.155,0.1,0.002,0.002,1503.0,776.0,1.0
