,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],8.186,0.182,7.836,8.523,0.009,0.006,427.0,583.0,1.02
Ds[0],31.963,0.218,31.578,32.404,0.012,0.007,350.0,602.0,1.03
RV[0],2.15,0.153,1.866,2.439,0.008,0.005,356.0,569.0,1.02
delM[0],0.003,0.096,-0.178,0.185,0.003,0.002,911.0,949.0,1.0
"eps[0, 0]",-0.16,0.155,-0.447,0.128,0.004,0.005,1433.0,705.0,1.01
"eps[1, 0]",-0.051,0.346,-0.686,0.624,0.01,0.012,1135.0,737.0,1.0
"eps[2, 0]",0.086,0.265,-0.381,0.605,0.006,0.011,1835.0,843.0,1.0
"eps[3, 0]",0.156,0.267,-0.312,0.638,0.012,0.007,503.0,598.0,1.0
"eps[4, 0]",0.045,0.297,-0.497,0.601,0.012,0.009,639.0,770.0,1.0
"eps[5, 0]",1.006,0.629,-0.232,2.105,0.019,0.022,1089.0,460.0,1.0
"eps[6, 0]",-0.567,0.512,-1.5,0.359,0.028,0.016,352.0,696.0,1.0
"eps[7, 0]",0.19,0.106,-0.001,0.389,0.004,0.003,825.0,870.0,1.0
"eps[8, 0]",-0.385,0.138,-0.655,-0.129,0.008,0.004,313.0,447.0,1.01
"eps[9, 0]",0.046,0.064,-0.066,0.17,0.002,0.002,1098.0,835.0,1.01
"eps[10, 0]",0.033,0.101,-0.162,0.213,0.003,0.003,1440.0,614.0,1.0
"eps[11, 0]",0.03,0.056,-0.082,0.133,0.002,0.002,1279.0,718.0,1.0
"eps[12, 0]",-0.03,0.047,-0.119,0.053,0.001,0.001,1390.0,761.0,1.0
"eps[13, 0]",-0.023,0.059,-0.136,0.085,0.002,0.002,1404.0,765.0,1.0
"eps[14, 0]",-0.112,0.111,-0.321,0.102,0.003,0.003,1038.0,775.0,1.0
"eps[15, 0]",0.046,0.092,-0.126,0.218,0.003,0.003,1121.0,705.0,1.01
"eps[16, 0]",0.05,0.066,-0.062,0.177,0.003,0.002,556.0,626.0,1.01
"eps[17, 0]",-0.01,0.077,-0.151,0.141,0.004,0.002,481.0,709.0,1.02
"eps[18, 0]",-0.061,0.065,-0.182,0.061,0.002,0.002,1298.0,714.0,1.0
"eps[19, 0]",0.156,0.128,-0.081,0.378,0.004,0.004,1197.0,738.0,1.01
"eps[20, 0]",-0.027,0.067,-0.16,0.089,0.002,0.002,1244.0,665.0,1.0
"eps[21, 0]",0.146,0.064,0.03,0.275,0.002,0.002,1020.0,836.0,1.01
"eps[22, 0]",0.049,0.095,-0.152,0.211,0.003,0.003,975.0,586.0,1.01
"eps[23, 0]",-0.179,0.155,-0.506,0.066,0.005,0.005,1146.0,438.0,1.0
"eps[24, 0]",0.246,0.16,-0.07,0.526,0.007,0.005,545.0,451.0,1.0
