,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.216,0.083,0.088,0.361,0.017,0.004,19.0,58.0,1.16
Ds[0],35.577,0.085,35.43,35.729,0.019,0.005,19.0,55.0,1.16
RV[0],2.611,1.305,1.001,5.185,0.227,0.041,19.0,36.0,1.15
delM[0],0.006,0.098,-0.188,0.177,0.003,0.002,967.0,1058.0,1.0
"eps[0, 0]",0.237,0.045,0.16,0.317,0.011,0.002,16.0,175.0,1.21
"eps[1, 0]",0.115,0.064,-0.004,0.243,0.005,0.004,171.0,170.0,1.02
"eps[2, 0]",0.239,0.044,0.166,0.318,0.011,0.002,18.0,302.0,1.17
"eps[3, 0]",0.122,0.045,0.041,0.213,0.004,0.003,106.0,180.0,1.03
"eps[4, 0]",0.271,0.049,0.181,0.365,0.004,0.003,179.0,395.0,1.05
"eps[5, 0]",0.935,0.393,0.282,1.772,0.058,0.021,49.0,188.0,1.06
"eps[6, 0]",-0.269,0.377,-0.908,0.539,0.027,0.013,211.0,555.0,1.03
"eps[7, 0]",0.006,0.132,-0.211,0.294,0.008,0.006,275.0,511.0,1.04
"eps[8, 0]",-0.165,0.207,-0.534,0.221,0.044,0.01,22.0,152.0,1.12
"eps[9, 0]",0.066,0.034,-0.003,0.127,0.002,0.002,217.0,277.0,1.05
"eps[10, 0]",0.107,0.025,0.061,0.159,0.002,0.002,230.0,249.0,1.07
"eps[11, 0]",-0.033,0.019,-0.069,0.0,0.003,0.001,40.0,492.0,1.07
"eps[12, 0]",-0.026,0.019,-0.067,0.006,0.002,0.001,127.0,403.0,1.04
"eps[13, 0]",-0.032,0.028,-0.085,0.016,0.006,0.002,21.0,57.0,1.15
"eps[14, 0]",0.162,0.097,-0.005,0.334,0.015,0.004,46.0,353.0,1.06
"eps[15, 0]",0.04,0.066,-0.071,0.172,0.006,0.003,134.0,305.0,1.02
"eps[16, 0]",0.068,0.079,-0.07,0.222,0.022,0.009,13.0,23.0,1.23
"eps[17, 0]",0.036,0.064,-0.078,0.165,0.003,0.003,382.0,579.0,1.06
"eps[18, 0]",0.061,0.036,-0.002,0.127,0.011,0.002,11.0,64.0,1.29
"eps[19, 0]",0.17,0.028,0.119,0.218,0.009,0.001,11.0,96.0,1.3
"eps[20, 0]",-0.122,0.023,-0.167,-0.081,0.007,0.002,12.0,35.0,1.25
"eps[21, 0]",0.026,0.024,-0.017,0.074,0.007,0.003,11.0,22.0,1.31
"eps[22, 0]",-0.024,0.025,-0.074,0.017,0.003,0.001,57.0,353.0,1.06
"eps[23, 0]",-0.054,0.127,-0.272,0.182,0.015,0.005,65.0,633.0,1.05
"eps[24, 0]",-0.064,0.07,-0.199,0.057,0.006,0.002,149.0,419.0,1.02
"eps[25, 0]",-0.068,0.063,-0.182,0.044,0.005,0.002,138.0,556.0,1.03
"eps[26, 0]",-0.067,0.069,-0.179,0.061,0.011,0.002,42.0,585.0,1.08
"eps[27, 0]",0.023,0.051,-0.066,0.112,0.014,0.002,14.0,151.0,1.22
"eps[28, 0]",0.365,0.047,0.28,0.449,0.014,0.003,12.0,71.0,1.26
"eps[29, 0]",-0.182,0.029,-0.238,-0.134,0.009,0.002,11.0,126.0,1.29
"eps[30, 0]",0.021,0.023,-0.023,0.059,0.006,0.001,13.0,51.0,1.22
"eps[31, 0]",-0.224,0.04,-0.288,-0.137,0.003,0.002,165.0,401.0,1.04
"eps[32, 0]",0.035,0.156,-0.267,0.304,0.032,0.008,24.0,232.0,1.12
"eps[33, 0]",-0.181,0.088,-0.334,-0.018,0.022,0.003,17.0,198.0,1.17
"eps[34, 0]",-0.153,0.088,-0.318,-0.002,0.019,0.004,21.0,110.0,1.14
"eps[35, 0]",0.002,0.053,-0.094,0.104,0.006,0.003,71.0,215.0,1.04
"eps[36, 0]",0.146,0.03,0.083,0.196,0.004,0.001,45.0,275.0,1.08
"eps[37, 0]",-0.069,0.084,-0.217,0.084,0.018,0.003,24.0,237.0,1.12
"eps[38, 0]",0.068,0.034,0.016,0.138,0.01,0.003,11.0,45.0,1.28
"eps[39, 0]",0.025,0.061,-0.094,0.125,0.015,0.003,17.0,185.0,1.17
"eps[40, 0]",0.084,0.042,0.002,0.153,0.01,0.002,19.0,160.0,1.15
"eps[41, 0]",0.611,0.238,0.24,1.092,0.045,0.008,30.0,724.0,1.09
"eps[42, 0]",-0.145,0.142,-0.428,0.115,0.006,0.008,510.0,477.0,1.04
"eps[43, 0]",-0.02,0.11,-0.223,0.176,0.012,0.004,89.0,342.0,1.02
"eps[44, 0]",0.025,0.081,-0.125,0.171,0.005,0.003,266.0,559.0,1.02
"eps[45, 0]",0.069,0.045,-0.015,0.15,0.004,0.002,116.0,259.0,1.05
"eps[46, 0]",-0.112,0.094,-0.273,0.071,0.026,0.009,13.0,23.0,1.23
"eps[47, 0]",-0.007,0.027,-0.056,0.046,0.004,0.001,38.0,177.0,1.07
"eps[48, 0]",-0.132,0.046,-0.218,-0.045,0.012,0.005,15.0,30.0,1.2
"eps[49, 0]",0.06,0.043,-0.016,0.14,0.008,0.002,27.0,155.0,1.1
"eps[50, 0]",-0.474,0.504,-1.392,0.496,0.122,0.032,17.0,47.0,1.16
"eps[51, 0]",0.546,0.292,-0.005,1.064,0.052,0.014,33.0,164.0,1.08
"eps[52, 0]",0.178,0.165,-0.135,0.455,0.043,0.025,17.0,20.0,1.18
"eps[53, 0]",0.147,0.079,-0.02,0.287,0.006,0.005,157.0,140.0,1.02
"eps_tform[0, 0]",1.484,0.279,1.0,1.987,0.072,0.01,16.0,175.0,1.21
"eps_tform[0, 1]",0.627,0.199,0.284,1.058,0.017,0.012,136.0,120.0,1.02
"eps_tform[0, 2]",1.008,0.153,0.742,1.28,0.037,0.006,17.0,210.0,1.18
"eps_tform[0, 3]",0.055,0.095,-0.124,0.226,0.009,0.004,107.0,385.0,1.04
"eps_tform[0, 4]",0.333,0.162,0.035,0.638,0.021,0.009,61.0,206.0,1.06
"eps_tform[0, 5]",1.517,0.66,0.42,2.896,0.099,0.034,47.0,192.0,1.07
"eps_tform[0, 6]",-0.304,0.828,-1.615,1.523,0.047,0.03,306.0,553.0,1.03
"eps_tform[0, 7]",-0.257,0.811,-1.582,1.526,0.043,0.045,340.0,500.0,1.04
"eps_tform[0, 8]",-0.457,0.937,-2.077,1.321,0.187,0.048,26.0,154.0,1.11
"eps_tform[0, 9]",0.567,0.509,-0.344,1.636,0.035,0.033,204.0,298.0,1.05
"eps_tform[0, 10]",0.549,0.26,0.112,1.109,0.017,0.014,223.0,280.0,1.03
"eps_tform[0, 11]",-0.593,0.3,-1.216,-0.065,0.027,0.013,144.0,538.0,1.03
"eps_tform[0, 12]",-0.799,0.354,-1.466,-0.168,0.028,0.014,161.0,746.0,1.03
"eps_tform[0, 13]",-0.24,0.452,-1.096,0.532,0.103,0.041,20.0,41.0,1.16
"eps_tform[0, 14]",1.329,0.776,0.041,2.779,0.124,0.031,42.0,421.0,1.06
"eps_tform[0, 15]",0.798,0.748,-0.455,2.255,0.062,0.027,149.0,469.0,1.02
"eps_tform[0, 16]",0.671,0.897,-0.923,2.344,0.224,0.074,16.0,41.0,1.18
"eps_tform[0, 17]",0.239,0.766,-1.229,1.653,0.047,0.034,249.0,528.0,1.02
"eps_tform[0, 18]",0.314,0.559,-0.796,1.215,0.179,0.044,10.0,39.0,1.33
"eps_tform[0, 19]",0.582,0.33,-0.035,1.206,0.093,0.031,13.0,66.0,1.23
"eps_tform[0, 20]",-1.069,0.42,-1.803,-0.32,0.125,0.02,11.0,39.0,1.28
"eps_tform[0, 21]",0.601,0.448,-0.181,1.539,0.136,0.094,14.0,15.0,1.23
"eps_tform[0, 22]",0.211,0.353,-0.438,0.899,0.031,0.017,115.0,514.0,1.04
"eps_tform[0, 23]",-0.142,0.745,-1.295,1.295,0.074,0.03,93.0,400.0,1.04
"eps_tform[0, 24]",-0.549,0.415,-1.271,0.25,0.038,0.015,124.0,259.0,1.03
"eps_tform[0, 25]",-0.614,0.437,-1.433,0.278,0.029,0.042,225.0,598.0,1.1
"eps_tform[0, 26]",-0.602,0.474,-1.388,0.309,0.035,0.016,185.0,586.0,1.03
"eps_tform[0, 27]",-1.072,0.532,-2.074,-0.144,0.157,0.037,12.0,52.0,1.28
"eps_tform[0, 28]",2.72,0.468,1.884,3.573,0.149,0.038,10.0,51.0,1.31
"eps_tform[0, 29]",-1.812,0.333,-2.407,-1.207,0.081,0.016,16.0,86.0,1.18
"eps_tform[0, 30]",0.997,0.363,0.301,1.578,0.086,0.013,17.0,193.0,1.18
"eps_tform[0, 31]",-0.958,0.432,-1.675,-0.177,0.119,0.023,14.0,52.0,1.23
"eps_tform[0, 32]",0.449,0.829,-0.962,1.95,0.128,0.028,42.0,486.0,1.06
"eps_tform[0, 33]",0.752,0.262,0.268,1.236,0.02,0.013,169.0,447.0,1.04
"eps_tform[0, 34]",-0.58,0.471,-1.509,0.222,0.08,0.018,35.0,275.0,1.08
"eps_tform[0, 35]",0.784,0.648,-0.387,1.96,0.043,0.047,212.0,436.0,1.02
"eps_tform[0, 36]",0.038,0.42,-0.668,0.835,0.084,0.016,25.0,175.0,1.11
"eps_tform[0, 37]",-0.66,0.47,-1.59,0.116,0.038,0.02,151.0,321.0,1.03
"eps_tform[0, 38]",-0.558,0.578,-1.624,0.456,0.177,0.05,11.0,87.0,1.29
"eps_tform[0, 39]",0.8,0.5,-0.059,1.818,0.108,0.038,23.0,42.0,1.13
"eps_tform[0, 40]",1.404,0.369,0.748,2.109,0.035,0.013,113.0,427.0,1.03
"eps_tform[0, 41]",0.457,0.833,-1.001,2.045,0.194,0.032,18.0,63.0,1.15
"eps_tform[0, 42]",-0.188,0.977,-1.893,1.711,0.132,0.042,56.0,412.0,1.05
"eps_tform[0, 43]",-0.086,1.052,-2.174,1.666,0.135,0.061,64.0,162.0,1.05
"eps_tform[0, 44]",-0.546,0.91,-2.273,1.115,0.05,0.034,329.0,643.0,1.02
"eps_tform[0, 45]",1.042,0.803,-0.674,2.389,0.12,0.045,44.0,76.0,1.08
"eps_tform[0, 46]",-0.0,0.5,-0.926,0.919,0.049,0.019,106.0,467.0,1.02
"eps_tform[0, 47]",-0.032,0.782,-1.571,1.454,0.141,0.04,30.0,95.0,1.09
"eps_tform[0, 48]",-0.472,0.62,-1.617,0.603,0.162,0.031,14.0,73.0,1.19
"eps_tform[0, 49]",1.897,0.631,0.654,3.059,0.032,0.025,374.0,685.0,1.03
"eps_tform[0, 50]",-0.036,1.02,-1.781,1.932,0.255,0.058,16.0,36.0,1.17
"eps_tform[0, 51]",0.035,1.038,-1.992,1.813,0.149,0.045,51.0,232.0,1.06
"eps_tform[0, 52]",-0.026,1.072,-2.179,1.98,0.215,0.062,25.0,89.0,1.11
"eps_tform[0, 53]",0.065,0.948,-1.636,1.847,0.073,0.057,166.0,188.0,1.04
mu[0],35.571,0.127,35.311,35.782,0.016,0.003,64.0,654.0,1.05
peak_MJD[0],53264.056,0.13,53263.889,53264.297,0.052,0.018,9.0,127.0,1.39
theta[0],1.03,0.213,0.67,1.449,0.032,0.011,46.0,217.0,1.07
tmax[0],-0.821,0.126,-0.984,-0.587,0.05,0.018,9.0,127.0,1.39
