,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.303,0.083,0.153,0.459,0.013,0.004,43.0,328.0,1.09
Ds[0],33.912,0.079,33.762,34.05,0.017,0.005,22.0,70.0,1.14
RV[0],2.666,1.219,1.004,5.021,0.223,0.038,28.0,300.0,1.14
delM[0],-0.0,0.096,-0.199,0.161,0.003,0.002,1080.0,993.0,1.0
"eps[0, 0]",0.242,0.139,-0.031,0.387,0.066,0.036,7.0,39.0,1.55
"eps[1, 0]",-0.035,0.075,-0.175,0.108,0.021,0.003,13.0,141.0,1.23
"eps[2, 0]",0.478,0.162,0.159,0.643,0.077,0.043,7.0,27.0,1.54
"eps[3, 0]",-0.052,0.061,-0.151,0.062,0.023,0.009,8.0,53.0,1.45
"eps[4, 0]",0.206,0.101,-0.003,0.314,0.047,0.026,7.0,37.0,1.54
"eps[5, 0]",-0.961,0.966,-1.802,0.912,0.469,0.269,7.0,39.0,1.54
"eps[6, 0]",0.739,0.301,0.171,1.027,0.145,0.08,7.0,31.0,1.53
"eps[7, 0]",0.196,0.043,0.117,0.28,0.013,0.005,12.0,40.0,1.26
"eps[8, 0]",0.434,0.199,0.051,0.632,0.096,0.054,7.0,33.0,1.54
"eps[9, 0]",-0.068,0.064,-0.189,0.029,0.027,0.013,7.0,29.0,1.52
"eps[10, 0]",-0.061,0.059,-0.179,0.015,0.026,0.013,7.0,32.0,1.55
"eps[11, 0]",0.121,0.029,0.064,0.17,0.01,0.004,9.0,32.0,1.39
"eps[12, 0]",-0.059,0.02,-0.095,-0.02,0.002,0.001,163.0,312.0,1.03
"eps[13, 0]",-0.029,0.04,-0.088,0.052,0.016,0.008,8.0,26.0,1.51
"eps[14, 0]",-0.724,0.914,-1.397,0.931,0.45,0.259,8.0,33.0,1.54
"eps[15, 0]",0.051,0.182,-0.305,0.214,0.088,0.05,7.0,44.0,1.54
"eps[16, 0]",-0.082,0.113,-0.201,0.137,0.054,0.03,7.0,38.0,1.56
"eps[17, 0]",0.067,0.078,-0.093,0.178,0.034,0.017,7.0,34.0,1.52
"eps[18, 0]",-0.06,0.066,-0.156,0.07,0.028,0.014,8.0,37.0,1.52
"eps[19, 0]",-0.116,0.024,-0.159,-0.073,0.004,0.001,44.0,359.0,1.06
"eps[20, 0]",-0.052,0.039,-0.11,0.03,0.017,0.008,7.0,34.0,1.54
"eps[21, 0]",-0.127,0.018,-0.166,-0.096,0.002,0.001,92.0,254.0,1.04
"eps[22, 0]",-0.174,0.024,-0.224,-0.135,0.002,0.001,120.0,194.0,1.03
"eps[23, 0]",0.6,0.788,-0.843,1.221,0.387,0.223,7.0,32.0,1.55
"eps[24, 0]",-0.329,0.239,-0.54,0.127,0.116,0.066,7.0,31.0,1.54
"eps[25, 0]",-0.19,0.051,-0.283,-0.093,0.015,0.005,13.0,43.0,1.25
"eps[26, 0]",0.08,0.112,-0.075,0.313,0.049,0.025,7.0,41.0,1.52
"eps[27, 0]",-0.011,0.079,-0.128,0.15,0.033,0.016,8.0,47.0,1.52
"eps[28, 0]",0.226,0.108,0.107,0.44,0.051,0.027,7.0,40.0,1.54
"eps[29, 0]",-0.037,0.042,-0.096,0.05,0.017,0.008,7.0,40.0,1.54
"eps[30, 0]",-0.111,0.024,-0.149,-0.06,0.008,0.003,9.0,34.0,1.36
"eps[31, 0]",-0.305,0.054,-0.417,-0.226,0.022,0.01,8.0,51.0,1.49
"eps[32, 0]",-0.674,0.089,-0.854,-0.517,0.023,0.005,15.0,70.0,1.18
"eps[33, 0]",-0.229,0.065,-0.353,-0.109,0.02,0.004,11.0,57.0,1.28
"eps[34, 0]",-0.206,0.081,-0.367,-0.082,0.032,0.013,8.0,47.0,1.48
"eps[35, 0]",0.053,0.044,-0.025,0.135,0.003,0.002,201.0,341.0,1.02
"eps[36, 0]",0.038,0.038,-0.028,0.112,0.009,0.002,18.0,101.0,1.16
"eps[37, 0]",-0.139,0.178,-0.368,0.205,0.082,0.043,8.0,34.0,1.54
"eps[38, 0]",0.152,0.033,0.099,0.222,0.01,0.002,11.0,61.0,1.3
"eps[39, 0]",-0.122,0.238,-0.345,0.324,0.116,0.065,7.0,37.0,1.55
"eps[40, 0]",0.092,0.123,-0.039,0.33,0.059,0.033,7.0,25.0,1.57
"eps[41, 0]",-1.375,2.81,-3.19,3.601,1.387,0.8,7.0,30.0,1.54
"eps[42, 0]",0.6,0.482,-0.274,1.006,0.236,0.134,7.0,36.0,1.55
"eps[43, 0]",-0.226,0.523,-0.592,0.719,0.258,0.149,7.0,35.0,1.53
"eps[44, 0]",0.167,0.147,-0.119,0.343,0.068,0.038,7.0,36.0,1.53
"eps[45, 0]",0.239,0.104,0.032,0.381,0.045,0.023,7.0,33.0,1.52
"eps[46, 0]",0.115,0.222,-0.168,0.568,0.1,0.053,8.0,40.0,1.53
"eps[47, 0]",0.039,0.066,-0.041,0.177,0.03,0.016,7.0,48.0,1.52
"eps[48, 0]",0.123,0.175,-0.219,0.287,0.085,0.048,7.0,40.0,1.56
"eps[49, 0]",-0.304,0.101,-0.439,-0.096,0.044,0.021,7.0,27.0,1.53
"eps[50, 0]",3.481,5.185,-5.855,7.12,2.556,1.472,7.0,42.0,1.53
"eps[51, 0]",-0.974,1.755,-2.4,2.28,0.86,0.493,7.0,31.0,1.53
"eps[52, 0]",0.155,0.13,-0.077,0.407,0.021,0.005,40.0,114.0,1.07
"eps[53, 0]",-0.097,0.298,-0.386,0.465,0.144,0.081,7.0,32.0,1.54
"eps_tform[0, 0]",1.513,0.87,-0.196,2.423,0.412,0.227,7.0,39.0,1.55
"eps_tform[0, 1]",0.216,0.2,-0.146,0.594,0.023,0.006,76.0,424.0,1.05
"eps_tform[0, 2]",1.801,0.518,0.798,2.366,0.246,0.135,7.0,34.0,1.55
"eps_tform[0, 3]",-0.341,0.26,-0.656,0.161,0.12,0.065,7.0,29.0,1.54
"eps_tform[0, 4]",-0.341,0.103,-0.538,-0.161,0.021,0.004,26.0,88.0,1.12
"eps_tform[0, 5]",-1.707,1.61,-3.104,1.416,0.783,0.449,7.0,41.0,1.53
"eps_tform[0, 6]",1.329,0.282,0.764,1.67,0.128,0.064,7.0,39.0,1.53
"eps_tform[0, 7]",0.938,0.288,0.425,1.494,0.107,0.047,8.0,33.0,1.42
"eps_tform[0, 8]",1.245,0.403,0.459,1.787,0.18,0.093,7.0,31.0,1.53
"eps_tform[0, 9]",-0.833,1.066,-2.934,0.62,0.465,0.234,7.0,31.0,1.54
"eps_tform[0, 10]",-0.544,0.571,-1.632,0.23,0.258,0.134,7.0,31.0,1.54
"eps_tform[0, 11]",3.021,0.526,1.986,3.927,0.191,0.072,8.0,29.0,1.42
"eps_tform[0, 12]",-1.723,0.616,-2.664,-0.522,0.26,0.126,7.0,38.0,1.53
"eps_tform[0, 13]",-1.126,0.68,-2.103,0.275,0.288,0.145,8.0,24.0,1.53
"eps_tform[0, 14]",-5.762,7.291,-11.049,7.522,3.589,2.067,7.0,32.0,1.54
