,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.036,0.028,0.0,0.089,0.001,0.001,549.0,579.0,1.0
Ds[0],34.072,0.037,34.004,34.14,0.002,0.001,257.0,551.0,1.01
RV[0],3.688,1.391,1.398,5.993,0.039,0.033,1279.0,615.0,1.0
delM[0],0.005,0.097,-0.176,0.18,0.003,0.002,1050.0,993.0,1.0
"eps[0, 0]",0.081,0.039,0.0,0.151,0.003,0.002,211.0,312.0,1.01
"eps[1, 0]",0.415,0.078,0.266,0.556,0.005,0.003,245.0,314.0,1.01
"eps[2, 0]",0.005,0.041,-0.067,0.084,0.002,0.001,377.0,476.0,1.0
"eps[3, 0]",0.175,0.044,0.091,0.256,0.003,0.001,223.0,489.0,1.01
"eps[4, 0]",-0.109,0.03,-0.167,-0.054,0.002,0.001,330.0,446.0,1.01
"eps[5, 0]",-0.078,0.327,-0.741,0.494,0.014,0.011,613.0,452.0,1.0
"eps[6, 0]",-0.324,0.085,-0.488,-0.174,0.003,0.002,599.0,610.0,1.0
"eps[7, 0]",-0.129,0.053,-0.234,-0.036,0.002,0.001,730.0,572.0,1.0
"eps[8, 0]",-0.088,0.169,-0.436,0.196,0.006,0.006,898.0,587.0,1.01
"eps[9, 0]",-0.006,0.021,-0.051,0.026,0.001,0.001,346.0,402.0,1.01
"eps[10, 0]",0.059,0.024,0.014,0.102,0.001,0.001,368.0,644.0,1.01
"eps[11, 0]",0.021,0.018,-0.013,0.053,0.001,0.0,336.0,610.0,1.01
"eps[12, 0]",0.015,0.02,-0.022,0.053,0.001,0.001,291.0,507.0,1.01
"eps[13, 0]",-0.046,0.021,-0.085,-0.005,0.001,0.001,265.0,441.0,1.02
"eps[14, 0]",0.08,0.105,-0.122,0.275,0.005,0.003,401.0,595.0,1.01
"eps[15, 0]",-0.079,0.039,-0.147,-0.004,0.002,0.001,290.0,543.0,1.01
"eps[16, 0]",-0.017,0.027,-0.062,0.038,0.002,0.001,260.0,500.0,1.02
"eps[17, 0]",0.051,0.04,-0.024,0.124,0.002,0.001,481.0,674.0,1.01
"eps[18, 0]",-0.084,0.031,-0.14,-0.028,0.002,0.001,306.0,547.0,1.01
