,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.625,0.132,1.357,1.854,0.008,0.004,244.0,384.0,1.02
Ds[0],34.668,0.12,34.434,34.87,0.008,0.004,238.0,513.0,1.02
RV[0],1.612,0.172,1.286,1.92,0.011,0.006,233.0,411.0,1.02
delM[0],-0.005,0.098,-0.184,0.18,0.003,0.002,1069.0,1033.0,1.0
"eps[0, 0]",0.136,0.082,-0.031,0.281,0.003,0.002,924.0,912.0,1.0
"eps[1, 0]",0.484,0.145,0.217,0.744,0.005,0.004,796.0,861.0,1.0
"eps[2, 0]",-0.057,0.091,-0.229,0.101,0.003,0.002,761.0,816.0,1.01
"eps[3, 0]",0.08,0.08,-0.065,0.236,0.004,0.002,435.0,703.0,1.01
"eps[4, 0]",0.444,0.068,0.322,0.579,0.003,0.002,665.0,642.0,1.0
"eps[5, 0]",0.875,0.528,-0.148,1.831,0.018,0.016,848.0,766.0,1.01
"eps[6, 0]",0.454,0.361,-0.28,1.067,0.011,0.009,1130.0,927.0,1.01
"eps[7, 0]",0.133,0.144,-0.138,0.39,0.005,0.004,900.0,780.0,1.0
"eps[8, 0]",-0.274,0.184,-0.614,0.058,0.005,0.005,1282.0,865.0,1.01
"eps[9, 0]",0.173,0.045,0.09,0.257,0.002,0.001,394.0,686.0,1.0
"eps[10, 0]",0.225,0.04,0.158,0.306,0.002,0.001,450.0,677.0,1.0
"eps[11, 0]",-0.114,0.025,-0.158,-0.064,0.001,0.001,510.0,661.0,1.0
"eps[12, 0]",-0.086,0.027,-0.135,-0.037,0.002,0.001,318.0,418.0,1.01
"eps[13, 0]",0.206,0.029,0.147,0.254,0.001,0.001,375.0,541.0,1.01
"eps[14, 0]",0.305,0.092,0.133,0.471,0.003,0.003,767.0,738.0,1.01
"eps[15, 0]",0.051,0.059,-0.072,0.154,0.002,0.002,808.0,723.0,1.0
"eps[16, 0]",0.003,0.066,-0.117,0.125,0.003,0.002,636.0,676.0,1.01
"eps[17, 0]",-0.058,0.061,-0.168,0.055,0.002,0.002,904.0,973.0,1.01
"eps[18, 0]",0.153,0.045,0.059,0.233,0.002,0.001,499.0,540.0,1.02
"eps[19, 0]",0.225,0.047,0.139,0.313,0.002,0.001,879.0,628.0,1.0
"eps[20, 0]",-0.067,0.027,-0.114,-0.016,0.001,0.001,534.0,739.0,1.0
"eps[21, 0]",-0.048,0.024,-0.096,-0.01,0.001,0.001,383.0,491.0,1.01
"eps[22, 0]",0.094,0.028,0.041,0.142,0.001,0.001,361.0,571.0,1.0
"eps[23, 0]",-0.251,0.113,-0.48,-0.055,0.004,0.003,1018.0,786.0,1.0
"eps[24, 0]",0.08,0.059,-0.037,0.179,0.003,0.002,490.0,550.0,1.0
"eps[25, 0]",0.261,0.057,0.163,0.373,0.002,0.002,569.0,756.0,1.0
"eps[26, 0]",0.053,0.076,-0.087,0.191,0.004,0.002,393.0,612.0,1.02
"eps[27, 0]",0.041,0.061,-0.077,0.151,0.003,0.002,508.0,559.0,1.01
"eps[28, 0]",0.452,0.062,0.325,0.558,0.002,0.002,813.0,725.0,1.0
"eps[29, 0]",-0.124,0.027,-0.173,-0.072,0.001,0.001,519.0,814.0,1.01
"eps[30, 0]",-0.231,0.023,-0.276,-0.191,0.001,0.001,331.0,541.0,1.01
"eps[31, 0]",-0.229,0.047,-0.312,-0.138,0.003,0.002,356.0,459.0,1.03
"eps[32, 0]",0.059,0.15,-0.21,0.352,0.005,0.004,844.0,789.0,1.0
"eps[33, 0]",-0.331,0.075,-0.486,-0.198,0.004,0.002,440.0,514.0,1.01
"eps[34, 0]",-0.265,0.073,-0.39,-0.118,0.004,0.003,419.0,632.0,1.01
"eps[35, 0]",-0.154,0.059,-0.259,-0.038,0.003,0.002,424.0,665.0,1.01
"eps[36, 0]",0.101,0.058,-0.012,0.207,0.002,0.002,795.0,797.0,1.01
"eps[37, 0]",0.236,0.093,0.073,0.415,0.005,0.003,411.0,586.0,1.01
