,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.035,0.027,0.0,0.087,0.001,0.001,447.0,247.0,1.01
Ds[0],35.032,0.036,34.966,35.102,0.002,0.001,274.0,378.0,1.01
RV[0],3.77,1.436,1.437,6.0,0.047,0.033,930.0,504.0,1.01
delM[0],-0.0,0.095,-0.164,0.18,0.003,0.002,1039.0,1037.0,1.0
"eps[0, 0]",-0.074,0.032,-0.134,-0.011,0.002,0.001,355.0,503.0,1.02
"eps[1, 0]",0.292,0.071,0.159,0.422,0.004,0.002,366.0,618.0,1.0
"eps[2, 0]",-0.379,0.05,-0.482,-0.295,0.002,0.001,700.0,783.0,1.0
"eps[3, 0]",0.052,0.042,-0.029,0.128,0.002,0.001,416.0,686.0,1.0
"eps[4, 0]",-0.317,0.04,-0.389,-0.241,0.002,0.001,541.0,704.0,1.0
"eps[5, 0]",-0.219,0.329,-0.765,0.469,0.016,0.009,414.0,675.0,1.01
"eps[6, 0]",0.149,0.109,-0.051,0.347,0.005,0.003,560.0,852.0,1.01
"eps[7, 0]",0.107,0.073,-0.032,0.239,0.003,0.002,511.0,475.0,1.0
"eps[8, 0]",0.006,0.085,-0.143,0.168,0.003,0.002,596.0,609.0,1.01
"eps[9, 0]",0.153,0.02,0.112,0.187,0.001,0.001,351.0,559.0,1.0
"eps[10, 0]",0.084,0.026,0.041,0.134,0.001,0.001,400.0,563.0,1.0
"eps[11, 0]",0.125,0.02,0.091,0.166,0.001,0.001,514.0,686.0,1.0
"eps[12, 0]",0.114,0.021,0.074,0.151,0.001,0.001,338.0,454.0,1.0
"eps[13, 0]",-0.01,0.023,-0.06,0.026,0.001,0.001,344.0,484.0,1.01
"eps[14, 0]",-0.074,0.102,-0.261,0.122,0.004,0.003,623.0,489.0,1.01
"eps[15, 0]",-0.034,0.055,-0.142,0.065,0.002,0.002,609.0,571.0,1.01
"eps[16, 0]",-0.03,0.047,-0.109,0.057,0.002,0.001,565.0,284.0,1.01
"eps[17, 0]",-0.004,0.047,-0.087,0.09,0.002,0.002,495.0,476.0,1.0
"eps[18, 0]",-0.045,0.027,-0.097,0.003,0.002,0.001,290.0,477.0,1.02
"eps[19, 0]",0.053,0.021,0.012,0.09,0.001,0.001,578.0,836.0,1.0
"eps[20, 0]",-0.026,0.019,-0.061,0.008,0.001,0.001,464.0,813.0,1.0
"eps[21, 0]",-0.073,0.017,-0.102,-0.041,0.001,0.001,414.0,612.0,1.0
"eps[22, 0]",-0.138,0.02,-0.174,-0.101,0.001,0.001,412.0,596.0,1.0
"eps[23, 0]",-0.228,0.149,-0.504,0.05,0.006,0.005,602.0,577.0,1.0
"eps[24, 0]",-0.065,0.073,-0.203,0.075,0.003,0.002,493.0,551.0,1.01
"eps[25, 0]",-0.206,0.058,-0.31,-0.093,0.002,0.002,683.0,615.0,1.0
"eps[26, 0]",-0.002,0.053,-0.094,0.106,0.002,0.002,593.0,555.0,1.0
"eps[27, 0]",-0.164,0.042,-0.242,-0.087,0.002,0.001,294.0,583.0,1.01
"eps[28, 0]",-0.164,0.038,-0.239,-0.1,0.002,0.001,489.0,602.0,1.0
"eps[29, 0]",0.044,0.025,-0.007,0.087,0.001,0.001,410.0,654.0,1.01
"eps[30, 0]",-0.035,0.019,-0.072,-0.001,0.001,0.001,394.0,559.0,1.0
"eps[31, 0]",0.004,0.04,-0.069,0.085,0.002,0.002,295.0,359.0,1.01
