,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.249,0.069,0.106,0.366,0.003,0.003,520.0,344.0,1.01
Ds[0],32.527,0.058,32.422,32.639,0.003,0.002,437.0,553.0,1.01
RV[0],4.565,1.092,2.583,5.999,0.033,0.033,1093.0,533.0,1.0
delM[0],0.0,0.097,-0.165,0.183,0.003,0.002,907.0,916.0,1.0
"eps[0, 0]",0.277,0.12,0.062,0.511,0.004,0.005,1052.0,410.0,1.02
"eps[1, 0]",0.498,0.283,-0.036,1.014,0.009,0.008,1056.0,984.0,1.0
"eps[2, 0]",-0.075,0.194,-0.43,0.281,0.006,0.007,988.0,687.0,1.01
"eps[3, 0]",0.983,0.16,0.719,1.312,0.004,0.005,1615.0,706.0,1.0
"eps[4, 0]",0.939,0.185,0.619,1.29,0.005,0.006,1143.0,778.0,1.01
"eps[5, 0]",0.344,0.545,-0.713,1.383,0.016,0.018,1105.0,791.0,1.0
"eps[6, 0]",0.234,0.429,-0.54,0.98,0.01,0.013,1780.0,832.0,1.01
"eps[7, 0]",-0.05,0.141,-0.333,0.207,0.003,0.005,2121.0,767.0,1.0
"eps[8, 0]",0.04,0.202,-0.339,0.387,0.004,0.007,2100.0,839.0,1.0
"eps[9, 0]",-0.023,0.03,-0.08,0.036,0.001,0.001,590.0,481.0,1.01
"eps[10, 0]",0.116,0.037,0.045,0.183,0.001,0.001,807.0,689.0,1.0
"eps[11, 0]",-0.005,0.023,-0.045,0.04,0.001,0.001,740.0,572.0,1.0
"eps[12, 0]",0.048,0.024,0.007,0.092,0.001,0.001,706.0,674.0,1.0
"eps[13, 0]",-0.122,0.022,-0.166,-0.084,0.001,0.001,752.0,849.0,1.0
"eps[14, 0]",0.044,0.104,-0.139,0.246,0.003,0.003,1650.0,773.0,1.01
"eps[15, 0]",-0.064,0.079,-0.209,0.089,0.002,0.003,2105.0,775.0,1.01
"eps[16, 0]",-0.13,0.082,-0.281,0.021,0.002,0.003,1538.0,879.0,1.01
"eps[17, 0]",-0.134,0.047,-0.213,-0.043,0.002,0.002,696.0,699.0,1.01
"eps[18, 0]",-0.157,0.03,-0.213,-0.102,0.001,0.001,670.0,841.0,1.0
"eps[19, 0]",-0.082,0.029,-0.137,-0.03,0.001,0.001,864.0,863.0,1.0
