,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.098,0.05,0.013,0.189,0.002,0.001,542.0,717.0,1.01
Ds[0],36.472,0.051,36.376,36.563,0.002,0.002,451.0,517.0,1.01
RV[0],3.62,1.402,1.416,6.0,0.043,0.036,1065.0,457.0,1.0
delM[0],-0.001,0.097,-0.179,0.178,0.003,0.002,1001.0,995.0,1.0
"eps[0, 0]",-0.004,0.052,-0.095,0.098,0.002,0.002,520.0,508.0,1.01
"eps[1, 0]",0.256,0.097,0.066,0.428,0.004,0.002,577.0,795.0,1.0
"eps[2, 0]",-0.064,0.108,-0.276,0.139,0.004,0.004,753.0,619.0,1.01
"eps[3, 0]",-0.05,0.093,-0.212,0.123,0.003,0.003,775.0,714.0,1.0
"eps[4, 0]",-0.028,0.108,-0.209,0.174,0.004,0.004,644.0,503.0,1.01
"eps[5, 0]",0.03,0.34,-0.6,0.641,0.014,0.01,599.0,636.0,1.0
"eps[6, 0]",-0.113,0.231,-0.53,0.322,0.009,0.007,626.0,641.0,1.0
"eps[7, 0]",-0.138,0.12,-0.385,0.067,0.004,0.003,819.0,616.0,1.0
"eps[8, 0]",-0.166,0.175,-0.508,0.151,0.006,0.006,1014.0,703.0,1.01
"eps[9, 0]",0.048,0.032,-0.015,0.104,0.001,0.001,484.0,766.0,1.0
"eps[10, 0]",0.028,0.028,-0.022,0.081,0.001,0.001,565.0,756.0,1.0
"eps[11, 0]",0.052,0.027,0.002,0.102,0.001,0.001,535.0,637.0,1.0
"eps[12, 0]",0.022,0.026,-0.03,0.068,0.001,0.001,590.0,656.0,1.0
"eps[13, 0]",0.072,0.033,0.019,0.139,0.001,0.001,534.0,522.0,1.0
"eps[14, 0]",-0.04,0.077,-0.177,0.11,0.003,0.002,723.0,690.0,1.01
"eps[15, 0]",0.009,0.064,-0.108,0.123,0.003,0.002,655.0,654.0,1.0
"eps[16, 0]",0.053,0.053,-0.046,0.155,0.002,0.002,715.0,691.0,1.01
"eps[17, 0]",-0.005,0.069,-0.129,0.12,0.002,0.002,1046.0,662.0,1.0
"eps[18, 0]",-0.005,0.031,-0.063,0.049,0.001,0.001,492.0,728.0,1.01
"eps[19, 0]",0.045,0.03,-0.013,0.1,0.001,0.001,736.0,754.0,1.0
"eps[20, 0]",-0.004,0.03,-0.065,0.049,0.001,0.001,713.0,851.0,1.0
"eps[21, 0]",-0.017,0.029,-0.074,0.036,0.001,0.001,820.0,719.0,1.0
"eps[22, 0]",-0.045,0.039,-0.118,0.025,0.002,0.001,613.0,680.0,1.0
"eps[23, 0]",0.021,0.116,-0.186,0.236,0.004,0.004,1010.0,845.0,1.01
"eps[24, 0]",-0.116,0.098,-0.299,0.071,0.003,0.003,886.0,819.0,1.0
"eps[25, 0]",-0.002,0.121,-0.209,0.237,0.003,0.004,1190.0,779.0,1.0
"eps[26, 0]",-0.036,0.126,-0.265,0.193,0.003,0.004,1310.0,759.0,1.0
"eps[27, 0]",-0.108,0.049,-0.19,-0.014,0.002,0.001,448.0,524.0,1.01
"eps[28, 0]",0.034,0.043,-0.05,0.107,0.002,0.001,646.0,801.0,1.0
"eps[29, 0]",-0.049,0.035,-0.112,0.018,0.001,0.001,642.0,806.0,1.0
"eps[30, 0]",0.03,0.031,-0.032,0.085,0.001,0.001,748.0,844.0,1.0
"eps[31, 0]",0.108,0.052,-0.001,0.194,0.002,0.002,529.0,506.0,1.0
"eps[32, 0]",0.048,0.154,-0.258,0.322,0.005,0.005,891.0,672.0,1.0
"eps[33, 0]",-0.068,0.115,-0.28,0.15,0.004,0.003,827.0,880.0,1.0
"eps[34, 0]",0.099,0.134,-0.112,0.373,0.003,0.004,1489.0,765.0,1.0
"eps[35, 0]",-0.015,0.085,-0.189,0.134,0.002,0.003,1811.0,758.0,1.0
"eps[36, 0]",-0.11,0.035,-0.167,-0.042,0.001,0.001,543.0,692.0,1.0
"eps[37, 0]",0.078,0.078,-0.074,0.219,0.004,0.002,466.0,551.0,1.01
"eps[38, 0]",-0.122,0.035,-0.192,-0.061,0.002,0.001,544.0,559.0,1.01
"eps[39, 0]",-0.022,0.053,-0.127,0.072,0.002,0.001,511.0,763.0,1.01
"eps[40, 0]",0.018,0.045,-0.065,0.102,0.002,0.001,679.0,497.0,1.0
"eps[41, 0]",-0.141,0.214,-0.543,0.242,0.006,0.006,1465.0,912.0,1.0
"eps[42, 0]",0.132,0.134,-0.096,0.4,0.004,0.004,1246.0,815.0,1.0
"eps[43, 0]",-0.06,0.111,-0.271,0.142,0.003,0.003,1144.0,834.0,1.0
"eps[44, 0]",-0.02,0.086,-0.178,0.145,0.003,0.003,900.0,669.0,1.0
"eps[45, 0]",0.071,0.053,-0.031,0.164,0.001,0.002,1466.0,762.0,1.01
"eps[46, 0]",0.217,0.122,0.001,0.453,0.004,0.003,1154.0,836.0,1.0
