,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.113,0.059,0.018,0.223,0.003,0.002,405.0,447.0,1.01
Ds[0],35.845,0.051,35.749,35.933,0.002,0.001,478.0,513.0,1.0
RV[0],3.767,1.402,1.389,5.999,0.045,0.039,947.0,512.0,1.01
delM[0],-0.005,0.101,-0.193,0.189,0.003,0.002,1015.0,968.0,1.0
"eps[0, 0]",-0.114,0.062,-0.224,0.002,0.003,0.002,332.0,481.0,1.01
"eps[1, 0]",-0.205,0.093,-0.373,-0.034,0.004,0.002,624.0,826.0,1.0
"eps[2, 0]",0.09,0.095,-0.085,0.267,0.004,0.002,689.0,843.0,1.0
"eps[3, 0]",-0.146,0.074,-0.277,-0.009,0.003,0.002,570.0,881.0,1.0
"eps[4, 0]",-0.112,0.081,-0.264,0.033,0.003,0.002,899.0,954.0,1.0
"eps[5, 0]",-0.034,0.467,-0.885,0.825,0.018,0.012,660.0,672.0,1.0
"eps[6, 0]",-0.275,0.273,-0.776,0.23,0.011,0.008,623.0,565.0,1.0
"eps[7, 0]",-0.136,0.134,-0.402,0.085,0.004,0.004,1348.0,899.0,1.0
"eps[8, 0]",-0.089,0.193,-0.454,0.257,0.006,0.007,1153.0,548.0,1.0
"eps[9, 0]",-0.072,0.033,-0.138,-0.015,0.002,0.001,446.0,486.0,1.01
"eps[10, 0]",-0.057,0.033,-0.117,0.002,0.001,0.001,590.0,715.0,1.0
"eps[11, 0]",-0.007,0.03,-0.069,0.043,0.001,0.001,577.0,608.0,1.01
"eps[12, 0]",-0.047,0.025,-0.093,-0.0,0.001,0.001,632.0,838.0,1.01
"eps[13, 0]",-0.029,0.031,-0.082,0.037,0.001,0.001,595.0,619.0,1.01
"eps[14, 0]",-0.079,0.096,-0.25,0.098,0.004,0.003,705.0,700.0,1.0
"eps[15, 0]",-0.146,0.061,-0.252,-0.032,0.002,0.002,656.0,653.0,1.0
"eps[16, 0]",0.004,0.046,-0.076,0.085,0.002,0.001,698.0,943.0,1.0
"eps[17, 0]",-0.065,0.056,-0.173,0.038,0.002,0.002,951.0,834.0,1.0
"eps[18, 0]",-0.067,0.036,-0.138,-0.003,0.002,0.001,529.0,554.0,1.0
"eps[19, 0]",-0.048,0.028,-0.097,0.004,0.001,0.001,690.0,672.0,1.0
"eps[20, 0]",0.106,0.026,0.059,0.153,0.001,0.001,582.0,865.0,1.0
"eps[21, 0]",0.073,0.022,0.032,0.114,0.001,0.001,748.0,743.0,1.01
"eps[22, 0]",0.192,0.028,0.136,0.238,0.001,0.001,636.0,591.0,1.01
"eps[23, 0]",-0.113,0.116,-0.324,0.101,0.004,0.003,959.0,656.0,1.0
"eps[24, 0]",0.108,0.081,-0.048,0.245,0.003,0.002,772.0,758.0,1.0
"eps[25, 0]",0.186,0.101,-0.005,0.377,0.003,0.003,981.0,740.0,1.0
"eps[26, 0]",-0.042,0.105,-0.232,0.162,0.003,0.003,1531.0,827.0,1.0
"eps[27, 0]",-0.043,0.055,-0.142,0.059,0.002,0.002,501.0,578.0,1.0
"eps[28, 0]",0.136,0.055,0.037,0.239,0.002,0.001,794.0,839.0,1.0
"eps[29, 0]",-0.039,0.04,-0.104,0.039,0.001,0.001,711.0,719.0,1.0
"eps[30, 0]",0.1,0.031,0.04,0.154,0.001,0.001,761.0,855.0,1.0
"eps[31, 0]",0.011,0.052,-0.078,0.117,0.002,0.001,507.0,771.0,1.0
"eps[32, 0]",0.073,0.14,-0.195,0.331,0.004,0.004,1007.0,811.0,1.01
"eps[33, 0]",-0.091,0.091,-0.263,0.076,0.004,0.003,645.0,649.0,1.0
"eps[34, 0]",0.085,0.124,-0.145,0.308,0.004,0.003,937.0,835.0,1.0
"eps[35, 0]",-0.029,0.068,-0.142,0.112,0.002,0.002,1403.0,720.0,1.0
"eps[36, 0]",0.009,0.051,-0.081,0.103,0.002,0.001,919.0,783.0,1.0
"eps[37, 0]",-0.098,0.099,-0.303,0.074,0.004,0.003,672.0,851.0,1.0
"eps[38, 0]",0.109,0.045,0.023,0.191,0.002,0.001,800.0,608.0,1.0
"eps[39, 0]",0.063,0.062,-0.054,0.175,0.003,0.002,576.0,750.0,1.0
"eps[40, 0]",0.042,0.047,-0.041,0.128,0.002,0.001,701.0,518.0,1.0
"eps[41, 0]",0.199,0.252,-0.269,0.654,0.008,0.008,1001.0,724.0,1.01
"eps[42, 0]",-0.1,0.106,-0.28,0.106,0.004,0.003,856.0,868.0,1.01
"eps[43, 0]",0.271,0.1,0.077,0.443,0.004,0.003,721.0,713.0,1.01
"eps[44, 0]",-0.019,0.072,-0.156,0.113,0.003,0.002,802.0,669.0,1.01
"eps[45, 0]",-0.073,0.056,-0.182,0.027,0.002,0.002,1360.0,456.0,1.01
"eps[46, 0]",-0.18,0.129,-0.416,0.067,0.004,0.004,1078.0,733.0,1.0
"eps[47, 0]",0.025,0.031,-0.031,0.079,0.001,0.001,1067.0,795.0,1.0
"eps[48, 0]",0.109,0.059,-0.013,0.207,0.002,0.001,861.0,915.0,1.0
"eps[49, 0]",0.233,0.055,0.14,0.34,0.002,0.001,1128.0,934.0,1.0
"eps[50, 0]",-0.278,0.566,-1.289,0.829,0.018,0.016,997.0,837.0,1.0
"eps[51, 0]",0.621,0.307,0.041,1.18,0.009,0.01,1329.0,682.0,1.0
"eps[52, 0]",0.204,0.138,-0.052,0.457,0.003,0.005,1666.0,775.0,1.02
