,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.708,0.14,0.449,0.976,0.008,0.005,287.0,417.0,1.01
Ds[0],33.744,0.127,33.507,33.984,0.008,0.005,276.0,398.0,1.01
RV[0],2.554,0.828,1.222,4.287,0.051,0.046,258.0,360.0,1.01
delM[0],0.001,0.098,-0.174,0.181,0.003,0.002,1016.0,935.0,1.0
"eps[0, 0]",-0.017,0.059,-0.126,0.088,0.003,0.002,419.0,498.0,1.01
"eps[1, 0]",0.019,0.094,-0.165,0.192,0.005,0.003,436.0,449.0,1.01
"eps[2, 0]",0.079,0.053,-0.019,0.182,0.002,0.001,538.0,616.0,1.0
"eps[3, 0]",-0.058,0.06,-0.157,0.067,0.003,0.002,294.0,368.0,1.01
"eps[4, 0]",-0.042,0.043,-0.119,0.038,0.002,0.001,365.0,648.0,1.0
"eps[5, 0]",-0.063,0.364,-0.709,0.641,0.012,0.01,908.0,849.0,1.0
"eps[6, 0]",0.108,0.108,-0.092,0.305,0.004,0.003,718.0,729.0,1.0
"eps[7, 0]",0.042,0.058,-0.068,0.143,0.003,0.001,517.0,698.0,1.0
"eps[8, 0]",0.062,0.09,-0.099,0.237,0.004,0.003,446.0,624.0,1.01
"eps[9, 0]",0.015,0.047,-0.073,0.105,0.002,0.002,347.0,414.0,1.01
"eps[10, 0]",0.098,0.037,0.025,0.162,0.002,0.001,520.0,585.0,1.0
"eps[11, 0]",0.041,0.024,-0.006,0.085,0.001,0.001,524.0,599.0,1.0
"eps[12, 0]",0.043,0.025,-0.002,0.091,0.001,0.001,412.0,617.0,1.0
"eps[13, 0]",-0.013,0.027,-0.061,0.037,0.001,0.001,336.0,462.0,1.01
"eps[14, 0]",-0.035,0.119,-0.233,0.203,0.004,0.003,814.0,864.0,1.01
"eps[15, 0]",-0.102,0.048,-0.185,-0.006,0.002,0.001,511.0,588.0,1.0
"eps[16, 0]",0.062,0.04,-0.009,0.143,0.002,0.001,345.0,409.0,1.02
"eps[17, 0]",0.052,0.06,-0.057,0.171,0.003,0.002,329.0,430.0,1.01
"eps[18, 0]",-0.095,0.043,-0.177,-0.01,0.002,0.001,501.0,596.0,1.0
"eps[19, 0]",0.13,0.044,0.052,0.218,0.001,0.001,1182.0,914.0,1.0
"eps[20, 0]",-0.086,0.029,-0.145,-0.038,0.001,0.001,720.0,831.0,1.0
"eps[21, 0]",-0.007,0.025,-0.049,0.047,0.001,0.001,522.0,657.0,1.0
"eps[22, 0]",-0.105,0.03,-0.159,-0.05,0.002,0.001,332.0,515.0,1.0
"eps[23, 0]",0.052,0.167,-0.241,0.381,0.006,0.004,859.0,787.0,1.0
"eps[24, 0]",-0.135,0.067,-0.263,-0.016,0.003,0.002,549.0,736.0,1.01
"eps[25, 0]",-0.085,0.055,-0.184,0.021,0.003,0.001,487.0,753.0,1.0
"eps[26, 0]",0.083,0.068,-0.043,0.208,0.004,0.002,320.0,383.0,1.01
"eps[27, 0]",0.027,0.061,-0.082,0.148,0.003,0.001,535.0,836.0,1.01
"eps[28, 0]",0.225,0.057,0.124,0.338,0.002,0.002,702.0,829.0,1.0
"eps[29, 0]",-0.02,0.033,-0.081,0.038,0.002,0.001,449.0,687.0,1.01
"eps[30, 0]",0.014,0.024,-0.031,0.057,0.001,0.001,390.0,677.0,1.01
"eps[31, 0]",-0.071,0.045,-0.151,0.014,0.002,0.001,410.0,464.0,1.01
"eps[32, 0]",-0.041,0.209,-0.423,0.351,0.008,0.005,727.0,817.0,1.0
"eps[33, 0]",-0.084,0.071,-0.215,0.056,0.003,0.002,543.0,587.0,1.01
"eps[34, 0]",0.003,0.081,-0.143,0.145,0.004,0.002,387.0,568.0,1.01
"eps[35, 0]",-0.035,0.065,-0.158,0.086,0.003,0.002,473.0,563.0,1.01
"eps[36, 0]",0.042,0.053,-0.06,0.136,0.002,0.001,600.0,692.0,1.0
"eps[37, 0]",0.144,0.104,-0.044,0.334,0.005,0.003,465.0,617.0,1.01
"eps[38, 0]",0.002,0.037,-0.07,0.067,0.002,0.001,550.0,740.0,1.01
"eps[39, 0]",-0.148,0.078,-0.279,0.003,0.004,0.002,411.0,530.0,1.0
"eps[40, 0]",-0.104,0.045,-0.19,-0.024,0.002,0.001,335.0,478.0,1.01
"eps[41, 0]",-0.342,0.365,-0.994,0.344,0.011,0.01,1076.0,933.0,1.0
"eps[42, 0]",0.137,0.135,-0.121,0.392,0.004,0.004,985.0,698.0,1.01
"eps[43, 0]",-0.274,0.108,-0.49,-0.088,0.004,0.003,840.0,812.0,1.0
"eps[44, 0]",-0.077,0.089,-0.236,0.095,0.003,0.002,797.0,783.0,1.0
"eps[45, 0]",0.039,0.058,-0.076,0.142,0.001,0.002,1826.0,757.0,1.01
"eps[46, 0]",0.212,0.26,-0.245,0.735,0.007,0.009,1267.0,823.0,1.0
"eps[47, 0]",0.051,0.033,-0.012,0.112,0.001,0.001,1037.0,689.0,1.0
"eps[48, 0]",0.132,0.08,-0.025,0.272,0.002,0.002,1032.0,784.0,1.01
"eps[49, 0]",-0.057,0.084,-0.216,0.106,0.003,0.003,771.0,623.0,1.01
"eps[50, 0]",0.943,0.65,-0.22,2.131,0.019,0.018,1174.0,699.0,1.01
"eps[51, 0]",-0.549,0.289,-1.078,-0.009,0.009,0.008,1117.0,951.0,1.0
"eps[52, 0]",0.145,0.138,-0.098,0.413,0.005,0.005,911.0,717.0,1.01
"eps[53, 0]",-0.05,0.077,-0.181,0.11,0.002,0.003,1188.0,751.0,1.0
"eps_tform[0, 0]",-0.107,0.369,-0.79,0.551,0.018,0.014,419.0,498.0,1.01
"eps_tform[0, 1]",0.031,0.293,-0.501,0.599,0.014,0.008,432.0,625.0,1.01
"eps_tform[0, 2]",0.382,0.193,0.024,0.734,0.01,0.005,416.0,704.0,1.0
"eps_tform[0, 3]",-0.227,0.135,-0.461,0.041,0.008,0.004,315.0,491.0,1.01
"eps_tform[0, 4]",-0.308,0.093,-0.488,-0.149,0.004,0.002,500.0,786.0,1.0
"eps_tform[0, 5]",-0.059,0.595,-1.14,1.057,0.02,0.017,919.0,795.0,1.0
"eps_tform[0, 6]",0.292,0.142,0.023,0.553,0.007,0.004,413.0,609.0,1.0
"eps_tform[0, 7]",0.251,0.332,-0.328,0.882,0.014,0.008,540.0,842.0,1.0
"eps_tform[0, 8]",0.237,0.352,-0.42,0.918,0.018,0.011,379.0,544.0,1.01
"eps_tform[0, 9]",0.289,0.697,-0.945,1.708,0.038,0.023,333.0,369.0,1.01
"eps_tform[0, 10]",0.989,0.35,0.34,1.627,0.015,0.009,534.0,613.0,1.0
"eps_tform[0, 11]",0.979,0.443,0.193,1.861,0.025,0.013,325.0,513.0,1.0
"eps_tform[0, 12]",0.164,0.436,-0.624,0.991,0.022,0.012,377.0,708.0,1.0
"eps_tform[0, 13]",-0.476,0.412,-1.267,0.209,0.022,0.012,353.0,555.0,1.01
"eps_tform[0, 14]",-0.187,0.945,-1.85,1.596,0.032,0.027,844.0,863.0,1.01
"eps_tform[0, 15]",-1.096,0.48,-2.122,-0.291,0.024,0.014,414.0,638.0,1.01
"eps_tform[0, 16]",0.897,0.482,-0.094,1.724,0.027,0.015,324.0,475.0,1.01
"eps_tform[0, 17]",0.799,0.59,-0.298,1.904,0.031,0.019,354.0,429.0,1.01
"eps_tform[0, 18]",-1.397,0.627,-2.54,-0.147,0.027,0.016,534.0,588.0,1.0
"eps_tform[0, 19]",0.671,0.364,-0.072,1.31,0.011,0.01,1029.0,835.0,1.0
"eps_tform[0, 20]",-1.072,0.428,-1.858,-0.276,0.018,0.01,561.0,850.0,1.0
"eps_tform[0, 21]",-0.35,0.428,-1.16,0.406,0.017,0.011,632.0,802.0,1.0
"eps_tform[0, 22]",-0.381,0.338,-0.972,0.285,0.018,0.01,336.0,599.0,1.0
"eps_tform[0, 23]",0.581,0.971,-1.399,2.265,0.033,0.028,884.0,780.0,1.0
"eps_tform[0, 24]",-0.517,0.243,-1.009,-0.098,0.012,0.006,389.0,672.0,1.01
"eps_tform[0, 25]",-0.402,0.376,-1.061,0.34,0.018,0.01,437.0,613.0,1.0
"eps_tform[0, 26]",0.735,0.314,0.15,1.278,0.015,0.008,443.0,610.0,1.01
"eps_tform[0, 27]",0.624,0.569,-0.464,1.677,0.023,0.015,587.0,646.0,1.0
"eps_tform[0, 28]",1.252,0.413,0.526,2.019,0.019,0.011,469.0,776.0,1.0
"eps_tform[0, 29]",-0.556,0.372,-1.226,0.163,0.017,0.01,469.0,689.0,1.0
"eps_tform[0, 30]",0.47,0.353,-0.17,1.106,0.014,0.01,604.0,623.0,1.01
"eps_tform[0, 31]",-0.2,0.36,-0.841,0.56,0.014,0.011,692.0,724.0,1.0
"eps_tform[0, 32]",0.595,0.92,-1.092,2.264,0.027,0.027,1192.0,846.0,1.0
"eps_tform[0, 33]",-0.064,0.272,-0.612,0.415,0.013,0.008,461.0,548.0,1.0
"eps_tform[0, 34]",-0.189,0.383,-0.871,0.508,0.014,0.009,709.0,858.0,1.0
"eps_tform[0, 35]",-0.64,0.676,-1.841,0.604,0.025,0.023,748.0,729.0,1.01
"eps_tform[0, 36]",0.183,0.674,-1.038,1.455,0.022,0.016,988.0,849.0,1.0
"eps_tform[0, 37]",0.971,0.579,-0.0,2.128,0.025,0.015,516.0,875.0,1.01
"eps_tform[0, 38]",-0.422,0.601,-1.614,0.614,0.019,0.015,943.0,835.0,1.0
"eps_tform[0, 39]",-1.314,0.674,-2.6,-0.015,0.026,0.019,663.0,714.0,1.0
"eps_tform[0, 40]",0.126,0.434,-0.687,0.92,0.017,0.011,665.0,865.0,1.0
"eps_tform[0, 41]",0.112,0.999,-1.569,2.127,0.027,0.034,1330.0,682.0,1.0
"eps_tform[0, 42]",0.702,0.748,-0.574,2.258,0.019,0.028,1592.0,752.0,1.01
"eps_tform[0, 43]",-0.191,0.974,-2.044,1.705,0.026,0.037,1419.0,748.0,1.0
"eps_tform[0, 44]",0.079,0.957,-1.614,1.936,0.026,0.03,1434.0,664.0,1.0
"eps_tform[0, 45]",0.13,0.966,-1.691,1.928,0.023,0.035,1741.0,721.0,1.01
"eps_tform[0, 46]",0.892,1.0,-0.893,2.945,0.028,0.036,1274.0,551.0,1.0
"eps_tform[0, 47]",0.248,0.939,-1.539,1.952,0.023,0.029,1727.0,737.0,1.0
"eps_tform[0, 48]",0.211,0.95,-1.551,1.965,0.024,0.03,1498.0,764.0,1.01
"eps_tform[0, 49]",-0.085,0.939,-2.015,1.467,0.025,0.029,1447.0,694.0,1.0
"eps_tform[0, 50]",-0.018,1.0,-1.927,1.767,0.025,0.034,1702.0,672.0,1.0
"eps_tform[0, 51]",-0.162,0.959,-2.045,1.536,0.024,0.039,1623.0,648.0,1.01
"eps_tform[0, 52]",0.045,1.004,-1.865,1.981,0.023,0.041,1854.0,581.0,1.01
"eps_tform[0, 53]",0.014,0.981,-1.821,1.866,0.022,0.042,1958.0,577.0,1.01
mu[0],33.743,0.163,33.443,34.053,0.009,0.005,338.0,666.0,1.01
peak_MJD[0],53697.779,0.13,53697.522,53697.999,0.006,0.004,477.0,480.0,1.0
theta[0],0.411,0.258,-0.065,0.91,0.014,0.009,349.0,436.0,1.01
tmax[0],-0.522,0.129,-0.776,-0.305,0.006,0.004,477.0,480.0,1.0
