,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.087,0.052,0.002,0.176,0.003,0.002,307.0,312.0,1.03
Ds[0],34.583,0.047,34.494,34.677,0.003,0.002,260.0,393.0,1.03
RV[0],3.911,1.316,1.675,5.976,0.041,0.027,1062.0,805.0,1.0
delM[0],-0.002,0.1,-0.18,0.194,0.003,0.002,977.0,883.0,1.0
"eps[0, 0]",-0.161,0.058,-0.268,-0.048,0.002,0.002,631.0,778.0,1.0
"eps[1, 0]",-0.108,0.167,-0.429,0.207,0.006,0.005,817.0,699.0,1.0
"eps[2, 0]",-0.006,0.136,-0.269,0.244,0.005,0.005,736.0,691.0,1.0
"eps[3, 0]",0.152,0.087,-0.005,0.32,0.003,0.003,786.0,671.0,1.01
"eps[4, 0]",-0.111,0.083,-0.251,0.067,0.003,0.003,820.0,752.0,1.0
"eps[5, 0]",-0.546,0.289,-1.115,-0.005,0.013,0.008,479.0,549.0,1.0
"eps[6, 0]",0.375,0.104,0.202,0.586,0.005,0.003,522.0,613.0,1.0
"eps[7, 0]",0.22,0.053,0.129,0.33,0.002,0.002,503.0,443.0,1.01
"eps[8, 0]",0.071,0.084,-0.066,0.241,0.003,0.002,611.0,696.0,1.01
"eps[9, 0]",-0.053,0.027,-0.103,-0.005,0.001,0.001,393.0,568.0,1.01
"eps[10, 0]",-0.02,0.028,-0.073,0.027,0.001,0.001,504.0,679.0,1.0
"eps[11, 0]",-0.038,0.022,-0.079,0.001,0.001,0.001,572.0,772.0,1.0
"eps[12, 0]",-0.035,0.021,-0.072,0.004,0.001,0.001,405.0,681.0,1.0
"eps[13, 0]",-0.071,0.024,-0.114,-0.025,0.001,0.001,351.0,460.0,1.01
"eps[14, 0]",-0.074,0.14,-0.323,0.179,0.008,0.004,307.0,513.0,1.01
"eps[15, 0]",-0.118,0.058,-0.229,-0.019,0.003,0.002,310.0,451.0,1.01
"eps[16, 0]",-0.068,0.034,-0.122,0.006,0.002,0.001,322.0,472.0,1.02
"eps[17, 0]",-0.072,0.044,-0.158,0.008,0.002,0.001,379.0,454.0,1.01
"eps[18, 0]",-0.187,0.031,-0.256,-0.136,0.002,0.001,390.0,482.0,1.01
"eps[19, 0]",-0.028,0.028,-0.083,0.023,0.001,0.001,681.0,845.0,1.0
"eps[20, 0]",0.01,0.023,-0.034,0.049,0.001,0.001,526.0,710.0,1.0
"eps[21, 0]",0.081,0.018,0.05,0.117,0.001,0.0,513.0,682.0,1.0
"eps[22, 0]",0.079,0.022,0.04,0.12,0.001,0.001,440.0,706.0,1.01
"eps[23, 0]",0.03,0.193,-0.33,0.387,0.011,0.005,335.0,589.0,1.0
"eps[24, 0]",0.13,0.085,-0.039,0.272,0.005,0.003,302.0,489.0,1.01
"eps[25, 0]",0.207,0.048,0.124,0.299,0.002,0.001,446.0,529.0,1.01
"eps[26, 0]",0.129,0.047,0.045,0.221,0.003,0.001,324.0,464.0,1.02
"eps[27, 0]",-0.115,0.048,-0.205,-0.026,0.002,0.001,377.0,572.0,1.01
"eps[28, 0]",0.137,0.048,0.043,0.222,0.002,0.001,528.0,734.0,1.0
"eps[29, 0]",-0.035,0.026,-0.087,0.01,0.001,0.001,503.0,516.0,1.01
"eps[30, 0]",0.06,0.02,0.024,0.099,0.001,0.001,478.0,622.0,1.01
"eps[31, 0]",-0.125,0.04,-0.205,-0.058,0.002,0.001,330.0,564.0,1.01
"eps[32, 0]",-0.148,0.189,-0.499,0.195,0.009,0.005,405.0,702.0,1.0
"eps[33, 0]",-0.075,0.082,-0.218,0.092,0.004,0.003,419.0,535.0,1.0
"eps[34, 0]",0.026,0.081,-0.113,0.181,0.004,0.002,475.0,635.0,1.01
"eps[35, 0]",-0.017,0.065,-0.129,0.113,0.002,0.002,720.0,492.0,1.0
"eps[36, 0]",0.052,0.028,-0.002,0.1,0.001,0.001,466.0,580.0,1.0
"eps[37, 0]",-0.111,0.081,-0.258,0.04,0.004,0.002,350.0,555.0,1.01
"eps[38, 0]",0.088,0.03,0.036,0.145,0.001,0.001,458.0,610.0,1.0
"eps[39, 0]",0.002,0.054,-0.104,0.094,0.003,0.002,333.0,579.0,1.01
"eps[40, 0]",0.093,0.031,0.039,0.149,0.002,0.001,366.0,546.0,1.02
"eps[41, 0]",0.17,0.292,-0.345,0.724,0.012,0.007,599.0,739.0,1.0
"eps[42, 0]",-0.117,0.091,-0.27,0.07,0.004,0.003,616.0,774.0,1.0
"eps[43, 0]",0.098,0.083,-0.05,0.253,0.003,0.002,559.0,790.0,1.0
"eps[44, 0]",-0.087,0.085,-0.247,0.062,0.003,0.002,767.0,652.0,1.0
"eps[45, 0]",-0.009,0.033,-0.066,0.06,0.001,0.001,560.0,619.0,1.01
"eps[46, 0]",-0.532,0.071,-0.654,-0.394,0.004,0.002,377.0,733.0,1.01
"eps[47, 0]",0.099,0.024,0.05,0.138,0.001,0.001,785.0,845.0,1.0
"eps[48, 0]",0.076,0.042,0.001,0.155,0.002,0.001,381.0,482.0,1.01
"eps[49, 0]",0.116,0.036,0.052,0.188,0.002,0.001,374.0,655.0,1.01
"eps[50, 0]",0.052,0.702,-1.23,1.399,0.034,0.019,422.0,566.0,1.0
"eps[51, 0]",0.363,0.306,-0.17,0.969,0.013,0.008,524.0,658.0,1.0
"eps[52, 0]",0.083,0.128,-0.153,0.318,0.004,0.004,1094.0,758.0,1.01
"eps[53, 0]",0.078,0.073,-0.051,0.218,0.003,0.002,521.0,695.0,1.0
"eps_tform[0, 0]",-1.009,0.365,-1.68,-0.3,0.015,0.01,631.0,778.0,1.0
"eps_tform[0, 1]",-0.509,0.432,-1.308,0.334,0.015,0.014,812.0,697.0,1.01
"eps_tform[0, 2]",-0.059,0.364,-0.785,0.597,0.014,0.011,728.0,825.0,1.0
"eps_tform[0, 3]",1.009,0.21,0.644,1.42,0.006,0.007,1051.0,745.0,1.01
"eps_tform[0, 4]",-0.621,0.207,-0.958,-0.215,0.006,0.006,1198.0,862.0,1.0
"eps_tform[0, 5]",-1.317,0.448,-2.126,-0.485,0.02,0.012,511.0,758.0,1.0
"eps_tform[0, 6]",0.697,0.153,0.426,0.983,0.006,0.005,561.0,546.0,1.01
"eps_tform[0, 7]",1.432,0.305,0.802,1.965,0.014,0.009,500.0,567.0,1.01
"eps_tform[0, 8]",-0.008,0.334,-0.59,0.631,0.012,0.008,758.0,881.0,1.01
"eps_tform[0, 9]",-0.555,0.403,-1.287,0.144,0.02,0.012,394.0,531.0,1.01
"eps_tform[0, 10]",0.209,0.263,-0.321,0.657,0.011,0.007,527.0,793.0,1.0
"eps_tform[0, 11]",-0.377,0.335,-0.959,0.269,0.014,0.009,555.0,653.0,1.0
"eps_tform[0, 12]",-0.701,0.331,-1.301,-0.087,0.016,0.009,429.0,650.0,1.01
"eps_tform[0, 13]",-1.145,0.374,-1.838,-0.445,0.021,0.013,318.0,372.0,1.01
"eps_tform[0, 14]",-0.234,1.11,-2.275,1.705,0.063,0.031,314.0,439.0,1.0
"eps_tform[0, 15]",-1.246,0.519,-2.296,-0.369,0.029,0.018,318.0,398.0,1.01
"eps_tform[0, 16]",-0.501,0.381,-1.193,0.222,0.021,0.013,329.0,525.0,1.03
"eps_tform[0, 17]",-0.619,0.48,-1.465,0.328,0.024,0.014,407.0,612.0,1.02
"eps_tform[0, 18]",-2.217,0.452,-3.122,-1.432,0.022,0.014,409.0,537.0,1.01
"eps_tform[0, 19]",0.058,0.3,-0.449,0.644,0.013,0.008,504.0,560.0,1.0
