,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.158,0.071,0.018,0.278,0.004,0.002,335.0,256.0,1.01
Ds[0],35.102,0.064,34.979,35.215,0.003,0.002,474.0,534.0,1.01
RV[0],3.692,1.359,1.484,5.951,0.047,0.029,919.0,559.0,1.0
delM[0],0.001,0.097,-0.173,0.184,0.003,0.002,910.0,879.0,1.0
"eps[0, 0]",-0.287,0.074,-0.424,-0.154,0.004,0.002,293.0,686.0,1.02
"eps[1, 0]",-0.194,0.152,-0.476,0.097,0.005,0.004,915.0,592.0,1.0
"eps[2, 0]",-0.104,0.17,-0.44,0.197,0.009,0.005,403.0,754.0,1.01
"eps[3, 0]",0.147,0.132,-0.097,0.377,0.007,0.004,383.0,698.0,1.01
"eps[4, 0]",0.17,0.126,-0.093,0.372,0.006,0.004,395.0,774.0,1.01
"eps[5, 0]",0.608,0.675,-0.643,1.906,0.039,0.018,298.0,619.0,1.02
"eps[6, 0]",-0.112,0.433,-0.926,0.685,0.012,0.014,1271.0,717.0,1.01
"eps[7, 0]",0.043,0.145,-0.256,0.293,0.004,0.004,1331.0,757.0,1.0
"eps[8, 0]",0.015,0.198,-0.321,0.41,0.005,0.006,1302.0,787.0,1.01
"eps[9, 0]",-0.044,0.039,-0.122,0.024,0.002,0.001,376.0,375.0,1.0
"eps[10, 0]",0.007,0.036,-0.059,0.07,0.002,0.001,572.0,698.0,1.0
"eps[11, 0]",0.009,0.029,-0.042,0.066,0.001,0.001,435.0,578.0,1.01
"eps[12, 0]",-0.003,0.03,-0.057,0.052,0.001,0.001,430.0,588.0,1.0
"eps[13, 0]",-0.02,0.031,-0.075,0.041,0.001,0.001,572.0,616.0,1.01
"eps[14, 0]",0.108,0.131,-0.129,0.352,0.008,0.004,286.0,484.0,1.01
"eps[15, 0]",-0.022,0.087,-0.175,0.144,0.003,0.002,1083.0,862.0,1.0
"eps[16, 0]",-0.018,0.087,-0.183,0.137,0.003,0.003,1012.0,562.0,1.01
"eps[17, 0]",0.016,0.077,-0.132,0.152,0.002,0.002,1168.0,752.0,1.0
"eps[18, 0]",-0.101,0.042,-0.178,-0.022,0.002,0.001,323.0,397.0,1.01
"eps[19, 0]",0.065,0.033,0.008,0.128,0.001,0.001,592.0,768.0,1.0
"eps[20, 0]",0.0,0.03,-0.056,0.061,0.001,0.001,949.0,828.0,1.0
"eps[21, 0]",0.077,0.03,0.017,0.13,0.002,0.001,383.0,728.0,1.01
"eps[22, 0]",-0.006,0.035,-0.078,0.051,0.002,0.001,327.0,483.0,1.02
"eps[23, 0]",-0.218,0.222,-0.605,0.216,0.014,0.006,229.0,422.0,1.02
"eps[24, 0]",0.184,0.128,-0.041,0.442,0.005,0.004,701.0,695.0,1.0
"eps[25, 0]",0.067,0.1,-0.114,0.267,0.004,0.003,530.0,580.0,1.0
"eps[26, 0]",0.079,0.08,-0.068,0.222,0.004,0.002,493.0,859.0,1.01
"eps[27, 0]",0.002,0.065,-0.118,0.123,0.004,0.002,336.0,518.0,1.01
"eps[28, 0]",0.162,0.049,0.073,0.257,0.003,0.001,343.0,626.0,1.0
"eps[29, 0]",0.031,0.027,-0.018,0.082,0.001,0.001,594.0,795.0,1.01
"eps[30, 0]",0.04,0.023,-0.004,0.084,0.001,0.001,599.0,742.0,1.0
"eps[31, 0]",-0.053,0.063,-0.165,0.07,0.003,0.002,329.0,570.0,1.0
"eps[32, 0]",0.268,0.248,-0.181,0.718,0.013,0.007,351.0,650.0,1.01
"eps[33, 0]",0.001,0.167,-0.33,0.297,0.008,0.005,457.0,444.0,1.01
"eps[34, 0]",0.071,0.115,-0.125,0.286,0.004,0.003,682.0,908.0,1.0
