,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.273,0.075,0.146,0.419,0.003,0.002,763.0,673.0,1.0
Ds[0],32.862,0.088,32.7,33.01,0.029,0.002,10.0,354.0,1.34
RV[0],2.76,1.38,1.001,5.386,0.425,0.051,11.0,402.0,1.29
delM[0],0.007,0.098,-0.167,0.195,0.003,0.002,835.0,805.0,1.01
"eps[0, 0]",0.371,0.089,0.196,0.518,0.033,0.002,8.0,289.0,1.49
"eps[1, 0]",0.127,0.148,-0.131,0.416,0.01,0.005,229.0,635.0,1.04
"eps[2, 0]",0.087,0.162,-0.215,0.39,0.007,0.005,604.0,666.0,1.02
"eps[3, 0]",0.304,0.094,0.119,0.476,0.008,0.003,129.0,571.0,1.04
"eps[4, 0]",0.123,0.078,-0.028,0.257,0.022,0.002,13.0,255.0,1.22
"eps[5, 0]",-0.227,0.813,-1.603,1.091,0.344,0.012,6.0,196.0,1.67
"eps[6, 0]",-0.007,0.392,-0.738,0.729,0.057,0.012,47.0,687.0,1.06
"eps[7, 0]",-0.042,0.176,-0.343,0.276,0.056,0.005,10.0,246.0,1.32
"eps[8, 0]",0.067,0.223,-0.383,0.454,0.056,0.007,16.0,312.0,1.18
"eps[9, 0]",-0.056,0.058,-0.158,0.043,0.023,0.001,7.0,120.0,1.59
"eps[10, 0]",0.01,0.059,-0.1,0.112,0.021,0.001,8.0,174.0,1.45
"eps[11, 0]",-0.072,0.031,-0.127,-0.011,0.004,0.001,73.0,805.0,1.05
"eps[12, 0]",-0.058,0.026,-0.105,-0.013,0.005,0.001,24.0,406.0,1.13
"eps[13, 0]",-0.167,0.025,-0.214,-0.12,0.001,0.001,605.0,712.0,1.01
"eps[14, 0]",-0.105,0.295,-0.528,0.317,0.139,0.003,6.0,161.0,1.73
"eps[15, 0]",-0.072,0.095,-0.233,0.115,0.027,0.002,13.0,221.0,1.23
"eps[16, 0]",0.029,0.076,-0.109,0.175,0.002,0.002,1658.0,812.0,1.0
"eps[17, 0]",-0.051,0.073,-0.194,0.089,0.01,0.002,54.0,785.0,1.05
"eps[18, 0]",-0.113,0.037,-0.173,-0.036,0.004,0.001,81.0,727.0,1.04
"eps[19, 0]",-0.097,0.027,-0.148,-0.052,0.003,0.001,80.0,685.0,1.04
"eps[20, 0]",-0.105,0.023,-0.144,-0.061,0.005,0.001,22.0,444.0,1.13
"eps[21, 0]",-0.018,0.019,-0.053,0.016,0.004,0.0,24.0,588.0,1.11
"eps[22, 0]",0.053,0.026,0.008,0.105,0.006,0.001,17.0,317.0,1.17
"eps[23, 0]",0.073,0.326,-0.371,0.529,0.154,0.002,6.0,333.0,1.73
"eps[24, 0]",0.04,0.076,-0.091,0.169,0.029,0.001,7.0,357.0,1.54
"eps[25, 0]",0.025,0.047,-0.066,0.11,0.002,0.001,917.0,625.0,1.01
"eps[26, 0]",-0.043,0.057,-0.156,0.053,0.002,0.002,857.0,761.0,1.0
"eps[27, 0]",-0.177,0.057,-0.275,-0.071,0.016,0.001,13.0,272.0,1.24
"eps[28, 0]",0.087,0.055,-0.012,0.188,0.019,0.001,8.0,119.0,1.44
"eps[29, 0]",-0.069,0.029,-0.124,-0.015,0.009,0.001,10.0,211.0,1.33
"eps[30, 0]",0.023,0.018,-0.01,0.054,0.001,0.0,350.0,667.0,1.02
"eps[31, 0]",0.045,0.054,-0.055,0.135,0.02,0.001,8.0,573.0,1.47
"eps[32, 0]",-0.044,0.19,-0.36,0.273,0.079,0.003,7.0,362.0,1.64
