,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.051,0.042,0.002,0.12,0.019,0.008,7.0,19.0,1.58
Ds[0],34.236,0.036,34.186,34.305,0.01,0.001,12.0,371.0,1.25
RV[0],4.021,1.336,1.575,5.989,0.275,0.063,40.0,594.0,1.07
delM[0],0.0,0.099,-0.161,0.216,0.003,0.002,1020.0,950.0,1.0
"eps[0, 0]",-0.085,0.047,-0.148,-0.006,0.016,0.002,8.0,21.0,1.43
"eps[1, 0]",0.09,0.068,-0.022,0.231,0.012,0.004,37.0,384.0,1.08
"eps[2, 0]",0.001,0.044,-0.066,0.098,0.006,0.003,46.0,640.0,1.09
"eps[3, 0]",0.067,0.041,0.005,0.149,0.008,0.002,31.0,469.0,1.1
"eps[4, 0]",-0.1,0.037,-0.15,-0.016,0.007,0.002,33.0,585.0,1.09
"eps[5, 0]",0.214,0.301,-0.354,0.852,0.014,0.036,447.0,464.0,1.22
"eps[6, 0]",-0.01,0.08,-0.178,0.131,0.004,0.01,481.0,433.0,1.33
"eps[7, 0]",0.032,0.04,-0.057,0.1,0.002,0.005,486.0,497.0,1.41
"eps[8, 0]",-0.013,0.08,-0.179,0.128,0.01,0.007,72.0,502.0,1.14
"eps[9, 0]",-0.01,0.02,-0.032,0.035,0.005,0.001,17.0,506.0,1.17
"eps[10, 0]",0.047,0.038,-0.004,0.111,0.013,0.002,9.0,75.0,1.36
"eps[11, 0]",0.018,0.018,-0.02,0.052,0.001,0.002,294.0,527.0,1.37
"eps[12, 0]",0.054,0.026,0.021,0.102,0.009,0.001,10.0,112.0,1.33
"eps[13, 0]",-0.031,0.021,-0.071,0.003,0.004,0.001,33.0,491.0,1.09
"eps[14, 0]",0.082,0.08,-0.051,0.251,0.01,0.006,59.0,569.0,1.07
"eps[15, 0]",-0.099,0.039,-0.184,-0.046,0.009,0.001,20.0,464.0,1.15
"eps[16, 0]",0.009,0.023,-0.032,0.051,0.003,0.002,64.0,355.0,1.1
"eps[17, 0]",-0.005,0.03,-0.059,0.03,0.009,0.001,11.0,227.0,1.29
"eps[18, 0]",-0.117,0.026,-0.17,-0.072,0.004,0.002,47.0,463.0,1.16
"eps[19, 0]",0.049,0.02,0.007,0.088,0.001,0.002,554.0,459.0,1.33
"eps[20, 0]",0.003,0.016,-0.028,0.033,0.001,0.002,195.0,478.0,1.26
"eps[21, 0]",0.067,0.016,0.034,0.093,0.003,0.0,30.0,701.0,1.1
"eps[22, 0]",0.004,0.018,-0.032,0.028,0.005,0.0,15.0,447.0,1.21
"eps[23, 0]",-0.594,0.106,-0.81,-0.438,0.022,0.003,25.0,452.0,1.12
"eps[24, 0]",0.246,0.049,0.158,0.343,0.003,0.006,237.0,459.0,1.22
"eps[25, 0]",-0.115,0.05,-0.183,-0.036,0.022,0.009,7.0,20.0,1.55
"eps[26, 0]",0.228,0.028,0.17,0.276,0.001,0.003,337.0,400.0,1.29
"eps[27, 0]",-0.151,0.042,-0.24,-0.088,0.007,0.003,37.0,367.0,1.12
"eps[28, 0]",-0.055,0.034,-0.121,0.002,0.007,0.002,33.0,576.0,1.08
"eps[29, 0]",0.006,0.022,-0.035,0.046,0.004,0.002,34.0,416.0,1.09
"eps[30, 0]",0.096,0.016,0.068,0.13,0.001,0.002,376.0,567.0,1.38
"eps[31, 0]",0.158,0.034,0.1,0.223,0.005,0.003,60.0,311.0,1.1
"eps[32, 0]",0.974,0.133,0.736,1.253,0.006,0.014,346.0,539.0,1.38
"eps[33, 0]",-0.087,0.052,-0.183,0.017,0.005,0.004,81.0,537.0,1.12
