,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.163,0.076,0.05,0.321,0.021,0.016,19.0,14.0,1.16
Ds[0],33.287,0.059,33.174,33.374,0.015,0.009,17.0,15.0,1.16
RV[0],3.99,1.315,1.681,5.998,0.057,0.04,789.0,617.0,1.03
delM[0],-0.0,0.097,-0.188,0.173,0.003,0.002,1046.0,948.0,1.0
"eps[0, 0]",0.213,0.044,0.126,0.291,0.002,0.001,593.0,683.0,1.01
"eps[1, 0]",-0.44,0.092,-0.608,-0.255,0.003,0.004,717.0,737.0,1.03
"eps[2, 0]",0.289,0.063,0.163,0.406,0.002,0.003,999.0,724.0,1.12
"eps[3, 0]",0.016,0.067,-0.11,0.136,0.006,0.002,157.0,576.0,1.03
"eps[4, 0]",0.188,0.06,0.083,0.305,0.002,0.004,998.0,737.0,1.1
"eps[5, 0]",0.557,0.78,-0.928,1.912,0.051,0.026,256.0,459.0,1.02
"eps[6, 0]",-0.142,0.209,-0.507,0.277,0.012,0.012,291.0,467.0,1.11
"eps[7, 0]",-0.03,0.116,-0.239,0.166,0.017,0.003,44.0,695.0,1.07
"eps[8, 0]",-0.144,0.142,-0.403,0.13,0.006,0.006,540.0,718.0,1.04
"eps[9, 0]",-0.096,0.034,-0.152,-0.035,0.005,0.001,51.0,253.0,1.07
"eps[10, 0]",-0.032,0.031,-0.081,0.027,0.005,0.001,50.0,455.0,1.07
"eps[11, 0]",-0.039,0.02,-0.074,0.002,0.001,0.001,432.0,511.0,1.04
"eps[12, 0]",-0.049,0.02,-0.086,-0.012,0.001,0.001,416.0,611.0,1.02
"eps[13, 0]",-0.057,0.02,-0.095,-0.02,0.001,0.001,278.0,626.0,1.03
"eps[14, 0]",-0.049,0.113,-0.221,0.164,0.021,0.006,31.0,344.0,1.09
"eps[15, 0]",-0.142,0.042,-0.221,-0.071,0.007,0.001,39.0,632.0,1.08
"eps[16, 0]",0.037,0.042,-0.044,0.106,0.006,0.001,53.0,690.0,1.06
"eps[17, 0]",-0.069,0.051,-0.152,0.02,0.011,0.004,25.0,108.0,1.11
"eps[18, 0]",-0.1,0.032,-0.157,-0.037,0.002,0.001,398.0,477.0,1.02
"eps[19, 0]",-0.011,0.025,-0.056,0.035,0.003,0.001,103.0,642.0,1.04
"eps[20, 0]",-0.04,0.02,-0.077,-0.003,0.001,0.001,422.0,584.0,1.01
"eps[21, 0]",0.058,0.016,0.027,0.086,0.001,0.001,427.0,640.0,1.15
"eps[22, 0]",0.011,0.018,-0.021,0.044,0.002,0.0,61.0,643.0,1.06
"eps[23, 0]",0.01,0.179,-0.321,0.341,0.011,0.007,251.0,404.0,1.07
"eps[24, 0]",-0.03,0.045,-0.12,0.048,0.003,0.002,221.0,535.0,1.03
"eps[25, 0]",0.15,0.047,0.078,0.243,0.012,0.008,20.0,22.0,1.14
"eps[26, 0]",0.035,0.049,-0.03,0.144,0.015,0.012,16.0,14.0,1.18
"eps[27, 0]",-0.074,0.045,-0.16,0.011,0.002,0.001,454.0,529.0,1.15
"eps[28, 0]",0.203,0.043,0.115,0.28,0.002,0.001,429.0,729.0,1.01
"eps[29, 0]",-0.047,0.022,-0.089,-0.004,0.001,0.001,512.0,660.0,1.08
"eps[30, 0]",0.046,0.016,0.013,0.076,0.001,0.001,424.0,605.0,1.04
"eps[31, 0]",-0.103,0.036,-0.175,-0.033,0.002,0.002,439.0,562.0,1.1
"eps[32, 0]",-0.049,0.192,-0.381,0.326,0.011,0.007,288.0,554.0,1.09
"eps[33, 0]",-0.146,0.075,-0.284,-0.006,0.005,0.003,274.0,434.0,1.11
"eps[34, 0]",-0.048,0.058,-0.152,0.057,0.003,0.002,436.0,731.0,1.02
"eps[35, 0]",-0.009,0.044,-0.092,0.058,0.008,0.002,31.0,443.0,1.09
"eps[36, 0]",0.103,0.031,0.053,0.163,0.004,0.001,54.0,512.0,1.07
"eps[37, 0]",-0.117,0.081,-0.285,0.021,0.005,0.003,302.0,521.0,1.03
"eps[38, 0]",0.145,0.025,0.094,0.189,0.001,0.001,425.0,547.0,1.01
"eps[39, 0]",0.055,0.057,-0.057,0.152,0.005,0.002,139.0,478.0,1.03
"eps[40, 0]",0.143,0.032,0.086,0.198,0.006,0.001,32.0,568.0,1.09
"eps[41, 0]",0.479,0.205,0.124,0.892,0.011,0.007,366.0,634.0,1.04
"eps[42, 0]",-0.106,0.063,-0.219,0.002,0.013,0.006,29.0,286.0,1.1
"eps[43, 0]",0.307,0.06,0.202,0.411,0.013,0.005,22.0,30.0,1.13
"eps[44, 0]",0.081,0.077,-0.043,0.224,0.019,0.011,23.0,73.0,1.12
"eps[45, 0]",0.022,0.034,-0.037,0.087,0.003,0.001,119.0,666.0,1.03
"eps[46, 0]",-0.4,0.065,-0.514,-0.263,0.003,0.002,555.0,784.0,1.01
"eps[47, 0]",0.099,0.022,0.055,0.14,0.001,0.001,432.0,512.0,1.08
"eps[48, 0]",0.029,0.042,-0.054,0.1,0.004,0.001,112.0,556.0,1.04
"eps[49, 0]",0.182,0.033,0.129,0.241,0.006,0.001,29.0,553.0,1.1
"eps[50, 0]",0.218,0.773,-1.209,1.592,0.046,0.034,280.0,715.0,1.05
"eps[51, 0]",0.336,0.184,-0.03,0.66,0.012,0.01,259.0,531.0,1.07
"eps[52, 0]",0.362,0.136,0.084,0.561,0.022,0.004,40.0,416.0,1.07
"eps[53, 0]",0.086,0.068,-0.04,0.221,0.004,0.002,370.0,721.0,1.02
"eps_tform[0, 0]",1.331,0.278,0.787,1.821,0.012,0.009,593.0,683.0,1.01
"eps_tform[0, 1]",-0.946,0.251,-1.422,-0.492,0.01,0.009,624.0,712.0,1.01
"eps_tform[0, 2]",0.393,0.173,0.064,0.721,0.006,0.006,962.0,659.0,1.09
"eps_tform[0, 3]",0.63,0.211,0.216,1.0,0.018,0.006,137.0,741.0,1.03
"eps_tform[0, 4]",0.01,0.196,-0.349,0.375,0.007,0.006,770.0,743.0,1.01
"eps_tform[0, 5]",0.327,1.258,-1.962,2.525,0.081,0.041,261.0,460.0,1.02
"eps_tform[0, 6]",-0.245,0.241,-0.714,0.173,0.022,0.006,150.0,573.0,1.04
"eps_tform[0, 7]",-0.304,0.694,-1.56,0.89,0.092,0.02,55.0,734.0,1.06
"eps_tform[0, 8]",-0.415,0.548,-1.457,0.614,0.025,0.019,710.0,777.0,1.02
"eps_tform[0, 9]",-1.607,0.542,-2.574,-0.661,0.089,0.022,41.0,338.0,1.08
"eps_tform[0, 10]",-0.468,0.313,-0.95,0.117,0.049,0.008,39.0,485.0,1.07
"eps_tform[0, 11]",-0.115,0.301,-0.703,0.438,0.015,0.011,426.0,487.0,1.11
"eps_tform[0, 12]",-0.349,0.29,-0.887,0.182,0.013,0.014,507.0,662.0,1.1
"eps_tform[0, 13]",-0.756,0.315,-1.353,-0.172,0.03,0.009,126.0,615.0,1.04
