,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.891,0.167,0.543,1.179,0.008,0.005,413.0,573.0,1.01
Ds[0],35.303,0.148,35.028,35.587,0.007,0.004,451.0,687.0,1.01
RV[0],2.463,0.671,1.27,3.673,0.032,0.022,437.0,601.0,1.01
delM[0],0.001,0.1,-0.184,0.187,0.003,0.002,1109.0,869.0,1.0
"eps[0, 0]",0.156,0.122,-0.093,0.358,0.003,0.003,1293.0,757.0,1.0
"eps[1, 0]",0.231,0.24,-0.203,0.676,0.006,0.007,1480.0,860.0,1.0
"eps[2, 0]",0.152,0.198,-0.227,0.512,0.006,0.006,1210.0,804.0,1.0
"eps[3, 0]",0.412,0.156,0.11,0.692,0.005,0.004,1163.0,780.0,1.0
"eps[4, 0]",0.361,0.168,0.066,0.709,0.005,0.005,1339.0,913.0,1.0
"eps[5, 0]",0.288,0.521,-0.653,1.266,0.013,0.015,1574.0,837.0,1.01
"eps[6, 0]",0.324,0.409,-0.438,1.065,0.01,0.012,1718.0,875.0,1.0
"eps[7, 0]",0.211,0.144,-0.065,0.488,0.003,0.005,1744.0,784.0,1.0
"eps[8, 0]",0.218,0.207,-0.146,0.625,0.004,0.007,2159.0,932.0,1.01
"eps[9, 0]",-0.024,0.048,-0.113,0.062,0.002,0.001,763.0,754.0,1.0
"eps[10, 0]",0.069,0.043,-0.014,0.148,0.001,0.001,946.0,789.0,1.0
"eps[11, 0]",-0.007,0.032,-0.063,0.056,0.001,0.001,900.0,688.0,1.0
"eps[12, 0]",0.068,0.03,0.015,0.124,0.001,0.001,720.0,777.0,1.01
"eps[13, 0]",-0.054,0.034,-0.116,0.009,0.001,0.001,632.0,890.0,1.0
"eps[14, 0]",-0.061,0.101,-0.231,0.142,0.003,0.003,1062.0,764.0,1.0
"eps[15, 0]",-0.183,0.065,-0.308,-0.065,0.002,0.002,1547.0,872.0,1.0
"eps[16, 0]",-0.077,0.064,-0.185,0.052,0.002,0.002,1206.0,907.0,1.0
"eps[17, 0]",-0.019,0.067,-0.135,0.119,0.002,0.002,1150.0,832.0,1.0
"eps[18, 0]",-0.025,0.05,-0.121,0.067,0.002,0.001,819.0,732.0,1.0
"eps[19, 0]",0.108,0.055,0.008,0.216,0.001,0.001,1351.0,962.0,1.0
"eps[20, 0]",-0.105,0.039,-0.183,-0.034,0.001,0.001,1570.0,897.0,1.0
"eps[21, 0]",-0.017,0.032,-0.078,0.04,0.001,0.001,773.0,745.0,1.0
"eps[22, 0]",-0.15,0.036,-0.216,-0.082,0.001,0.001,1293.0,831.0,1.0
"eps[23, 0]",-0.083,0.141,-0.353,0.19,0.003,0.005,1654.0,878.0,1.0
"eps[24, 0]",-0.148,0.079,-0.295,-0.003,0.002,0.002,1385.0,960.0,1.0
"eps[25, 0]",-0.226,0.094,-0.424,-0.069,0.003,0.003,1014.0,708.0,1.01
"eps[26, 0]",0.13,0.096,-0.062,0.298,0.003,0.002,815.0,839.0,1.01
"eps[27, 0]",0.125,0.086,-0.03,0.287,0.003,0.002,1048.0,775.0,1.01
"eps[28, 0]",0.002,0.102,-0.181,0.18,0.002,0.003,1726.0,860.0,1.0
"eps[29, 0]",0.11,0.057,0.005,0.214,0.002,0.001,1356.0,961.0,1.0
"eps[30, 0]",-0.08,0.047,-0.162,0.015,0.001,0.001,1297.0,861.0,1.0
"eps[31, 0]",-0.065,0.068,-0.188,0.059,0.002,0.002,919.0,930.0,1.01
"eps[32, 0]",0.031,0.199,-0.334,0.395,0.005,0.005,1671.0,1031.0,1.0
"eps[33, 0]",-0.116,0.089,-0.287,0.042,0.003,0.002,1034.0,898.0,1.0
"eps[34, 0]",-0.011,0.118,-0.219,0.212,0.003,0.004,1599.0,663.0,1.0
"eps[35, 0]",0.121,0.083,-0.037,0.281,0.002,0.002,1593.0,967.0,1.0
"eps[36, 0]",-0.067,0.064,-0.179,0.065,0.002,0.002,1473.0,805.0,1.0
"eps[37, 0]",-0.135,0.13,-0.392,0.087,0.003,0.004,1538.0,835.0,1.0
"eps[38, 0]",0.029,0.049,-0.057,0.126,0.001,0.001,1423.0,763.0,1.0
"eps[39, 0]",0.037,0.072,-0.101,0.166,0.002,0.002,820.0,825.0,1.0
"eps[40, 0]",0.12,0.053,0.021,0.216,0.002,0.001,952.0,915.0,1.0
"eps[41, 0]",0.025,0.278,-0.459,0.546,0.007,0.009,1659.0,782.0,1.0
"eps[42, 0]",0.144,0.125,-0.097,0.35,0.003,0.004,1435.0,737.0,1.0
"eps[43, 0]",0.067,0.098,-0.118,0.245,0.003,0.003,1212.0,894.0,1.0
"eps[44, 0]",-0.008,0.1,-0.214,0.169,0.003,0.003,1339.0,861.0,1.0
"eps[45, 0]",-0.016,0.061,-0.119,0.104,0.001,0.002,2195.0,860.0,1.0
"eps[46, 0]",-0.576,0.159,-0.863,-0.27,0.004,0.004,1545.0,941.0,1.0
"eps[47, 0]",0.034,0.033,-0.021,0.1,0.001,0.001,1763.0,878.0,1.01
"eps[48, 0]",-0.047,0.062,-0.153,0.072,0.002,0.002,1280.0,720.0,1.0
"eps[49, 0]",0.063,0.053,-0.036,0.159,0.002,0.001,1010.0,950.0,1.0
"eps[50, 0]",-0.36,0.494,-1.367,0.485,0.013,0.015,1547.0,721.0,1.0
"eps[51, 0]",-0.628,0.192,-0.963,-0.266,0.007,0.005,813.0,777.0,1.0
"eps[52, 0]",-0.087,0.161,-0.375,0.238,0.004,0.005,1406.0,844.0,1.0
"eps[53, 0]",0.092,0.081,-0.062,0.246,0.002,0.002,1628.0,894.0,1.01
"eps_tform[0, 0]",0.977,0.763,-0.584,2.24,0.021,0.02,1293.0,757.0,1.0
"eps_tform[0, 1]",0.845,0.624,-0.394,1.952,0.017,0.018,1386.0,877.0,1.0
"eps_tform[0, 2]",0.88,0.66,-0.276,2.185,0.019,0.018,1197.0,783.0,1.0
"eps_tform[0, 3]",1.114,0.503,0.197,2.062,0.013,0.014,1541.0,788.0,1.0
"eps_tform[0, 4]",0.549,0.564,-0.635,1.482,0.015,0.016,1502.0,894.0,1.0
"eps_tform[0, 5]",0.217,0.858,-1.453,1.696,0.022,0.024,1592.0,828.0,1.01
"eps_tform[0, 6]",0.744,0.867,-1.024,2.231,0.021,0.025,1677.0,819.0,1.0
"eps_tform[0, 7]",0.897,0.879,-0.728,2.606,0.021,0.03,1657.0,708.0,1.0
"eps_tform[0, 8]",0.774,0.932,-0.816,2.633,0.02,0.033,2168.0,653.0,1.01
"eps_tform[0, 9]",-0.635,0.703,-1.831,0.786,0.025,0.021,750.0,804.0,1.0
"eps_tform[0, 10]",0.532,0.424,-0.31,1.288,0.014,0.011,968.0,771.0,1.0
"eps_tform[0, 11]",0.405,0.55,-0.603,1.453,0.021,0.016,679.0,727.0,1.0
"eps_tform[0, 12]",1.365,0.558,0.367,2.38,0.019,0.016,809.0,802.0,1.0
"eps_tform[0, 13]",-0.731,0.496,-1.6,0.197,0.018,0.013,730.0,815.0,1.0
"eps_tform[0, 14]",-0.535,0.813,-2.069,0.944,0.023,0.027,1221.0,860.0,1.01
"eps_tform[0, 15]",-1.542,0.71,-2.973,-0.332,0.018,0.021,1652.0,936.0,1.0
"eps_tform[0, 16]",-0.168,0.739,-1.519,1.186,0.021,0.02,1286.0,971.0,1.0
"eps_tform[0, 17]",0.464,0.741,-0.857,2.009,0.021,0.021,1268.0,934.0,1.0
"eps_tform[0, 18]",-0.73,0.743,-2.149,0.623,0.025,0.021,862.0,706.0,1.0
"eps_tform[0, 19]",0.86,0.505,-0.079,1.823,0.016,0.014,982.0,806.0,1.01
"eps_tform[0, 20]",-1.292,0.636,-2.622,-0.267,0.016,0.019,1519.0,841.0,1.0
"eps_tform[0, 21]",-0.564,0.556,-1.677,0.378,0.019,0.015,858.0,668.0,1.0
"eps_tform[0, 22]",-1.03,0.461,-1.881,-0.165,0.014,0.013,1089.0,881.0,1.0
"eps_tform[0, 23]",-0.934,0.827,-2.592,0.619,0.02,0.03,1792.0,664.0,1.0
"eps_tform[0, 24]",-0.542,0.453,-1.412,0.314,0.013,0.013,1155.0,890.0,1.0
"eps_tform[0, 25]",-0.903,0.611,-1.985,0.336,0.018,0.018,1216.0,779.0,1.0
"eps_tform[0, 26]",1.072,0.638,-0.11,2.266,0.019,0.015,1157.0,950.0,1.0
"eps_tform[0, 27]",1.409,0.873,-0.059,3.012,0.021,0.028,1757.0,708.0,1.0
"eps_tform[0, 28]",0.413,0.722,-0.87,1.796,0.018,0.023,1606.0,876.0,1.0
"eps_tform[0, 29]",1.028,0.816,-0.557,2.446,0.02,0.028,1674.0,725.0,1.0
"eps_tform[0, 30]",-0.727,0.74,-2.083,0.69,0.019,0.023,1603.0,831.0,1.0
"eps_tform[0, 31]",-0.504,0.726,-1.873,0.894,0.018,0.022,1575.0,792.0,1.0
"eps_tform[0, 32]",0.329,0.949,-1.573,1.93,0.019,0.03,2504.0,898.0,1.0
"eps_tform[0, 33]",0.409,0.447,-0.46,1.245,0.013,0.013,1130.0,762.0,1.01
"eps_tform[0, 34]",0.298,0.758,-1.12,1.701,0.017,0.026,2019.0,841.0,1.0
"eps_tform[0, 35]",0.295,0.914,-1.47,2.036,0.019,0.031,2288.0,796.0,1.0
