,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.343,0.108,0.158,0.54,0.004,0.003,599.0,775.0,1.0
Ds[0],36.17,0.098,35.993,36.34,0.004,0.002,620.0,743.0,1.0
RV[0],2.476,1.151,1.003,4.774,0.047,0.033,642.0,873.0,1.0
delM[0],-0.005,0.099,-0.179,0.179,0.003,0.002,1024.0,859.0,1.0
"eps[0, 0]",-0.034,0.09,-0.206,0.131,0.004,0.002,561.0,820.0,1.01
"eps[1, 0]",0.002,0.126,-0.222,0.245,0.005,0.003,593.0,837.0,1.0
"eps[2, 0]",-0.388,0.108,-0.572,-0.164,0.004,0.003,948.0,913.0,1.0
"eps[3, 0]",0.644,0.145,0.365,0.902,0.005,0.004,790.0,745.0,1.0
"eps[4, 0]",-0.721,0.099,-0.905,-0.526,0.003,0.003,979.0,737.0,1.01
"eps[5, 0]",0.059,0.295,-0.526,0.551,0.01,0.008,811.0,789.0,1.0
"eps[6, 0]",0.047,0.144,-0.23,0.293,0.005,0.005,737.0,603.0,1.0
"eps[7, 0]",0.187,0.115,-0.029,0.402,0.004,0.003,945.0,912.0,1.0
"eps[8, 0]",-0.011,0.134,-0.259,0.228,0.005,0.003,729.0,634.0,1.0
"eps[9, 0]",0.111,0.05,0.014,0.198,0.002,0.001,1003.0,771.0,1.0
"eps[10, 0]",0.085,0.049,-0.004,0.176,0.002,0.001,976.0,748.0,1.01
"eps[11, 0]",0.116,0.041,0.037,0.187,0.001,0.001,1546.0,808.0,1.0
"eps[12, 0]",0.066,0.04,-0.002,0.145,0.001,0.001,1288.0,815.0,1.0
"eps[13, 0]",-0.037,0.05,-0.134,0.054,0.001,0.002,1741.0,689.0,1.0
"eps[14, 0]",-0.068,0.097,-0.255,0.103,0.002,0.004,1776.0,674.0,1.0
"eps[15, 0]",0.086,0.087,-0.066,0.257,0.002,0.003,3000.0,858.0,1.0
"eps[16, 0]",-0.099,0.082,-0.244,0.065,0.002,0.003,1817.0,820.0,1.0
"eps[17, 0]",0.124,0.08,-0.02,0.274,0.002,0.003,2663.0,689.0,1.0
"eps[18, 0]",-0.076,0.044,-0.155,0.014,0.001,0.001,1053.0,699.0,1.0
"eps[19, 0]",0.161,0.05,0.061,0.247,0.001,0.001,1445.0,893.0,1.01
"eps[20, 0]",-0.125,0.042,-0.203,-0.046,0.001,0.002,2006.0,747.0,1.0
"eps[21, 0]",0.134,0.046,0.052,0.217,0.001,0.001,1269.0,909.0,1.0
"eps[22, 0]",-0.256,0.058,-0.369,-0.152,0.002,0.002,1428.0,940.0,1.0
"eps[23, 0]",-0.029,0.131,-0.281,0.219,0.003,0.005,1573.0,746.0,1.0
"eps[24, 0]",0.104,0.106,-0.083,0.303,0.003,0.003,1462.0,987.0,1.0
"eps[25, 0]",-0.138,0.105,-0.339,0.048,0.003,0.003,1306.0,621.0,1.0
"eps[26, 0]",0.149,0.078,0.0,0.292,0.002,0.002,1032.0,669.0,1.0
"eps[27, 0]",-0.121,0.062,-0.239,-0.01,0.002,0.002,966.0,851.0,1.0
"eps[28, 0]",0.087,0.069,-0.04,0.212,0.002,0.002,1025.0,842.0,1.0
"eps[29, 0]",-0.066,0.05,-0.159,0.031,0.001,0.001,1366.0,880.0,1.0
"eps[30, 0]",0.055,0.043,-0.03,0.134,0.001,0.001,2066.0,775.0,1.0
"eps[31, 0]",-0.025,0.072,-0.152,0.109,0.002,0.002,1203.0,859.0,1.0
"eps[32, 0]",0.13,0.186,-0.235,0.447,0.004,0.005,2117.0,965.0,1.0
"eps[33, 0]",0.088,0.112,-0.111,0.311,0.003,0.003,1183.0,850.0,1.01
"eps[34, 0]",0.136,0.114,-0.082,0.344,0.003,0.003,1459.0,884.0,1.0
"eps[35, 0]",0.007,0.069,-0.131,0.128,0.002,0.002,944.0,883.0,1.0
"eps[36, 0]",0.036,0.059,-0.067,0.152,0.001,0.002,2130.0,931.0,1.0
"eps[37, 0]",-0.123,0.118,-0.376,0.072,0.004,0.003,873.0,665.0,1.01
"eps[38, 0]",-0.038,0.05,-0.131,0.058,0.001,0.001,1361.0,960.0,1.0
"eps[39, 0]",-0.032,0.078,-0.177,0.117,0.003,0.002,915.0,708.0,1.0
"eps[40, 0]",-0.251,0.062,-0.363,-0.14,0.002,0.001,1142.0,1037.0,1.0
"eps[41, 0]",-0.323,0.243,-0.766,0.126,0.006,0.006,1782.0,918.0,1.0
"eps[42, 0]",-0.116,0.13,-0.367,0.128,0.003,0.004,1725.0,834.0,1.0
"eps[43, 0]",-0.345,0.116,-0.559,-0.126,0.003,0.003,1485.0,892.0,1.0
"eps[44, 0]",-0.288,0.085,-0.431,-0.114,0.002,0.002,1590.0,784.0,1.0
"eps[45, 0]",-0.024,0.06,-0.128,0.095,0.002,0.002,1508.0,623.0,1.0
"eps[46, 0]",-0.334,0.142,-0.606,-0.073,0.004,0.004,1322.0,868.0,1.0
"eps[47, 0]",-0.05,0.035,-0.116,0.017,0.001,0.001,1573.0,808.0,1.01
"eps[48, 0]",-0.138,0.08,-0.284,0.01,0.002,0.002,1751.0,1007.0,1.0
"eps[49, 0]",-0.014,0.071,-0.149,0.119,0.002,0.002,1544.0,921.0,1.0
"eps[50, 0]",-0.01,0.463,-0.964,0.776,0.011,0.014,1638.0,974.0,1.0
"eps[51, 0]",-0.343,0.31,-0.909,0.236,0.007,0.009,2087.0,895.0,1.0
"eps[52, 0]",-0.268,0.153,-0.546,0.024,0.003,0.005,2160.0,858.0,1.01
"eps[53, 0]",0.037,0.083,-0.098,0.214,0.002,0.002,1995.0,916.0,1.0
"eps_tform[0, 0]",-0.212,0.566,-1.29,0.821,0.024,0.014,561.0,820.0,1.01
"eps_tform[0, 1]",-0.038,0.418,-0.836,0.699,0.019,0.011,489.0,792.0,1.0
"eps_tform[0, 2]",-1.639,0.396,-2.347,-0.876,0.014,0.01,759.0,805.0,1.0
"eps_tform[0, 3]",2.567,0.411,1.82,3.332,0.011,0.011,1282.0,866.0,1.0
"eps_tform[0, 4]",-2.453,0.31,-2.998,-1.841,0.009,0.008,1071.0,842.0,1.0
"eps_tform[0, 5]",-0.707,0.505,-1.699,0.166,0.018,0.014,804.0,851.0,1.0
"eps_tform[0, 6]",-0.1,0.256,-0.567,0.363,0.009,0.008,814.0,652.0,1.0
"eps_tform[0, 7]",1.404,0.683,0.142,2.636,0.022,0.02,958.0,861.0,1.0
"eps_tform[0, 8]",0.129,0.52,-0.881,1.014,0.019,0.012,769.0,732.0,1.0
"eps_tform[0, 9]",1.714,0.731,0.171,2.887,0.023,0.018,968.0,841.0,1.0
"eps_tform[0, 10]",0.91,0.463,0.075,1.777,0.015,0.014,1017.0,784.0,1.01
"eps_tform[0, 11]",1.503,0.692,0.268,2.813,0.018,0.021,1519.0,822.0,1.0
"eps_tform[0, 12]",0.901,0.809,-0.529,2.449,0.021,0.028,1425.0,663.0,1.01
"eps_tform[0, 13]",-1.6,0.79,-3.053,-0.131,0.02,0.023,1643.0,853.0,1.0
"eps_tform[0, 14]",-0.304,0.782,-1.877,1.048,0.018,0.027,1922.0,715.0,1.0
"eps_tform[0, 15]",0.979,0.978,-0.942,2.72,0.018,0.031,3000.0,791.0,1.0
"eps_tform[0, 16]",-0.419,0.923,-2.191,1.234,0.02,0.033,2138.0,933.0,1.0
"eps_tform[0, 17]",1.047,0.92,-0.64,2.797,0.018,0.036,2633.0,729.0,1.0
"eps_tform[0, 18]",-0.45,0.687,-1.629,0.974,0.024,0.019,800.0,752.0,1.0
"eps_tform[0, 19]",1.268,0.488,0.33,2.14,0.016,0.014,949.0,804.0,1.01
"eps_tform[0, 20]",-2.023,0.66,-3.292,-0.801,0.016,0.026,1601.0,696.0,1.01
"eps_tform[0, 21]",2.277,0.724,1.012,3.685,0.019,0.024,1406.0,773.0,1.0
"eps_tform[0, 22]",-2.136,0.703,-3.627,-0.897,0.019,0.023,1373.0,991.0,1.0
"eps_tform[0, 23]",-0.037,0.795,-1.575,1.412,0.018,0.026,1958.0,806.0,1.0
"eps_tform[0, 24]",0.917,0.649,-0.273,2.085,0.016,0.018,1626.0,805.0,1.0
"eps_tform[0, 25]",-0.399,0.71,-1.589,0.977,0.019,0.021,1519.0,828.0,1.0
"eps_tform[0, 26]",0.604,0.558,-0.35,1.707,0.017,0.017,1121.0,615.0,1.0
"eps_tform[0, 27]",-0.523,0.641,-1.744,0.617,0.017,0.016,1424.0,979.0,1.0
"eps_tform[0, 28]",-0.464,0.593,-1.474,0.689,0.02,0.016,918.0,694.0,1.0
"eps_tform[0, 29]",0.039,0.717,-1.352,1.395,0.019,0.024,1482.0,643.0,1.0
"eps_tform[0, 30]",1.436,0.71,0.165,2.697,0.016,0.021,1869.0,778.0,1.0
"eps_tform[0, 31]",0.638,0.674,-0.633,1.859,0.017,0.021,1579.0,773.0,1.0
"eps_tform[0, 32]",-0.124,0.926,-1.894,1.538,0.021,0.031,1838.0,608.0,1.0
"eps_tform[0, 33]",-0.833,0.463,-1.71,0.068,0.014,0.013,1137.0,851.0,1.01
"eps_tform[0, 34]",-0.512,0.74,-1.749,0.947,0.019,0.018,1451.0,864.0,1.0
"eps_tform[0, 35]",0.252,0.831,-1.353,1.764,0.022,0.024,1456.0,787.0,1.0
"eps_tform[0, 36]",0.772,0.754,-0.666,2.099,0.016,0.022,2122.0,876.0,1.0
"eps_tform[0, 37]",0.705,0.72,-0.716,2.041,0.025,0.021,864.0,726.0,1.0
"eps_tform[0, 38]",-1.439,0.779,-2.859,0.02,0.017,0.028,2138.0,827.0,1.01
"eps_tform[0, 39]",1.701,0.746,0.266,3.039,0.02,0.024,1382.0,735.0,1.0
"eps_tform[0, 40]",-1.541,0.714,-2.9,-0.195,0.018,0.023,1581.0,791.0,1.01
"eps_tform[0, 41]",-0.206,0.816,-1.711,1.317,0.018,0.025,2011.0,900.0,1.01
