,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.018,0.016,0.0,0.049,0.001,0.001,1176.0,708.0,1.01
Ds[0],35.707,0.039,35.638,35.778,0.002,0.001,588.0,849.0,1.01
RV[0],3.901,1.376,1.579,6.0,0.034,0.037,1491.0,595.0,1.0
delM[0],0.0,0.095,-0.172,0.177,0.003,0.002,1015.0,989.0,1.0
"eps[0, 0]",0.089,0.085,-0.067,0.248,0.002,0.003,1144.0,657.0,1.0
"eps[1, 0]",0.117,0.256,-0.387,0.567,0.008,0.007,1052.0,715.0,1.0
"eps[2, 0]",0.244,0.193,-0.124,0.583,0.006,0.006,899.0,592.0,1.0
"eps[3, 0]",0.202,0.187,-0.175,0.519,0.006,0.005,918.0,831.0,1.0
"eps[4, 0]",-0.029,0.197,-0.381,0.348,0.007,0.006,715.0,657.0,1.0
"eps[5, 0]",-0.38,0.532,-1.341,0.647,0.013,0.016,1680.0,816.0,1.01
"eps[6, 0]",0.753,0.361,0.097,1.449,0.009,0.012,1617.0,756.0,1.0
"eps[7, 0]",0.172,0.143,-0.064,0.468,0.004,0.004,1481.0,780.0,1.01
"eps[8, 0]",0.06,0.202,-0.316,0.424,0.005,0.005,1607.0,717.0,1.0
"eps[9, 0]",-0.042,0.021,-0.079,-0.004,0.001,0.001,826.0,758.0,1.0
"eps[10, 0]",-0.145,0.041,-0.222,-0.072,0.001,0.001,974.0,672.0,1.0
"eps[11, 0]",-0.133,0.029,-0.183,-0.073,0.001,0.001,945.0,770.0,1.0
"eps[12, 0]",-0.057,0.031,-0.109,0.006,0.001,0.001,895.0,852.0,1.0
"eps[13, 0]",-0.004,0.035,-0.066,0.065,0.001,0.001,797.0,820.0,1.0
"eps[14, 0]",0.08,0.082,-0.076,0.234,0.003,0.002,909.0,715.0,1.01
"eps[15, 0]",0.113,0.054,0.003,0.209,0.002,0.001,652.0,513.0,1.0
"eps[16, 0]",0.039,0.046,-0.045,0.125,0.001,0.001,1303.0,891.0,1.01
"eps[17, 0]",-0.18,0.054,-0.279,-0.072,0.001,0.002,1306.0,670.0,1.0
"eps[18, 0]",0.17,0.033,0.107,0.231,0.001,0.001,636.0,607.0,1.01
"eps[19, 0]",0.012,0.029,-0.039,0.069,0.001,0.001,1189.0,963.0,1.0
"eps[20, 0]",0.058,0.026,0.014,0.108,0.001,0.001,944.0,842.0,1.01
"eps[21, 0]",0.005,0.023,-0.04,0.044,0.001,0.001,1166.0,993.0,1.0
"eps[22, 0]",0.1,0.035,0.03,0.167,0.001,0.001,1100.0,838.0,1.0
"eps[23, 0]",0.231,0.134,-0.019,0.475,0.004,0.003,998.0,840.0,1.0
"eps[24, 0]",-0.014,0.088,-0.167,0.155,0.003,0.002,870.0,738.0,1.0
"eps[25, 0]",0.07,0.067,-0.063,0.191,0.002,0.002,952.0,783.0,1.0
"eps[26, 0]",-0.012,0.081,-0.146,0.152,0.002,0.002,1155.0,803.0,1.0
"eps[27, 0]",0.035,0.048,-0.054,0.126,0.002,0.001,612.0,650.0,1.0
"eps[28, 0]",0.148,0.038,0.076,0.215,0.001,0.001,768.0,820.0,1.0
"eps[29, 0]",0.021,0.027,-0.025,0.075,0.001,0.001,1065.0,845.0,1.01
"eps[30, 0]",-0.054,0.025,-0.099,-0.005,0.001,0.001,967.0,839.0,1.0
"eps[31, 0]",-0.03,0.053,-0.116,0.073,0.002,0.001,562.0,717.0,1.01
"eps[32, 0]",-0.231,0.215,-0.623,0.164,0.008,0.005,709.0,716.0,1.0
"eps[33, 0]",-0.098,0.105,-0.278,0.105,0.003,0.003,1006.0,697.0,1.01
"eps[34, 0]",0.076,0.121,-0.147,0.295,0.003,0.003,1314.0,840.0,1.0
"eps[35, 0]",0.043,0.073,-0.082,0.187,0.002,0.002,1560.0,813.0,1.0
"eps[36, 0]",-0.273,0.033,-0.332,-0.213,0.001,0.001,706.0,715.0,1.0
"eps[37, 0]",0.209,0.063,0.091,0.322,0.003,0.002,603.0,727.0,1.0
"eps[38, 0]",-0.001,0.035,-0.067,0.06,0.001,0.001,712.0,617.0,1.0
"eps[39, 0]",0.063,0.042,-0.02,0.135,0.002,0.001,602.0,633.0,1.0
"eps[40, 0]",0.279,0.04,0.205,0.353,0.002,0.001,668.0,680.0,1.0
"eps[41, 0]",0.353,0.274,-0.169,0.844,0.01,0.007,728.0,670.0,1.01
"eps[42, 0]",0.201,0.094,0.001,0.35,0.004,0.002,653.0,780.0,1.01
"eps[43, 0]",0.439,0.093,0.253,0.597,0.004,0.002,662.0,894.0,1.0
"eps[44, 0]",0.15,0.054,0.055,0.259,0.002,0.001,1018.0,929.0,1.0
"eps[45, 0]",-0.186,0.037,-0.249,-0.112,0.001,0.001,1547.0,872.0,1.0
"eps[46, 0]",-0.109,0.074,-0.259,0.021,0.003,0.002,827.0,710.0,1.0
"eps[47, 0]",0.019,0.027,-0.032,0.07,0.001,0.001,1408.0,827.0,1.0
"eps[48, 0]",-0.072,0.037,-0.138,0.001,0.001,0.001,731.0,661.0,1.0
"eps[49, 0]",-0.098,0.034,-0.16,-0.039,0.001,0.001,1324.0,898.0,1.0
"eps[50, 0]",0.304,0.29,-0.196,0.844,0.009,0.007,1071.0,993.0,1.0
"eps[51, 0]",0.407,0.103,0.211,0.591,0.003,0.003,979.0,791.0,1.01
"eps[52, 0]",0.16,0.099,-0.02,0.345,0.004,0.003,748.0,721.0,1.0
"eps[53, 0]",0.067,0.055,-0.033,0.175,0.001,0.002,1411.0,713.0,1.0
"eps_tform[0, 0]",0.558,0.529,-0.418,1.551,0.016,0.016,1144.0,657.0,1.0
"eps_tform[0, 1]",0.441,0.688,-0.816,1.774,0.022,0.021,995.0,759.0,1.0
"eps_tform[0, 2]",1.153,0.564,0.076,2.185,0.019,0.016,918.0,749.0,1.01
"eps_tform[0, 3]",0.565,0.664,-0.594,1.821,0.02,0.017,1065.0,806.0,1.01
"eps_tform[0, 4]",-0.955,0.675,-2.095,0.506,0.024,0.021,794.0,750.0,1.0
"eps_tform[0, 5]",-0.879,0.863,-2.451,0.758,0.02,0.024,1814.0,869.0,1.0
"eps_tform[0, 6]",1.59,0.764,0.079,2.962,0.019,0.024,1607.0,835.0,1.0
"eps_tform[0, 7]",0.842,0.87,-0.777,2.399,0.023,0.026,1425.0,835.0,1.01
"eps_tform[0, 8]",-0.12,0.909,-1.951,1.508,0.022,0.026,1792.0,708.0,1.0
"eps_tform[0, 9]",-0.571,0.345,-1.195,0.102,0.012,0.009,802.0,737.0,1.0
"eps_tform[0, 10]",-1.508,0.423,-2.222,-0.644,0.015,0.011,850.0,766.0,1.0
"eps_tform[0, 11]",-2.299,0.538,-3.335,-1.343,0.018,0.015,916.0,648.0,1.0
"eps_tform[0, 12]",-0.228,0.64,-1.387,0.967,0.02,0.019,1046.0,861.0,1.01
"eps_tform[0, 13]",0.522,0.598,-0.514,1.697,0.021,0.018,798.0,849.0,1.0
"eps_tform[0, 14]",0.69,0.679,-0.53,2.057,0.022,0.021,939.0,640.0,1.0
"eps_tform[0, 15]",1.587,0.586,0.471,2.627,0.022,0.014,756.0,901.0,1.0
"eps_tform[0, 16]",0.563,0.547,-0.579,1.503,0.015,0.018,1363.0,679.0,1.01
"eps_tform[0, 17]",-2.075,0.666,-3.353,-0.892,0.017,0.021,1446.0,771.0,1.01
"eps_tform[0, 18]",2.008,0.524,0.967,2.928,0.021,0.015,613.0,670.0,1.0
"eps_tform[0, 19]",0.971,0.382,0.311,1.736,0.012,0.012,1102.0,683.0,1.01
"eps_tform[0, 20]",1.223,0.458,0.419,2.134,0.015,0.015,936.0,721.0,1.0
"eps_tform[0, 21]",-0.227,0.479,-1.163,0.579,0.015,0.013,982.0,980.0,1.0
"eps_tform[0, 22]",0.479,0.505,-0.436,1.408,0.016,0.014,996.0,775.0,1.0
"eps_tform[0, 23]",0.91,0.756,-0.553,2.236,0.022,0.02,1176.0,955.0,1.0
"eps_tform[0, 24]",-0.135,0.507,-1.018,0.865,0.015,0.014,1139.0,942.0,1.0
