,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.23,0.074,0.086,0.365,0.004,0.002,405.0,600.0,1.01
Ds[0],34.622,0.057,34.521,34.735,0.003,0.002,431.0,689.0,1.01
RV[0],3.934,1.291,1.68,5.995,0.05,0.03,717.0,709.0,1.0
delM[0],-0.001,0.099,-0.188,0.184,0.003,0.002,902.0,1033.0,1.0
"eps[0, 0]",0.428,0.064,0.316,0.551,0.003,0.002,631.0,734.0,1.0
"eps[1, 0]",-0.142,0.127,-0.363,0.102,0.004,0.003,877.0,948.0,1.0
"eps[2, 0]",0.55,0.097,0.377,0.74,0.003,0.003,1028.0,658.0,1.0
"eps[3, 0]",-0.01,0.072,-0.129,0.131,0.003,0.002,660.0,655.0,1.01
"eps[4, 0]",0.239,0.064,0.12,0.354,0.002,0.001,781.0,795.0,1.0
"eps[5, 0]",-0.08,0.397,-0.763,0.779,0.012,0.011,1018.0,824.0,1.0
"eps[6, 0]",0.192,0.155,-0.085,0.479,0.005,0.004,1004.0,844.0,1.0
"eps[7, 0]",0.24,0.087,0.084,0.412,0.003,0.002,822.0,892.0,1.0
"eps[8, 0]",0.158,0.15,-0.109,0.45,0.004,0.004,1388.0,812.0,1.01
"eps[9, 0]",-0.006,0.034,-0.068,0.06,0.002,0.001,488.0,544.0,1.0
"eps[10, 0]",0.094,0.036,0.031,0.163,0.002,0.001,527.0,817.0,1.0
"eps[11, 0]",0.012,0.025,-0.037,0.052,0.001,0.001,699.0,760.0,1.0
"eps[12, 0]",0.06,0.022,0.019,0.103,0.001,0.001,464.0,576.0,1.01
"eps[13, 0]",-0.068,0.024,-0.112,-0.028,0.001,0.001,595.0,737.0,1.01
"eps[14, 0]",-0.159,0.085,-0.325,-0.006,0.002,0.003,1174.0,706.0,1.01
"eps[15, 0]",-0.154,0.042,-0.229,-0.073,0.002,0.001,571.0,718.0,1.01
"eps[16, 0]",-0.054,0.032,-0.114,0.005,0.001,0.001,479.0,689.0,1.01
"eps[17, 0]",-0.019,0.043,-0.102,0.059,0.002,0.001,661.0,760.0,1.01
"eps[18, 0]",-0.157,0.035,-0.223,-0.095,0.001,0.001,601.0,658.0,1.0
"eps[19, 0]",-0.001,0.037,-0.067,0.07,0.001,0.001,771.0,776.0,1.0
"eps[20, 0]",-0.101,0.025,-0.146,-0.052,0.001,0.001,818.0,792.0,1.0
"eps[21, 0]",-0.017,0.02,-0.049,0.026,0.001,0.0,570.0,587.0,1.01
"eps[22, 0]",-0.061,0.022,-0.102,-0.019,0.001,0.001,665.0,772.0,1.0
"eps[23, 0]",-0.207,0.105,-0.397,-0.009,0.003,0.003,1398.0,771.0,1.0
"eps[24, 0]",-0.028,0.051,-0.121,0.069,0.002,0.001,743.0,786.0,1.01
"eps[25, 0]",-0.103,0.048,-0.184,-0.012,0.002,0.001,503.0,729.0,1.0
"eps[26, 0]",-0.022,0.062,-0.131,0.105,0.002,0.002,677.0,606.0,1.0
"eps[27, 0]",-0.09,0.05,-0.189,0.002,0.002,0.001,573.0,685.0,1.0
"eps[28, 0]",0.237,0.051,0.139,0.325,0.002,0.001,775.0,921.0,1.0
"eps[29, 0]",-0.068,0.027,-0.119,-0.018,0.001,0.001,680.0,713.0,1.0
"eps[30, 0]",0.061,0.02,0.026,0.1,0.001,0.0,617.0,812.0,1.0
"eps[31, 0]",-0.011,0.041,-0.087,0.07,0.002,0.001,487.0,550.0,1.01
"eps[32, 0]",0.074,0.154,-0.21,0.353,0.005,0.004,1165.0,838.0,1.0
"eps[33, 0]",-0.134,0.07,-0.256,0.008,0.003,0.002,641.0,768.0,1.0
"eps[34, 0]",0.107,0.081,-0.049,0.243,0.003,0.002,826.0,761.0,1.0
"eps[35, 0]",-0.007,0.057,-0.12,0.09,0.002,0.001,1025.0,766.0,1.0
"eps[36, 0]",0.007,0.04,-0.069,0.075,0.001,0.001,1173.0,898.0,1.0
"eps[37, 0]",-0.177,0.1,-0.351,0.024,0.004,0.003,631.0,783.0,1.0
"eps[38, 0]",0.101,0.033,0.037,0.162,0.001,0.001,894.0,702.0,1.0
"eps[39, 0]",0.056,0.059,-0.063,0.16,0.003,0.002,508.0,619.0,1.0
"eps[40, 0]",0.128,0.036,0.057,0.19,0.001,0.001,595.0,644.0,1.0
"eps[41, 0]",0.023,0.232,-0.385,0.467,0.007,0.008,1210.0,796.0,1.0
"eps[42, 0]",-0.058,0.076,-0.204,0.08,0.003,0.002,841.0,831.0,1.0
"eps[43, 0]",0.024,0.076,-0.11,0.171,0.003,0.002,708.0,809.0,1.0
"eps[44, 0]",0.004,0.071,-0.122,0.14,0.003,0.002,668.0,698.0,1.0
"eps[45, 0]",0.023,0.048,-0.06,0.113,0.001,0.001,1575.0,655.0,1.0
"eps[46, 0]",-0.528,0.101,-0.735,-0.355,0.003,0.002,901.0,673.0,1.0
"eps[47, 0]",0.046,0.027,-0.0,0.097,0.001,0.001,1217.0,680.0,1.0
"eps[48, 0]",0.084,0.045,-0.003,0.163,0.002,0.001,736.0,875.0,1.0
"eps[49, 0]",0.113,0.039,0.04,0.183,0.001,0.001,695.0,732.0,1.0
"eps[50, 0]",0.186,0.399,-0.503,0.941,0.011,0.009,1426.0,1083.0,1.0
"eps[51, 0]",-0.356,0.136,-0.6,-0.105,0.005,0.003,691.0,808.0,1.0
"eps[52, 0]",0.14,0.122,-0.073,0.374,0.004,0.003,903.0,815.0,1.0
"eps[53, 0]",0.086,0.067,-0.037,0.205,0.002,0.002,1300.0,745.0,1.0
"eps_tform[0, 0]",2.68,0.399,1.976,3.445,0.016,0.01,631.0,734.0,1.0
"eps_tform[0, 1]",0.159,0.344,-0.476,0.8,0.013,0.008,742.0,881.0,1.0
"eps_tform[0, 2]",1.795,0.3,1.243,2.389,0.01,0.008,897.0,707.0,1.01
"eps_tform[0, 3]",-0.201,0.197,-0.565,0.182,0.006,0.006,1049.0,836.0,1.0
"eps_tform[0, 4]",-0.396,0.182,-0.728,-0.067,0.005,0.005,1375.0,879.0,1.0
"eps_tform[0, 5]",-0.4,0.649,-1.571,0.927,0.02,0.018,1045.0,702.0,1.0
"eps_tform[0, 6]",0.315,0.256,-0.156,0.789,0.009,0.006,870.0,801.0,1.0
"eps_tform[0, 7]",1.16,0.517,0.267,2.204,0.017,0.014,908.0,930.0,1.0
"eps_tform[0, 8]",0.436,0.667,-0.82,1.691,0.016,0.02,1654.0,781.0,1.01
"eps_tform[0, 9]",-0.181,0.49,-1.045,0.833,0.022,0.015,488.0,587.0,1.01
"eps_tform[0, 10]",0.699,0.333,0.102,1.356,0.014,0.01,581.0,799.0,1.01
"eps_tform[0, 11]",0.958,0.383,0.238,1.656,0.015,0.011,634.0,703.0,1.0
"eps_tform[0, 12]",0.718,0.336,0.083,1.336,0.014,0.009,554.0,605.0,1.0
"eps_tform[0, 13]",-1.145,0.356,-1.803,-0.496,0.015,0.011,529.0,675.0,1.01
"eps_tform[0, 14]",-1.191,0.704,-2.518,0.069,0.021,0.021,1151.0,707.0,1.01
"eps_tform[0, 15]",-1.215,0.439,-2.059,-0.436,0.019,0.014,546.0,616.0,1.01
"eps_tform[0, 16]",0.232,0.39,-0.482,0.983,0.018,0.01,456.0,713.0,1.01
"eps_tform[0, 17]",-0.005,0.498,-0.989,0.859,0.019,0.012,712.0,781.0,1.0
"eps_tform[0, 18]",-3.413,0.549,-4.31,-2.288,0.024,0.015,538.0,490.0,1.0
"eps_tform[0, 19]",-0.864,0.37,-1.547,-0.204,0.015,0.009,623.0,869.0,1.0
"eps_tform[0, 20]",-1.325,0.426,-2.172,-0.551,0.017,0.013,604.0,764.0,1.0
"eps_tform[0, 21]",-0.636,0.389,-1.343,0.095,0.016,0.011,563.0,559.0,1.01
"eps_tform[0, 22]",0.148,0.287,-0.407,0.679,0.012,0.007,570.0,815.0,1.01
"eps_tform[0, 23]",-1.641,0.655,-2.879,-0.465,0.019,0.019,1237.0,794.0,1.0
"eps_tform[0, 24]",-0.211,0.237,-0.641,0.237,0.009,0.006,672.0,791.0,1.01
"eps_tform[0, 25]",-0.612,0.318,-1.16,-0.01,0.014,0.008,496.0,801.0,1.0
"eps_tform[0, 26]",-0.662,0.416,-1.402,0.164,0.013,0.013,1014.0,883.0,1.0
"eps_tform[0, 27]",-0.443,0.502,-1.431,0.388,0.02,0.013,644.0,874.0,1.0
"eps_tform[0, 28]",1.59,0.4,0.779,2.266,0.015,0.009,678.0,822.0,1.0
"eps_tform[0, 29]",-0.532,0.329,-1.129,0.088,0.012,0.009,787.0,789.0,1.01
"eps_tform[0, 30]",0.602,0.342,-0.047,1.22,0.013,0.009,711.0,806.0,1.0
"eps_tform[0, 31]",-0.939,0.358,-1.598,-0.297,0.013,0.009,769.0,859.0,1.0
"eps_tform[0, 32]",-0.086,0.849,-1.615,1.589,0.025,0.023,1095.0,749.0,1.0
"eps_tform[0, 33]",0.508,0.257,-0.002,0.974,0.009,0.006,746.0,883.0,1.0
"eps_tform[0, 34]",0.287,0.46,-0.518,1.203,0.012,0.011,1362.0,989.0,1.0
"eps_tform[0, 35]",-0.2,0.717,-1.522,1.093,0.019,0.019,1446.0,735.0,1.0
"eps_tform[0, 36]",-0.064,0.57,-1.003,1.071,0.017,0.016,1118.0,953.0,1.0
"eps_tform[0, 37]",-0.916,0.589,-2.012,0.148,0.023,0.017,636.0,677.0,1.0
"eps_tform[0, 38]",-0.157,0.508,-1.135,0.73,0.015,0.014,1104.0,762.0,1.0
"eps_tform[0, 39]",2.143,0.431,1.364,2.958,0.016,0.012,697.0,711.0,1.01
"eps_tform[0, 40]",2.115,0.344,1.503,2.781,0.011,0.009,1032.0,763.0,1.0
"eps_tform[0, 41]",0.59,0.762,-0.691,2.155,0.02,0.021,1480.0,733.0,1.0
"eps_tform[0, 42]",-1.375,0.294,-2.013,-0.889,0.01,0.01,918.0,650.0,1.01
"eps_tform[0, 43]",0.333,0.562,-0.717,1.349,0.019,0.017,894.0,595.0,1.0
"eps_tform[0, 44]",0.316,0.725,-1.001,1.689,0.021,0.02,1204.0,911.0,1.0
"eps_tform[0, 45]",0.689,0.797,-0.899,2.011,0.018,0.025,1918.0,837.0,1.0
"eps_tform[0, 46]",0.335,0.515,-0.595,1.331,0.017,0.012,942.0,906.0,1.0
"eps_tform[0, 47]",0.939,0.786,-0.565,2.35,0.019,0.029,1742.0,535.0,1.0
"eps_tform[0, 48]",0.25,0.547,-0.755,1.306,0.017,0.016,1073.0,813.0,1.0
"eps_tform[0, 49]",1.327,0.634,0.186,2.608,0.018,0.019,1170.0,683.0,1.0
"eps_tform[0, 50]",-0.731,0.906,-2.371,0.993,0.024,0.028,1414.0,772.0,1.0
"eps_tform[0, 51]",-1.385,0.447,-2.223,-0.565,0.014,0.012,959.0,735.0,1.01
"eps_tform[0, 52]",0.252,0.828,-1.449,1.646,0.023,0.025,1340.0,838.0,1.0
"eps_tform[0, 53]",-0.309,0.954,-1.908,1.507,0.017,0.036,3000.0,837.0,1.0
mu[0],34.622,0.116,34.401,34.84,0.004,0.003,690.0,935.0,1.01
peak_MJD[0],54040.392,0.122,54040.161,54040.611,0.006,0.004,409.0,484.0,1.01
theta[0],1.94,0.224,1.548,2.401,0.01,0.007,467.0,597.0,1.0
tmax[0],-1.439,0.119,-1.665,-1.224,0.006,0.004,409.0,484.0,1.01
