,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.039,0.032,0.0,0.1,0.001,0.001,787.0,542.0,1.0
Ds[0],36.809,0.056,36.705,36.922,0.002,0.002,530.0,503.0,1.0
RV[0],3.823,1.356,1.575,5.983,0.038,0.035,1389.0,696.0,1.02
delM[0],-0.006,0.097,-0.169,0.189,0.003,0.002,1024.0,911.0,1.0
"eps[0, 0]",-0.096,0.135,-0.369,0.131,0.004,0.004,928.0,761.0,1.0
"eps[1, 0]",0.063,0.297,-0.447,0.62,0.01,0.01,962.0,659.0,1.01
"eps[2, 0]",0.14,0.233,-0.292,0.587,0.007,0.008,1147.0,770.0,1.01
"eps[3, 0]",-0.154,0.24,-0.574,0.301,0.006,0.007,1369.0,733.0,1.0
"eps[4, 0]",0.019,0.267,-0.484,0.498,0.008,0.007,1255.0,858.0,1.0
"eps[5, 0]",-0.615,0.528,-1.609,0.321,0.012,0.023,1828.0,753.0,1.02
"eps[6, 0]",-0.245,0.446,-1.038,0.601,0.012,0.013,1460.0,685.0,1.01
"eps[7, 0]",0.046,0.152,-0.274,0.302,0.004,0.005,1680.0,608.0,1.01
"eps[8, 0]",0.1,0.207,-0.289,0.481,0.006,0.006,1145.0,626.0,1.0
"eps[9, 0]",0.009,0.031,-0.045,0.068,0.001,0.001,673.0,608.0,1.0
"eps[10, 0]",-0.007,0.049,-0.096,0.085,0.002,0.001,680.0,672.0,1.0
"eps[11, 0]",-0.013,0.034,-0.074,0.054,0.001,0.001,918.0,735.0,1.0
"eps[12, 0]",0.042,0.041,-0.035,0.116,0.001,0.001,892.0,684.0,1.0
"eps[13, 0]",-0.006,0.045,-0.091,0.077,0.001,0.001,917.0,851.0,1.0
"eps[14, 0]",-0.033,0.114,-0.263,0.167,0.003,0.004,1198.0,495.0,1.0
"eps[15, 0]",0.045,0.086,-0.095,0.227,0.002,0.003,1567.0,752.0,1.0
"eps[16, 0]",-0.017,0.086,-0.174,0.149,0.002,0.003,1753.0,1009.0,1.0
"eps[17, 0]",0.019,0.082,-0.133,0.174,0.002,0.003,1579.0,751.0,1.01
"eps[18, 0]",-0.051,0.041,-0.133,0.022,0.001,0.001,771.0,814.0,1.0
"eps[19, 0]",0.074,0.039,0.004,0.144,0.001,0.001,1000.0,707.0,1.0
"eps[20, 0]",-0.044,0.037,-0.113,0.022,0.001,0.001,1080.0,762.0,1.0
"eps[21, 0]",0.116,0.038,0.045,0.184,0.001,0.001,820.0,588.0,1.01
"eps[22, 0]",-0.087,0.054,-0.207,0.001,0.002,0.002,841.0,818.0,1.0
"eps[23, 0]",0.122,0.124,-0.123,0.33,0.004,0.003,1008.0,693.0,1.0
"eps[24, 0]",0.07,0.106,-0.128,0.278,0.003,0.003,979.0,846.0,1.0
"eps[25, 0]",0.079,0.148,-0.179,0.365,0.003,0.005,1988.0,653.0,1.01
"eps[26, 0]",0.06,0.133,-0.198,0.294,0.003,0.004,1642.0,667.0,1.01
"eps[27, 0]",-0.022,0.06,-0.13,0.09,0.002,0.002,614.0,792.0,1.0
"eps[28, 0]",0.051,0.05,-0.044,0.149,0.002,0.001,956.0,638.0,1.0
"eps[29, 0]",0.019,0.039,-0.052,0.088,0.001,0.001,1097.0,659.0,1.0
"eps[30, 0]",0.005,0.041,-0.076,0.078,0.001,0.001,971.0,796.0,1.0
"eps[31, 0]",0.014,0.071,-0.118,0.143,0.003,0.002,715.0,572.0,1.0
"eps[32, 0]",-0.056,0.178,-0.38,0.288,0.005,0.006,1073.0,731.0,1.01
"eps[33, 0]",-0.171,0.255,-0.622,0.327,0.008,0.008,1127.0,616.0,1.0
"eps[34, 0]",0.027,0.145,-0.246,0.287,0.003,0.005,1728.0,810.0,1.0
"eps[35, 0]",-0.001,0.088,-0.157,0.171,0.002,0.003,1512.0,627.0,1.0
"eps[36, 0]",-0.011,0.033,-0.075,0.047,0.001,0.001,791.0,770.0,1.0
"eps[37, 0]",-0.053,0.086,-0.224,0.098,0.003,0.002,740.0,876.0,1.01
"eps[38, 0]",-0.017,0.042,-0.088,0.067,0.001,0.001,867.0,635.0,1.0
"eps[39, 0]",-0.021,0.059,-0.131,0.083,0.002,0.002,982.0,752.0,1.0
"eps[40, 0]",-0.023,0.056,-0.115,0.083,0.002,0.002,869.0,537.0,1.01
"eps[41, 0]",-0.065,0.333,-0.688,0.532,0.009,0.01,1289.0,710.0,1.0
"eps[42, 0]",-0.048,0.166,-0.355,0.279,0.004,0.006,1655.0,781.0,1.01
"eps[43, 0]",-0.075,0.13,-0.309,0.178,0.003,0.004,1701.0,752.0,1.01
"eps[44, 0]",-0.067,0.098,-0.249,0.114,0.003,0.003,1130.0,622.0,1.0
"eps[45, 0]",-0.022,0.057,-0.129,0.084,0.001,0.002,1888.0,875.0,1.0
"eps[46, 0]",-0.446,0.111,-0.651,-0.236,0.004,0.003,930.0,1026.0,1.0
"eps[47, 0]",-0.0,0.036,-0.068,0.064,0.001,0.001,947.0,743.0,1.0
"eps[48, 0]",-0.021,0.067,-0.146,0.101,0.002,0.002,963.0,873.0,1.0
"eps[49, 0]",0.009,0.067,-0.116,0.134,0.002,0.002,1456.0,711.0,1.0
"eps[50, 0]",-0.002,0.534,-0.961,0.95,0.015,0.017,1240.0,478.0,1.0
"eps[51, 0]",-0.212,0.318,-0.776,0.412,0.009,0.01,1181.0,681.0,1.0
"eps[52, 0]",-0.059,0.17,-0.386,0.237,0.005,0.006,1193.0,734.0,1.0
"eps[53, 0]",0.048,0.101,-0.14,0.228,0.003,0.003,1413.0,548.0,1.0
"eps_tform[0, 0]",-0.602,0.844,-2.307,0.818,0.028,0.023,928.0,761.0,1.0
"eps_tform[0, 1]",0.051,0.805,-1.412,1.48,0.026,0.027,967.0,761.0,1.01
"eps_tform[0, 2]",0.777,0.871,-0.75,2.532,0.025,0.025,1205.0,853.0,1.01
"eps_tform[0, 3]",-0.579,0.827,-1.997,0.993,0.022,0.022,1331.0,731.0,1.01
"eps_tform[0, 4]",-0.154,0.81,-1.74,1.276,0.022,0.025,1285.0,778.0,1.0
"eps_tform[0, 5]",-0.842,0.847,-2.446,0.647,0.022,0.032,1454.0,715.0,1.01
"eps_tform[0, 6]",-0.578,0.985,-2.276,1.383,0.026,0.028,1484.0,751.0,1.01
"eps_tform[0, 7]",0.388,0.906,-1.307,2.086,0.022,0.031,1691.0,719.0,1.01
"eps_tform[0, 8]",0.158,0.935,-1.54,1.963,0.027,0.028,1219.0,694.0,1.0
"eps_tform[0, 9]",0.304,0.497,-0.609,1.18,0.02,0.015,646.0,468.0,1.01
"eps_tform[0, 10]",0.153,0.502,-0.79,1.087,0.02,0.012,635.0,638.0,1.0
"eps_tform[0, 11]",-0.26,0.608,-1.38,0.93,0.02,0.019,914.0,670.0,1.0
"eps_tform[0, 12]",0.557,0.805,-0.863,2.053,0.024,0.028,1145.0,629.0,1.0
"eps_tform[0, 13]",-0.029,0.714,-1.392,1.294,0.023,0.019,936.0,742.0,1.0
"eps_tform[0, 14]",-0.068,0.906,-1.707,1.728,0.027,0.031,1105.0,490.0,1.0
"eps_tform[0, 15]",0.511,0.949,-1.176,2.342,0.023,0.037,1675.0,699.0,1.0
"eps_tform[0, 16]",-0.203,0.976,-1.891,1.806,0.023,0.033,1835.0,778.0,1.0
"eps_tform[0, 17]",0.227,0.956,-1.452,2.091,0.024,0.029,1535.0,721.0,1.01
"eps_tform[0, 18]",-0.807,0.673,-2.232,0.307,0.024,0.019,789.0,636.0,1.0
"eps_tform[0, 19]",0.834,0.489,-0.041,1.802,0.017,0.016,829.0,654.0,1.0
"eps_tform[0, 20]",-0.478,0.638,-1.6,0.742,0.02,0.02,1037.0,673.0,1.0
"eps_tform[0, 21]",1.506,0.677,0.302,2.775,0.024,0.028,779.0,563.0,1.02
"eps_tform[0, 22]",-0.532,0.67,-1.838,0.779,0.023,0.02,874.0,764.0,1.0
"eps_tform[0, 23]",0.512,0.754,-1.01,1.875,0.022,0.025,1208.0,738.0,1.0
"eps_tform[0, 24]",0.489,0.697,-0.84,1.822,0.022,0.02,1043.0,851.0,1.0
"eps_tform[0, 25]",0.176,0.957,-1.513,1.972,0.02,0.037,2248.0,676.0,1.01
"eps_tform[0, 26]",0.148,0.956,-1.582,1.842,0.021,0.035,1963.0,584.0,1.01
"eps_tform[0, 27]",0.423,0.559,-0.601,1.547,0.02,0.015,812.0,759.0,1.0
"eps_tform[0, 28]",0.812,0.545,-0.182,1.813,0.019,0.015,796.0,759.0,1.0
"eps_tform[0, 29]",0.191,0.64,-0.991,1.414,0.019,0.02,1130.0,794.0,1.0
"eps_tform[0, 30]",-0.119,0.636,-1.268,1.063,0.02,0.02,1011.0,635.0,1.0
"eps_tform[0, 31]",0.135,0.674,-1.094,1.382,0.02,0.021,1090.0,729.0,1.01
"eps_tform[0, 32]",-0.168,0.93,-1.848,1.579,0.024,0.028,1578.0,743.0,1.01
"eps_tform[0, 33]",-0.554,0.812,-2.033,0.928,0.021,0.025,1461.0,687.0,1.01
"eps_tform[0, 34]",0.109,0.922,-1.568,1.83,0.021,0.032,2003.0,715.0,1.0
