,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.238,0.091,0.073,0.397,0.004,0.002,669.0,754.0,1.0
Ds[0],36.917,0.077,36.78,37.063,0.003,0.002,737.0,804.0,1.0
RV[0],4.011,1.338,1.707,5.993,0.039,0.031,1215.0,690.0,1.01
delM[0],-0.001,0.096,-0.173,0.174,0.003,0.002,1017.0,1035.0,1.0
"eps[0, 0]",0.199,0.091,0.033,0.368,0.003,0.003,962.0,785.0,1.0
"eps[1, 0]",-0.128,0.162,-0.451,0.148,0.005,0.005,990.0,661.0,1.01
"eps[2, 0]",0.302,0.187,-0.028,0.654,0.006,0.005,1111.0,836.0,1.0
"eps[3, 0]",0.062,0.18,-0.281,0.382,0.005,0.005,1070.0,877.0,1.0
"eps[4, 0]",0.329,0.209,-0.049,0.71,0.007,0.006,973.0,833.0,1.0
"eps[5, 0]",-0.14,0.486,-0.951,0.875,0.013,0.014,1298.0,791.0,1.0
"eps[6, 0]",0.062,0.432,-0.781,0.811,0.012,0.013,1285.0,842.0,1.0
"eps[7, 0]",0.054,0.159,-0.251,0.336,0.005,0.006,1262.0,620.0,1.0
"eps[8, 0]",0.142,0.209,-0.235,0.528,0.005,0.008,1562.0,539.0,1.01
"eps[9, 0]",-0.007,0.039,-0.077,0.07,0.001,0.001,793.0,661.0,1.0
"eps[10, 0]",0.029,0.036,-0.038,0.096,0.001,0.001,942.0,881.0,1.0
"eps[11, 0]",-0.012,0.036,-0.082,0.053,0.001,0.001,925.0,609.0,1.0
"eps[12, 0]",0.046,0.034,-0.017,0.112,0.001,0.001,1293.0,720.0,1.0
"eps[13, 0]",-0.104,0.045,-0.184,-0.022,0.001,0.001,913.0,640.0,1.0
"eps[14, 0]",0.059,0.095,-0.129,0.226,0.003,0.003,1294.0,869.0,1.0
"eps[15, 0]",-0.105,0.073,-0.249,0.031,0.002,0.002,1351.0,653.0,1.0
"eps[16, 0]",-0.086,0.075,-0.234,0.054,0.002,0.002,1374.0,806.0,1.01
